match_type,match_value,normalized_value,decision,source,source_date
company_exact,ファーストコーポレーション,ファーストコーポレーション,high,JPX,2026-06-30
company_exact,Ｌｉｂ　Ｗｏｒｋ,libwork,high,JPX,2026-06-30
company_exact,動力,動力,high,JPX,2026-06-30
company_exact,ベステラ,ベステラ,high,JPX,2026-06-30
company_exact,ＪＥＳＣＯホールディングス,jescoホールディングス,high,JPX,2026-06-30
company_exact,ｒｏｂｏｔ　ｈｏｍｅ,robothome,high,JPX,2026-06-30
company_exact,グリーンエナジー＆カンパニー,グリーンエナジー&カンパニー,high,JPX,2026-06-30
company_exact,岐阜造園,岐阜造園,high,JPX,2026-06-30
company_exact,イシン,イシン,high,JPX,2026-06-30
company_exact,技研ホールディングス,技研ホールディングス,high,JPX,2026-06-30
company_exact,ニッソウ,ニッソウ,high,JPX,2026-06-30
company_exact,ひかりホールディングス,ひかりホールディングス,high,JPX,2026-06-30
company_exact,キャンディル,キャンディル,high,JPX,2026-06-30
company_exact,ＳＡＡＦホールディングス,saafホールディングス,high,JPX,2026-06-30
company_exact,エネルギーパワー,エネルギーパワー,high,JPX,2026-06-30
company_exact,ＴＡＮＡＫＥＮ,tanaken,high,JPX,2026-06-30
company_exact,横浜ライト工業,横浜ライト工業,high,JPX,2026-06-30
company_exact,Ｌ　ｉｓ　Ｂ,lisb,high,JPX,2026-06-30
company_exact,コロンビア・ワークス,コロンビアワークス,high,JPX,2026-06-30
company_exact,ソラコム,ソラコム,high,JPX,2026-06-30
company_exact,ハッチ・ワーク,ハッチワーク,high,JPX,2026-06-30
company_exact,中外鉱業,中外鉱業,high,JPX,2026-06-30
company_exact,シンカ,シンカ,high,JPX,2026-06-30
company_exact,ＪＳＨ,jsh,high,JPX,2026-06-30
company_exact,住石ホールディングス,住石ホールディングス,high,JPX,2026-06-30
company_exact,日鉄鉱業,日鉄鉱業,high,JPX,2026-06-30
company_exact,三井松島ホールディングス,三井松島ホールディングス,high,JPX,2026-06-30
company_exact,ダイブ,ダイブ,high,JPX,2026-06-30
company_exact,オプティ,オプティ,high,JPX,2026-06-30
company_exact,カウリス,カウリス,high,JPX,2026-06-30
company_exact,ＧＡＩＡ,gaia,high,JPX,2026-06-30
company_exact,情報戦略テクノロジー,情報戦略テクノロジー,high,JPX,2026-06-30
company_exact,マテリアルグループ,マテリアルグループ,high,JPX,2026-06-30
company_exact,グリーンモンスター,グリーンモンスター,high,JPX,2026-06-30
company_exact,エクセリ,エクセリ,high,JPX,2026-06-30
company_exact,ＩＮＰＥＸ,inpex,high,JPX,2026-06-30
company_exact,アズパートナーズ,アズパートナーズ,high,JPX,2026-06-30
company_exact,三葉,三葉,high,JPX,2026-06-30
company_exact,アップルパーク,アップルパーク,high,JPX,2026-06-30
company_exact,石油資源開発,石油資源開発,high,JPX,2026-06-30
company_exact,Ｋ＆Ｏエナジーグループ,k&oエナジーグループ,high,JPX,2026-06-30
company_exact,タスキホールディングス,タスキホールディングス,high,JPX,2026-06-30
company_exact,リョーサン菱洋ホールディングス,リョーサン菱洋ホールディングス,high,JPX,2026-06-30
company_exact,イタミアート,イタミアート,high,JPX,2026-06-30
company_exact,ＳＤＳホールディングス,sdsホールディングス,high,JPX,2026-06-30
company_exact,第一カッター興業,第一カッター興業,high,JPX,2026-06-30
company_exact,明豊ファシリティワークス,明豊ファシリティワークス,high,JPX,2026-06-30
company_exact,美樹工業,美樹工業,high,JPX,2026-06-30
company_exact,安藤・間,安藤間,high,JPX,2026-06-30
company_exact,ゼロジャパン,ゼロジャパン,high,JPX,2026-06-30
company_exact,東急建設,東急建設,high,JPX,2026-06-30
company_exact,コムシスホールディングス,コムシスホールディングス,high,JPX,2026-06-30
company_exact,日本電技,日本電技,high,JPX,2026-06-30
company_exact,シンクレイヤ,シンクレイヤ,high,JPX,2026-06-30
company_exact,ネオホーム,ネオホーム,high,JPX,2026-06-30
company_exact,オーテック,オーテック,high,JPX,2026-06-30
company_exact,ハンモック,ハンモック,high,JPX,2026-06-30
company_exact,太洋基礎工業,太洋基礎工業,high,JPX,2026-06-30
company_exact,Ｗｉｌｌ　Ｓｍａｒｔ,willsmart,high,JPX,2026-06-30
company_exact,高松コンストラクショングループ,高松コンストラクショングループ,high,JPX,2026-06-30
company_exact,工藤建設,工藤建設,high,JPX,2026-06-30
company_exact,東建コーポレーション,東建コーポレーション,high,JPX,2026-06-30
company_exact,ソネック,ソネック,high,JPX,2026-06-30
company_exact,藤田エンジニアリング,藤田エンジニアリング,high,JPX,2026-06-30
company_exact,ワイ・ティー・エル・コーポレーション・バーハッド,ワイティーエルコーポレーションバーハッド,high,JPX,2026-06-30
company_exact,コージンバイオ,コージンバイオ,high,JPX,2026-06-30
company_exact,ヤマウラ,ヤマウラ,high,JPX,2026-06-30
company_exact,ｆａｎｔａｓｉｓｔａ,fantasista,high,JPX,2026-06-30
company_exact,オリエンタル白石,オリエンタル白石,high,JPX,2026-06-30
company_exact,ナカボーテック,ナカボーテック,high,JPX,2026-06-30
company_exact,三東工業社,三東工業社,high,JPX,2026-06-30
company_exact,大本組,大本組,high,JPX,2026-06-30
company_exact,マサル,マサル,high,JPX,2026-06-30
company_exact,守谷商会,守谷商会,high,JPX,2026-06-30
company_exact,第一建設工業,第一建設工業,high,JPX,2026-06-30
company_exact,大成建設,大成建設,high,JPX,2026-06-30
company_exact,大林組,大林組,high,JPX,2026-06-30
company_exact,清水建設,清水建設,high,JPX,2026-06-30
company_exact,佐藤渡辺,佐藤渡辺,high,JPX,2026-06-30
company_exact,長谷工コーポレーション,長谷工コーポレーション,high,JPX,2026-06-30
company_exact,松井建設,松井建設,high,JPX,2026-06-30
company_exact,錢高組,錢高組,high,JPX,2026-06-30
company_exact,鹿島建設,鹿島建設,high,JPX,2026-06-30
company_exact,不動テトラ,不動テトラ,high,JPX,2026-06-30
company_exact,大末建設,大末建設,high,JPX,2026-06-30
company_exact,鉄建建設,鉄建建設,high,JPX,2026-06-30
company_exact,西松建設,西松建設,high,JPX,2026-06-30
company_exact,大豊建設,大豊建設,high,JPX,2026-06-30
company_exact,佐田建設,佐田建設,high,JPX,2026-06-30
company_exact,ナカノフドー建設,ナカノフドー建設,high,JPX,2026-06-30
company_exact,田辺工業,田辺工業,high,JPX,2026-06-30
company_exact,奥村組,奥村組,high,JPX,2026-06-30
company_exact,東鉄工業,東鉄工業,high,JPX,2026-06-30
company_exact,土屋ホールディングス,土屋ホールディングス,high,JPX,2026-06-30
company_exact,大盛工業,大盛工業,high,JPX,2026-06-30
company_exact,イチケン,イチケン,high,JPX,2026-06-30
company_exact,富士ピー・エス,富士ピーエス,high,JPX,2026-06-30
company_exact,学びエイド,学びエイド,high,JPX,2026-06-30
company_exact,南海辰村建設,南海辰村建設,high,JPX,2026-06-30
company_exact,淺沼組,淺沼組,high,JPX,2026-06-30
company_exact,森組,森組,high,JPX,2026-06-30
company_exact,リサイクルテック・ジャパン,リサイクルテックジャパン,high,JPX,2026-06-30
company_exact,戸田建設,戸田建設,high,JPX,2026-06-30
company_exact,熊谷組,熊谷組,high,JPX,2026-06-30
company_exact,北野建設,北野建設,high,JPX,2026-06-30
company_exact,植木組,植木組,high,JPX,2026-06-30
company_exact,アストロスケールホールディングス,アストロスケールホールディングス,high,JPX,2026-06-30
company_exact,矢作建設工業,矢作建設工業,high,JPX,2026-06-30
company_exact,ピーエス・コンストラクション,ピーエスコンストラクション,high,JPX,2026-06-30
company_exact,日本ハウスホールディングス,日本ハウスホールディングス,high,JPX,2026-06-30
company_exact,大東建託,大東建託,high,JPX,2026-06-30
company_exact,新日本建設,新日本建設,high,JPX,2026-06-30
company_exact,東亜道路工業,東亜道路工業,high,JPX,2026-06-30
company_exact,東亜建設工業,東亜建設工業,high,JPX,2026-06-30
company_exact,日本国土開発,日本国土開発,high,JPX,2026-06-30
company_exact,若築建設,若築建設,high,JPX,2026-06-30
company_exact,五洋建設,五洋建設,high,JPX,2026-06-30
company_exact,金下建設,金下建設,high,JPX,2026-06-30
company_exact,世紀東急工業,世紀東急工業,high,JPX,2026-06-30
company_exact,福田組,福田組,high,JPX,2026-06-30
company_exact,Ｄ＆Ｍカンパニー,d&mカンパニー,high,JPX,2026-06-30
company_exact,大成温調,大成温調,high,JPX,2026-06-30
company_exact,テノックス,テノックス,high,JPX,2026-06-30
company_exact,日本ドライケミカル,日本ドライケミカル,high,JPX,2026-06-30
company_exact,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,chordiatherapeutics,high,JPX,2026-06-30
company_exact,住友林業,住友林業,high,JPX,2026-06-30
company_exact,日本基礎技術,日本基礎技術,high,JPX,2026-06-30
company_exact,ミモザ,ミモザ,high,JPX,2026-06-30
company_exact,巴コーポレーション,巴コーポレーション,high,JPX,2026-06-30
company_exact,大和ハウス工業,大和ハウス工業,high,JPX,2026-06-30
company_exact,ライト工業,ライト工業,high,JPX,2026-06-30
company_exact,積水ハウス,積水ハウス,high,JPX,2026-06-30
company_exact,日特建設,日特建設,high,JPX,2026-06-30
company_exact,インテグループ,インテグループ,high,JPX,2026-06-30
company_exact,北陸電気工事,北陸電気工事,high,JPX,2026-06-30
company_exact,ユアテック,ユアテック,high,JPX,2026-06-30
company_exact,日本リーテック,日本リーテック,high,JPX,2026-06-30
company_exact,四電工,四電工,high,JPX,2026-06-30
company_exact,中電工,中電工,high,JPX,2026-06-30
company_exact,関電工,関電工,high,JPX,2026-06-30
company_exact,きんでん,きんでん,high,JPX,2026-06-30
company_exact,東京エネシス,東京エネシス,high,JPX,2026-06-30
company_exact,トーエネック,トーエネック,high,JPX,2026-06-30
company_exact,弘電社,弘電社,high,JPX,2026-06-30
company_exact,ＷＯＬＶＥＳ　ＨＡＮＤ,wolveshand,high,JPX,2026-06-30
company_exact,日本電設工業,日本電設工業,high,JPX,2026-06-30
company_exact,エクシオグループ,エクシオグループ,high,JPX,2026-06-30
company_exact,新日本空調,新日本空調,high,JPX,2026-06-30
company_exact,クラフティア,クラフティア,high,JPX,2026-06-30
company_exact,ＭＵＳＣＡＴ　ＧＲＯＵＰ,muscatgroup,high,JPX,2026-06-30
company_exact,サンテック,サンテック,high,JPX,2026-06-30
company_exact,三機工業,三機工業,high,JPX,2026-06-30
company_exact,日揮ホールディングス,日揮ホールディングス,high,JPX,2026-06-30
company_exact,中外炉工業,中外炉工業,high,JPX,2026-06-30
company_exact,テクノ菱和,テクノ菱和,high,JPX,2026-06-30
company_exact,高田工業所,高田工業所,high,JPX,2026-06-30
company_exact,ヤマト,ヤマト,high,JPX,2026-06-30
company_exact,太平電業,太平電業,high,JPX,2026-06-30
company_exact,高砂熱学工業,高砂熱学工業,high,JPX,2026-06-30
company_exact,ＭＦＳ,mfs,high,JPX,2026-06-30
company_exact,三晃金属工業,三晃金属工業,high,JPX,2026-06-30
company_exact,朝日工業社,朝日工業社,high,JPX,2026-06-30
company_exact,明星工業,明星工業,high,JPX,2026-06-30
company_exact,大氣社,大氣社,high,JPX,2026-06-30
company_exact,タウンズ,タウンズ,high,JPX,2026-06-30
company_exact,ダイダン,ダイダン,high,JPX,2026-06-30
company_exact,協和日成,協和日成,high,JPX,2026-06-30
company_exact,日比谷総合設備,日比谷総合設備,high,JPX,2026-06-30
company_exact,ＰｏｓｔＰｒｉｍｅ,postprime,high,JPX,2026-06-30
company_exact,神田通信機,神田通信機,high,JPX,2026-06-30
company_exact,高橋カーテンウォール工業,高橋カーテンウォール工業,high,JPX,2026-06-30
company_exact,暁飯島工業,暁飯島工業,high,JPX,2026-06-30
company_exact,メディエア,メディエア,high,JPX,2026-06-30
company_exact,ニップン,ニップン,high,JPX,2026-06-30
company_exact,日清製粉グループ本社,日清製粉グループ本社,high,JPX,2026-06-30
company_exact,日東富士製粉,日東富士製粉,high,JPX,2026-06-30
company_exact,昭和産業,昭和産業,high,JPX,2026-06-30
company_exact,鳥越製粉,鳥越製粉,high,JPX,2026-06-30
company_exact,シュンビン,シュンビン,high,JPX,2026-06-30
company_exact,タイヨーパッケージ,タイヨーパッケージ,high,JPX,2026-06-30
company_exact,中部飼料,中部飼料,high,JPX,2026-06-30
company_exact,日和産業,日和産業,high,JPX,2026-06-30
company_exact,ロゴスホールディングス,ロゴスホールディングス,high,JPX,2026-06-30
company_exact,フィード・ワン,フィードワン,high,JPX,2026-06-30
company_exact,ＰＲＩＳＭ　ＢｉｏＬａｂ,prismbiolab,high,JPX,2026-06-30
company_exact,ライジングコーポレーション,ライジングコーポレーション,high,JPX,2026-06-30
company_exact,構造計画研究所ホールディングス,構造計画研究所ホールディングス,high,JPX,2026-06-30
company_exact,小野谷機工,小野谷機工,high,JPX,2026-06-30
company_exact,日本甜菜製糖,日本甜菜製糖,high,JPX,2026-06-30
company_exact,ＤＭ三井製糖,dm三井製糖,high,JPX,2026-06-30
company_exact,塩水港精糖,塩水港精糖,high,JPX,2026-06-30
company_exact,フジ日本,フジ日本,high,JPX,2026-06-30
company_exact,ウェルネオシュガー,ウェルネオシュガー,high,JPX,2026-06-30
company_exact,カドス・コーポレーション,カドスコーポレーション,high,JPX,2026-06-30
company_exact,ＬＩＦＵＬＬ,lifull,high,JPX,2026-06-30
company_exact,ＭＩＸＩ,mixi,high,JPX,2026-06-30
company_exact,インタースペース,インタースペース,high,JPX,2026-06-30
company_exact,ジェイエイシーリクルートメント,ジェイエイシーリクルートメント,high,JPX,2026-06-30
company_exact,日本Ｍ＆Ａセンターホールディングス,日本m&aセンターホールディングス,high,JPX,2026-06-30
company_exact,フィットイージー,フィットイージー,high,JPX,2026-06-30
company_exact,メンバーズ,メンバーズ,high,JPX,2026-06-30
company_exact,北浜キャピタルパートナーズ,北浜キャピタルパートナーズ,high,JPX,2026-06-30
company_exact,ヒップ,ヒップ,high,JPX,2026-06-30
company_exact,クルーズ,クルーズ,high,JPX,2026-06-30
company_exact,中広,中広,high,JPX,2026-06-30
company_exact,ＵＴグループ,utグループ,high,JPX,2026-06-30
company_exact,アイティメディア,アイティメディア,high,JPX,2026-06-30
company_exact,幼児活動研究会,幼児活動研究会,high,JPX,2026-06-30
company_exact,Ｅ・Ｊホールディングス,ejホールディングス,high,JPX,2026-06-30
company_exact,オープンアップグループ,オープンアップグループ,high,JPX,2026-06-30
company_exact,セーラー広告,セーラー広告,high,JPX,2026-06-30
company_exact,コシダカホールディングス,コシダカホールディングス,high,JPX,2026-06-30
company_exact,ＦＲＯＮＴＥＯ,fronteo,high,JPX,2026-06-30
company_exact,タイミー,タイミー,high,JPX,2026-06-30
company_exact,ジーエヌアイグループ,ジーエヌアイグループ,high,JPX,2026-06-30
company_exact,ｎｍｓ　ホールディングス,nmsホールディングス,high,JPX,2026-06-30
company_exact,アルトナー,アルトナー,high,JPX,2026-06-30
company_exact,地域新聞社,地域新聞社,high,JPX,2026-06-30
company_exact,パソナグループ,パソナグループ,high,JPX,2026-06-30
company_exact,ＣＤＳ,cds,high,JPX,2026-06-30
company_exact,ライフクリエイト,ライフクリエイト,high,JPX,2026-06-30
company_exact,リンクアンドモチベーション,リンクアンドモチベーション,high,JPX,2026-06-30
company_exact,博展,博展,high,JPX,2026-06-30
company_exact,エス・エム・エス,エスエムエス,high,JPX,2026-06-30
company_exact,成学社,成学社,high,JPX,2026-06-30
company_exact,サポート,サポート,high,JPX,2026-06-30
company_exact,サニーサイドアップグループ,サニーサイドアップグループ,high,JPX,2026-06-30
company_exact,パーソルホールディングス,パーソルホールディングス,high,JPX,2026-06-30
company_exact,リニカル,リニカル,high,JPX,2026-06-30
company_exact,シイエム・シイ,シイエムシイ,high,JPX,2026-06-30
company_exact,ソーバル,ソーバル,high,JPX,2026-06-30
company_exact,Ｌｉｂｅｒａｗａｒｅ,liberaware,high,JPX,2026-06-30
company_exact,クックパッド,クックパッド,high,JPX,2026-06-30
company_exact,アミタホールディングス,アミタホールディングス,high,JPX,2026-06-30
company_exact,アイ・ケイ・ケイホールディングス,アイケイケイホールディングス,high,JPX,2026-06-30
company_exact,Ｈｅａｒｔｓｅｅｄ,heartseed,high,JPX,2026-06-30
company_exact,森永製菓,森永製菓,high,JPX,2026-06-30
company_exact,中村屋,中村屋,high,JPX,2026-06-30
company_exact,江崎グリコ,江崎グリコ,high,JPX,2026-06-30
company_exact,ｍｅｉｔｏ,meito,high,JPX,2026-06-30
company_exact,ブルボン,ブルボン,high,JPX,2026-06-30
company_exact,井村屋グループ,井村屋グループ,high,JPX,2026-06-30
company_exact,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,fabercompany,high,JPX,2026-06-30
company_exact,不二家,不二家,high,JPX,2026-06-30
company_exact,山崎製パン,山崎製パン,high,JPX,2026-06-30
company_exact,第一屋製パン,第一屋製パン,high,JPX,2026-06-30
company_exact,カンロ,カンロ,high,JPX,2026-06-30
company_exact,モロゾフ,モロゾフ,high,JPX,2026-06-30
company_exact,亀田製菓,亀田製菓,high,JPX,2026-06-30
company_exact,岩塚製菓,岩塚製菓,high,JPX,2026-06-30
company_exact,寿スピリッツ,寿スピリッツ,high,JPX,2026-06-30
company_exact,コモ,コモ,high,JPX,2026-06-30
company_exact,湖池屋,湖池屋,high,JPX,2026-06-30
company_exact,カルビー,カルビー,high,JPX,2026-06-30
company_exact,ＮＩＣＳ,nics,high,JPX,2026-06-30
company_exact,森永乳業,森永乳業,high,JPX,2026-06-30
company_exact,六甲バター,六甲バター,high,JPX,2026-06-30
company_exact,ヤクルト本社,ヤクルト本社,high,JPX,2026-06-30
company_exact,Ｂ－Ｒ　サーティワン　アイスクリーム,b-rサーティワンアイスクリーム,high,JPX,2026-06-30
company_exact,明治ホールディングス,明治ホールディングス,high,JPX,2026-06-30
company_exact,勝美ジャパン,勝美ジャパン,high,JPX,2026-06-30
company_exact,雪印メグミルク,雪印メグミルク,high,JPX,2026-06-30
company_exact,ＩＮＳＩＧＨＴ　ＬＡＢ,insightlab,high,JPX,2026-06-30
company_exact,プリマハム,プリマハム,high,JPX,2026-06-30
company_exact,日本ハム,日本ハム,high,JPX,2026-06-30
company_exact,林兼産業,林兼産業,high,JPX,2026-06-30
company_exact,丸大食品,丸大食品,high,JPX,2026-06-30
company_exact,オプロ,オプロ,high,JPX,2026-06-30
company_exact,福留ハム,福留ハム,high,JPX,2026-06-30
company_exact,Ｓ　Ｆｏｏｄｓ,sfoods,high,JPX,2026-06-30
company_exact,滝沢ハム,滝沢ハム,high,JPX,2026-06-30
company_exact,柿安本店,柿安本店,high,JPX,2026-06-30
company_exact,伊藤ハム米久ホールディングス,伊藤ハム米久ホールディングス,high,JPX,2026-06-30
company_exact,アスミホールディングス,アスミホールディングス,high,JPX,2026-06-30
company_exact,きょくとう,きょくとう,high,JPX,2026-06-30
company_exact,学情,学情,high,JPX,2026-06-30
company_exact,ドーン,ドーン,high,JPX,2026-06-30
company_exact,ＣＳＳホールディングス,cssホールディングス,high,JPX,2026-06-30
company_exact,スタジオアリス,スタジオアリス,high,JPX,2026-06-30
company_exact,クロスキャット,クロスキャット,high,JPX,2026-06-30
company_exact,エプコ,エプコ,high,JPX,2026-06-30
company_exact,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,caicadigital,high,JPX,2026-06-30
company_exact,システナ,システナ,high,JPX,2026-06-30
company_exact,ソフトフロントホールディングス,ソフトフロントホールディングス,high,JPX,2026-06-30
company_exact,ｆｏｎｆｕｎ,fonfun,high,JPX,2026-06-30
company_exact,ＮＪＳ,njs,high,JPX,2026-06-30
company_exact,デジタルアーツ,デジタルアーツ,high,JPX,2026-06-30
company_exact,日鉄ソリューションズ,日鉄ソリューションズ,high,JPX,2026-06-30
company_exact,東北新社,東北新社,high,JPX,2026-06-30
company_exact,フォーサイド,フォーサイド,high,JPX,2026-06-30
company_exact,ＡＬＳＯＫ,alsok,high,JPX,2026-06-30
company_exact,クエスト,クエスト,high,JPX,2026-06-30
company_exact,イオレ,イオレ,high,JPX,2026-06-30
company_exact,キューブシステム,キューブシステム,high,JPX,2026-06-30
company_exact,いちご,いちご,high,JPX,2026-06-30
company_exact,クオンタムソリューションズ,クオンタムソリューションズ,high,JPX,2026-06-30
company_exact,極楽湯ホールディングス,極楽湯ホールディングス,high,JPX,2026-06-30
company_exact,アルバイトタイムス,アルバイトタイムス,high,JPX,2026-06-30
company_exact,トランスジェニックグループ,トランスジェニックグループ,high,JPX,2026-06-30
company_exact,ＨＯＤＬ１,hodl1,high,JPX,2026-06-30
company_exact,エヌアイデイ,エヌアイデイ,high,JPX,2026-06-30
company_exact,ＡＳＪ,asj,high,JPX,2026-06-30
company_exact,日本駐車場開発,日本駐車場開発,high,JPX,2026-06-30
company_exact,ＹＥ　ＤＩＧＩＴＡＬ,yedigital,high,JPX,2026-06-30
company_exact,コア,コア,high,JPX,2026-06-30
company_exact,メディネット,メディネット,high,JPX,2026-06-30
company_exact,カカクコム,カカクコム,high,JPX,2026-06-30
company_exact,ケア２１,ケア21,high,JPX,2026-06-30
company_exact,ギグワークス,ギグワークス,high,JPX,2026-06-30
company_exact,サイネックス,サイネックス,high,JPX,2026-06-30
company_exact,ルネサンス,ルネサンス,high,JPX,2026-06-30
company_exact,ディップ,ディップ,high,JPX,2026-06-30
company_exact,ＳＢＳホールディングス,sbsホールディングス,high,JPX,2026-06-30
company_exact,総医研ホールディングス,総医研ホールディングス,high,JPX,2026-06-30
company_exact,ウェッジホールディングス,ウェッジホールディングス,high,JPX,2026-06-30
company_exact,プラネット,プラネット,high,JPX,2026-06-30
company_exact,日本ケアサプライ,日本ケアサプライ,high,JPX,2026-06-30
company_exact,新日本科学,新日本科学,high,JPX,2026-06-30
company_exact,バレッグス,バレッグス,high,JPX,2026-06-30
company_exact,鉄人化ホールディングス,鉄人化ホールディングス,high,JPX,2026-06-30
company_exact,ＫＧ情報,kg情報,high,JPX,2026-06-30
company_exact,キャリアデザインセンター,キャリアデザインセンター,high,JPX,2026-06-30
company_exact,ゲンダイエージェンシー,ゲンダイエージェンシー,high,JPX,2026-06-30
company_exact,エムスリー,エムスリー,high,JPX,2026-06-30
company_exact,ヒューマンホールディングス,ヒューマンホールディングス,high,JPX,2026-06-30
company_exact,ツカダ・グローバルホールディング,ツカダグローバルホールディング,high,JPX,2026-06-30
company_exact,ＲＯＸＸ,roxx,high,JPX,2026-06-30
company_exact,ブラス,ブラス,high,JPX,2026-06-30
company_exact,ケアサービス,ケアサービス,high,JPX,2026-06-30
company_exact,ウェルネット,ウェルネット,high,JPX,2026-06-30
company_exact,ワールドホールディングス,ワールドホールディングス,high,JPX,2026-06-30
company_exact,ディー・エヌ・エー,ディーエヌエー,high,JPX,2026-06-30
company_exact,博報堂ＤＹホールディングス,博報堂dyホールディングス,high,JPX,2026-06-30
company_exact,シダー,シダー,high,JPX,2026-06-30
company_exact,共同ピーアール,共同ピーアール,high,JPX,2026-06-30
company_exact,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,shinwawiseholdings,high,JPX,2026-06-30
company_exact,アスカネット,アスカネット,high,JPX,2026-06-30
company_exact,トップス,トップス,high,JPX,2026-06-30
company_exact,ぐるなび,ぐるなび,high,JPX,2026-06-30
company_exact,タカミヤ,タカミヤ,high,JPX,2026-06-30
company_exact,プラップジャパン,プラップジャパン,high,JPX,2026-06-30
company_exact,グロースエクスパートナーズ,グロースエクスパートナーズ,high,JPX,2026-06-30
company_exact,コンピュータマインド,コンピュータマインド,high,JPX,2026-06-30
company_exact,オールアバウト,オールアバウト,high,JPX,2026-06-30
company_exact,アウンコンサルティング,アウンコンサルティング,high,JPX,2026-06-30
company_exact,ＩＮＧＳ,ings,high,JPX,2026-06-30
company_exact,ファンコミュニケーションズ,ファンコミュニケーションズ,high,JPX,2026-06-30
company_exact,ライク,ライク,high,JPX,2026-06-30
company_exact,Ａｏｂａ‐ＢＢＴ,aoba‐bbt,high,JPX,2026-06-30
company_exact,ヒビノ,ヒビノ,high,JPX,2026-06-30
company_exact,アスア,アスア,high,JPX,2026-06-30
company_exact,エスプール,エスプール,high,JPX,2026-06-30
company_exact,ＷＤＢホールディングス,wdbホールディングス,high,JPX,2026-06-30
company_exact,手間いらず,手間いらず,high,JPX,2026-06-30
company_exact,ジェイテック,ジェイテック,high,JPX,2026-06-30
company_exact,Ａｉロボティクス,aiロボティクス,high,JPX,2026-06-30
company_exact,システム・ロケーション,システムロケーション,high,JPX,2026-06-30
company_exact,タウンニュース社,タウンニュース社,high,JPX,2026-06-30
company_exact,翻訳センター,翻訳センター,high,JPX,2026-06-30
company_exact,出前館,出前館,high,JPX,2026-06-30
company_exact,ティア,ティア,high,JPX,2026-06-30
company_exact,ＪＴＰ,jtp,high,JPX,2026-06-30
company_exact,アドウェイズ,アドウェイズ,high,JPX,2026-06-30
company_exact,キッズスター,キッズスター,high,JPX,2026-06-30
company_exact,バリューコマース,バリューコマース,high,JPX,2026-06-30
company_exact,インフォマート,インフォマート,high,JPX,2026-06-30
company_exact,イーサポートリンク,イーサポートリンク,high,JPX,2026-06-30
company_exact,ユナイテッド,ユナイテッド,high,JPX,2026-06-30
company_exact,オリエンタルコンサルタンツホールディングス,オリエンタルコンサルタンツホールディングス,high,JPX,2026-06-30
company_exact,日本和装ホールディングス,日本和装ホールディングス,high,JPX,2026-06-30
company_exact,ヒューマンアジャスト,ヒューマンアジャスト,high,JPX,2026-06-30
company_exact,サッポロホールディングス,サッポロホールディングス,high,JPX,2026-06-30
company_exact,アサヒグループホールディングス,アサヒグループホールディングス,high,JPX,2026-06-30
company_exact,キリンホールディングス,キリンホールディングス,high,JPX,2026-06-30
