sheet_row,company_name,url,contact_url,proposal_class,previous_comment,group,decision,comment,adopted,client_hits,service_hits,recurring_hits,negative_hits,form_ok,official_status,contact_status,evidence_urls,prior_classification
12,株式会社メディケアネット,https://mc-net.jp/service/hp_production/,https://mc-net.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=クリニック｜受託=web制作 / ホームページ制作 / seo対策 / meo対策｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://mc-net.jp/service/hp_production/ ; https://mc-net.jp/service/ ; https://mc-net.jp/service_category/it/｜監査日=2026-08-12,yes,クリニック,web制作 / ホームページ制作 / seo対策 / meo対策,,,yes,200,200,https://mc-net.jp/service/hp_production/ / https://mc-net.jp/service/ / https://mc-net.jp/service_category/it/,keep_partner_fit
13,株式会社リヤン,https://www.trancefer-co.info/,https://www.trancefer-co.info/inq/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=医院 / 歯科｜受託=ホームページ制作 / 集客支援 / seo対策｜継続支援=明記あり：運用代行 / 保守運用 / 更新代行 / アクセス解析 / 公開後 / 月額保守 / 運用サポートが必要な医院様にとって、月額｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.trancefer-co.info/ ; https://www.trancefer-co.info/service/ ; https://www.trancefer-co.info/service1/｜監査日=2026-08-12,yes,医院 / 歯科,ホームページ制作 / 集客支援 / seo対策,運用代行 / 保守運用 / 更新代行 / アクセス解析 / 公開後 / 月額保守 / 運用サポートが必要な医院様にとって、月額,,yes,200,200,https://www.trancefer-co.info/ / https://www.trancefer-co.info/service/ / https://www.trancefer-co.info/service1/,keep_partner_fit
14,株式会社H.PLUS,https://hplus.jp/,https://hplus.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=医院 / クリニック / サロン / 動物病院｜受託=web制作 / ホームページ制作 / サイト制作 / 広告運用 / ブランディング｜継続支援=明記あり：広告運用 / webコンサルティング｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://hplus.jp/ ; https://hplus.jp/service/#service_ttl01 ; https://hplus.jp/service/#service_ttl02｜監査日=2026-08-12,yes,医院 / クリニック / サロン / 動物病院,web制作 / ホームページ制作 / サイト制作 / 広告運用 / ブランディング,広告運用 / webコンサルティング,,yes,200,200,https://hplus.jp/ / https://hplus.jp/service/#service_ttl01 / https://hplus.jp/service/#service_ttl02,keep_partner_fit
15,株式会社ホウエイヴェリティス,https://www.medical-parks.com/,https://www.medical-parks.com/contact/dairiten.html,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=公式文言を確認できず（C分類を根拠に送付対象維持）｜受託=公式文言を確認できず（S｜業界特化Web制作分類を根拠に送付対象維持）｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.medical-parks.com/ ; https://www.medical-parks.com/about/index.html｜監査日=2026-08-12,yes,,,,,yes,200,200,https://www.medical-parks.com/ / https://www.medical-parks.com/about/index.html,review_insufficient_evidence
16,株式会社オルソアドバンス,https://www.ortho-advance.com/,https://www.ortho-advance.com/contact.html,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=公式文言を確認できず（C分類を根拠に送付対象維持）｜受託=公式文言を確認できず（S｜業界特化Web制作分類を根拠に送付対象維持）｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.ortho-advance.com/ ; https://www.ortho-advance.com/business.html ; https://www.ortho-advance.com/company.html｜監査日=2026-08-12,yes,,,,,yes,200,200,https://www.ortho-advance.com/ / https://www.ortho-advance.com/business.html / https://www.ortho-advance.com/company.html,review_insufficient_evidence
17,マザーハンズ株式会社,https://m-hands.net/,https://m-hands.net/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,除外｜C｜S｜業界特化Web制作,【除外根拠】上場・大手・既知除外の監査区分｜【確認事実】顧客=店舗 / 医院 / クリニック / 歯科 / 美容室 / サロン / ジム / 中小企業 / お客様の事業｜受託=ホームページ制作 / サイト制作 / webマーケティング / 広告運用 / sns運用 / 販売促進 / 集客コンサル / ブランディング / プロモーション / seo対策 / meo対策｜継続支援=明記あり：運用代行 / 広告運用 / sns運用 / webコンサルティング / アクセス解析 / 効果測定 / 公開後 / 継続的な改善｜窓口=実フォーム確認｜根拠URL=https://m-hands.net/ ; https://m-hands.net/service/ ; https://m-hands.net/service/marketing/｜監査日=2026-08-12,no,店舗 / 医院 / クリニック / 歯科 / 美容室 / サロン / ジム / 中小企業 / お客様の事業,ホームページ制作 / サイト制作 / webマーケティング / 広告運用 / sns運用 / 販売促進 / 集客コンサル / ブランディング / プロモーション / seo対策 / meo対策,運用代行 / 広告運用 / sns運用 / webコンサルティング / アクセス解析 / 効果測定 / 公開後 / 継続的な改善,,yes,200,200,https://m-hands.net/ / https://m-hands.net/service/ / https://m-hands.net/service/marketing/,exclude_high_scale
18,株式会社ロードスキップ,https://medicalskip.com/,https://medicalskip.com/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=医院 / クリニック / 歯科｜受託=web制作 / ホームページ制作 / 広告運用 / sns運用 / ブランディング / seo対策 / meo対策｜継続支援=明記あり：運用代行 / 広告運用 / sns運用 / 継続サポート / 月額範囲内でのweb広告運用 / サポートでご対応いたします。。。。。月額｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://medicalskip.com/ ; https://medicalskip.com/company/ ; https://medicalskip.com/case/｜監査日=2026-08-12,yes,医院 / クリニック / 歯科,web制作 / ホームページ制作 / 広告運用 / sns運用 / ブランディング / seo対策 / meo対策,運用代行 / 広告運用 / sns運用 / 継続サポート / 月額範囲内でのweb広告運用 / サポートでご対応いたします。。。。。月額,予約システム,yes,200,200,https://medicalskip.com/ / https://medicalskip.com/company/ / https://medicalskip.com/case/,keep_partner_fit
19,株式会社ディーエーエム,https://www.dam.co.jp/,https://www.dam.co.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=医院 / クリニック / 歯科｜受託=web制作 / ホームページ制作 / ブランディング｜継続支援=明記あり：マーケティングコンサルティング / webコンサルティング｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.dam.co.jp/ ; https://www.dam.co.jp/company/ ; https://www.dam.co.jp/｜監査日=2026-08-12,yes,医院 / クリニック / 歯科,web制作 / ホームページ制作 / ブランディング,マーケティングコンサルティング / webコンサルティング,,yes,200,200,https://www.dam.co.jp/ / https://www.dam.co.jp/company/ / https://www.dam.co.jp/,keep_partner_fit
20,高陽株式会社,https://clinicl.com/,https://clinicl.com/inquiry/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=公式文言を確認できず（C分類を根拠に送付対象維持）｜受託=公式文言を確認できず（S｜業界特化Web制作分類を根拠に送付対象維持）｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://clinicl.com/ ; https://clinicl.com/about/ ; https://clinicl.com/service/website.html｜監査日=2026-08-12,yes,,,,,yes,200,200,https://clinicl.com/ / https://clinicl.com/about/ / https://clinicl.com/service/website.html,review_insufficient_evidence
21,株式会社コルボ,https://www.colbo.co.jp/,https://www.colbo.co.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=公式文言を確認できず（C分類を根拠に送付対象維持）｜受託=公式文言を確認できず（S｜業界特化Web制作分類を根拠に送付対象維持）｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜監査日=2026-08-12,yes,,,,,yes,0,200,,review_weak_hub
22,株式会社リバティーフェローシップ,https://tahlab.net/,https://tahlab.net/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=医院 / クリニック / 歯科 / 動物病院｜受託=ホームページ制作 / webマーケティング / sns運用 / プロモーション｜継続支援=明記あり：sns運用｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://tahlab.net/ ; https://tahlab.net/company/｜監査日=2026-08-12,yes,医院 / クリニック / 歯科 / 動物病院,ホームページ制作 / webマーケティング / sns運用 / プロモーション,sns運用,,yes,200,200,https://tahlab.net/ / https://tahlab.net/company/,keep_partner_fit
23,株式会社MATSURI,https://bau-marketing.jp/,https://bau-marketing.jp/contact,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=医院 / 動物病院｜受託=web制作 / ホームページ制作 / 広告運用 / 集客支援｜継続支援=明記あり：広告運用 / 継続サポート / 継続的にご支援｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://bau-marketing.jp/ ; https://bau-marketing.jp/#services ; https://bau-marketing.jp/#works｜監査日=2026-08-12,yes,医院 / 動物病院,web制作 / ホームページ制作 / 広告運用 / 集客支援,広告運用 / 継続サポート / 継続的にご支援,,yes,200,200,https://bau-marketing.jp/ / https://bau-marketing.jp/#services / https://bau-marketing.jp/#works / https://bau-marketing.jp/#profile,keep_partner_fit
24,リタワークス株式会社,https://ritaworks.jp/,https://ritaworks.jp/contact.html,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,除外｜C｜S｜業界特化Web制作,【除外根拠】実在する問い合わせフォーム未確認｜【確認事実】顧客=公式文言を確認できず（C分類を根拠に送付対象維持）｜受託=公式文言を確認できず（S｜業界特化Web制作分類を根拠に送付対象維持）｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム未確認｜監査日=2026-08-12,no,,,,,no,0,0,,review_large_scale
25,日本医療宣研株式会社,https://www.jmal.co.jp/,https://www.jmal.co.jp/contact/index.html,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=クリニック｜受託=ホームページ制作 / seo対策｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.jmal.co.jp/ ; https://www.jmal.co.jp/about.html ; https://www.jmal.co.jp/web.html｜監査日=2026-08-12,yes,クリニック,ホームページ制作 / seo対策,,,yes,200,200,https://www.jmal.co.jp/ / https://www.jmal.co.jp/about.html / https://www.jmal.co.jp/web.html / https://www.jmal.co.jp/about.html#about_ct1,keep_partner_fit
26,株式会社Re:worth,https://www.reworth-dental.com/,https://www.reworth-dental.com/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=医院 / 歯科｜受託=web制作 / ホームページ制作 / webマーケティング / 広告運用 / ブランディング / seo対策｜継続支援=明記あり：広告運用 / 公開後｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.reworth-dental.com/ ; https://www.reworth-dental.com/#a02 ; https://www.reworth-dental.com/%E3%80%90%E5%BE%B9%E5%BA%95%E6%AF%94%E8%BC%83%E3%80%91%E6%AD%AF%E7%A7%91%E5%B0%82%E9%96%80%E3%81%AEhp%E5%88%B6%E4%BD%9C%E4%BC%9A%E7%A4%BE-vs-%E4%B8%80%E8%88%AC%E3%81%AEweb%E5%88%B6%E4%BD%9C%E4%BC%9A/｜監査日=2026-08-12,yes,医院 / 歯科,web制作 / ホームページ制作 / webマーケティング / 広告運用 / ブランディング / seo対策,広告運用 / 公開後,予約システム,yes,200,200,https://www.reworth-dental.com/ / https://www.reworth-dental.com/#a02 / https://www.reworth-dental.com/%E3%80%90%E5%BE%B9%E5%BA%95%E6%AF%94%E8%BC%83%E3%80%91%E6%AD%AF%E7%A7%91%E5%B0%82%E9%96%80%E3%81%AEhp%E5%88%B6%E4%BD%9C%E4%BC%9A%E7%A4%BE-vs-%E4%B8%80%E8%88%AC%E3%81%AEweb%E5%88%B6%E4%BD%9C%E4%BC%9A/,keep_partner_fit
27,合同会社wevet,https://web.wevet.co.jp/,https://web.wevet.co.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=店舗 / 医院 / 学習塾 / 動物病院 / クライアント｜受託=web制作 / ホームページ制作 / sns運用 / 集客コンサル / プロモーション / seo対策｜継続支援=明記あり：sns運用 / 集客コンサルティング｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://web.wevet.co.jp/ ; https://wevet.co.jp/#service/ ; https://web.wevet.co.jp/works/｜監査日=2026-08-12,yes,店舗 / 医院 / 学習塾 / 動物病院 / クライアント,web制作 / ホームページ制作 / sns運用 / 集客コンサル / プロモーション / seo対策,sns運用 / 集客コンサルティング,予約システム,yes,200,200,https://web.wevet.co.jp/ / https://wevet.co.jp/#service/ / https://web.wevet.co.jp/works/ / https://wevet.co.jp/#service/website/,keep_partner_fit
28,ムナテックス株式会社,https://ah-labo.com/,https://ah-labo.com/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=動物病院｜受託=公式文言を確認できず（S｜業界特化Web制作分類を根拠に送付対象維持）｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=http://ah-labo.com/about/｜監査日=2026-08-12,yes,動物病院,,,,yes,0,200,http://ah-labo.com/about/,review_weak_hub
29,株式会社エムイーディア,https://medear.jp/,https://medear.jp/%e3%81%8a%e5%95%8f%e5%90%88%e3%81%9b/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=クリニック / 歯科｜受託=ホームページ制作 / 広告代理 / seo対策｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://medear.jp/service/%E3%83%A1%E3%83%87%E3%82%A3%E3%82%A2%E5%88%B6%E4%BD%9C/｜監査日=2026-08-12,yes,クリニック / 歯科,ホームページ制作 / 広告代理 / seo対策,,予約システム,yes,0,200,https://medear.jp/service/%E3%83%A1%E3%83%87%E3%82%A3%E3%82%A2%E5%88%B6%E4%BD%9C/,keep_partner_fit
30,FPサービス株式会社,https://www.doctorsupportnet.jp/business/clinic_homepage_production/,https://www.doctorsupportnet.jp/contact/form_doctor/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=医院 / クリニック / 中小企業｜受託=ホームページ制作 / サイト制作 / 広告運用 / seo対策 / meo対策｜継続支援=明記あり：広告運用 / アクセス解析 / 公開後 / 定期的にアクセス解析 / 継続的に支援｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.doctorsupportnet.jp/business/clinic_homepage_production/ ; https://www.doctorsupportnet.jp/ ; https://www.doctorsupportnet.jp/business/clinic_startup_consulting/｜監査日=2026-08-12,yes,医院 / クリニック / 中小企業,ホームページ制作 / サイト制作 / 広告運用 / seo対策 / meo対策,広告運用 / アクセス解析 / 公開後 / 定期的にアクセス解析 / 継続的に支援,予約システム,yes,200,200,https://www.doctorsupportnet.jp/business/clinic_homepage_production/ / https://www.doctorsupportnet.jp/ / https://www.doctorsupportnet.jp/business/clinic_startup_consulting/ / https://www.doctorsupportnet.jp/business/,keep_partner_fit
31,ロジデザイン,https://roji-design.com/,https://roji-design.com/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,除外｜C｜S｜業界特化Web制作,【除外根拠】実在する問い合わせフォーム未確認｜【確認事実】顧客=公式文言を確認できず（C分類を根拠に送付対象維持）｜受託=公式文言を確認できず（S｜業界特化Web制作分類を根拠に送付対象維持）｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム未確認｜監査日=2026-08-12,no,,,,,no,0,0,,keep_partner_fit
32,株式会社バンラボ,https://netclinic119.net/,https://netclinic119.net/contact,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=医院 / クリニック / 歯科｜受託=ホームページ制作 / 広告運用 / 広告代理 / ブランディング / seo対策｜継続支援=明記あり：広告運用 / webコンサルティング｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://netclinic119.net/ ; https://netclinic119.net/works ; https://netclinic119.net/service｜監査日=2026-08-12,yes,医院 / クリニック / 歯科,ホームページ制作 / 広告運用 / 広告代理 / ブランディング / seo対策,広告運用 / webコンサルティング,,yes,200,200,https://netclinic119.net/ / https://netclinic119.net/works / https://netclinic119.net/service / https://netclinic119.net/company,keep_partner_fit
33,株式会社オープンクリニック,https://openclinic.jp/,https://openclinic.jp/contact/web/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=クリニック｜受託=広告代理｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://openclinic.jp/company/｜監査日=2026-08-12,yes,クリニック,広告代理,,,yes,0,200,https://openclinic.jp/company/,keep_partner_fit
