company_name,url,address,phone,maps_url,source_category,profile,source_url,normalized_name,normalized_domain,prefilter,prefilter_reason
株式会社コミュニケーションデザイン,http://www.cd-j.net,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,コミュニケーションデザイン,cd-j.net,exclude,既存または除外リスト一致
株式会社サステナブル,http://www.sustainable.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,サステナブル,sustainable.co.jp,pass,
株式会社サニーサイドアップ,http://www.ssu.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,サニーサイドアップ,ssu.co.jp,exclude,既存または除外リスト一致
株式会社サン・クリエイティブ・パブリシティ,http://www.sunpub.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,サン・クリエイティブ・パブリシティ,sunpub.co.jp,exclude,既存または除外リスト一致
シェイプウィン株式会社,https://www.shapewin.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,シェイプウィン,shapewin.co.jp,exclude,既存または除外リスト一致
株式会社JR西日本コミュニケーションズ,http://www.jcomm.co.jp/,,,,広告代理店,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,jr西日本コミュニケーションズ,jcomm.co.jp,exclude,既存または除外リスト一致
株式会社ジェイアンドティプランニング,http://www.jtplanning.biz/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,ジェイアンドティプランニング,jtplanning.biz,exclude,既存または除外リスト一致
株式会社ジャパン通信社,http://www.japan-tsushin.co.jp,,,,モニタリング会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,ジャパン通信社,japan-tsushin.co.jp,exclude,既存または除外リスト一致 / 対象外業態=モニタリング会社
株式会社ジョック,https://jock.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,ジョック,jock.co.jp,exclude,既存または除外リスト一致
株式会社杉山PR&プランニング,http://www.sugiyama-pr.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,杉山prプランニング,sugiyama-pr.co.jp,pass,
株式会社スコープ,http://www.scope-inc.co.jp/,,,,広告代理店,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,スコープ,scope-inc.co.jp,exclude,既存または除外リスト一致
株式会社ストーリーズ・オン,,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,ストーリーズ・オン,,exclude,公式URLなし
株式会社スパイスコミニケーションズ,http://www.spice-japan.com,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,スパイスコミニケーションズ,spice-japan.com,exclude,既存または除外リスト一致
株式会社スプレ・エィディー,http://www.spre-ad.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,スプレ・エィディー,spre-ad.co.jp,pass,
talentbook株式会社,https://talentbook.co.jp,,,,デジタルマーケティング会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,talentbook,talentbook.co.jp,exclude,既存または除外リスト一致
株式会社第一広報パートナーズ,http://www.1koho.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,第一広報パートナーズ,1koho.co.jp,pass,
株式会社中外,http://www.chugai-ad.co.jp,,,,広告代理店,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,中外,chugai-ad.co.jp,exclude,既存または除外リスト一致
株式会社TMオフィス,http://www.tm-office.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,tmオフィス,tm-office.co.jp,pass,
テレプランニングインターナショナル株式会社,https://www.tpi-j.co.jp/,,,,広告代理店,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,テレプランニングインターナショナル,tpi-j.co.jp,exclude,既存または除外リスト一致
株式会社デスクワン,http://www.deskone.co.jp,,,,モニタリング会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,デスクワン,deskone.co.jp,exclude,対象外業態=モニタリング会社
デロイト トーマツ パブリックグッド株式会社,https://www2.deloitte.com/jp/ja/pages/about-deloitte/articles/dtpg/deloitte-tohmatsu-public-good.html,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,デロイトトーマツパブリックグッド,www2.deloitte.com,exclude,既存または除外リスト一致
株式会社電通,https://www.dentsu.co.jp/,,,,広告代理店,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,電通,dentsu.co.jp,exclude,既存または除外リスト一致 / 大手管理語=電通
株式会社電通PRコンサルティング,https://www.dentsuprc.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,電通prコンサルティング,dentsuprc.co.jp,exclude,既存または除外リスト一致 / 大手管理語=電通
株式会社トークス,http://www.pr-tocs.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,トークス,pr-tocs.co.jp,exclude,既存または除外リスト一致
トータル・コミュニケーションズ株式会社,http://www.pr-tci.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,トータル・コミュニケーションズ,pr-tci.jp,exclude,既存または除外リスト一致
トランサムノット(同),https://transomknot.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,トランサムノット同,transomknot.jp,pass,
株式会社内外切抜通信社,http://www.naigaipc.co.jp,,,,モニタリング会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,内外切抜通信社,naigaipc.co.jp,exclude,既存または除外リスト一致 / 対象外業態=モニタリング会社
ニホンモニター株式会社,http://www.n-monitor.co.jp,,,,モニタリング会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,ニホンモニター,n-monitor.co.jp,exclude,既存または除外リスト一致 / 対象外業態=モニタリング会社
株式会社博報堂,http://www.hakuhodo.co.jp,,,,広告代理店,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,博報堂,hakuhodo.co.jp,exclude,既存または除外リスト一致 / 大手管理語=博報堂
株式会社博報堂プロダクツ,http://www.h-products.co.jp,,,,その他PR関連会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,博報堂プロダクツ,h-products.co.jp,exclude,既存または除外リスト一致 / 大手管理語=博報堂
株式会社バーソン・ジャパン,https://www.bursonglobal.com/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,バーソン・ジャパン,bursonglobal.com,pass,
ビーンスター株式会社,http://www.beanstar.net,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,ビーンスター,beanstar.net,exclude,既存または除外リスト一致
ビルコム株式会社,http://www.bil.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,ビルコム,bil.jp,exclude,既存または除外リスト一致
株式会社PR TIMES,http://prtimes.co.jp/,,,,リリース配信会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,prtimes,prtimes.co.jp,exclude,既存または除外リスト一致 / JPX会社名完全一致 / 対象外業態=リリース配信会社
株式会社PA Communication,http://www.pa-c.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,pacommunication,pa-c.co.jp,exclude,既存または除外リスト一致
株式会社ppc,https://www.ppc-inc.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,ppc,ppc-inc.co.jp,exclude,既存または除外リスト一致
フェロールーム株式会社,https://www.fellowroom.co.jp/,,,,制作会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,フェロールーム,fellowroom.co.jp,exclude,既存または除外リスト一致
株式会社フラッグ,https://www.flag-pictures.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,フラッグ,flag-pictures.co.jp,exclude,既存または除外リスト一致
株式会社フルハウス,http://www.fullhouse.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,フルハウス,fullhouse.jp,exclude,既存または除外リスト一致
株式会社フロントステージ,http://frontstage-pr.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,フロントステージ,frontstage-pr.co.jp,exclude,既存または除外リスト一致
ブリッジ株式会社,http://www.bridge-press.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,ブリッジ,bridge-press.jp,exclude,既存または除外リスト一致
株式会社プラップジャパン,http://www.prap.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,プラップジャパン,prap.co.jp,exclude,既存または除外リスト一致 / JPX会社名完全一致
プランニング・ボート株式会社,http://www.planning-boat.com,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,プランニング・ボート,planning-boat.com,exclude,既存または除外リスト一致
株式会社プレッセ,,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,プレッセ,,exclude,公式URLなし
株式会社PRefully,https://prefully.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,prefully,prefully.co.jp,pass,
株式会社ベクトル,http://www.vectorinc.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,ベクトル,vectorinc.co.jp,exclude,既存または除外リスト一致 / JPX会社名完全一致
ホフマンジャパン株式会社,http://www.hoffman.com,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,ホフマンジャパン,hoffman.com,pass,
株式会社本田事務所,http://hondaoffice.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,本田事務所,hondaoffice.co.jp,pass,
マカイラ株式会社,http://makairaworld.com/,,,,その他PR関連会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,マカイラ,makairaworld.com,exclude,既存または除外リスト一致
株式会社マテリアル,https://materialpr.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,マテリアル,materialpr.jp,exclude,既存または除外リスト一致
株式会社メディコ,,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,メディコ,,exclude,公式URLなし
株式会社ユース・プラニング センター,https://www.ypcpr.com,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,ユース・プラニングセンター,ypcpr.com,exclude,既存または除外リスト一致
株式会社リズク,htts://lizck.com,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,リズク,lizck.com,pass,
株式会社ワールドワイドピーアール,http://wwpr.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,ワールドワイドピーアール,wwpr.co.jp,exclude,既存または除外リスト一致
株式会社YCグループ,https://www.yc-group.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,ycグループ,yc-group.jp,exclude,既存または除外リスト一致
株式会社ワイズワークスプロジェクト,http://www.wise-works.com,,,,モニタリング会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,ワイズワークスプロジェクト,wise-works.com,exclude,対象外業態=モニタリング会社
