company_name,url,address,phone,maps_url,source_category,profile,source_url
株式会社オズマピーアール,http://www.ozma.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社小田急エージェンシー,http://www.odakyu-ag.co.jp/,,,,広告代理店,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社オリコム,http://www.oricom.co.jp,,,,広告代理店,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社ORANGE SENSE,http://www.orangesense.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
CARMA Asia Japan株式会社,www.carma.com,,,,調査会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
カスタムメディア株式会社,https://aim-b2b.com/ja/,,,,デジタルマーケティング会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
(同)kipples,https://kipples.jp/,,,,,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
キャンドルウィック株式会社,http://www.candlewick.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社共同通信PRワイヤー,https://kyodonewsprwire.jp/corp/,,,,リリース配信会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
共同ピーアール株式会社,http://www.kyodo-pr.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社kushami,https://kushami.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
クレアブ株式会社,https://kreab.com/tokyo/ja/,,,,,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社ココノッツ,http://www.cocoknots.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社コミュニケーションデザイン,http://www.cd-j.net,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社サステナブル,http://www.sustainable.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社サニーサイドアップ,http://www.ssu.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社サン・クリエイティブ・パブリシティ,http://www.sunpub.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
シェイプウィン株式会社,https://www.shapewin.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社JR西日本コミュニケーションズ,http://www.jcomm.co.jp/,,,,広告代理店,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社ジェイアンドティプランニング,http://www.jtplanning.biz/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社ジャパン通信社,http://www.japan-tsushin.co.jp,,,,モニタリング会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社ジョック,https://jock.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社杉山PR&プランニング,http://www.sugiyama-pr.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社スコープ,http://www.scope-inc.co.jp/,,,,広告代理店,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社ストーリーズ・オン,,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社スパイスコミニケーションズ,http://www.spice-japan.com,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社スプレ・エィディー,http://www.spre-ad.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
talentbook株式会社,https://talentbook.co.jp,,,,デジタルマーケティング会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社第一広報パートナーズ,http://www.1koho.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社中外,http://www.chugai-ad.co.jp,,,,広告代理店,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社TMオフィス,http://www.tm-office.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
テレプランニングインターナショナル株式会社,https://www.tpi-j.co.jp/,,,,広告代理店,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社デスクワン,http://www.deskone.co.jp,,,,モニタリング会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
デロイト トーマツ パブリックグッド株式会社,https://www2.deloitte.com/jp/ja/pages/about-deloitte/articles/dtpg/deloitte-tohmatsu-public-good.html,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社電通,https://www.dentsu.co.jp/,,,,広告代理店,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社電通PRコンサルティング,https://www.dentsuprc.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社トークス,http://www.pr-tocs.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
トータル・コミュニケーションズ株式会社,http://www.pr-tci.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
トランサムノット(同),https://transomknot.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社内外切抜通信社,http://www.naigaipc.co.jp,,,,モニタリング会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
ニホンモニター株式会社,http://www.n-monitor.co.jp,,,,モニタリング会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社博報堂,http://www.hakuhodo.co.jp,,,,広告代理店,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社博報堂プロダクツ,http://www.h-products.co.jp,,,,その他PR関連会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社バーソン・ジャパン,https://www.bursonglobal.com/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
ビーンスター株式会社,http://www.beanstar.net,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
ビルコム株式会社,http://www.bil.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社PR TIMES,http://prtimes.co.jp/,,,,リリース配信会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社PA Communication,http://www.pa-c.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社ppc,https://www.ppc-inc.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
フェロールーム株式会社,https://www.fellowroom.co.jp/,,,,制作会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社フラッグ,https://www.flag-pictures.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社フルハウス,http://www.fullhouse.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社フロントステージ,http://frontstage-pr.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
ブリッジ株式会社,http://www.bridge-press.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社プラップジャパン,http://www.prap.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
プランニング・ボート株式会社,http://www.planning-boat.com,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社プレッセ,,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社PRefully,https://prefully.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社ベクトル,http://www.vectorinc.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
ホフマンジャパン株式会社,http://www.hoffman.com,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社本田事務所,http://hondaoffice.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
マカイラ株式会社,http://makairaworld.com/,,,,その他PR関連会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社マテリアル,https://materialpr.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社メディコ,,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社ユース・プラニング センター,https://www.ypcpr.com,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社リズク,htts://lizck.com,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社ワールドワイドピーアール,http://wwpr.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社YCグループ,https://www.yc-group.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
株式会社ワイズワークスプロジェクト,http://www.wise-works.com,,,,モニタリング会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof
