worksheet,row_number,company_name,url,phone,current_status,classification,match_type,match_value,reason,evidence_url
送信済み251222,19,株式会社アークス,https://arcuss-creation.com/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,9948,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
送信済み251222,52,株式会社キューブ,https://cubecube.net/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,7112,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
送信済み251222,174,メディエア株式会社,https://www.mediair.net/,,,exclude_confirmed_enterprise,jpx_company_exact,199A,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
送信済み251222,234,アイデアボックス,https://hp-tsukurun.com/,,,already_in_exclusion_list,live_exclusion_exact,hp-tsukurun.com,既存の除外リストに会社名・ドメインが登録済み。再送候補から除外。,
送信済み251222,534,株式会社ノードキャスト,https://nodecast.jp/,,,already_in_exclusion_list,live_exclusion_exact,nodecast.jp,既存の除外リストに会社名・ドメインが登録済み。再送候補から除外。,
送信済み251222,643,GMOイーネットワークス株式会社,https://www.enetworks.jp/,,,exclude_confirmed_enterprise,major_group_contains,GMO,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
送信済み251222,690,株式会社アドバンテージ,https://www.hp-nagoya.com/,,営業不可,already_in_exclusion_list,live_exclusion_exact,hp-nagoya.com,既存の除外リストに会社名・ドメインが登録済み。再送候補から除外。,
送信済み251222,819,リクルートラボ株式会社,https://recruitlab.jp/,,,allow_confirmed_same_name_other_entity,major_group_contains,リクルート,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
送信済み251222,989,クレオ株式会社,https://creo.ne.jp/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,9698,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,63,有限会社エージェント,http://hanjo-salon.com/design,,,allow_confirmed_same_name_other_entity,jpx_company_exact,7098,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,104,シュンビン株式会社,https://www.web-works.shun-bin.com/,,,exclude_confirmed_enterprise,jpx_company_exact,203A,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,193,株式会社大和,https://yamato.studio/content,,,allow_confirmed_same_name_other_entity,jpx_company_exact,8247,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,264,GMOデザインワン株式会社,https://www.designone.jp/,,,exclude_confirmed_enterprise,major_group_contains,GMO,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,275,ネットイヤーグループ株式会社,https://www.netyear.net/,,,exclude_confirmed_enterprise,jpx_company_exact,3622,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,285,AnyMind Group株式会社,https://anymindgroup.com/ja/news/?category=case-study,,,exclude_confirmed_enterprise,jpx_company_exact,5027,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,373,株式会社いつも,https://itsumo365.co.jp/voice/,,,exclude_confirmed_enterprise,official_site_code,7694,候補公式サイト内で証券コード7694を確認。,https://itsumo365.co.jp/company/corporate.html
Web幹事済み,393,株式会社YUTORI,https://www.yuto-ri.co.jp/portfolio-site-2/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,5892,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,468,株式会社CINC,https://www.cinc-j.co.jp/,,,exclude_confirmed_enterprise,jpx_company_exact,4378,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,506,株式会社アズワン,http://az1.co.jp/performance/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,7476,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,523,株式会社CARTA COMMUNICATIONS,https://www.cci.co.jp/,,,exclude_confirmed_enterprise,official_group_evidence,CARTA,候補公式サイト内でCARTAグループ所属を確認。,https://www.cci.co.jp/
Web幹事済み,618,株式会社セラク,https://www.seraku.co.jp/,,,exclude_confirmed_enterprise,jpx_company_exact,6199,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,645,株式会社エクストリーム,http://extreme-inc.jp/works/,,,exclude_confirmed_enterprise,jpx_company_exact,6033,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,675,株式会社アクシス,https://www.axis-corp.com/casestudy,,,allow_confirmed_same_name_other_entity,jpx_company_exact,4012,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,732,NE株式会社,https://consulting.ne-inc.jp,,,exclude_confirmed_enterprise,jpx_company_exact,441A,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,743,株式会社ウィル,https://www.will-hp.com/wpblog/works/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,3241,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,787,株式会社シーズ・クリエイト,https://seeds-create.co.jp/category/case/,,,exclude_confirmed_enterprise,jpx_company_exact,8921,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,798,株式会社マックス,https://www.macs-chiba.co.jp/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,6454,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,983,日本情報クリエイト株式会社,https://www.n-create.co.jp/pr/product/wmp3/,,,exclude_confirmed_enterprise,jpx_company_exact,4054,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,1153,株式会社ジェイテック,http://www.jtecnet.co.jp,,,allow_confirmed_same_name_other_entity,jpx_company_exact,2479,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,1193,株式会社UGOOO,https://www.ugooo.co.jp/,,,already_in_exclusion_list,live_exclusion_exact,ugooo.co.jp,既存の除外リストに会社名・ドメインが登録済み。再送候補から除外。,
Web幹事済み,1214,株式会社アーティス,https://www.asobou.co.jp/,,,already_in_exclusion_list,live_exclusion_exact,asobou.co.jp,既存の除外リストに会社名・ドメインが登録済み。再送候補から除外。,
Web幹事済み,1250,TOPPANクロレ株式会社,https://digital.toppan-colorer.co.jp/,,,exclude_confirmed_enterprise,official_group_evidence,TOPPAN,候補公式サイト内でTOPPANグループ所属を確認。,https://digital.toppan-colorer.co.jp/
Web幹事済み,1252,アプライド株式会社,http://www.applied.ne.jp/web/,,,exclude_confirmed_enterprise,jpx_company_exact,3020,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,1255,株式会社ピアワークス,https://piaworks.com/,,,already_in_exclusion_list,live_exclusion_exact,piaworks.com,既存の除外リストに会社名・ドメインが登録済み。再送候補から除外。,
Web幹事済み,1256,GMOデジタルラボ株式会社,https://digitallab.jp/index.html,,,exclude_confirmed_enterprise,major_group_contains,GMO,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,1259,株式会社アンドエイチエー,https://and-ha.com/,,,already_in_exclusion_list,live_exclusion_exact,and-ha.com,既存の除外リストに会社名・ドメインが登録済み。再送候補から除外。,
Web幹事済み,1336,合同会社リード,https://web-kuruma.com/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,6982,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,1350,株式会社　茨城電通,https://www.ibarakidentsu.co.jp/,,,allow_confirmed_same_name_other_entity,major_group_contains,電通,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,1362,株式会社アクシス,https://www.axis-corp.com/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,4012,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,1394,株式会社インデックス,http://www.index-media.jp/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,301A,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,1412,株式会社プラルト,https://www.prartweb.com/,,,already_in_exclusion_list,live_exclusion_exact,prartweb.com,既存の除外リストに会社名・ドメインが登録済み。再送候補から除外。,
Web幹事済み,1497,taneCREATIVE 株式会社,https://tane-creative.co.jp/,,,exclude_confirmed_enterprise,jpx_company_exact,422A,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,1543,有限会社クリエイト,http://xn--web-ti4bta5b8l9j.com/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,3024,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,1629,株式会社フューチャー,https://future-ns.com/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,4722,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,1665,株式会社ＭＯＩＮ,https://moin.co.jp/,,,already_in_exclusion_list,live_exclusion_exact,moin.co.jp,既存の除外リストに会社名・ドメインが登録済み。再送候補から除外。,
Web幹事済み,1681,株式会社ウィル,https://its-will.com/index.php,,,allow_confirmed_same_name_other_entity,jpx_company_exact,3241,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,1747,株式会社 システムラン,http://systemrun.co.jp/,,,already_in_exclusion_list,live_exclusion_exact,systemrun.co.jp,既存の除外リストに会社名・ドメインが登録済み。再送候補から除外。,
Web幹事済み,1750,株式会社インフォネット,https://www.e-infonet.jp/,,,exclude_confirmed_enterprise,official_site_code,4444,候補公式サイト内で証券コード4444を確認。,https://www.e-infonet.jp/corporate/profile.html
Web幹事済み,1762,株式会社ファインズ,https://www.e-tenki.co.jp/voice/,,,exclude_confirmed_enterprise,official_site_code,5125,候補公式サイト内で証券コード5125を確認。,https://e-tenki.co.jp/ir/stock
Web幹事済み,1929,株式会社オーバル,https://oval-design.co.jp/works/web.html,,,allow_confirmed_same_name_other_entity,jpx_company_exact,7727,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,1942,株式会社No.1,https://www.number-1.co.jp/,,,exclude_confirmed_enterprise,official_site_code,3562,候補公式サイト内で証券コード3562を確認。,https://www.number-1.co.jp/company/overview/
Web幹事済み,1967,株式会社ハンズ,https://www.hanz.co.jp/service/works.html,,,allow_confirmed_same_name_other_entity,jpx_company_exact,5077,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,2124,株式会社アイル,https://www.i-ll.jp/web_result.php,,,allow_confirmed_same_name_other_entity,jpx_company_exact,3854,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,2238,17.プロジェクト,https://17project.jp/,,,already_in_exclusion_list,live_exclusion_exact,17project.jp,既存の除外リストに会社名・ドメインが登録済み。再送候補から除外。,
Web幹事済み,2634,エンドウ図案工場,http://www.endozuan.com/,,,already_in_exclusion_list,live_exclusion_exact,endozuan.com,既存の除外リストに会社名・ドメインが登録済み。再送候補から除外。,
Web幹事済み,2707,ミロク,http://milooc.com/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,7983,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,2710,GOODTONE,https://tone-design.net/,,,already_in_exclusion_list,live_exclusion_exact,tone-design.net,既存の除外リストに会社名・ドメインが登録済み。再送候補から除外。,
Web幹事済み,2785,ディープラス,https://de-plus.net/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,567A,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,2957,株式会社ワールド,https://it.world-works.co.jp/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,3612,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,2970,株式会社ライトアップ,https://www.writeup.jp/,,,exclude_confirmed_enterprise,official_site_code,6580,候補公式サイト内で証券コード6580を確認。,https://www.writeup.jp/
Web幹事済み,2972,ドーン株式会社,http://www.dawn.co.jp/,,,exclude_confirmed_enterprise,jpx_company_exact,2303,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,3017,株式会社アイル,http://www.ill.co.jp/ill/,,,exclude_confirmed_enterprise,official_site_code,3854,候補公式サイト内で証券コード3854を確認。,https://www.ill.co.jp
Web幹事済み,3019,ベーシック株式会社,https://www.basic-web.co.jp/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,519A,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,3029,株式会社アクセル,https://www.axl.co.jp/service/price.html,,,allow_confirmed_same_name_other_entity,jpx_company_exact,6730,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,3078,株式会社サイバーエージェント,https://www.cyberagent-adagency.com/works/,,,exclude_confirmed_enterprise,jpx_company_exact,4751,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,3126,株式会社クリエイト,https://www.create-group.co.jp/,,,exclude_confirmed_enterprise,jpx_company_exact,3024,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,3128,株式会社Gaia,https://gaia-eve.co.jp/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,154A,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,3188,株式会社ユーメディア,https://www.u-media.jp/,,,already_in_exclusion_list,live_exclusion_exact,u-media.jp,既存の除外リストに会社名・ドメインが登録済み。再送候補から除外。,
Web幹事済み,3200,ソーシャルワイヤー株式会社,https://www.socialwire.net/,,,exclude_confirmed_enterprise,jpx_company_exact,3929,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,3201,あさかわシステムズ株式会社,http://www.a-sk.co.jp,,,exclude_confirmed_enterprise,official_site_code,5249,候補公式サイト内で証券コード5249を確認。,https://www.a-sk.co.jp/company/history/
Web幹事済み,3262,株式会社ウィル,http://www.willcorp.com/index.html,,,allow_confirmed_same_name_other_entity,jpx_company_exact,3241,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,3268,株式会社アイドママーケティングコミュニケーション,https://www.e-aidma.co.jp/,,,exclude_confirmed_enterprise,jpx_company_exact,9466,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,3287,株式会社エスアイイー,https://www.ssie.jp/,,,exclude_confirmed_enterprise,jpx_company_exact,292A,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,3399,株式会社プロネクサス,https://www.pronexus.co.jp/,,,exclude_confirmed_enterprise,official_site_code,7893,候補公式サイト内で証券コード7893を確認。,https://www.pronexus.co.jp/
Web幹事済み,3419,株式会社博報堂プロダクツ,https://www.h-products.co.jp/,,,exclude_confirmed_enterprise,major_group_contains,博報堂,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,3426,弁護士ドットコム株式会社,https://www.bengo4.com/lawyer/hpService/,,,exclude_confirmed_enterprise,jpx_company_exact,6027,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,3491,株式会社テンダ,https://www.tenda.co.jp/,,,exclude_confirmed_enterprise,official_site_code,4198,候補公式サイト内で証券コード4198を確認。,https://www.tenda.co.jp/company/guidance.html
Web幹事済み,3542,株式会社アイドママーケティングコミュニケーション,https://www.e-aidma.co.jp/solution/websp/,,,exclude_confirmed_enterprise,jpx_company_exact,9466,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,3552,株式会社ウィル,http://www.willcorp.com/web/achievements.html,,,allow_confirmed_same_name_other_entity,jpx_company_exact,3241,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,3577,株式会社システムインテグレータ,https://corporate.sint.co.jp/,,,exclude_confirmed_enterprise,jpx_company_exact,3826,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,3657,東北新社,https://www.tfc.co.jp/,,,exclude_confirmed_enterprise,official_site_code,2329,候補公式サイト内で証券コード2329を確認。,https://www.tfc.co.jp/company/info/
Web幹事済み,3663,BIRDMAN,http://www.birdman.ne.jp/main.html#portfolio/index,,,exclude_confirmed_enterprise,jpx_company_exact,7063,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,3683,株式会社ビューティガレージ,https://www.shukyaku.jp/,,,exclude_confirmed_enterprise,jpx_company_exact,3180,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,3716,株式会社メンバーズ,http://www.members.co.jp/,,,exclude_confirmed_enterprise,jpx_company_exact,2130,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,3742,株式会社アイビス,https://i-bis.jp/,,,exclude_confirmed_enterprise,jpx_company_exact,9343,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,3749,株式会社大塚商会,https://www.otsuka-shokai.co.jp/,,,exclude_confirmed_enterprise,jpx_company_exact,4768,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,3824,株式会社ウララコミュニケーションズ,http://www.urala.co.jp/about/annai.html,,,already_in_exclusion_list,live_exclusion_exact,urala.co.jp,既存の除外リストに会社名・ドメインが登録済み。再送候補から除外。,
Web幹事済み,3854,株式会社伯楽天,http://hakurakuten.com/,,,allow_confirmed_same_name_other_entity,major_group_contains,楽天,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,3929,株式会社コックス,https://coxltd.co.jp/,,,exclude_confirmed_enterprise,jpx_company_exact,9876,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,3964,株式会社ソフトテックス,http://www.softteks.com/index.html,,,exclude_confirmed_enterprise,jpx_company_exact,550A,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
Web幹事済み,3969,株式会社エヌ･ピー･シー,https://www.neo-pc.co.jp/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,6255,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,4184,株式会社メディア工房,http://www.studiomedia.jp/service/works.html,,,allow_confirmed_same_name_other_entity,jpx_company_exact,3815,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
Web幹事済み,4240,山口ネットワークシステム,https://ynet.gr.jp/works/,,,already_in_exclusion_list,live_exclusion_exact,ynet.gr.jp,既存の除外リストに会社名・ドメインが登録済み。再送候補から除外。,
Web幹事済み,4265,TIS,https://www.tis2010.jp/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,3626,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
