decision,company_name,url,contact_url,address,phone,evidence,reason,source_url
accept,株式会社らくなげ,https://www.ielove-group.jp/,https://www.ielove-group.jp/contact/,〒160-0023 東京都新宿区西新宿2-6-1 新宿住友ビル50階 代表連絡先 TEL,03-6911-3955,不動産会社／ホームページ制作,,https://www.ielove-group.jp/
reject,,,,,,,fetch_failed,https://www.e-bukken.co.jp/
reject,,https://fudosan-data.jp/,,,,,official_company_missing,https://fudosan-data.jp/
reject,,,,,,,fetch_failed,https://www.realty-x.co.jp/
reject,,https://propertyplus.jp/,,,,,service_evidence_missing,https://propertyplus.jp/
reject,,,,,,,fetch_failed,https://www.realestate-tech.co.jp/
reject,,,,,,,fetch_failed,https://www.sumaistar.com/
review,Cocolive 株式会社,https://cocolive.co.jp/,https://cocolive.co.jp/form/,386-0038 運営会社 Cocolive株式会社 東京都千代田区神田神保町1-28-1 mirio 神保町7F サービス 主要機能 サポート体制 利用価格 よくある質問 業界 工務店・ハウスメーカ,,不動産業／マーケティング,jpx_name_review,https://cocolive.co.jp/
reject,,https://service.itandi.co.jp/,,,,,service_evidence_missing,https://service.itandi.co.jp/services/baibai
reject,,,,,,,fetch_failed,https://www.reproio.com/
reject,,https://iqra.co.jp/,,,,,service_evidence_missing,https://iqra.co.jp/
reject,,https://sumutasu.co.jp/,,,,,service_evidence_missing,https://sumutasu.co.jp/
reject,,,,,,,fetch_failed,https://www.rsmile.co.jp/
accept,株式会社T.S.M,https://ts-marketinglab.com/,https://ts-marketinglab.com/contact,〒160-0023 東京都新宿区西新宿3丁目3番13号 西新宿水間ビル2F ※当地に受け付けはございません。「お問い合わせフォーム」からお問い合わせください 【代表者,,不動産業／集客支援,,https://ts-marketinglab.com/
reject,株式会社ネオス,https://www.service.neos.ne.jp/,https://www.service.neos.ne.jp/contact/,,,不動産会社／サイト制作,live_duplicate,https://www.service.neos.ne.jp/
accept,株式会社マーサリー,https://marsary.co.jp/,https://marsary.co.jp/,〒150-0041 東京都渋谷区神南1-11-4 5階 代表者 代表取締役 長友佑樹 事業内容 WEBサイト制作・システム開発事業 マーケティング支援・コンサルティン,,不動産会社／web制作,,https://marsary.co.jp/
accept,WINDOM株式会社,https://windom-kk.co.jp/,https://windom-kk.co.jp/contact/,,,不動産業／web制作,,https://windom-kk.co.jp/
accept,株式会社SMART,https://r-marketing.info/,https://r-marketing.info/contact/,,,不動産業／集客支援,,https://r-marketing.info/
reject,,https://to-realize.jp/,,,,,service_evidence_missing,https://to-realize.jp/
reject,,https://delight-hub.jp/,,,,,official_company_missing,https://delight-hub.jp/
accept,レイルリンク株式会社,https://raillink.jp/,https://raillink.jp/contacts/,"〒150-0043 東京都渋谷区道玄坂1-20-2 アライアンスビル渋谷壱番館 4F 設立 2007年2月 資本金 10,000,000円 電話番号 03-5728-0380",,不動産会社／マーケティング,,https://raillink.jp/
accept,業プロ株式会社,https://www.gyo-pro.co.jp/,https://www.gyo-pro.co.jp/contact.html,〒135-0042 東京都江東区木場2-15-12 MAビル6F [MAP] Tel 03-5639-2690 Fax 03-5639-2691 門前仲町オフィス 〒,03-5639-2690,不動産会社／dx支援,,https://www.gyo-pro.co.jp/
reject,株式会社ゼルダ,https://fudosan.zeldainc.com/,,,,,contact_missing,https://fudosan.zeldainc.com/
accept,社名を株式会社,https://active-rt.com/,https://active-rt.com/contact/,,,物件／ウェブ制作,,https://active-rt.com/
reject,,https://www.realty-bank.com/,,,,,service_evidence_missing,https://www.realty-bank.com/
accept,株式会社エヌアセット,https://info.spacely.co.jp/,https://info.spacely.co.jp/contactus/,,,賃貸／マーケティング,,https://info.spacely.co.jp/
reject,,https://www.class-co.com/,,,,,service_evidence_missing,https://www.class-co.com/
reject,,https://www.class-consul.jp/,,,,,service_evidence_missing,https://www.class-consul.jp/
reject,,,,,,,fetch_failed,https://www.reconomical.co.jp/
reject,,,,,,,fetch_failed,https://www.pitat.com/business/
reject,,,,,,,fetch_failed,https://www.realty-bank.co.jp/
