№	エリア	企業名	代表者名	URL	問い合わせフォームURL	送信日	送信○×	送信不可理由						
16	東京都	ｔａｃｔｏ株式会社	Hayato Itakura	https://tacto-inc.com/	https://tacto-inc.com/contact.html		未	送信結果判定不能（要手動確認）						web_production
17	東京都	株式会社WEBLA	ご担当者	https://webla.jp/company/	https://webla.jp/contact/	2025/12/01	×	業種違い						業種違い
18	東京都	株式会社マジカルポケット	平田 茂邦	https://mpocket.jp/index.html	https://mpocket.jp/contact/	2026/05/05	〇							web_production
19	東京都	世界へボカン株式会社	徳田 祐希	https://www.s-bokan.com/	https://www.s-bokan.com/form/inquiry/	2026/05/05	〇							web_marketing
20	東京都	株式会社カドベヤ	水野哲郎	https://www.kadobeya.net/	https://www.kadobeya.net/contact/		×	送信ボタンが見つかりません						web_production
21	東京都	株式会社Dynamo	森 越朗	https://dynamoinc.jp/	https://dynamoinc.jp/contact.php	2026/05/05	〇							web_marketing
22	東京都	株式会社Castee	大竹慎太郎	https://castee.com/company/	https://castee.com/company/	2025/12/01	×	業種違い						業種違い
23	東京都	株式会社ナノベーション	中野 博文	https://nanovation-jp.com/	https://nanovation-jp.com/contact/contact_form.php	2025/12/01	×	業種違い						業種違い
24	東京都	one move株式会社	原 慎吾	https://onemove.co.jp/	https://onemove.co.jp/contact		未	送信結果判定不能（要手動確認）						hybrid
25	東京都	サイトカイン株式会社	多紀澤 友治	https://www.cytokine.jp/	https://www.cytokine.jp/contact/	2025/12/01	×	業種違い						業種違い
26	東京都	HypeApp株式会社	小滝 陽平	https://hypeapp.jp/	https://hypeapp.jp/contact									web_marketing
27	東京都	株式会社パーク	三好拓朗・佐々木智也・田村大輔	https://parkinc.jp/	https://parkinc.jp/contact/	2025/12/01	×	業種違い						業種違い
28	東京都	株式会社SUUTA	今福 洋介	https://www.suuta.co.jp/	https://www.suuta.co.jp/contact/	2025/12/01	×	業種違い						業種違い
29	東京都	株式会社ミライスタート	関口 大	https://www.miraistart.com/	https://www.miraistart.com/contact									web_production
30	東京都	株式会社マルク	YUJI KINOSHITA	https://marku.jp/	https://marku.jp/contact/									web_marketing
31	東京都	株式会社 Aiss Mets	井上俊	https://aissmets.co.jp/	https://aissmets.co.jp/contact/									web_marketing
32	東京都	株式会社 EgoDiva	臼杵 銀次	https://www.egodiva.jp/	https://www.egodiva.jp/contact/									web_marketing
33	東京都	オプティマイズ株式会社	宮本琢志	https://www.optimize.co.jp/	https://www.optimize.co.jp/#top_contact	2025/12/01	×	業種違い						業種違い
34	東京都	株式会社SIROIRO	長島 悠人	https://siroiro.co.jp/	https://siroiro.co.jp/contact	2025/12/01	×	業種違い						業種違い
35	東京都	株式会社Smapo	蔭山 明里	https://www.smapo.co/	https://www.smapo.co/contact	2025/12/01	×	業種違い						業種違い
36	東京都	株式会社ライブコマース	森 勇気	https://live-commerce.co.jp/	https://live-commerce.co.jp/contact#contact									web_marketing
37	東京都	株式会社アートピース	新井 哲雄	https://artpeace.jp/	https://artpeace.jp/contact/	2025/12/01	×	送信エラー						hybrid
38	東京都	株式会社cococo	矢島 揚大	https://www.cococo.onl/	https://www.cococo.onl/#contact									web_production
39	東京都	株式会社Proximo	吉澤 康平	https://www.proximo.co.jp/	https://www.proximo.co.jp/contact/									web_production
40	東京都	ザンシン株式会社	田中正人	https://zanthing.com/	https://zanthing.com/contact/?t=060bdd437459fe0cdc5eb84504a24b03&k=ddaf429668d7e1b9040affb47423042b69cb170adbb682df39019395b9d050e8&v=9ea59377bc6317a1f9662af9c80f4e89									hybrid
41	東京都	キオミル株式会社	椿坂 泰志	https://kiomiru.co.jp/	https://kiomiru.co.jp/sales/									hybrid
42	東京都	株式会社ミライ工事	神山 庸	https://www.miraikoji.com/	https://www.miraikoji.com/contact/	2025/12/01	×	業種違い						業種違い
43	東京都	ダータワーズジャパン株式会社	竺原 和摩	https://datawords.com/ja/	https://datawords.com/ja/#footer_form									web_marketing
44	東京都	株式会社Capex	小亀 俊太郎	https://capex.ai/	https://capex.ai/contact/	2025/12/01	×	業種違い						業種違い
45	東京都	株式会社ベリッシマ	中山雄平	https://blissima.jp/	https://blissima.jp/contact/									hybrid
46	東京都	T.Yライトニング株式会社	柳田慶樹	https://tyl.co.jp/	https://tyl.co.jp/									hybrid
47	東京都	株式会社トラックス	山下 温	https://www.tlucks.co.jp/	https://www.tlucks.co.jp/contact/	2025/12/01	×	送信内容にURL入力不可						hybrid
48	東京都	つながる科学研究所株式会社	中川 勤	https://tsunaken.co.jp/	https://tsunaken.co.jp/contact/									web_marketing
49	東京都	株式会社リアライズテクノロジーズ	今福 洋介	https://realizetechnologies.co.jp/	https://realizetechnologies.co.jp/inquiry	2025/12/01	×	業種違い						業種違い
50	東京都	株式会社dwing	大内 久和	https://d-wing.co.jp/	https://d-wing.co.jp/	2025/12/01	×	業種違い						業種違い
51	東京都	株式会社ピース	鈴木 謙司	https://www.4peace.co.jp/	https://www.4peace.co.jp/contact/									web_production
52	東京都	StockTech株式会社	木村 紀章	https://stocktech.co.jp/	https://stocktech.co.jp/contact/	2025/12/01	×	送信エラー						web_marketing
53	東京都	株式会社JORO	松田晃佑	https://www.joro.co.jp/	https://www.joro.co.jp/contact	2025/12/01	×	業種違い						業種違い
54	東京都	株式会社Hyrax	服部 良弘	https://hyrax.co.jp/	https://hyrax.co.jp/contact									web_production
55	東京都	株式会社トルク	本田 一幸	https://trq.co.jp/	https://trq.co.jp/contact/									web_production
56	東京都	株式会社マナリンク	小野 照宗	https://manalink.co.jp/	https://manalink.co.jp/contact/									hybrid
57	東京都	株式会社セカンドファクトリー	大関 興治	https://www.2ndfactory.com/	https://forms.office.com/Pages/ResponsePage.aspx?id=41YEK-GX_UCa0OyEIURzW3XadDHu6phOnl-Wz8gSRRxUQ0xVVFRXUVU2VTBVV081M08yTEJMMlhSRi4u									web_marketing
58	東京都	株式会社リプレイ	音部 仁志	https://replay-pr.co.jp/	https://replay-pr.co.jp/contact/									web_marketing
59	東京都	株式会社タガタメ	酒井大成	https://taga-tame.com/	https://taga-tame.com/contact/	2025/12/01	×	入力フォームなし						hybrid
60	東京都	株式会社フォームアンドクラフト	細川直樹	https://formandcraft.jp/	https://formandcraft.jp/contact									web_production
61	東京都	トリニティ株式会社	山本 洋平	https://trinity.jp/	https://trinity.jp/contact/	2025/12/01	×	業種違い						業種違い
62	東京都	株式会社Riglef	田中 政行	https://riglef.jp/	https://riglef.jp/contact/									web_marketing
63	東京都	株式会社シナップ	坂西 裕彰	https://sinap.jp/	https://sinap.jp/recruit/partner/form									web_production
64	東京都	株式会社ヴァンド	増田 英二	https://vand.co.jp/	https://vand.co.jp/	2025/12/01	×	送信内容にURL入力不可						web_production
65	東京都	株式会社アイズバレル	飯澤絢人	https://isbarrel.com/	https://isbarrel.com/contact/									web_production
66	東京都	株式会社ライフスポーツ	中村 俊一	https://lifesports.jp/index.html	https://lifesports.jp/contact.html	2025/12/01	×	送信エラー						hybrid
67	東京都	株式会社タイムシェア	前田雅輝	https://www.timeshare-inc.com/	https://www.timeshare-inc.com/contact/	2025/12/01	×	業種違い						業種違い
68	東京都	株式会社アナライズログ	三浦謙介	https://analyzelog.jp/	https://analyzelog.jp/contact	2025/12/01	×	業種違い						業種違い
69	東京都	株式会社tenkai	白井 美樹	https://www.10-kai.jp/	https://www.10-kai.jp/									web_marketing
70	東京都	株式会社アリウープ	河野 吉雄	https://www.alleyoop.co.jp/	https://www.alleyoop.co.jp/contact/partner/	2025/12/01	×	業種違い						業種違い
71	東京都	株式会社レッカスグルーヴ	魚谷 博	https://recus-groove.com/	https://recus-groove.com/contact									hybrid
72	東京都	株式会社ライデン	井上雄一郎	https://www.ryden.co.jp/	https://www.ryden.co.jp/contact									hybrid
73	東京都	株式会社R-TGエージェント	筏津 靖仁	https://rtg-agent.co.jp/	https://rtg-agent.co.jp/contact/	2025/12/01	×	業種違い						業種違い
74	東京都	AnotherBall株式会社	大湯俊介	https://anotherball.com/	https://anotherball.notion.site/1baaeded16c680458866d243ebf43605	2025/12/01	×	メールアドレスエラー						web_marketing
75	東京都	メディアアクティブ株式会社	佐々木 孝樹	https://www.media-active.co.jp/	https://www.media-active.co.jp/contact.html	2025/12/01	×	業種違い						業種違い
76	東京都	株式会社アーリーワークス	小林 聖	https://e-arly.works/ja	https://e-arly.works/ja/contact	2025/12/01	×	業種違い						業種違い
77	東京都	パドルデザインカンパニー株式会社	豊田 善治	https://www.paddledesign.co.jp/	https://www.paddledesign.co.jp/contact/									web_production
78	東京都	株式会社サイズ	糟谷 博陸	https://www.x-yz.co.jp/	https://www.x-yz.co.jp/contact/inquiry.php									web_production
79	東京都	株式会社サイポチ	田中 聖	https://www.cypochi.co.jp/	https://www.cypochi.co.jp/contact/#/									web_production
80	東京都	株式会社 SHO-SAN	高谷 一起	https://www.sho-san.co.jp/	https://www.sho-san.co.jp/contact/									hybrid
81	東京都	株式会社プロフェッショナルエフェクト	平山 理	https://www.pro-effect.jp/	https://www.pro-effect.jp/contact/	2025/12/01	×	業種違い						業種違い
82	東京都	株式会社YOAKE	山田翔大	https://yoake-tokyo.jp/?from=web-kanji&page=company	https://yoake-tokyo.jp/sales-contact									hybrid
83	東京都	Be Driven	野嶋 達平	https://be-driven.jp/	https://be-driven.jp/contact/									hybrid
84	東京都	株式会社STSデジタル	谷宮 武将	https://sts-d.com/	https://sts-d.com/partner/									hybrid
85	東京都	株式会社カジヤ	中村 圭介	https://cajiya.co.jp/	https://cajiya.co.jp/contact/alliance									hybrid
86	東京都	株式会社SOUNE	杉本 大貴	https://soune.co.jp/	https://soune.co.jp/contact/									web_production
87	東京都	株式会社オンザヒルコミュニケーションズ	小寺 昌喜	https://www.onthehill.co.jp/	https://www.onthehill.co.jp/#contact_anc	2025/12/01	×	送信エラー						hybrid
88	東京都	株式会社スピカデザイン	岸本雄太	https://spiqa.design/	https://spiqa.design/partner/									hybrid
89	東京都	有限会社キューポイント	伊藤篤信	https://www.9pt.jp/	https://www.9pt.jp/contact									web_production
90	東京都	Wis	村石 佑介	https://wis0104.com/	https://wis0104.com/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/									web_production
91	東京都	株式会社イッパイアッテナ	春木世覇	https://ippaiattena.co.jp/	https://ippaiattena.co.jp/contact/									hybrid
92	東京都	株式会社RED	栗原 勲	https://red-inc.jp/	https://red-inc.jp/contact/	2025/12/01	×	営業不可						web_production
93	東京都	Funwork株式会社	堀尾 尭史	https://www.funwork2020.com/	https://www.funwork2020.com/contact	2025/12/01	×	業種違い						業種違い
94	東京都	株式会社placia	佐藤翔安	https://placia.co.jp/	https://placia.co.jp/application/	2025/12/01	×	送信エラー						web_production
95	東京都	株式会社FMC	安東 裕二	https://fmc-inc.jp/	https://fmc-inc.jp/contact/									web_production
96	東京都	Who I 株式会社	望月 貴燿	https://who-i.co.jp/	https://who-i.co.jp/contact/									hybrid
97	東京都	株式会社NONAME Produce	村上 烈	https://n2p.co.jp/	https://n2p.co.jp/contact/									hybrid
98	東京都	EnjoynStyle株式会社	宮澤弘之	https://enjoynstyle.com/	https://enjoynstyle.com/									hybrid
99	東京都	F&S CREATIONS	濱橋 達哉	https://www.fands-c.com/	https://www.fands-c.com/contact/	2025/12/01	×	業種違い						業種違い
100	東京都	株式会社ダブルアールジー	大京寺 猛雄	https://www.rrg.jp/	https://www.rrg.jp/contact/									web_production
101	東京都	合同会社 エンドルフィンズ	田上 和佳	https://endorphins.tokyo/	https://endorphins.tokyo/contact/									hybrid
102	東京都	株式会社ＪＰクレスト	大和田 慎太郎	https://jpcrest.co.jp/	https://jpcrest.co.jp/contact/									hybrid
103	東京都	テラ合同会社	髙橋 謙輔	https://design-tera.com/	https://design-tera.com/contact/									hybrid
104	東京都	株式会社BANKA	古田 亮太郎	https://banka-site.com/	https://banka-site.com/contact/									hybrid
105	東京都	株式会社フブキ	角川 英治	https://www.fubuki.com/	https://www.fubuki.com/contact									web_production
106	東京都	有限会社ダルビアンコ	小林 秀之	https://www.dal-bianco.co.jp/	https://www.dal-bianco.co.jp/									hybrid
107	東京都	株式会社アスコット	藤原 いづみ	https://www.asucot.com/	https://www.asucot.com/inquiry/									hybrid
108	東京都	合同会社ファニプロ	山川 拓也	https://www.funnypro.net/	https://www.funnypro.net/sales-contact	2025/12/02	×	文字数制限						web_production
109	東京都	meyco株式会社	松橋廉	https://meyco.co.jp/	https://meyco.co.jp/service-contact/	2025/12/02	×	業種違い						業種違い
110	東京都	株式会社Cyber Partners Japan	平野雄太郎	https://cyberpartnersjapan.com/	https://cyberpartnersjapan.com/contact/									hybrid
111	東京都	クーミル株式会社	馬鳥 亮佑	https://coomil.co.jp/	https://coomil.co.jp/contacts/									hybrid
112	東京都	オリクション株式会社	平嶋 耕	https://www.oriction.com/	https://www.oriction.com/	2025/12/02	×	業種違い						業種違い
113	東京都	株式会社Coachers	岡崎 優也	https://coachers.jp/	https://coachers.jp/contact/	2025/12/02	×	業種違い						業種違い
114	東京都	株式会社ジョブライブ	梶海斗	https://joblive.co.jp/	https://joblive.co.jp/contact/									hybrid
115	東京都	株式会社GT-works	斉藤 銀地	https://gt-works.net/	https://gt-works.net/contact/									hybrid
116	東京都	ポンプワンマーケティング株式会社	高橋竜平	https://pomp1.co.jp/	https://pomp1.co.jp/contact/									hybrid
117	東京都	リベルタ株式会社	澤野啓次郎	https://liberta-inc.com/	https://liberta-inc.com/contact/									web_marketing
118	東京都	株式会社D-ing	大金剛士	https://d-inginc.com/	https://d-inginc.com/contact/									web_production
119	東京都	ETBS合同会社	高橋 等 / 松田 大	https://etbs.jp/	https://etbs.jp/contact/									web_production
120	東京都	株式会社グルコム	武本 之近	https://grucom.jp/	https://grucom.jp/secure/contact.php									hybrid
121	東京都	株式会社ＷＣＡ	青嶋 剛史	https://wca.co.jp/	https://wca.co.jp/contact/									hybrid
122	東京都	株式会社ファンガレージ	吉田 浩明	https://www.fun-garage.co.jp/	https://www.fun-garage.co.jp/contact.html	2025/12/02	×	業種違い						業種違い
123	東京都	SD WEBWORKS	杉本 大貴	https://sd-webworks.com/	https://sd-webworks.com/partner/									hybrid
124	東京都	株式会社Cyber Cats	横山 克英	https://www.chaco-web.com/	https://www.chaco-web.com/contactus.html									hybrid
125	東京都	株式会社Curious	吉沢 隼	https://curious-inc.jp/	https://curious-inc.jp/contact									web_production
126	東京都	ジウ株式会社	奥村貴史	https://jiu-x.com/	https://jiu-x.com/contact/									hybrid
127	東京都	株式会社レイロ	八田 亮輔	https://reiro.co.jp/	https://reiro.co.jp/contact/	2025/12/02	×	業種違い						業種違い
128	東京都	ニューエイジ・ディー・シー株式会社	松岡 貴英	https://www.newagedc.net/	https://www.newagedc.net/contact.html									web_marketing
129	東京都	株式会社SAN	ご担当者	https://foodwebby.jp/	https://foodwebby.jp/contact/									hybrid
130	東京都	株式会社企画制作	十佐近 佳紀	https://www.kikakuseisaku.com/	https://www.kikakuseisaku.com/sales-contact/	2025/12/02	×	業種違い						業種違い
131	東京都	株式会社SasaTech	佐々木 竜希	https://sasatech.co.jp/	https://sasatech.co.jp/contact	2025/12/02	×	業種違い						業種違い
132	東京都	株式会社Medical DX	平野 雄太郎	https://medical-dx.com/	https://medical-dx.com/contact/									hybrid
133	東京都	株式会社PENGIN	粟飯原 匠	https://pengi-n.co.jp/	https://pengi-n.co.jp/contact/									hybrid
134	東京都	UP HEARTS株式会社	新垣 亮介	https://uphearts.co.jp/	https://uphearts.co.jp/contact/	2025/12/02	×	業種違い						業種違い
135	東京都	株式会社 office base group	平原 俊之	https://design.o-basej-t.net/	https://design.o-basej-t.net/contact/									hybrid
136	東京都	株式会社Giving First	橘田 拓也	https://g1st.co.jp/	https://g1st.co.jp/recruit/									hybrid
137	東京都	後藤ブランド株式会社	後藤 晴伸	https://www.goto-brand.com/	https://www.goto-brand.com/contact/	2025/12/02	×	送信エラー						web_marketing
138	東京都	TOMONI Growth Support	手嶋建貴	https://tomoni-growth.com/	https://tomoni-growth.com/contact/									hybrid
139	東京都	株式会社RESORT	石川 森生	https://tuna.cool/	https://tuna.cool/pages/contact	2025/12/02	×	営業不可						hybrid
140	東京都	ダイバージェンス株式会社	ご担当者	https://webtkr.com/	https://webtkr.com/contact/									web_production
141	東京都	株式会社プロクモ	川村 健	https://procmo.co.jp/	https://procmo.co.jp/contact/	2025/12/02	×	送信エラー						hybrid
142	東京都	mela株式会社	伊藤 佳泰	https://mela.co.jp/	https://mela.co.jp/pages/contact									web_marketing
143	東京都	株式会社バンソウ	東郷 源	https://banso.tokyo/	https://banso.tokyo/contact/									web_production
144	東京都	Digital-Free株式会社	中嶋 賢・山田 哲夫	https://www.digital-free.net/	https://www.digital-free.net/contact/									hybrid
145	東京都	NERD株式会社	田中 将伍	https://nerd.co.jp/	https://nerd.co.jp/contact									hybrid
146	東京都	株式会社ライフパフォーマンス	松本 昌己	https://lifeperformance.jp/	https://lifeperformance.jp/contact.php	2025/12/02	×	文字数制限（300字以下）						web_production
147	東京都	Recustomer 株式会社	柴田 康弘	https://recustomer.co/	https://recustomer.co/contact/partnership									hybrid
148	東京都	株式会社ラヴィゴット	梁川 宰源	https://www.ravigote.co.jp/	https://www.ravigote.co.jp/contact/alliance/									web_production
149	東京都	株式会社ネッコス	井口 美寿々	https://neccos.jp/	https://neccos.jp/contact/									hybrid
150	東京都	株式会社nownext	大平 嶺	https://now-next.biz/	https://now-next.biz/contactus/									hybrid
151	東京都	株式会社飛躍	明石 健夫	https://hiyaku-inc.com/	https://hiyaku-inc.com/pages/contact_alliance-sales									hybrid
152	東京都	合同会社Si	柴田 敬介	https://si-jp.co/	https://si-jp.co/contact/									hybrid
153	東京都	フュージョンコア株式会社	平本 賢一郎	https://www.fcore.jp/	https://www.fcore.jp/inquiry									hybrid
154	東京都	株式会社クロスバズ	田窪 亮太	https://x-buzz.co.jp/	https://x-buzz.co.jp/contact/									hybrid
155	東京都	合同会社KAKERU	伊藤 豪規・百合本 拓也	https://www.kakeru-x.co.jp/	https://www.kakeru-x.co.jp/contact/									hybrid
156	東京都	RiVA株式会社	吉田 龍太郎	https://uz-riva.com/	https://uz-riva.com/contact/									web_marketing
157	東京都	ファンタスティックラボ株式会社	渡辺竜児	https://fantasticlabo.jp/	https://fantasticlabo.jp/contact/	2025/12/02	×	業種違い						業種違い
158	東京都	PixPot株式会社	遠藤 惣太	https://www.pixpot.jp/	https://www.pixpot.jp/contact/									hybrid
159	東京都	ZIRAKU	難波 謙介	https://www.ziraku.co.jp/	https://www.ziraku.co.jp/contact									web_production
160	東京都	株式会社アクセライト	板垣 貴志	https://accelight.co.jp/	https://accelight.co.jp/inquiry/									web_production
161	東京都	ツキワッカ株式会社	鈴木 択実	https://tsukiwakka.co.jp/	https://tsukiwakka.co.jp/contact/									hybrid
162	東京都	株式会社3d factory	宮本 信二	https://3d-factory.co.jp/	https://3d-factory.co.jp/contact/									hybrid
163	東京都	株式会社ソライル	波多野 明仁	https://sorairu.co.jp/	https://sorairu.co.jp/contact/									hybrid
164	東京都	株式会社TAGインテグレーション	田川 雅史	https://tagi.co.jp/	https://tagi.co.jp/contact/	2025/12/02	×	業種違い						業種違い
165	東京都	ハイアップ合同会社	浅井翔	https://hiup.jp/	https://hiup.jp/partner.html	2025/12/02	×	送信エラー						web_production
166	東京都	株式会社アイグル	吉井 貴彦	https://eyegle-design.co.jp/	https://eyegle-design.co.jp/contact/									hybrid
167	東京都	株式会社インサイトフューチャー	脇坂篤史	https://insight-future.com/	https://insight-future.com/contact.html	2025/12/02	×	業種違い						業種違い
168	東京都	株式会社プレグロ	宮崎 貴成	https://pregro.jp/	https://pregro.jp/contact/									hybrid
169	東京都	株式会社オールムービージャパン	浅野 義文	https://www.en-support.com/	https://www.en-support.com/contpage/									hybrid
170	東京都	サクラサクマーケティング株式会社	林 亨	https://www.sakurasaku-marketing.co.jp/	https://www.sakurasaku-marketing.co.jp/contact/									hybrid
171	東京都	合同会社TRAIL	ご担当者	https://trail.llc/	https://trail.llc/									hybrid
172	東京都	FORCE-R株式会社	飯塚遼太	https://force-r.co.jp/	https://force-r.co.jp/contact/									web_marketing
173	東京都	株式会社SHINK	藤田 勇人	https://shink-jp.com/	https://shink-jp.com/contact/partner	2025/12/02	×	業種違い						業種違い
174	東京都	株式会社オタツー	川合 直人	https://ota2.jp/	https://ota2.jp/contact/									hybrid
175	東京都	株式会社アーチャレス	石原 強	https://www.archeress.co.jp/	https://www.archeress.co.jp/contact-partner									hybrid
176	東京都	ロックスインターナショナル株式会社	岡田豊	https://roks.jp/	https://roks.jp/otoiawase									web_production
177	東京都	株式会社Telepathy	佐野 貴久	https://telepathy.jp/	https://telepathy.jp/contact									web_production
178	東京都	swimmy inc.	臼田 聖司	https://swimmy.co/	https://swimmy.co/contact/									web_production
179	東京都	株式会社foriio	山田寛仁	https://www.company.foriio.com/	https://www.company.foriio.com/contact/	2025/12/02	×	業種違い						業種違い
180	東京都	むすび株式会社	深澤 了	https://www.musubi-inc.co.jp/	https://www.musubi-inc.co.jp/%20mail/	2025/12/02	×	業種違い						業種違い
181	東京都	株式会社メディアグロース	舟崎友貴	https://media-growth.co.jp/	https://media-growth.co.jp/order/									hybrid
182	東京都	株式会社コスパ・テクノロジーズ	中島 嘉一	https://cospa-tech.com/	https://cospa-tech.com/contact/									hybrid
183	東京都	株式会社Hump	東宮 真樹	https://hump.co.jp/	https://hump.co.jp/contact/									hybrid
184	東京都	BC-STYLE合同会社	宮西宏幸	https://bc-style.com/	https://bc-style.com/565sdcfbd-toiawase995/									hybrid
185	東京都	ondo株式会社	加藤 大介	https://www.ondo-inc.jp/	https://www.ondo-inc.jp/contact									web_production
186	東京都	SugarBeats株式会社	山本 雄大	https://sugarbeats.co.jp/	https://sugarbeats.co.jp/contact									hybrid
187	東京都	テクノポート株式会社	徳山 正康	https://techport.co.jp/	https://techport.co.jp/contact/									web_marketing
188	東京都	PHATBEE合同会社	小澤 将玄	https://tavirise.com/	https://tavirise.com/contact/									web_production
189	東京都	株式会社MediPeak	佐藤 朝美	https://medipeak.jp/	https://medipeak.jp/inquiry/	2025/12/02	×	送信エラー						web_production
190	東京都	ECマインド株式会社	高杉 透	https://ec-mind.jp/	https://ec-mind.jp/contact/	2025/12/02	⚪︎							hybrid
191	東京都	株式会社フロッグポッド	小林竜也	https://www.frog-pod.com/	https://www.frog-pod.com/inquiry/	2025/12/02	⚪︎							web_production
192	東京都	株式会社BringFlower	稲田 高洋	https://www.bring-flower.com/	https://www.bring-flower.com/contact-bringflower/	2025/12/02	⚪︎							hybrid
193	東京都	株式会社LINK	渡辺皓太	https://link-service.biz/	https://link-service.biz/contact/	2025/12/02	⚪︎							web_production
194	東京都	株式会社ウブントゥ	ご担当者	https://ubuntu-gp.jp/subscription/	https://ubuntu-gp.jp/contact/	2025/12/02	⚪︎							hybrid
195	東京都	wedo合同会社	都丸哲弘	https://wedo.llc/	https://wedo.llc/contact/	2025/12/02	⚪︎							web_production
196	東京都	有限会社サウンドボード	伊野 力	https://www.soundboard.co.jp/	https://www.soundboard.co.jp/contact/	2025/12/02	⚪︎							hybrid
197	東京都	ソーイ株式会社	田中 亮行	https://sooi.co.jp/	https://sooi.co.jp/contact/	2025/12/02	⚪︎							hybrid
198	東京都	株式会社五箱	粕谷 俊之	https://gohako.jp/	https://gohako.jp/alliance/	2025/12/02	⚪︎							hybrid
199	東京都	合同会社プロダクション・ジェイ	糸谷 拓也	https://production-j.jp/	https://production-j.jp/partner_form/	2025/12/02	⚪︎							hybrid
200	東京都	株式会社HYUBEST	関 飛雄一	https://www.hyubest.com/	https://www.hyubest.com/contact/	2025/12/02	⚪︎							hybrid
201	東京都	合同会社Rootstock	ご担当者	https://rootstock-llc.com/	https://rootstock-llc.com/contact/	2025/12/04	⚪︎							hybrid
202	東京都	SOMETHING	ご担当者	https://mizboshi.com/	https://mizboshi.com/contact	2025/12/04	⚪︎							web_production
203	東京都	株式会社ドリームテラー	黒瀬 圭	https://dreamteller.biz/	https://dreamteller.biz/contact/	2025/12/04	⚪︎							hybrid
204	東京都	株式会社ウィズスタイル	平田 達志	https://withstyle-web.com/	https://withstyle-web.com/contact/	2025/12/04	⚪︎							hybrid
205	東京都	株式会社ビーヘルシー	柴田 章矢	https://behealthy.co.jp/	https://behealthy.co.jp/sales/	2025/12/04	⚪︎							web_marketing
206	東京都	株式会社タチアゲ	青木峻一	https://corporate.tatiage.com/	https://tayori.com/form/4bcb39b6e7d4beb846f351ec695025dd5d0ba0d3/	2025/12/04	⚪︎							hybrid
207	東京都	株式会社Budo	三好將貴	https://budo.works/	https://budo.works/contact	2025/12/04	×	業種違い						業種違い
208	東京都	株式会社GoF	藤岡 聡	https://gofool.co.jp/	https://gofool.co.jp/	2025/12/04	⚪︎							hybrid
209	東京都	株式会社プレイビット	村山 大輔	https://playbit.co.jp/	https://playbit.co.jp/contact/	2025/12/04	⚪︎							hybrid
210	東京都	株式会社リロードマインド	及川慎太郎	https://reload-mind.co.jp/	https://reload-mind.co.jp/contact/	2025/12/04	⚪︎							web_marketing
211	東京都	株式会社Harete	増山涼夕	https://www.harete.design/	https://www.harete.design/contact	2025/12/04	⚪︎							hybrid
212	東京都	株式会社リクエストエージェント	秋塲 亮一	https://request-agent.co.jp/	https://request-agent.co.jp/contact/	2025/12/04	⚪︎							hybrid
