№	エリア	企業名	代表者名	URL	問い合わせフォームURL	送信日	送信○×	送信不可理由
23	大阪府	株式会社フレイバーズ	平田 弘幸	https://www.flavours.ac/	https://www.flavours.ac/inquiry/	2025/12/22	⚪︎	
24	大阪府	スパイディア	髙瀨 陽一郎	https://spidea-labo.com/	https://spidea-labo.com/contact/	2025/12/22	⚪︎	
25	大阪府	YYM株式会社	森義昭	https://yym.co.jp/	https://yym.co.jp/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/	2025/12/22	⚪︎	
26	大阪府	株式会社ゼクノ	井本 吏	https://zekno.co.jp/	https://zekno.co.jp/contact/	2025/12/22	⚪︎	
27	大阪府	株式会社ノベル	原田 康平	https://novel2020.co.jp/	https://novel2020.co.jp/contact/	2025/12/22	⚪︎	
28	大阪府	株式会社 Project Echoes	ご担当者	https://www.projectechoes.com/	https://www.projectechoes.com/contact	2025/12/22	⚪︎	
29	大阪府	株式会社 Crisp Code	小谷 爽	https://crispcode.co.jp/	https://crispcode.co.jp/inquiry	2025/12/22	⚪︎	
30	大阪府	株式会社フリージア	森下 和也	https://www.ifour.co.jp/	https://www.ifour.co.jp/contact/	2025/12/22	⚪︎	
31	大阪府	株式会社ファイコム	浅野 由裕	https://www.faycom.net/	https://www.faycom.net/contact	2025/12/22	×	送信エラー
32	大阪府	合同会社エゴワークス	梅津 勇希	https://ego-nostalger.com/wp/	https://ego-nostalger.com/wp/drop-us-a-note/	2025/12/22	⚪︎	
33	大阪府	ウエルコネクト株式会社	西永 宗近	https://welcojp.com/	https://welcojp.com/contact/	2025/12/22	×	送信エラー
34	大阪府	ビフォー通信システム	櫻木 宣久	https://before-cs.com/	https://before-cs.com/contact/	2025/12/22	⚪︎	
35	大阪府	株式会社CTN	野呂 卓也	https://www.ctn-net.jp/	https://www.ctn-net.jp/contact	2025/12/22	⚪︎	
36	大阪府	ミーツデザイン株式会社	森下勝成	https://meets-design.com/	https://meets-design.com/contact/	2025/12/22	×	送信エラー
37	大阪府	株式会社スリーバイフォー	阪本 裕哉	https://3x4-inc.com/	https://3x4-inc.com/contact	2025/12/22	⚪︎	
38	大阪府	株式会社コンテナ	大西 俊之	https://contenna.net/	https://contenna.net/otoiawase.html	2025/12/22	⚪︎	
39	大阪府	株式会社ウェブクリエーション	加藤 優弥	https://web-creation.co.jp/	https://web-creation.co.jp/contact/	2025/12/22	⚪︎	
40	大阪府	株式会社マテリアルデジタル	青﨑 曹	https://nanocolor.jp/	https://nanocolor.jp/contact/	2025/12/22	⚪︎	
41	大阪府	株式会社ネクストワン	田中 弘幸	https://e-next1.net/	https://e-next1.net/inquiry-form/	2025/12/22	⚪︎	
42	大阪府	株式会社Riitt	秦 真宣	https://riitt.net/	https://riitt.net/contact	2025/12/22	⚪︎	
43	大阪府	さくらクリエイティヴ株式会社	鈴木 直也	https://www.sakura-creative.com/	https://www.sakura-creative.com/contact/	2025/12/22	⚪︎	
44	大阪府	株式会社プラムライズ	稲垣 憲佑	https://plumrise.com/	https://plumrise.com/contact/	2025/12/22	×	メールアドレスエラー
45	大阪府	アム株式会社	川崎 淳	https://umu-inc.com/	https://umu-inc.com/contact/	2025/12/22	⚪︎	
46	大阪府	株式会社ローレライデザイン	田中裕貴	https://loreley.co.jp/	https://loreley.co.jp/contact/	2025/12/22	⚪︎	
47	大阪府	株式会社Aveire	畠中祐太	https://aveire.co.jp/	https://aveire.co.jp/contact/	2025/12/22	⚪︎	
48	大阪府	株式会社シイテ	田中 千恵	https://sionas.co.jp/	https://sionas.co.jp/contact	2025/12/22	⚪︎	
49	大阪府	株式会社グリュックス	足立 祐一	https://glucks-web.co.jp/	https://glucks-web.co.jp/contact/	2025/12/22	⚪︎	
50	大阪府	合同会社楽々Edit	山本 伸弥	https://rakuraku-edit.co.jp/	https://rakuraku-edit.co.jp/	2025/12/22	⚪︎	
51	大阪府	株式会社キューブ	金森 清美	https://cubecube.net/	https://cubecube.net/partner_entry	2025/12/22	⚪︎	
52	大阪府	株式会社forcard	酒井 雄平	https://www.forcard.info/	https://www.forcard.info/contact/	2025/12/22	⚪︎	
53	大阪府	株式会社パシフィックス	梅本 学	https://pacifics.jp/	https://pacifics.jp/partner/	2025/12/22	⚪︎	
54	大阪府	株式会社アスハテラス	山際 周作・浦 浩之	https://asuhaterasu.co.jp/	https://asuhaterasu.co.jp/inquiry/	2025/12/22	⚪︎	
55	大阪府	リードナイン株式会社	大竹宏紀	https://leadnine.co.jp/	https://leadnine.co.jp/contact/	2025/12/22	⚪︎	
56	大阪府	株式会社クリエ	今井 義隆	https://www.creaman.com/	https://www.creaman.com/contact	2025/12/22	⚪︎	
57	大阪府	合同会社Tocoton	角元 良	https://toco-ton.com/	https://toco-ton.com/contact/	2025/12/22	×	HPメンテナンス中
58	大阪府	有限会社ディプス	米谷 知己	https://dtmdee.jp/DESiGN/	https://dtmdee.jp/DESiGN/	2025/12/22	⚪︎	
59	大阪府	BEASTAR株式会社	橋野 宏一郎	https://bea-star.co.jp/	https://bea-star.co.jp/contact/	2025/12/22	⚪︎	
60	大阪府	スリムクリエイト	中村 覚信	https://slim-create.com/	https://slim-create.com/contact/	2025/12/22	×	営業不可
61	大阪府	株式会社ジールプラス	野口 顕	https://zealplus.co.jp/	https://zealplus.co.jp/contact/	2025/12/22	⚪︎	
62	大阪府	合同会社デザインサプライ	小河 慎也	https://designsupply-web.com/	https://designsupply-web.com/contact/	2025/12/22	⚪︎	
63	大阪府	株式会社アイティ印刷	池田 幸二	https://itprint.co.jp/	https://itprint.co.jp/contact.html	2025/12/22	⚪︎	
64	大阪府	LCK cloud	三木 直人	https://www.lck-cloud.jp/	https://www.lck-cloud.jp/form1.html?mode=2&nologin=1	2025/12/22	⚪︎	
65	大阪府	株式会社ミタックス	三田 亮二	https://mitax-cc.jp/	https://mitax-cc.jp/contact/	2025/12/22	⚪︎	
66	大阪府	株式会社IT-Brain	中川 淳	https://itbrain.co.jp/	https://itbrain.co.jp/contact_work/	2025/12/22	⚪︎	
67	大阪府	JIII ATELIER	中路裕美	https://jiii-atelier.com/	https://jiii-atelier.com/contact	2025/12/22	⚪︎	
68	大阪府	有限会社ファインデザイン	長谷川 高志	https://www.finedesign.co.jp/	https://www.finedesign.co.jp/inquiry/index.html	2025/12/22	×	送信内容にURL入力不可
69	大阪府	グローバルビジネス株式会社	内田 賢	https://www.g-business.co.jp/	https://www.g-business.co.jp/toiawase.php	2025/12/22	×	送信エラー
70	大阪府	合同会社MOBY DICK	原園 裕夕	https://mobydick-create.jp/	https://mobydick-create.jp/contact/	2025/12/22	⚪︎	
71	大阪府	ハンドレッドラボ株式会社	百瀬 真友美	https://labohan.com/	https://labohan.com/otoiawase.html	2025/12/22	⚪︎	
72	大阪府	合同会社レップリーガル	ご担当者	https://replegal.net/	https://replegal.net/contact	2025/12/22	⚪︎	
73	大阪府	フォルトゥナ	坂本 邦夫	https://www.color-fortuna.com/	https://www.color-fortuna.com/contact/	2025/12/22	⚪︎	
74	大阪府	株式会社アクシア	菅原 弘士	https://k-axia.com/	https://k-axia.com/toi/	2025/12/22	⚪︎	
75	大阪府	株式会社陸風社	西 智子	https://www.rikufusha.co.jp/	https://www.rikufusha.co.jp/contactSales/	2025/12/22	⚪︎	
76	大阪府	株式会社アートランド	浜本 憲之	https://www.artland-net.com/	https://www.artland-net.com/contact.php	2025/12/22	×	文字数制限（1000字以下）
77	大阪府	三ツ星デザイン	ご担当者	https://mitsuboshi-design.com/	https://mitsuboshi-design.com/contact/	2025/12/22	×	送信内容にURL入力不可
78	大阪府	株式会社haiku	ご担当者	https://haiku.co.jp/	https://haiku.co.jp/contact/index.php?fade	2025/12/22	⚪︎	
79	大阪府	株式会社リバース	古川 俊一	https://rebirth-ad.com/	https://rebirth-ad.com/contact/	2025/12/22	×	文字数制限（1000字以下）
80	大阪府	株式会社ロスコ・マーケティング クリエイツ	久保 憲二	https://rm-creates.com/	https://rm-creates.com/contact/	2025/12/22	×	文字数制限（1000字以下）
81	大阪府	株式会社レイオール	定成 みず希	https://rayor.jp/	https://rayor.jp/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/	2025/12/22	⚪︎	
82	大阪府	オアシ株式会社	佐名 功	https://www.oasi.co.jp/	https://www.oasi.co.jp/contact/	2025/12/22	⚪︎	
83	大阪府	有限会社モル	奥川 博章	http://molinc.co.jp/	http://molinc.co.jp/	2025/12/22	⚪︎	
84	大阪府	Speaker Lab	ご担当者	http://speaker-lab.com/	http://speaker-lab.com/contact	2025/12/22	⚪︎	
85	大阪府	株式会社マクティズム	岩下 隆祐	https://www.mactism.com/	https://www.mactism.com/contact-proposal/?_gl=1*1oar43t*_gcl_au*MTAwNjE1NDgzNS4xNzY2MjA0ODky	2025/12/22	⚪︎	
86	大阪府	株式会社ヒートボックス	ご担当者	https://heatbox.jp/	https://heatbox.jp/contact	2025/12/22	⚪︎	
87	大阪府	株式会社共栄ワークス	森岡 信晶	https://www.kyoeiworks.co.jp/	https://www.kyoeiworks.co.jp/contact/	2025/12/22	⚪︎	
88	大阪府	コハルデザイン	坂本 典子	https://koharu-design.com/	https://koharu-design.com/#contact	2025/12/22	⚪︎	
89	大阪府	株式会社KRO	村田 昌権	https://kro.co.jp/	https://kro.co.jp/contact/	2025/12/22	⚪︎	
90	大阪府	プロジェクトアルファ Webup事業部	松田 元	https://1alpha.jp/	https://1alpha.jp/contact.html	2025/12/22	⚪︎	
91	大阪府	株式会社イメージワークス	中澤 健二	https://www.imgworks.co.jp/	https://www.imgworks.co.jp/form/	2025/12/22	×	送信内容にURL入力不可
92	大阪府	BFind株式会社	ご担当者	https://bfind.co.jp/	https://bfind.co.jp/contact/	2025/12/22	⚪︎	
93	大阪府	株式会社ツバルスタジオ	酒井 将治	https://tuvalu.jp/	https://tuvalu.jp/contact.html	2025/12/22	⚪︎	
94	大阪府	合資会社セリオネットコーポレーション	西田 力	http://www.serio.ne.jp/	http://www.serio.ne.jp/corp/inquiry.html	2025/12/22	×	送信エラー
95	大阪府	株式会社スマイル	ご担当者	https://www.smile-319.com/	https://www.smile-319.com/#contact_area	2025/12/22	⚪︎	
96	大阪府	有限会社ティーズ	寺内 孝典	https://www.gogo-ts.jp/	https://www.gogo-ts.jp/contact/	2025/12/22	⚪︎	
97	大阪府	株式会社アバランチ	熊本 樹稔	https://www.avalanche.co.jp/	https://www.avalanche.co.jp/contact/	2025/12/22	⚪︎	
98	大阪府	乾陽亮設計事務所	乾 陽亮	https://www.inuiyosuke.jp/	https://www.inuiyosuke.jp/ja/contact/	2025/12/22	⚪︎	
99	大阪府	アビッツ株式会社	磯口 邦彦	https://www.abits.jp/	https://www.abits.jp/contact/	2025/12/22	⚪︎	
100	大阪府	株式会社亀山デザイン	森下 剛	https://www.kameyamadesign.co.jp/index.html	https://www.kameyamadesign.co.jp/contact.html	2025/12/22	⚪︎	
101	大阪府	フォートラン株式会社	中本 哲夫	https://fortran-net.co.jp/	https://fortran-net.co.jp/contact.html	2025/12/23	⚪︎	
102	大阪府	株式会社ケーアンドティ	出戸 順	https://www.kandt.jp/	https://www.kandt.jp/contact.html	2025/12/23	⚪︎	
103	大阪府	株式会社エムプラス	眞塚 一	https://www.mplus-net.co.jp/index.html	https://www.mplus-net.co.jp/index.html	2025/12/23	⚪︎	
104	大阪府	株式会社CODEK.net	ご担当者	https://www.codek.net/	https://www.codek.net/contact/index.html	2025/12/23	⚪︎	
105	大阪府	株式会社ディー・フォレスト	寺田 康彦	https://d-forest-corp.com/	https://d-forest-corp.com/contacts	2025/12/23	×	営業不可
106	大阪府	株式会社ネットストラテジクス	ご担当者	https://www.net-st.co.jp/	https://www.net-st.co.jp/#section-about	2025/12/23	⚪︎	
107	大阪府	株式会社アストラカン・アドバタイジング	兵頭 正信	https://ast-web.com/	https://ast-web.com/inquiry/	2025/12/23	⚪︎	
108	大阪府	Future Link株式会社	木原 行人	https://www.ft-link.co.jp/	https://www.ft-link.co.jp/contact/	2025/12/23	⚪︎	
109	大阪府	株式会社パプリシステム	阿川 健二	https://www.paplisystem.co.jp/	https://www.paplisystem.co.jp/contact/	2025/12/23	×	送信エラー
110	大阪府	株式会社ライズサービス	南 篤志	https://riseservice.co.jp/	https://riseservice.co.jp/contact/	2025/12/23	×	送信エラー
111	大阪府	株式会社モンゴロイド	笹川 賢	https://www.mongoroid.com/	https://www.mongoroid.com/contact/	2025/12/23	⚪︎	
112	大阪府	株式会社阪口屋	ご担当者	https://sakaguchiya.ltd/	https://sakaguchiya.ltd/contact/	2025/12/23	×	文字数制限（500字以下）
113	大阪府	灰桜	砥嶋 勇希	https://www.haizakura.com/	https://www.haizakura.com/contact/	2025/12/23	×	送信エラー
114	大阪府	株式会社CRF	勝 千晶	https://www.cr-f.jp/	https://www.cr-f.jp/contact	2025/12/23	⚪︎	
115	大阪府	株式会社 オフィス･ゼット	清水 美由紀	https://www.ons-ns.com/	https://www.ons-ns.com/pub/contact/index.html	2025/12/23	×	営業不可
116	大阪府	株式会社MITACODE	三谷直史	https://mitacode.com/	https://mitacode.com/contact	2025/12/23	⚪︎	
117	大阪府	株式会社IIP	牧山 雄樹	https://iip-inc.com/	https://iip-inc.com/contact/sales/	2025/12/23	⚪︎	
118	大阪府	株式会社EMLworks	本田 雅人	https://emlworks.co.jp/	https://emlworks.co.jp/contact-production/	2025/12/23	⚪︎	
119	大阪府	イデアルスピナーズ株式会社	田辺 義仁	https://ideale-spinners.co.jp/	https://ideale-spinners.co.jp/contact/	2025/12/23	⚪︎	
120	大阪府	株式会社ステア	石田 隆博	https://www.imadokino.com/	https://www.imadokino.com/contact/	2025/12/23	×	営業不可
121	大阪府	アンド・ケイ株式会社	北山 勝英	https://and-k.net/	https://and-k.net/contact/contact.html	2025/12/23	⚪︎	
122	大阪府	AMR株式会社	高橋隆一郎 ／ 近藤光央	https://www.amr.co.jp/	https://www.amr.co.jp/contact/	2025/12/23	⚪︎	
123	大阪府	yuu	平岡 直樹	https://yuuuu.jp/	https://yuuuu.jp/contact/	2025/12/23	⚪︎	
124	大阪府	有限会社アウェイクコンピュータースクール	舟川洋次/舟川明洋	http://awakecomputer.com/	http://awakecomputer.com/?page_id=361	2025/12/23	⚪︎	
125	大阪府	Viola Web	アカザワ ミサコ	https://viola-web.com/	https://viola-web.com/otoiawase/	2025/12/23	⚪︎	
126	大阪府	株式会社MORE ECHOES	田上 久夏	https://more-echoes.com/	https://more-echoes.com/contact/	2025/12/23	⚪︎	
127	大阪府	セカンドステージ	曽根 翔平	https://02-stage.com/	https://02-stage.com/	2025/12/23	⚪︎	
128	大阪府	株式会社シンミドウ	笹田 知弘	https://sinmido.com/	https://sinmido.com/contact/	2025/12/23	⚪︎	
129	大阪府	株式会社FUN's Produce	横田 祐希	https://www.funs-produce.com/	https://www.funs-produce.com/contact/	2025/12/23	⚪︎	
130	大阪府	コアース株式会社	髙木 一	https://design.coeure.co.jp/	https://design.coeure.co.jp/contact.html	2025/12/23	⚪︎	
131	大阪府	MAKUL	片山 泰人	https://makul.jp/	https://makul.jp/contact/	2025/12/23	⚪︎	
132	大阪府	株式会社イコールズ	ご担当者	https://equals.co.jp/	https://equals.co.jp/contact/	2025/12/23	⚪︎	
133	大阪府	アスモチ株式会社	越田 泰生	https://www.koshicon.com/	https://www.koshicon.com/contact	2025/12/23	⚪︎	
134	大阪府	Designxlink	ご担当者	https://designxlink.com/	https://designxlink.com/contatct/	2025/12/23	×	営業不可
135	大阪府	株式会社アン	三崎 望	https://www.w-star.com/	https://www.w-star.com/form.php?pid=1	2025/12/23	×	送信エラー
136	大阪府	YCOM	松田 祥宗	https://y-com.info/	https://y-com.info/partners/coder.html	2025/12/23	⚪︎	
137	大阪府	株式会社モデスト	堀池 幸一郎	https://www.modesuto.co.jp/	https://www.modesuto.co.jp/contact/	2025/12/23	⚪︎	
138	大阪府	ユーズアイ	木村 太一	https://us-eye.biz/	https://us-eye.biz/contact/	2025/12/23	⚪︎	
139	大阪府	株式会社アイコム総研	梅本 健一	https://www.aimcom.co.jp/	https://www.aimcom.co.jp/contact/	2025/12/23	×	送信エラー
140	大阪府	株式会社エンドラン	佐々木 和彦	https://andrun.co.jp/	https://andrun.co.jp/contact/	2025/12/23	×	送信エラー
141	大阪府	デジックポート	冨士野 勉	https://www.digicport.com/	https://www.digicport.com/inquiry/index.html	2025/12/23	×	営業不可
142	大阪府	イシダウェブ工房	石田 美穂	https://ishida-webkontor.com/	https://ishida-webkontor.com/contact/	2025/12/23	×	問い合わせフォームエラー
143	大阪府	FujiwaraComSupport	藤原 忍	https://fujiwaraco.jp/	https://fujiwaraco.jp/toiawase/	2025/12/23	⚪︎	
144	大阪府	株式会社SneaZ	山内 道幸	https://www.sneaz.co.jp/	https://www.sneaz.co.jp/contact/	2025/12/23	×	営業不可
145	大阪府	株式会社ナツウェブ	夏原 由幸	https://www.72web.co.jp/	https://www.72web.co.jp/contact/	2025/12/23	⚪︎	
146	大阪府	有限会社ワイズシップス	谷津 正樹	https://wisesips.com/	https://www.wisesips.com/contact/	2025/12/23	⚪︎	
147	大阪府	株式会社メディアクト	武藤 靖矩	https://www.mediact.co.jp/	https://www.mediact.co.jp/contact/	2025/12/23	×	営業不可
148	大阪府	株式会社 FENG	ご担当者	https://fenginc.co.jp/	https://fenginc.co.jp/contact.html	2025/12/23	⚪︎	
149	大阪府	イーネットサービス株式会社	鈴木 利彦	http://e-netservice.jp/	http://e-netservice.jp/contact.html	2025/12/23	⚪︎	
150	大阪府	合同会社animofice	猪口 典子	https://animofice.com/	https://animofice.com/contact/index.html	2025/12/23	⚪︎	
151	大阪府	株式会社ヌル	栗原 将史	https://nullkk.co.jp/	https://nullkk.co.jp/2contact.php	2025/12/23	⚪︎	
152	大阪府	有限会社セメントプロデュースデザイン	金谷 勉	https://www.cementdesign.com/	https://www.cementdesign.com/contact/	2025/12/23	⚪︎	
153	大阪府	株式会社Bosque	熊取 祐介	https://bosque-ltd.co.jp/	https://bosque-ltd.co.jp/contact/	2025/12/23	⚪︎	
154	大阪府	株式会社アークファクト	山本 健太郎	https://arkfact.com/	https://arkfact.com/contact/	2025/12/23	⚪︎	
155	大阪府	フォーセゾン	大西 いくや	https://www.wix-land.com/	https://www.wix-land.com/contactus	2025/12/23	⚪︎	
156	大阪府	株式会社メディウム	ご担当者	https://mediumx.co.jp/	https://mediumx.co.jp/contactform/contact/	2025/12/23	⚪︎	
157	大阪府	ASKS株式会社	是枝 勇輝	http://asks.co.jp/	http://asks.co.jp/inquiry/index.html	2025/12/23	⚪︎	
158	大阪府	株式会社クレセントワークス	上田 多一郎	https://www.crescentworks.co.jp/	https://www.crescentworks.co.jp/contact/	2025/12/23	⚪︎	
159	大阪府	株式会社グランドメディア	大竹 正浩	https://grand-media.co.jp/	https://grand-media.co.jp/	2025/12/23	⚪︎	
160	大阪府	株式会社フリーボーン	小林 茂樹	https://freeborn.co.jp/	https://form.run/@freeborn-osaka-privacy	2025/12/23	⚪︎	
161	大阪府	株式会社Emposy	木谷 真也	https://emposy.co.jp/	https://emposy.co.jp/contact/	2025/12/23	⚪︎	
162	大阪府	株式会社インクローバー	ご担当者	https://inclover-inc.com/	https://inclover-inc.com/#global-contact	2025/12/23	⚪︎	
163	大阪府	株式会社リアクティブデザイン	ご担当者	https://reactive-design.com/	https://reactive-design.com/contact/	2025/12/23	⚪︎	
164	大阪府	PHB Design株式会社	狭間 研至	https://phbdesign.jp/	https://phbdesign.jp/contact/	2025/12/23	⚪︎	
165	大阪府	UNDERLINE	徳田 優一	https://u-d-l.jp/	https://u-d-l.jp/contact/	2025/12/23	⚪︎	
166	大阪府	エスアンドティーパートナーズ株式会社	松本 順士	https://stps.co.jp/	https://stps.co.jp/contact-list/contact/	2025/12/23	⚪︎	
167	大阪府	株式会社ロッカンクリエイト	岡口 忠嗣	https://rokkan.jp/	https://rokkan.jp/contact/	2025/12/23	×	送信エラー
168	大阪府	nulo株式会社	萩原 一禎	https://nulo.co.jp/ja/	https://nulo.co.jp/ja/contact-us/	2025/12/23	×	文字数制限（500字以下）
169	大阪府	MEMENTO MORI	Makoto Fukuyama	https://memento-mori.jp/	https://form.run/@memento-mori	2025/12/23	×	営業不可
170	大阪府	株式会社grits	高原 直人	https://grits.co.jp/	https://grits.co.jp/contact/	2025/12/23	⚪︎	
171	大阪府	株式会社STARRYWORKS	木村 幸司	https://www.starryworks.co.jp/	https://www.starryworks.co.jp/contact	2025/12/23	⚪︎	
172	大阪府	株式会社イグロス	上田 多一郎	https://www.igross.co.jp/	https://www.igross.co.jp/contact/index.php	2025/12/23	⚪︎	
173	大阪府	メディエア株式会社	二木 信行	https://www.mediair.net/	https://www.mediair.net/contact/	2025/12/23	⚪︎	
174	大阪府	イセン印刷株式会社	青木 弘児	https://isenprint.co.jp/	https://isenprint.co.jp/contact-web/	2025/12/23	⚪︎	
175	大阪府	NPO法人Co.to.hana	西川 亮	https://cotohana.jp/	https://cotohana.jp/contact#form	2025/12/23	⚪︎	
176	大阪府	株式会社アド・ソニア	ご担当者	http://adsonia.jp/	http://adsonia.jp/Contact.html	2025/12/23	×	文字数制限（500字以下）
177	大阪府	任々堂工房デザイン事務所	ご担当者	https://2n2n.jp/	https://2n2n.jp/	2025/12/23	⚪︎	
178	大阪府	アリスタソリューション株式会社	辻 有吾	https://www.arista-sol.com/	https://www.arista-sol.com/contact/	2025/12/23	⚪︎	
179	大阪府	株式会社ナコム	中野 弘樹	https://nacom.biz/	https://nacom.biz/contact/	2025/12/23	×	問い合わせフォームエラー
180	大阪府	AppTime株式会社	黒田 真次郎	https://apptime.co.jp/	https://apptime.co.jp/contact/	2025/12/23	⚪︎	
181	大阪府	株式会社ドラプロ	福西 真奈	https://www.dorapro.co.jp/	https://www.dorapro.co.jp/mail.php	2025/12/23	⚪︎	
182	大阪府	株式会社メフィラス	ご担当者	https://mefilas.com/	https://mefilas.com/contact/other.php	2025/12/23	⚪︎	
183	大阪府	QUAD web designing	ご担当者	https://www.quad-4.jp/	https://quad-4.jp/contact	2025/12/23	×	送信エラー
184	大阪府	Three & Co.	福森 正紀	https://three-co.jp/	https://three-co.jp/contact/	2025/12/23	⚪︎	
185	大阪府	アカリホノカニ	土居 安佳里	https://akarihonokani.com/	https://akarihonokani.com/contact/	2025/12/23	×	営業不可
186	大阪府	株式会社ASENS	タガヤ コージ	https://asens.jp/	https://asens.jp/contactus/	2025/12/23	×	送信エラー
187	大阪府	株式会社 e-JAN	田渕 晃	https://ejan-sys.com/	https://ejan-sys.com/contactform.php	2025/12/23	×	文字数制限（500字以下）
188	大阪府	株式会社プロモ	ご担当者	https://www.promo-ad.co.jp/	https://www.promo-ad.co.jp/contact/	2025/12/23	⚪︎	
189	大阪府	株式会社SkyApple	濱田 麻衣子	https://skyapple.jp/	https://skyapple.jp/contact.php	2025/12/23	×	送信エラー
190	大阪府	株式会社サードアイ	片岡 龍	https://www.thirdeye.co.jp/	https://www.thirdeye.co.jp/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%81%9b/	2025/12/23	⚪︎	
191	大阪府	イーパフォーマンス株式会社	安達 圭三	https://www.e-performance.co.jp/	https://www.e-performance.co.jp/contact/	2025/12/23	⚪︎	
192	大阪府	株式会社リノ	新家 徳子	https://www.office-rino.com/	https://www.office-rino.com/	2025/12/23	⚪︎	
193	大阪府	有限会社ネスト	大谷 和也	https://www.nest-st.com/	https://www.nest-st.com/	2025/12/23	⚪︎	
194	大阪府	monoglaf	白波瀬 正和	https://www.monoglaf.com/	https://www.monoglaf.com/contact/	2025/12/23	⚪︎	
195	大阪府	株式会社NEGOHAN	ご担当者	https://webworks.negohan.jp/	https://webworks.negohan.jp/html/contact.html	2025/12/23	×	送信エラー
196	大阪府	studio OVAL	山崎 義方	https://studio-oval.com/	https://studio-oval.com/contactus/	2025/12/23	⚪︎	
197	大阪府	有限会社エーエスティー	坂本 丈太郎	https://ast-design.jp/	https://ast-design.jp/contact/	2025/12/23	⚪︎	
198	大阪府	株式会社コンファクトリー	山野 聡	https://konfactory.jp/	https://konfactory.jp/contact/	2025/12/23	⚪︎	
199	大阪府	KAIZEN-YA	ご担当者	https://www.kaizenya-web.com/	https://www.kaizenya-web.com/	2025/12/23	⚪︎	
200	大阪府	株式会社きじねこ	高木 信尚	https://www.kijineko.co.jp/	https://www.kijineko.co.jp/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/	2025/12/23	⚪︎	
201	大阪府	株式会社鶴	鶴田卓也	https://tsuru.group/	https://tsuru.group/contact/	2026/01/08	×	送信エラー
202	大阪府	エムダブ株式会社	森岡昇馬	https://www.webkikaku.com/	https://www.webkikaku.com/contact.php	2026/01/08	⚪︎	
