"行"	"業種判定"	"企業名"	"URL"
"258"	"hybrid"	"株式会社MOJA"	"https://moja-vn.com/ja/"
"259"	"hybrid"	"株式会社ZERO"	"https://zero-s.jp/"
"260"	"hybrid"	"有限会社 AYURA"	"https://e-ayura.com/"
"261"	"hybrid"	"株式会社白瑛"	"https://hakuei.co.jp/"
"262"	"hybrid"	"株式会社office57"	"https://office57.jp/"
"263"	"web_production"	"アイレック株式会社"	"https://i-rec.jp/"
"264"	"web_production"	"株式会社アクセント"	"https://www.accent.co.jp/"
"265"	"web_marketing"	"Sera株式会社"	"https://sera-global.jp/"
"266"	"hybrid"	"株式会社ステラコンサルティング"	"https://web-design.stellaco.jp/"
"267"	"web_production"	"株式会社CINCA"	"https://cinca.dev/"
"268"	"業種違い"	"株式会社addD"	"https://add-d-2022.studio.site/"
"269"	"web_production"	"GiFT株式会社"	"https://gift-tech.co.jp/"
"270"	"hybrid"	"株式会社オープンステージ"	"https://open-stage.asia/"
"271"	"hybrid"	"株式会社クリエイサイエン"	"https://creascien.jp/"
"272"	"hybrid"	"株式会社AO"	"https://aoco.jp/"
"273"	"hybrid"	"プラスファクトリー株式会社"	"https://m-p-h.jp/"
"274"	"hybrid"	"株式会社vino bonds"	"https://shinken.vino-bonds.jp/"
"275"	"web_production"	"株式会社ルーティングシステムズ"	"https://www.routing-sys.jp/"
"276"	"web_marketing"	"株式会社ソーダチャン"	"https://sodachanh.jp/"
"277"	"hybrid"	"合同会社D2Frontier"	"https://d2frontier.com/"
"278"	"業種違い"	"株式会社ブルートラスト"	"https://bluetrust.jp/"
"279"	"web_production"	"株式会社ナードワード社"	"https://nerdword.jp/"
"280"	"業種違い"	"Heyday株式会社"	"https://hydy.jp/"
"281"	"業種違い"	"FORNAX株式会社"	"https://www.fornax.co.jp/"
"282"	"web_production"	"デジタルビジョン株式会社"	"https://d-vision.co.jp/"
"283"	"業種違い"	"株式会社ディアクティブ"	"https://dactive.jp/"
"284"	"業種違い"	"株式会社dig"	"https://www.dig.co.jp/"
"285"	"hybrid"	"株式会社６"	"https://www.6ix.co.jp/"
"286"	"hybrid"	"SODA株式会社"	"https://www.so-da.co.jp/"
"287"	"hybrid"	"株式会社アットウィル"	"https://at-will.com/"
"288"	"業種違い"	"株式会社アイアクト"	"https://www.iact.co.jp/"
"289"	"web_production"	"株式会社ザ・ハウス"	"https://thehouse-websystem.jp/"
"290"	"hybrid"	"株式会社リメディア"	"https://www.remedia.co.jp/"
"291"	"web_production"	"有限会社リニア・ジャパン"	"https://linear-jp.biz/"
"292"	"web_production"	"株式会社オレンジグラフィックス"	"https://www.orange-graphix.com/"
"293"	"hybrid"	"株式会社HUMO"	"https://humo.jp/"
"294"	"hybrid"	"株式会社カタクリコ"	"https://www.katakuriko.jp/"
"295"	"hybrid"	"株式会社クロスリミット"	"https://cross-limit.com/"
"296"	"hybrid"	"株式会社スタイルメント"	"https://www.stylement.co.jp/"
"297"	"hybrid"	"株式会社リフレックス"	"https://www.reflex.jp/"
"298"	"hybrid"	"株式会社ソシオラ"	"https://sociola.co.jp/"
"299"	"業種違い"	"株式会社RIT"	"https://www.rit-inc.co.jp/"
"300"	"web_marketing"	"株式会社CHOICE"	"https://choice-inc.co.jp/"
