company_name,url,normalized_domain,phone,exclusion_scope,reject_reason,evidence_url,reviewed_at
株式会社だん広房,http://www.dankobo.co.jp/,dankobo.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/3011101044295,2026-08-26
株式会社こんにちは,http://www.konnichiwa.co.jp/,konnichiwa.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/7010001143625,2026-08-26
株式会社ラセル,https://lasell.co.jp/,lasell.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/5011101049929,2026-08-26
有限会社ショップデザインピース,https://shopdesign-piece.com/,shopdesign-piece.com,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/7011602021640,2026-08-26
株式会社ＰＥＮＧＵＩＮ　ＷＯＲＫＳ,https://penguin-works.co.jp/,penguin-works.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/1120001266445,2026-08-26
住友不動産シスコン株式会社,https://www.sumitomo-syscon.com/,sumitomo-syscon.com,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/6011101010740,2026-08-26
株式会社マツダＥ＆Ｔ,https://www.mazda-eandt.co.jp/,mazda-eandt.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/9240001016343,2026-08-26
株式会社テクモ,http://www.tecm.co.jp/company/summary/index.html,tecm.co.jp,0466-87-7821,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/6021001001459,2026-08-26
株式会社ハニカムエンジニアリング,https://claygn.com/,claygn.com,06-6585-0397,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/5120003006465,2026-08-26
阿吽スタイル有限会社,https://aunstyle.jp/html/about/index.html,aunstyle.jp,052-703-0474,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/5180002048602,2026-08-26
ディーアンドディー株式会社,http://dd-asia.jp/,dd-asia.jp,045-482-4030,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/6020001084860,2026-08-26
有限会社ヤマ・テクノ・イノベート,https://www.yamatechno.com/%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81-1/,yamatechno.com,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/1060002029510,2026-08-26
アルテサーノ・デザイン合同会社,https://www.terunaga.com/about-artesano/,terunaga.com,090-3572-3021,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/7050003002395,2026-08-26
株式会社ディーブレーン,https://www.dbrain.co.jp/,dbrain.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/4011101048023,2026-08-26
株式会社エヌピーシー福岡,https://www.npcfukuoka.com/about/,npcfukuoka.com,092-739-1169,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/5290001027117,2026-08-26
株式会社リノワイズ,https://renowise.jp/,renowise.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/6140001088370,2026-08-26
株式会社ヒットデザインワークス,https://hitdesignworks.com/about/,hitdesignworks.com,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/5013201014003,2026-08-26
株式会社ジェイアイテック,http://jitech.co.jp/company,jitech.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/6180001113868,2026-08-26
株式会社植野建築設計事務所,https://www.ua-architect.com/,ua-architect.com,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/1080101005360,2026-08-26
株式会社コブラボ建築設計,https://cob-labo.com/company/,cob-labo.com,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/5040001109518,2026-08-26
株式会社ア・ファクトリー,https://www.a-factory.com/,a-factory.com,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/1011101042061,2026-08-26
株式会社ミュー,http://www.mew-mew.co.jp/about/,mew-mew.co.jp,052-791-7881,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/9180001047254,2026-08-26
株式会社ビー・ツー,https://www.bee-2.com/,bee-2.com,045-949-2450,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/9020001044309,2026-08-26
株式会社クラシカ,https://classica.site/,classica.site,06-7171-3383,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/2120001210674,2026-08-26
株式会社ＮＹプラン,https://www.ny-plan.com/,ny-plan.com,082-569-7517,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/2240001017538,2026-08-26
株式会社佐藤設計,https://satoh-sekkei.co.jp/?id=5,satoh-sekkei.co.jp,0565-33-9220,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/4180301018323,2026-08-26
株式会社ＡＲＸＳ,https://arxs933.com/access/,arxs933.com,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/1170001016374,2026-08-26
おかだ設計株式会社,https://okada-a.com/,okada-a.com,028-689-8327,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/1060001030799,2026-08-26
株式会社茜建築設計事務所,http://www.akaneweb.com/,akaneweb.com,072-751-8316,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/5120901019320,2026-08-26
株式会社空間建築工房,https://kuhcan.com/,kuhcan.com,0584-62-7860,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/9200001028359,2026-08-26
株式会社北美枝子オフィス,http://www.kita-m.jp/office/index.html,kita-m.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/5400001008856,2026-08-26
株式会社ファクトリィ,http://www.factory-web.jp/%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81.html,factory-web.jp,086-239-3330,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/2260001005747,2026-08-26
有限会社カジャグーグー,https://www.kajagogo.com/,kajagogo.com,06-6868-9836,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/4120002070694,2026-08-26
有限会社都市建築設計集団,https://www.uapp.jp/about/company,uapp.jp,022-217-2515,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/8370002012552,2026-08-26
株式会社ａｎｄ５ｄｅｓｉｇｎ　ｓｔｕｄｉｏ,https://www.and5design.com/%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81/,and5design.com,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/2140001117174,2026-08-26
株式会社ＬＤＫ,http://www.ldk.co.jp/outline/outline.html,ldk.co.jp,03-6228-4933,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/6010402035959,2026-08-26
株式会社五十嵐賢治建築設計事務所,http://www.igarashikenji.com/03profile.html,igarashikenji.com,03-3702-8557,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/4010901019844,2026-08-26
アトリエＢＢＳ株式会社,http://atelierbbs.com/,atelierbbs.com,092-483-2003,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/9290001019829,2026-08-26
アーネストアーキテクツ株式会社,https://earnest-arch.jp/company/,earnest-arch.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/5011001000454,2026-08-26
合同会社Ｌａｇｏｍ,https://lagom-llc.tokyo/company,lagom-llc.tokyo,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/7011303003442,2026-08-26
フォワードスタイル株式会社,http://www.forward-style.co.jp/company/index.html,forward-style.co.jp,03-3478-1790,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/5010401052667,2026-08-26
株式会社アノワ,https://www.anowa.co.jp/,anowa.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/9010001035770,2026-08-26
株式会社ＧＡＲＤＥ,https://www.garde-intl.com/,garde-intl.com,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/5010401008066,2026-08-26
株式会社ＪＰ設計,http://www.j-pla.co.jp/page/kaishagaiyo,j-pla.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/4030001083203,2026-08-26
株式会社ＩＩＬＳ．,https://www.iils.co.jp/,iils.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/4011001138361,2026-08-26
株式会社バオ,https://www.bau1735.com/,bau1735.com,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/8010001115045,2026-08-26
株式会社ディー・ピー・インターナショナル,https://dpi-tokyo.com/,dpi-tokyo.com,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/2010001084031,2026-08-26
株式会社エイチアンドクロッシング,https://www.handxing.com/,handxing.com,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/2070001011120,2026-08-26
