batch_no,sample_position,sheet_row,company_name,url,contact_url,proposal_class,existing_evidence,classification,reason,official_status,contact_status,form_exists,service_hits,client_hits,weak_only_hits,enterprise_review_term,final_url,contact_final_url,evidence_pages
4,1,152,NBSホテルズ＆リゾーツ株式会社,https://www.toroca.jp,https://www.toroca.jp/contact.php,S｜業界特化Web制作,旅館・ホテル・観光特化支援：旅館／集客支援,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,集客支援 / 集客コンサル / プロモーション,宿泊施設 / ホテル / 旅館,,,https://www.toroca.jp/,https://www.toroca.jp/contact.php,https://www.toroca.jp/#service
4,11,162,株式会社スニットコンピュータ,https://www.snitcomputer.net,https://www.snitcomputer.net/contact-9,S｜業界特化Web制作,旅館・ホテル・観光特化支援：旅館／予約管理,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,宿泊施設 / ホテル / 旅館 / 導入事例,,,https://www.snitcomputer.net/,https://www.snitcomputer.net/contact-9,
4,21,172,株式会社ノサル,https://nosaru.co.jp,https://nosaru.co.jp//contact/,S｜業界特化Web制作,旅館・ホテル・観光特化支援：ホテル／マーケティング,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,開業支援,宿泊施設 / ホテル,予約システム,,https://nosaru.co.jp/,https://nosaru.co.jp/contact/,https://nosaru.co.jp/service/ / https://nosaru.co.jp/cleaning/ / https://nosaru.co.jp/works/
4,31,182,xxx株式会社,https://www.hotelsmart.jp,https://www.hotelsmart.jp/contact/,S｜業界特化Web制作,旅館・ホテル・観光特化支援：宿泊施設向けPMS・運用代行,review_form,実フォームを機械確認できず,200,404,no,ホームページ制作,宿泊施設 / ホテル / 旅館 / 観光 / 導入事例,クラウドサービス / 予約システム,,https://www.hotelsmart.jp/,https://www.hotelsmart.jp/contact/,https://www.hotelsmart.jp/ / https://www.hotelsmart.jp/cancel-fee/ / https://www.hotelsmart.jp/business-hotel-pms/
4,41,192,株式会社フォーセット,https://hoteza.jp,https://hoteza.jp/#contact,S｜業界特化Web制作,旅館・ホテル・観光特化支援：ホテル清掃管理DX支援,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,ホテル / 導入事例,,,https://hoteza.jp/,https://hoteza.jp/#contact,https://hoteza.jp/#results
5,1,202,株式会社 HAGS,https://www.customer-now.jp/,https://embed.customer-now.jp/inquiries/mmPpZKjpT_a80wSDeDQbMw,S｜業界特化Web制作,不動産特化支援：不動産業／マーケティング,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,導入事例,,,https://www.customer-now.jp/,https://embed.customer-now.jp/inquiries/mmPpZKjpT_a80wSDeDQbMw,https://www.customer-now.jp/solutions/ / https://www.customer-now.jp/case/
5,11,212,株式会社レコ,https://www.kajicon.jp/,https://www.kajicon.jp/contact/,S｜業界特化Web制作,不動産特化支援：不動産会社／ホームページ制作,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,ホームページ制作 / seo対策 / 制作会社,店舗 / 不動産会社 / クライアント / 制作実績,賃貸管理,,https://www.kajicon.jp/,https://www.kajicon.jp/contact/,https://www.kajicon.jp/results/ / https://www.kajicon.jp/caseblog/5938/ / https://www.kajicon.jp/caseblog/5824/
5,21,222,業プロ株式会社,https://www.gyo-pro.co.jp/,https://www.gyo-pro.co.jp/contact.html,S｜業界特化Web制作,不動産特化支援：不動産会社／dx支援,likely_not_hub,SaaS・機器・商材・不動産管理等の単体支援のみ検出,200,200,yes,,不動産会社,saas,,https://www.gyo-pro.co.jp/,https://www.gyo-pro.co.jp/contact.html,https://www.gyo-pro.co.jp/#services / https://www.gyo-pro.co.jp/#achievements
5,31,232,株式会社リーテック,https://www.retech-network.com/,https://www.retech-network.com/contact/,S｜業界特化Web制作,不動産業界特化支援：不動産会社向けIT・集客支援,review_form,実フォームを機械確認できず,200,404,no,デジタルマーケ / ブランディング,店舗 / 不動産会社 / 中小企業 / 導入事例,賃貸管理 / 不動産仲介,,https://www.retech-network.com/,https://www.retech-network.com/contact/,https://www.retech-network.com/posts/business/ / https://www.retech-network.com/posts/business/improvement/ / https://www.retech-network.com/posts/business/skill/
5,41,242,株式会社ロカオプ,https://locaop.jp/,https://locaop.jp/contact/,S｜業界特化Web制作,不動産業界特化支援：不動産店舗向けMEO・口コミ集客支援,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,サイト制作 / meo対策,店舗 / クリニック / 飲食店 / 小売店 / 導入事例,予約システム,,https://locaop.jp/,https://locaop.jp/contact/,https://locaop.jp/casestudy/ / https://locaop.jp/casestudy/yoshihisa/ / https://locaop.jp/casestudy/kajikaji/
6,1,252,株式会社ラング,https://rang.jp/,https://rang.jp/contact/,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：リフォーム会社／webサイト,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,,,,https://rang.jp/,https://rang.jp/contact/,https://rang.jp/%E8%BC%B8%E5%87%BA%E4%BA%8B%E6%A5%AD/ / https://rang.jp/example/
6,11,262,シェルフィー株式会社,https://www.shelfy.co.jp/,https://www.shelfy.co.jp/contact,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：建設業／建設dx,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,,,,https://www.shelfy.co.jp/,https://www.shelfy.co.jp/contact,https://www.shelfy.co.jp/service
6,21,272,ITPOINT合同会社,https://kensetumirai.com/,https://kensetumirai.com/contact,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：建設業／施工管理,likely_not_hub,SaaS・機器・商材・不動産管理等の単体支援のみ検出,200,200,no,,導入事例,saas,,https://kensetumirai.com/,https://kensetumirai.com/contact,https://kensetumirai.com/resources/case-studies
6,31,282,株式会社建設新聞社,https://www.kensetsu-sinbun.co.jp/,https://www.kensetsu-sinbun.co.jp/company/,S｜業界特化Web制作,建築・工務店特化支援：地域建設業界向け専門メディア,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,no,,店舗 / 地域企業,,,https://www.kensetsu-sinbun.co.jp/,https://www.kensetsu-sinbun.co.jp/company/,https://www.kensetsu-sinbun.co.jp/information/ichimen/45440/ / https://www.kensetsu-sinbun.co.jp/information/miyagi/45606/ / https://www.kensetsu-sinbun.co.jp/information/miyagi/45546/
6,41,292,株式会社住宅産業新聞社,https://www.jyutaku-sangyo.co.jp/,https://www.jyutaku-sangyo.co.jp/contact/,S｜業界特化Web制作,建築・工務店特化支援：住宅産業向け専門メディア,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,店舗 / 工務店,,,https://www.jyutaku-sangyo.co.jp/,https://www.jyutaku-sangyo.co.jp/contact/,https://jyutaku-sangyo.co.jp/works/ / https://jyutaku-sangyo.co.jp/tsuyama-renovation/ / https://jyutaku-sangyo.co.jp/voices/?tab=case
7,1,302,株式会社アイ・エス・アイソフトウェアー,https://www.isi-grp.co.jp/,https://www.isi-grp.co.jp/inquiry/,S｜業界特化Web制作・店舗支援ハブ,自動車業界特化支援：自動車整備業向け顧客・車両管理システム,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,no,,店舗 / 導入事例,,,https://www.isi-grp.co.jp/,https://www.isi-grp.co.jp/inquiry/,https://www.isi-grp.co.jp/solution/acceleration-dx/ / https://www.isi-grp.co.jp/solution/new-technologies/ / https://www.isi-grp.co.jp/solution/renewal-system-structure/
7,11,312,プレミアソフトプランナー株式会社,https://softplanner.co.jp/,https://softplanner.co.jp/contact,S｜業界特化Web制作・店舗支援ハブ,自動車業界特化支援：自動車整備・車両販売ソフト,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,整備工場 / 導入事例,,,https://softplanner.co.jp/,https://softplanner.co.jp/contact/,https://softplanner.co.jp/#service
7,21,322,株式会社cantik,https://cantik.co.jp/,https://cantik.co.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,自動車業界特化支援：車検・整備・中古車販売向けWeb集客,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,web制作 / ホームページ制作 / サイト制作 / 集客支援 / 広告運用,店舗 / 医院 / クリニック / 歯科 / 美容室,,,https://cantik.co.jp/,https://cantik.co.jp/contact/,https://cantik.co.jp/sns/ / https://cantik.co.jp/staff/ / https://cantik.co.jp/recruitment/
7,31,332,株式会社7Reasons,https://rakumeka.com/,https://rakumeka.com/contact/,S｜業界特化Web制作・店舗支援ハブ,自動車業界特化支援：自動車整備士特化採用支援,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,広告代理,整備工場 / 導入事例,,,https://rakumeka.com/,https://rakumeka.com/contact/,https://rakumeka.com/#case / https://rakumeka.com/#service
7,41,342,有限会社整備新聞社,https://seibi-news.com/,https://seibi-news.com/contact/,S｜業界特化Web制作・店舗支援ハブ,自動車業界特化支援：自動車整備業界専門新聞・広告媒体,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,ホームページ制作 / 経営支援,店舗 / ホテル / 整備工場,,,https://seibi-news.com/,https://seibi-news.com/contact/,https://seibi-news.com/other-works/ / https://seibi-news.com/other-works/#other-pt / https://seibi-news.com/other-works/#other-hp
8,1,352,株式会社PLAN-B,https://www.planb-pet.com/,https://www.planb-pet.com/counseling/,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院専門経営・組織コンサルティング,review_weak_hub,複数の地域事業者との顧客接点を機械確認できず,200,200,yes,ブランディング / 経営支援,,,,https://www.planb-pet.com/,https://www.planb-pet.com/counseling/,https://www.planb-pet.com/%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9/ / https://www.planb-pet.com/%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9/%E3%82%AA%E3%83%B3%E3%83%A9%E3%82%A4%E3%83%B3%E3%81%A7%E3%81%AE%E7%B5%8C%E5%96%B6%E6%94%AF%E6%8F%B4/ / https://www.planb-pet.com/%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9/%E3%82%B3%E3%83%B3%E3%82%B5%E3%83%AB%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%A0/
8,11,362,株式会社ハロペ,https://halope.co.jp/,https://form.run/@halope-5000,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院・ペットサロン向けWeb・顧客管理,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,,,,https://halope.co.jp/,https://form.run/@halope-5000,
8,21,372,有限会社ランタック,https://rantac.jp/,https://rantac.jp/#contact,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院開業・医療機器・設計支援,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,開業支援,クリニック / 不動産会社 / 工務店 / 建設会社,機器販売,,https://rantac.jp/,https://rantac.jp/#contact,https://rantac.jp/kaigyou-support/ / https://rantac.jp/kaigyou-support/ / https://rantac.jp/kaigyou-support/
8,31,382,株式会社ベッツソリューション,https://www.plus-petorelu.jp/,https://www.plus-petorelu.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院向けクラウド診療・予約管理,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,クリニック / 導入事例,,,https://www.plus-petorelu.jp/,https://www.plus-petorelu.jp/contact/,
8,41,392,株式会社オフィスDB,https://officedb.jp/,https://officedb.jp/contact.html,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院専門建築・Web・ブランディング支援,review_form,実フォームを機械確認できず,200,404,no,ブランディング / seo対策,クライアント,,,https://officedb.jp/,https://officedb.jp/contact.html,https://officedb.jp/solution.html / https://officedb.jp/works/index.html
9,1,402,アートム株式会社,https://www.artme.co.jp/,https://www.artme.co.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,フィットネス業界特化支援：スポーツ施設メディア・Web制作・スクール申込決済,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,web制作 / ホームページ制作 / webマーケ / 動画制作 / ブランディング,店舗 / 制作実績,,,https://www.artme.co.jp/,https://www.artme.co.jp/contact/,https://www.artme.co.jp/services/ / https://www.artme.co.jp/results/ / https://www.artme.co.jp/services/#construction
9,11,412,株式会社シーディアイ,https://www.cdi.jpn.com/,https://www.cdi.jpn.com/contact/,S｜業界特化Web制作・店舗支援ハブ,フィットネス業界特化支援：スポーツ体験機器・サイネージ支援,likely_not_hub,SaaS・機器・商材・不動産管理等の単体支援のみ検出,200,200,yes,,店舗,機器販売,,https://www.cdi.jpn.com/,https://www.cdi.jpn.com/contact/,https://www.cdi.jpn.com/jigyo/ / https://www.cdi.jpn.com/ai/ / https://www.cdi.jpn.com/jigyo/fa/
9,21,422,特定非営利活動法人日本トレーニング指導者協会,https://jati.jp/,https://jati.jp/form/,S｜業界特化Web制作・店舗支援ハブ,フィットネス業界特化支援：トレーニング指導者資格・教育,likely_not_hub,SaaS・機器・商材・不動産管理等の単体支援のみ検出,200,200,yes,,,教材,,https://jati.jp/,https://jati.jp/form/,https://jati.jp/about/service.php / https://jati.jp/about/service.php#sect_balance / https://jati.jp/kids/
9,31,432,株式会社プライムエデュケーション,http://www.prime-e.jp/,https://prime-e.jp/contact_access/#access,S｜業界特化Web制作・店舗支援ハブ,フィットネス業界特化支援：運動プログラム・指導者教育,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,,,,https://prime-e.jp/,https://prime-e.jp/contact_access/#access,https://prime-e.jp/#fitness_education
9,41,442,株式会社ワイルド・ライフ・コーポレーション,https://wildlife.jpn.com/,https://wildlife.jpn.com/inquiry/,S｜業界特化Web制作・店舗支援ハブ,フィットネス業界特化支援：ジム開業・内装・運営コンサルティング,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,ホームページ制作 / seo対策 / meo対策,店舗 / 美容室 / 飲食店 / ホテル / 建設会社,研修サービス / 機器販売 / 内装工事,,https://wildlife.jpn.com/,https://wildlife.jpn.com/inquiry/,https://wildlife.jpn.com/company/management-philosophy/ / https://wildlife.jpn.com/business-introduction/ / https://wildlife.jpn.com/business-introduction/support/
10,1,452,FLENS株式会社,https://www.flens.jp:443/,https://www.flens.jp/contact,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,review_form,実フォームを機械確認できず,200,200,no,ブランディング,導入事例,,,https://www.flens.jp:443/,https://www.flens.jp/contact,https://www.flens.jp:443/topic/case / https://www.flens.jp:443/topic/case/lead / https://www.flens.jp:443/topic/case/up-edu
10,11,462,合資会社マネジメント・ブレイン・アソシエイツ,https://management-brain.co.jp/,https://management-brain.co.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,review_weak_hub,複数の地域事業者との顧客接点を機械確認できず,200,200,yes,web制作,,,,https://management-brain.co.jp/,https://management-brain.co.jp/contact/,https://management-brain.co.jp/services/ / https://management-brain.co.jp/services/mba%E4%BC%9A%E5%93%A1%E6%A7%98%E5%B0%82%E7%94%A8%E5%85%A5%E3%82%8A%E5%8F%A3.html / https://management-brain.co.jp/services/%E3%83%A1%E3%83%BC%E3%83%AB%E3%83%9E%E3%82%AC%E3%82%B8%E3%83%B3%E7%99%BB%E9%8C%B22.html
10,21,472,株式会社エンペイ,https://www.enpay.co.jp/service/top,https://www.enpay.co.jp/inquiry,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育施設向け決済・集金支援,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,no,,導入事例,,,https://www.enpay.co.jp/service/top,https://www.enpay.co.jp/inquiry,https://www.enpay.co.jp/service/collecting-money / https://www.enpay.co.jp/service/corporate-option / https://www.enpay.co.jp/service/ai-invoice-import
10,31,482,株式会社好学出版,https://www.kogaku-pub.com/,https://www.kogaku-pub.com/contact/others/,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,likely_not_hub,SaaS・機器・商材・不動産管理等の単体支援のみ検出,200,200,yes,,,教材,,https://www.kogaku-pub.com/,https://www.kogaku-pub.com/contact/others/,
10,41,492,株式会社ＳＲＪ,https://speedreading.co.jp/,https://speedreading.co.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,likely_not_hub,SaaS・機器・商材・不動産管理等の単体支援のみ検出,200,200,yes,,導入事例,教材,,https://speedreading.co.jp/,https://speedreading.co.jp/contact/,https://speedreading.co.jp/terrace/case-study/ / https://speedreading.co.jp/events/od-260729-case-lower/ / https://speedreading.co.jp/events/od-260729-case-as/
11,1,502,株式会社CAN EAT,https://biz.caneat.jp/allergyhearing/,https://biz.caneat.jp/allergycontact/contact,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：アレルギー対応ITサービス「CAN EAT」,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,no,,飲食店 / 宿泊施設 / ホテル / 導入事例,,,https://biz.caneat.jp/allergyhearing/,https://biz.caneat.jp/allergyhearing/contact/,https://biz.caneat.jp/allergyhearing/#! / https://biz.caneat.jp/allergenlist/ / https://biz.caneat.jp/other/
11,11,512,株式会社オリジナルあい,https://original-ai.jp/,https://original-ai.jp/contact/mailform.php,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：ブライダル業界向け商品・運営支援,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,,,,https://original-ai.jp/,https://original-ai.jp/contact/mailform.php,https://original-ai.jp/concept
11,21,522,ユニオンビズ株式会社,https://ub-activelife.jp/,https://ub-activelife.jp/contact/contact_corporation,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：メモリーターフ（人工芝）、moreleaf(人工壁面緑化パネル),likely_not_hub,SaaS・機器・商材・不動産管理等の単体支援のみ検出,200,200,yes,,ホテル / 旅館,卸売,,https://ub-activelife.jp/,https://ub-activelife.jp/contact/contact_corporation/,https://ub-activelife.jp/business/ / https://ub-activelife.jp/business/zaikou/ / https://ub-activelife.jp/business/partner/
11,31,532,一般社団法人写真整理協会,https://photokeep.org/,https://photokeep.org/contact/,S｜業界特化Web制作・店舗支援ハブ,写真業界ハブ：写真・アルバム・撮影関連支援,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,,,,https://photokeep.org/,https://photokeep.org/contact/,
11,41,542,株式会社セキセイ,http://www.sedia.co.jp/,https://www.sedia.co.jp/inquiry,S｜業界特化Web制作・店舗支援ハブ,写真業界ハブ：写真・アルバム・撮影関連支援,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,店舗,,,http://www.sedia.co.jp/,https://www.sedia.co.jp/inquiry/,
12,1,552,HIROM株式会社,https://hirom.co.jp/,https://hirom.co.jp/pages/contact,S｜業界特化Web制作・店舗支援ハブ,葬祭・供養業界ハブ：HARIOの耐熱ガラスを用いたメモリアルポットを出展。 山中塗りと有田焼、本金の金彩を組み合わせた上質な骨壺を中心に、手元供養からペット供養まで、暮らしに馴染む葬祭用品をご提案します。 出展製品情報,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,店舗,,,https://hirom.co.jp/,https://hirom.co.jp/pages/contact,https://hirom.co.jp/policies/terms-of-service
12,11,562,大栄株式会社,https://www.butsui.com/,https://www.butsui.com/inquiry,S｜業界特化Web制作・店舗支援ハブ,葬祭・供養業界ハブ：待望の仏衣新作の発表、大栄仏衣83着の中からご遺族の満足度の高い仏衣や葬儀社様から「案内しやすい」と評判の仏衣の展示。更に、2年前に女性向けを発売し好評をいただいた仏衣の男性向けをご覧いただけます。そして目玉は、仏衣＋αの商品。ご満足いただ,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,,,,https://www.butsui.com/,https://www.butsui.com/inquiry/,
12,21,572,株式会社こもりコーポレーション,https://www.komori-corp.co.jp/,https://www.komori-corp.co.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,葬祭・供養業界ハブ：線香・ローソク・位牌・葬儀消耗品全般 出展製品情報 ネオアイスパック,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,,,,https://www.komori-corp.co.jp/,https://www.komori-corp.co.jp/contact/,https://www.komori-corp.co.jp/news/2025/121863/
12,31,582,株式会社ファンテックス,https://www.fantechs.net/,https://www.fantechs.net/contact/,S｜業界特化Web制作・店舗支援ハブ,葬祭・供養業界ハブ：・祭壇マッピング ・ＬＥＤビジョン（シームレスビジョン） 出展製品情報,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,,,,https://www.fantechs.net/,https://www.fantechs.net/contact/,https://www.fantechs.net/company/location.html / https://www.fantechs.net/bridal/#oparation
