source,source_url,member_type,area,company_name,company_norm,existing_match,existing_locations
JLAA,https://jlaa2003.com/company/,正会員,奈良,株式会社エヌ・アイ・プランニング,エヌ・アイ・プランニング,no,
JLAA,https://jlaa2003.com/company/,正会員,和歌山,サンケイ広告株式会社,サンケイ広告,yes,Webマーケ!1121
JLAA,https://jlaa2003.com/company/,正会員,鳥取,有限会社アドセンターパル,アドセンターパル,yes,シート1!940
JLAA,https://jlaa2003.com/company/,正会員,島根,株式会社コスモプラス,コスモプラス,no,
JLAA,https://jlaa2003.com/company/,正会員,岡山,株式会社ビザビ,ビザビ,no,
JLAA,https://jlaa2003.com/company/,正会員,広島,株式会社RCC文化センター,rcc文化センター,no,
JLAA,https://jlaa2003.com/company/,正会員,山口,株式会社毎日メディアサービス山口,毎日メディアサービス山口,no,
JLAA,https://jlaa2003.com/company/,正会員,香川,株式会社オリコ,オリコ,no,
JLAA,https://jlaa2003.com/company/,正会員,徳島,株式会社オリジナル,オリジナル,yes,除外リスト!1016
JLAA,https://jlaa2003.com/company/,正会員,愛媛,株式会社エス・ピー・シー,エス・ピー・シー,yes,除外リスト!3065
JLAA,https://jlaa2003.com/company/,正会員,高知,朝日エリアコム株式会社,朝日エリアコム,no,
JLAA,https://jlaa2003.com/company/,正会員,福岡,株式会社中広 福岡支社,中広福岡支社,no,
JLAA,https://jlaa2003.com/company/,正会員,福岡,株式会社ジェー・ビー・エフ,ジェー・ビー・エフ,no,
JLAA,https://jlaa2003.com/company/,正会員,長崎,株式会社福広,福広,no,
JLAA,https://jlaa2003.com/company/,正会員,宮崎,K・Pクリエイションズ株式会社,k・pクリエイションズ,yes,Webマーケ!123
JLAA,https://jlaa2003.com/company/,正会員,熊本,サンコー・コミュニケーションズ株式会社,サンコー・コミュニケーションズ,no,
JLAA,https://jlaa2003.com/company/,正会員,鹿児島,合資会社鹿児島広告社,鹿児島広告社,no,
JLAA,https://jlaa2003.com/company/,正会員,沖縄,株式会社サン・エージェンシー,サン・エージェンシー,yes,Webマーケ!316
JLAA,https://jlaa2003.com/company/,賛助会員,沖縄,DMカードジャパン株式会社,dmカードジャパン,no,
JLAA,https://jlaa2003.com/company/,賛助会員,沖縄,株式会社エッジコネクション,エッジコネクション,yes,シート2!1773
JLAA,https://jlaa2003.com/company/,賛助会員,沖縄,株式会社ネクストインターナショナル,ネクストインターナショナル,no,
JLAA,https://jlaa2003.com/company/,賛助会員,沖縄,株式会社インターカラー,インターカラー,no,
JLAA,https://jlaa2003.com/company/,賛助会員,沖縄,恩詩國際行銷有限公司,恩詩國際行銷有限公司,no,
JLAA,https://jlaa2003.com/company/,賛助会員,沖縄,JC Connect株式会社,jcconnect,no,
JLAA,https://jlaa2003.com/company/,賛助会員,沖縄,株式会社gr.a.m,gram,no,
JLAA,https://jlaa2003.com/company/,賛助会員,沖縄,株式会社ときしろ,ときしろ,no,
JLAA,https://jlaa2003.com/company/,賛助会員,沖縄,株式会社アネックスデジタルジャパン,アネックスデジタルジャパン,no,
JLAA,https://jlaa2003.com/company/,賛助会員,沖縄,株式会社ヒトクセ,ヒトクセ,yes,SNS運用_監査前_20260802_0914!146
