"Path","Length","LastWriteTime","Hash"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\iteration-1\eval-3\eval_metadata.json","400","2026-07-17 21:51:53","8CEA4CCA03CA43E03298E7CC779BC1F95B127DCA1B96327F638D7264007FD522"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\iteration-1\eval-3\old_skill\grading.json","342","2026-07-17 21:54:41","88DD1812FD1483D873F4722EB1FC6E10F05EBD84629FD7764FE6929B8E701F41"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\iteration-1\eval-3\old_skill\timing.json","80","2026-07-17 21:54:41","683D8DD2DEC9C910B2B461994FAF1BBCFBE99B5A151892C3879C48A755B135F8"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\iteration-1\eval-3\with_skill\grading.json","362","2026-07-17 21:54:41","2342A2D259B1FF8F061F28B97A73B54F13C7AE4BF5998AC7A6294A9F1E999BA0"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\iteration-1\eval-3\with_skill\timing.json","80","2026-07-17 21:54:41","683D8DD2DEC9C910B2B461994FAF1BBCFBE99B5A151892C3879C48A755B135F8"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\iteration-1\web-company\eval_metadata.json","707","2026-07-17 21:51:53","3A2EAD06B27AF1A36F8183BAB1F62441FA493230B292A62B596BC4CAA5088470"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\iteration-1\web-company\old_skill\grading.json","928","2026-07-17 21:54:41","30A54A035FAFF0986AEDB397EF5A89ADE03F564AA5DD427798BC705D673344F9"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\iteration-1\web-company\old_skill\timing.json","80","2026-07-17 21:54:41","683D8DD2DEC9C910B2B461994FAF1BBCFBE99B5A151892C3879C48A755B135F8"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\iteration-1\web-company\with_skill\grading.json","854","2026-07-17 21:54:41","F9E84385933C2AB8F40348D2FCCE8C5DEFF056F98ED4F559C3DCDA1DD26C0502"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\iteration-1\web-company\with_skill\timing.json","80","2026-07-17 21:54:41","683D8DD2DEC9C910B2B461994FAF1BBCFBE99B5A151892C3879C48A755B135F8"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\skill-snapshot\iteration-1\sales-copywriting\SKILL.md","13519","2026-05-05 07:51:15","8F86192B98603BFB4AAD04CA4DFAF50B12406F8C94469908F64774CFC726DCB7"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\skill-snapshot\iteration-1\sales-copywriting\references\frameworks.md","6848","2026-05-05 07:52:13","627FCF9F5182AA1B7F6238224D83CD0EE1C724F8B18465DA8DB3FDC7C920D9BC"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\skill-snapshot\iteration-1\sales-copywriting\references\ng-patterns.md","6142","2026-05-05 07:53:49","0647E9BE088145709752193276F474DA34CC6BF68889F7C3934C33DB253B770B"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\skill-snapshot\iteration-1\sales-copywriting\references\pdca-log.md","2605","2026-05-05 07:54:12","84EC0EA6ABE35016066F5BB6A6A43E08E9BCCC40D26D01E1EB491C71783AE5D9"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\skill-snapshot\iteration-1\sales-copywriting\references\psychology-triggers.md","5004","2026-05-05 07:53:00","C0BEED54E727E030CBD2FEAE1D69AD4D942EBD2E33CC1ECC58DEE220C9FEABC6"
