company_name,url,address,phone,categories
"（株）ＡＤＫマーケティング・ソリューションズ","https://www.adkms.jp/","東京都港区虎ノ門1-23-1虎ノ門ヒルズ森タワー","","コンサルタント/マーケティング、集客/分析/SEO/データフィード/CRM/広告・SNS運用"
"（株）エシカライブ","http://ethicalive.jp/","東京都港区赤坂1-9-15","","広告代理業・カタログ製作、市場/企業調査/メディア・情報収集、コンサルタント/マーケティング"
"（株）エスプールセールスサポート","https://sales.spool.co.jp/","101-0021 東京都千代田区外神田1-18-13秋葉原ダイビル10F","03-6859-6545","広告代理業・カタログ製作"
"ＮＴＴドコモビジネス（株）","http://www.ntt.com/","東京都千代田区大手町2-3-1大手町ﾌﾟﾚｲｽｳｴｽﾄﾀﾜｰ","","システム関連/一元管理/セキュリティ、AI/チャットボット/WEB接客/問い合わせ一元管理、コールセンター、集客/分析/SEO/データフィード/CRM/広告・SNS運用"
"（株）ＦＣＥ","https://fce-pat.co.jp/","東京都新宿区西新宿2丁目4番1号新宿NSﾋﾞﾙ10階","","クラウドソーシング/効率化・自動化ツール/ツール連携、システム関連/一元管理/セキュリティ、コンサルタント/マーケティング"
"（株）オービービー","http://obbc.jp/","京都府京都市右京区西京極南庄境町２番地","","広告代理業・カタログ製作、DM/印刷関係、印刷関連/梱包/パッケージ/用紙"
"（株）カスタマーリレーションテレマーケティング","http://www.crtm.co.jp/","大阪府大阪市北区曽根崎2-2-15KDX東梅田ビル2Ｆ","","市場/企業調査/メディア・情報収集、コンサルタント/マーケティング、システム関連/一元管理/セキュリティ、コールセンター"
"キャリアリンク（株）","https://www.careerlink.co.jp/","163-0433 東京都新宿区西新宿2-1-1新宿三井ビル33階","03-3340-5077","市場/企業調査/メディア・情報収集、集客/分析/SEO/データフィード/CRM/広告・SNS運用、コールセンター、人材派遣"
"（株）京橋エイジェンシー","http://www.kyobashi-ag.co.jp","東京都千代田区外神田5-4-4","","広告代理業・カタログ製作、市場/企業調査/メディア・情報収集"
"ギグワークスアドバリュー（株）","https://add.gig.co.jp/","大阪府大阪市中央区北浜2-6-18淀屋橋スクエア5階","","コールセンター、UGC/動画コマース、その他"
"（株）ＧＲＯＷＴＨ　ＶＥＲＳＥ","https://growth-verse.ai","105-6238 東京都港区愛宕2-5-1愛宕グリーンヒルズMORIタワー38F","","集客/分析/SEO/データフィード/CRM/広告・SNS運用、AI/チャットボット/WEB接客/問い合わせ一元管理、DM/印刷関係"
"（株）グローバル・メディア・プラネッツ","http://www.gmplanets.co.jp","東京都港区麻布台2-3-14","","広告代理業・カタログ製作"
"（株）広明通信社","http://www.ad-koumei.com/","101-0041 東京都千代田区須田町1-34-4神田グロウビル","","広告代理業・カタログ製作"
"（有）ゴッドキッズ","https://www.godxids.com/","東京都渋谷区神宮前3-18-12","","広告代理業・カタログ製作"
"佐川印刷（株）","http://www.spcom.co.jp/","京都府向日市森本町戌亥5-3","","広告代理業・カタログ製作、DM/印刷関係"
"サヴァリ（株）","https://savari.jp/","東京都中央区東日本橋二丁目4番1号","","商品企画、市場/企業調査/メディア・情報収集、コンサルタント/マーケティング、サイト制作/カート/ASP/アプリ、広告代理業・カタログ製作"
"（株）三栄広告社","http://www.sanei-ad.jp/","東京都千代田区飯田橋1-12-17稲門ビル","","広告代理業・カタログ製作、集客/分析/SEO/データフィード/CRM/広告・SNS運用、DM/印刷関係"
"シービーアールイー（株）","https://www.cbre.co.jp/","東京都千代田区丸の内2-1-1","","コンサルタント/マーケティング、物流倉庫/配送会社/置き配"
"（株）システムリサーチ","https://www.ilii.jp/","東京都新宿区西新宿2-7-1小田急第一生命ビル24F","","システム関連/一元管理/セキュリティ、サイト制作/カート/ASP/アプリ、AI/チャットボット/WEB接客/問い合わせ一元管理、集客/分析/SEO/データフィード/CRM/広告・SNS運用"
"（株）シップス","http://www.cips.co.jp/","大阪府大阪市北区本庄東2-5-27","","広告代理業・カタログ製作、DM/印刷関係"
"（株）新広社","https://www.shinkosha.net/","大阪府大阪市西区西本町1-4-1ｵﾘｯｸｽ本町ﾋﾞﾙ14F","","広告代理業・カタログ製作"
"（株）ジーニー","https://geniee.co.jp/","東京都新宿区西新宿6-8-1住友不動産新宿ｵｰｸﾀﾜｰ6F","","広告代理業・カタログ製作"
"（株）ジンテック","http://www.jintec.com/","東京都千代田区二番町11-7住友不動産二番町ﾋﾞﾙ3F","","集客/分析/SEO/データフィード/CRM/広告・SNS運用、AI/チャットボット/WEB接客/問い合わせ一元管理"
"（株）ＳＵＰＥＲ　ＳＴＵＤＩＯ","https://www.super-studio.jp/","1530064 東京都目黒区下目黒2-23-18目黒山手通ビル8F","03-5759-6380","AI/チャットボット/WEB接客/問い合わせ一元管理、コンサルタント/マーケティング、サイト制作/カート/ASP/アプリ、集客/分析/SEO/データフィード/CRM/広告・SNS運用"
"（株）ストリート","https://www.street-inc.com/","東京都港区海岸1-2-20汐留ビルディング21F","","広告代理業・カタログ製作、コンサルタント/マーケティング"
"ＺＥＴＡ（株）","https://zeta.inc","1540024 東京都世田谷区三軒茶屋2-11-22サンタワーズセンタービル17F","0120-859-433","集客/分析/SEO/データフィード/CRM/広告・SNS運用、UGC/動画コマース、AI/チャットボット/WEB接客/問い合わせ一元管理"
"（株）ゼネラルアサヒ","http://www.generalasahi.co.jp/","福岡県福岡市東区松田3-777","","DM/印刷関係、広告代理業・カタログ製作"
"（株）ｓｏｇｎｏ","https://sognojapan.jp/","東京都中央区築地4-12-2シグネットビル9階","03-6450-1978","広告代理業・カタログ製作"
"（株）ダーウィンズ","http://www.darwinz.jp/","東京都渋谷区宇田川町39-2ﾋﾞﾚｯｼﾞ80 5F","","AI/チャットボット/WEB接客/問い合わせ一元管理、集客/分析/SEO/データフィード/CRM/広告・SNS運用、コールセンター"
"（株）大広","http://www.daiko.co.jp/","東京都港区芝２丁目14-5","","市場/企業調査/メディア・情報収集、集客/分析/SEO/データフィード/CRM/広告・SNS運用"
"大日本印刷（株）","https://www.dnp.co.jp/","東京都新宿区市谷加賀町1-1-1","","コンサルタント/マーケティング、DM/印刷関係、クラウドソーシング/効率化・自動化ツール/ツール連携"
"（株）ダイレクト・ホールディングス","https://direct-holdings.co.jp/","東京都新宿区西新宿3-20-2東京ｵﾍﾟﾗｼﾃｨﾀﾜｰ39階","","集客/分析/SEO/データフィード/CRM/広告・SNS運用、広告代理業・カタログ製作"
"（株）ダイレクトマーケティンググループ","http://www.dmg-one.co.jp/","大阪府大阪市西区西本町1-4-1オリックス本町ビル7Ｆ","","コンサルタント/マーケティング、コールセンター、出荷管理/フルフィルメント"
"ディーエムソリューションズ（株）","https://ul-logi.jp/","180-0005 東京都武蔵野市御殿山1-1-3クリスタルパークビル2F","0120-489-017","サイト制作/カート/ASP/アプリ、広告代理業・カタログ製作、集客/分析/SEO/データフィード/CRM/広告・SNS運用、DM/印刷関係、コールセンター、在庫管理/返品対応、物流倉庫/配送会社/置き配、出荷管理/フルフィルメント、印刷関連/梱包/パッケージ/用紙"
"（株）ディーエムネットワーク","https://www.dmnetwork.jp/","福岡県福岡市東区馬出1-13-9D-1ﾋﾞﾙ701","","広告代理業・カタログ製作、コンサルタント/マーケティング"
"（株）ディー・クリエイト","http://www.d-create.co.jp","105-0014 東京都港区芝2-14-5","","サイト制作/カート/ASP/アプリ、広告代理業・カタログ製作、集客/分析/SEO/データフィード/CRM/広告・SNS運用"
"ＤＣアーキテクト（株）","http://89ji.com","東京都中央区京橋2-7-14ﾋﾞｭﾚｯｸｽ京橋5階","","コンサルタント/マーケティング"
"（株）Dダイレクションズ","https://d-direction.jp/","108-0014 東京都港区芝4-1-23三田NNビル15階","","広告代理業・カタログ製作、DM/印刷関係"
"（株）ディレクタス","http://www.direct-us.jp/","東京都中央区銀座4-10-3セントラルビル7F","","広告代理業・カタログ製作、コンサルタント/マーケティング、市場/企業調査/メディア・情報収集"
"（株）デイワン","https://day-1.tokyo/","107-0061 東京都港区北青山2-7-20猪瀬ビル2F","03-4400-2964","市場/企業調査/メディア・情報収集、サイト制作/カート/ASP/アプリ、クラウドソーシング/効率化・自動化ツール/ツール連携、コンサルタント/マーケティング、広告代理業・カタログ製作、集客/分析/SEO/データフィード/CRM/広告・SNS運用、UGC/動画コマース、AI/チャットボット/WEB接客/問い合わせ一元管理"
"（株）電通","http://www.dentsu.co.jp/","東京都港区東新橋1-8-1","","広告代理業・カタログ製作"
"（株）電通ダイレクト","https://www.ddir.co.jp/","東京都港区東新橋1-8-1電通本社ﾋﾞﾙ","","コンサルタント/マーケティング、集客/分析/SEO/データフィード/CRM/広告・SNS運用、UGC/動画コマース"
"（株）東通メディア","http://www.totsumedia.co.jp/","東京都中央区八丁堀4-8-2秀和第2桜橋ビル8Ｆ","","システム関連/一元管理/セキュリティ、コールセンター、広告代理業・カタログ製作"
"（株）ドーモ","https://www.domore.co.jp/","東京都中央区築地1-5-1RENGA東銀座2F","","コンサルタント/マーケティング、クラウドソーシング/効率化・自動化ツール/ツール連携"
"（株）ドリーム","http://www.mydream.co.jp/","愛知県名古屋市東区徳川町403I・C・Cクオリアビル","","広告代理業・カタログ製作"
"（株）日本リサーチセンター","https://www.nrc.co.jp","104-0033 東京都中央区新川1-17-25","","市場/企業調査/メディア・情報収集、コンサルタント/マーケティング、商品企画"
"（株）博報堂","http://www.hakuhodo.co.jp/","東京都港区芝浦3-4-1グランパークタワー","","広告代理業・カタログ製作"
"（株）博報堂コンタクト&ロジスティクス","https://hakuhodo-cl.co.jp/","135-8118 東京都江東区豊洲5-6-15NBF豊洲ｶﾞｰﾃﾞﾝﾌﾛﾝﾄ9F","","AI/チャットボット/WEB接客/問い合わせ一元管理、コールセンター、クラウドソーシング/効率化・自動化ツール/ツール連携、集客/分析/SEO/データフィード/CRM/広告・SNS運用、在庫管理/返品対応、物流倉庫/配送会社/置き配、出荷管理/フルフィルメント"
"（株）博報堂プロダクツ","http://www.h-products.co.jp/","東京都江東区豊洲5-6-15","","集客/分析/SEO/データフィード/CRM/広告・SNS運用、広告代理業・カタログ製作"
"パーソルコミュニケーションサービス（株）","https://www.persol-bd.co.jp/csl/","220-0012 神奈川県横浜市西区みなとみらい4-4-5横浜アイマークプレイス","050-3163-8300","コールセンター、AI/チャットボット/WEB接客/問い合わせ一元管理、集客/分析/SEO/データフィード/CRM/広告・SNS運用"
"ヒガ・アーツアンドメタル（株）","http://higa-bull.com/","東京都大田区大森北6-26-23","","広告代理業・カタログ製作"
"秘書センター（株）","https://www.hishocenter.com/","108-0014 東京都中央区銀座8丁目13-1銀座三井ビルディング","03-3457-9052","AI/チャットボット/WEB接客/問い合わせ一元管理、コールセンター、市場/企業調査/メディア・情報収集、コンサルタント/マーケティング"
"ビーウィズ（株）","https://www.bewith.net/","大阪府大阪市北区梅田3-3-20","","コンサルタント/マーケティング、コールセンター"
"（株）ピアラ","http://www.piala.co.jp","東京都渋谷区恵比寿4-20-3恵比寿ｶﾞｰﾃﾞﾝｰﾌﾟﾚｲｽ29F","","広告代理業・カタログ製作"
"（株）フォー・レディー","http://www.forlady.co.jp/","東京都中央区銀座1-16-7銀座大栄ビル9F","","集客/分析/SEO/データフィード/CRM/広告・SNS運用、広告代理業・カタログ製作、コンサルタント/マーケティング"
"富士フイルムビジネスイノベーションジャパン（株）","https://www.fujifilm.com/fb/company/fbj?Lnk=flyout","135-0061 東京都江東区豊洲２丁目2番1号","03-6630-8000","コンサルタント/マーケティング、システム関連/一元管理/セキュリティ、サイト制作/カート/ASP/アプリ、クラウドソーシング/効率化・自動化ツール/ツール連携、集客/分析/SEO/データフィード/CRM/広告・SNS運用、DM/印刷関係、物流倉庫/配送会社/置き配、印刷関連/梱包/パッケージ/用紙"
"（株）フロンテッジ","http://www.frontage.jp/","東京都港区西新橋1-18-17明産西新橋ﾋﾞﾙ","","広告代理業・カタログ製作"
"（株）プラド","https://prad.co.jp/","500-8833 岐阜県岐阜市神田町1丁目8番4プラドビル","058-264-1171","コンサルタント/マーケティング、広告代理業・カタログ製作、集客/分析/SEO/データフィード/CRM/広告・SNS運用、UGC/動画コマース、DM/印刷関係"
"ボストン・コンサルティング・グループ（同）","https://www.bcg.com/ja-jp/","103-0022 東京都中央区日本橋室町三丁目2番1号","03-6387-2000","コンサルタント/マーケティング"
"（株）郵宣企画","https://www.yusenkikaku.co.jp/","大阪府大阪市淀川区西中島4-1-1日清食品ﾋﾞﾙ10階","","広告代理業・カタログ製作"
"（株）読売新聞東京本社","https://www.yomiuri.co.jp","東京都千代田区大手町1-7-1","","物流倉庫/配送会社/置き配、DM/印刷関係、広告代理業・カタログ製作"
"（株）ラ・フ","http://fujikosen.co.jp/","大阪府大阪市中央区高麗橋2-3-5柳湖堂ビル6F","","広告代理業・カタログ製作"
"（株）ワンゴジュウゴ","https://www.wan55.co.jp","102-0094 東京都千代田区紀尾井町3-6紀尾井町パークビル7階","03-3234-5586","市場/企業調査/メディア・情報収集、コンサルタント/マーケティング、サイト制作/カート/ASP/アプリ、集客/分析/SEO/データフィード/CRM/広告・SNS運用、人材派遣"
"（株）ワンスター","https://one-star.jp/","108-0014 東京都港区芝5-34-6新田町ビル3階","070-5462-5573","コンサルタント/マーケティング、サイト制作/カート/ASP/アプリ、広告代理業・カタログ製作、集客/分析/SEO/データフィード/CRM/広告・SNS運用、AI/チャットボット/WEB接客/問い合わせ一元管理"
