company_name,url,address,phone,maps_url,contact_url,decision,company_identity_ok,service_evidence_ok,sales_prohibited,enterprise_match,contact_verified,proposal_category,evidence_term
株式会社アイプラス,https://www.iplus-web.co.jp/,,,,https://www.iplus-web.co.jp/contact,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社Method Innovation,https://www.method-innovation.co.jp/,,,,https://www.method-innovation.co.jp/contact/,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
SO MEDICAL DESIGN合同会社,https://somedical.co.jp/,,,,,drop_no_verified_contact,true,true,false,false,false,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
有限会社アイシス,https://www.aisis.ne.jp/,,,,https://www.aisis.ne.jp/#contact,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社デジタルコア,https://medical.digitalcore.jp/,,,,https://docs.google.com/forms/d/e/1FAIpQLSdj9E46TOU2iveog0X2x9KBmohV0GC4v5CnpnrA_CtFPO8zlg/viewform,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
有限会社アップルハウス,https://homepage-tokyo.jp/,,,,https://homepage-tokyo.jp/inquiry/,review_company_identity,false,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
東京デジタルビームス合同会社,https://www.hospital-web.net/,,,,https://www.hospital-web.net/asking/index.html,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社ステージグループ,https://www.medicalwebstage.jp/,,,,https://www.medicalwebstage.jp/contact/,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社メディケアネット,https://mc-net.jp/service/hp_production/,,,,https://mc-net.jp/contact/,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社リヤン,https://www.trancefer-co.info/,,,,https://www.trancefer-co.info/inq/,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社彩楽,https://www.sairaku.jp/,,,,,drop_no_verified_contact,true,true,false,false,false,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社H.PLUS,https://hplus.jp/,,,,https://hplus.jp/contact/,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社ホウエイヴェリティス,https://www.medical-parks.com/,,,,https://www.medical-parks.com/contact/dairiten.html,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社オルソアドバンス,https://www.ortho-advance.com/,,,,https://www.ortho-advance.com/contact.html,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社ニジモ,https://www.nijimo.jp/,,,,https://www.nijimo.jp/company/contact/,drop_sales_prohibited,true,true,true,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社MIRAIZU,https://www.miraizu-inc.jp/,,,,https://www.miraizu-inc.jp/contact/,drop_sales_prohibited,true,true,true,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
マザーハンズ株式会社,https://m-hands.net/,,,,https://m-hands.net/contact/,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社システムズナカシマ,https://www.dental-smart.net/,,,,https://www.dental-smart.net/contact/,review_company_identity,false,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社ロードスキップ,https://medicalskip.com/,,,,https://medicalskip.com/contact/,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社ディーエーエム,https://www.dam.co.jp/,,,,https://www.dam.co.jp/contact/,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
高陽株式会社,https://clinicl.com/,,,,https://clinicl.com/inquiry/,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社コルボ,https://www.colbo.co.jp/,,,,https://www.colbo.co.jp/contact/,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社hypex,https://hypex.jp/,,,,https://hypex.jp/contact,review_service_evidence,true,false,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社イーディライト,https://edilight.co.jp/,,,,,drop_no_verified_contact,false,false,false,false,false,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社メディカルウェブ,https://medical-web.co.jp/,,,,,drop_no_verified_contact,false,false,false,false,false,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社まるは,https://maruha-medical.jp/,,,,,drop_no_verified_contact,false,false,false,false,false,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社メディカルコンサルティング,https://medical-consulting.co.jp/,,,,,drop_no_verified_contact,false,false,false,false,false,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社ルミネージ,https://luminage.co.jp/,,,,https://luminage.co.jp/contact/,drop_sales_prohibited,true,true,true,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社リバティーフェローシップ,https://tahlab.net/,,,,https://tahlab.net/contact/,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社REACT,https://campaign.reacdesign.com/,,,,https://campaign.reacdesign.com/#asked,review_company_identity,false,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社A.design,https://adesign.jp/,,,,https://adesign.jp/contact/index.html,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社BAU,https://bau-marketing.jp/,,,,https://bau-marketing.jp/contact,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社ほねぺじ,https://www.honepage.com/,,,,https://www.honepage.com/contact/index.html,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
