display_name,company_name,url,contact_url,evidence,source_url,fetch
大一産業株式会社,大一産業株式会社,https://www.daiichisangyo.co.jp/e-cleansystem/e-tolere_e-tolerepower/,, 「人手不足・高齢化が進んでいる業界」「清掃は大変できつくて汚い」 この課題解決と業界イメージを変え、キレイを実現するお手伝いする為に我々の会社はあります。誰でも簡単にキレイを実現できる“イークリーンシステム”長年多くのお客様に愛され、育てていただいた掃除機極５をはじめとするブランド“FPS製品”この２本軸を中心に製品をラインナップしております。ビルメンテナ,https://www.bmfairtokyo.net/exhibitors/,HTTPError
山崎産業株式会社,山崎産業株式会社,https://www.yamazaki-sangyo.co.jp/,, 山崎産業株式会社は環境用品メーカーです。 清潔で快適な環境を皆様とともに。 「コンドルブランド」で知られる山崎産業の業務用環境用品。 ビルメン市場をはじめ、駅や学校、オフィス、店舗などの様々な施設で利用され、清潔で美しい街づくりに役立っています。 モノづくりにおいて私たちが大切にしているのは、空間に求められる機能とデザイン、そして環境へ与える影響まで徹底的,https://www.bmfairtokyo.net/exhibitors/,ok
日本マルセル株式会社,日本マルセル株式会社,http://www.maruseru.co.jp/,, 「オレンジ臭のない油性クリーナーで小分けのスプレータイプがあれば便利」 「pHが低めの磁器タイル向けのクリーナーで、高い洗浄力があるもの」 「浴場の清掃を効果的に実施できる専用の資機材」 「エスカレーター周辺の美観向上が出来るのであれば、施設オーナーに提案できる」 「女性作業者の負担を少しでも軽減するには？」 「いくらトイレをキレイにしても、排管内の臭気を,https://www.bmfairtokyo.net/exhibitors/,ok
株式会社 マイスター６０,・株式会社,https://www.mystar60.co.jp/,https://www.mystar60.co.jp/post/information/, マイスター６０は１９９０年の設立以来の経営理念をベースに、「年齢は背番号 人生に定年なし®」を共通の価値観として事業を展開、これまでに建設・施設管理をはじめとする技術部門を中心に９，５００人を超える高年齢求職者と企業とのマッチング実績を積み上げてまいりました。ビル設備管理と建築・土木施工管理への人材派遣/人材紹介を得意とし、大手企業様とのお取引が多数ござい,https://www.bmfairtokyo.net/exhibitors/,ok
株式会社 マキタ,株式会社マキタ,https://www.makita.co.jp/,https://www.makita.co.jp/inquiry/, （株）マキタは、ビルメンテナンス業界の多様なニーズに応える多彩な製品とソリューションを提案しています。長年培った独自のモータとバッテリー技術を活かし、ハイパワーで操作性に優れた充電式コードレス製品を幅広く取り揃えています。クリーナなどの清掃機器からブロワなどの園芸製品まで多様な製品ラインアップで作業効率の向上と省人化を実現。電源確保が難しい現場でも安定した,https://www.bmfairtokyo.net/exhibitors/,ok
株式会社 湖南商会,株式会社湖南商会,https://konan-shokai.co.jp/,https://konan-shokai.co.jp/inquiry.html, あったらイイなを形に。現場に合わせたオリジナル什器のご提案いたします。ロッカー・書庫はもちろんキーボックスなど様々な商品を多数ご用意いたしております。また、リニューアル商品、粉末洗剤『ZEROコンパクト』を始め湖南商会オリジナル商品も多数ご紹介いたします。ご来場お待ちしております。,https://www.bmfairtokyo.net/exhibitors/,ok
株式会社DFA Robotics,社名株式会社,https://dfarobotics.com/,," DFA Roboticsは清掃ロボット導入・定着・保守を一貫してご支援。4,700台以上を導入支援した実績から、最適なロボットのご提案・設置を行うだけでなく、現場で“使い続けられる”ために伴走し、ロボットと人が協働する清掃オペレーションをトータルでご提案いたします。万が一のトラブル時には、全国約160箇所の保守拠点から迅速かつ手厚いアフターサポートを行い、",https://www.bmfairtokyo.net/exhibitors/,ok
株式会社J.フロントプライムスペース,株式会社J.フロントプライムスペース,https://www.jfps.co.jp/plusbision/,https://www.jfps.co.jp/contact/, ビル・施設管理に関わる多様な情報をまとめて見える化し、現場管理をスムーズにするクラウドサービス「＋BISION（プラスビジョン）」は、作業予定・予実管理・修繕履歴・設備情報・不具合管理などを一元管理することで、業務の抜け漏れ防止や引継ぎの効率化を実現。加えて、平面図と360°写真に対して設備情報との連動を可能にする「パノラマmemo」をご紹介。両システム共,https://www.bmfairtokyo.net/exhibitors/,ok
株式会社つやげん,株式会社つやげん,https://www.tsuyagen.co.jp/,https://www.tsuyagen.co.jp/contact.html, 新製品の帯電防止剤配合樹脂ワックス「NEWサテライトNEO」18L、壁掛けエアコンに大変お薦めの洗浄剤「アルミフィンクリーナーマイルド」20㎏/4㎏×4本、新たに取り扱いを開始したタオルペーパー、DOTダスタークロス等の低価格紙製品、その他つやげんブランドお薦め製品を中心としたご紹介となります。是非つやげんブースへのお立ち寄りをお待ちしております。,https://www.bmfairtokyo.net/exhibitors/,ok
株式会社アイデム,株式会社アイデム,https://www.aidem.co.jp/,https://www.aidem.co.jp/contact/index.html," ビルメンテナンス業界の取引実績全国5,809社！慢性的な人手不足や現場人材の高齢化、有資格者・経験者の採用難といった業界特有の課題に向き合ってきたのが株式会社アイデムです。採用ホームページや企業ホームページの構築・運用、採用管理システム、求人サイト・求人広告、人材紹介、外国人材活用、研修までをワンストップで提供。エリア特性を活かしたWEB集客ノウハウを活か",https://www.bmfairtokyo.net/exhibitors/,ok
株式会社アムテック,株式会社アムテック,https://www.ameni-tec.co.jp/,https://www.ameni-tec.co.jp/inquiry/, 今使っている洗剤、正しく使用出来ていますか？どれだけ性能の高い洗剤でも、希釈や取り扱いにばらつきがあれば、本来の品質は発揮されません。現場ごとの運用差、作業者ごとの習熟差、補充や管理の負担。こうした“見えにくい課題”が、洗浄品質の不安定さや現場負担につながっています。洗剤選びで重要なのは、洗浄力だけではありません。大切なのは、誰が使用しても安定した品質を出,https://www.bmfairtokyo.net/exhibitors/,ok
株式会社イシイ,株式会社イシイ,http://www.ishii-141.co.jp/,, ビルメンテナンス機材商社 出展商品 オリジナル商品：ねじれブラシ、キーチェーン、ダストカー用バンパー、タオルペーパー 暑さ対策商品：クールネック、空調服 環境対策商品：リサイクルトイレットペーパー 防災備品：防災備蓄用トイレットペーパー アイセン：がんこ汚れ洗浄スポンジ他商品,https://www.bmfairtokyo.net/exhibitors/,ok
株式会社エイコー,株式会社エイコー,https://www.eicoh.com/,https://www.eicoh.com/contact, エイコーブースでは、皆様のオフィスや現場における業務効率化・経費削減に役立つ、以下の５つの製品・サービスをご紹介いたします。 ・法人向け生成AIエージェント「ナレナビ」 ※安心して使えるセキュリティ対策と手厚いサポート ・セキュリティ対策評価制度への対応支援サービス ※現状把握から技術的対策支援まで対応 ・暑熱対策の新常識「アイススラリー冷蔵庫」 ※市販飲,https://www.bmfairtokyo.net/exhibitors/,ok
株式会社サンワ,株式会社サンワ,https://www.sanwa-clean.jp/,https://www.sanwa-clean.jp/contact.html, 弊社は業務用清掃資機材を中心に施設管理備品、消耗品全般を幅広く取り扱っております。 昭和33年創業以来68年、ビルメンテナンス資機材のプロフェッショナルとして、業務用ケミカルをはじめ、各種消耗品、清掃機器から設備、防災用品に至るまで幅広いラインナップを取り揃え、お客様とともに現場の「問題解決のお手伝い」をさせていただいております。 また、現場の声をヒントに,https://www.bmfairtokyo.net/exhibitors/,ok
株式会社テラモト,株式会社テラモト,https://www.teramoto.co.jp/,https://www.teramoto.co.jp/inquiry_list, 今年で９９周年目を迎える清掃資機材メーカーです。自動搬送ロボットやUNI-ONEなど最新の機材から、デザイン性の高い清掃カート、使い勝手の良い清掃資機材など幅広く展示。【変わる、メンテナンス】を体現した進化するテラモトブランドのものを導入することで、御社のブランドイメージ向上に大きく貢献します。たくさんのサンプル品、デモ機を実際に触れていただき、体感するこ,https://www.bmfairtokyo.net/exhibitors/,ok
株式会社ユシロ,株式会社ユシロ,https://www.yushiro.co.jp/,https://www.yushiro.co.jp/contact, ・ハクリが出来るガラスコーティング「アルファガードメルティシステム」のご紹介 ・アルカリ電解水ではくりが出来る「イージーピールフロアケア」のご紹介 ・「鏡面セラミックタイル防汚コート」、コケ除去「おそとのぴきゃみん」、エアコン洗剤 「ALフィンシリーズ」、薬用ハンドソープ「泡サボン」など、新製品ご紹介,https://www.bmfairtokyo.net/exhibitors/,ok
株式会社リンレイ,株式会社リンレイ,https://www.rinrei.co.jp/,https://www.rinrei.co.jp/inquiry_list/, 各種フロアコーティングをはじめ、機能性コーティングを多数展示、リンレイの革新的なコーティングシステムをご紹介いたします。 簡単、安全、業務効率(省力化、省人化)、品質向上をコンセプトに各種コーティングがもたらす効果的メンテナンスをご提案をさせていただきます。 その他、高機能製品の体感コーナーやマシンのデモ展示も予定しております。 是非リンレイブースへお立ち,https://www.bmfairtokyo.net/exhibitors/,ok
株式会社富士管理,エフ・ソリューションズ株式会社,https://www.picattecapet.jp/,https://www.picattecapet.jp/#toc-8, ～タイルカーペットは棄てずに洗う時代へ～ 清掃サービスを主にビルメンテナンス業を営む富士管理では、より社会貢献性を意識した事業展開をするようになってまいりました。そのなかでもタイルカーペット延命利用（廃棄物抑制）を目指すリユースカーペット事業は、強く押し出しているもののひとつです。このたびグループ会社にてタイルカーペット洗浄マシンの開発・販売を始めました。,https://www.bmfairtokyo.net/exhibitors/,ok
株式会社東京ユニフォーム,株式会社,https://www.tokyouniform.co.jp/,https://www.tokyouniform.co.jp/#content, 猛暑下での作業負担を軽減し、熱中症リスクを下げる最新の空調服・作業服・冷却アイテムを展示しています。ビル管理、清掃、設備点検など、暑さの影響を受けやすい現場に向けた実用的なソリューションを、試着や風量デモを通じてその場で体感いただけます。快適性の向上による作業効率の改善や、安全性の確保につながるポイントを分かりやすく紹介。現場環境や作業内容に合わせた最適モ,https://www.bmfairtokyo.net/exhibitors/,ok
蔵王産業株式会社,蔵王産業株式会社,https://www.zaohnet.co.jp/,https://www.zaohnet.co.jp/contact/, 人手不足と品質要求の高まりに応える、ビルメンテナンス向け最新清掃ソリューションを一堂に展示します。清掃ロボット「R3シリーズ」による省人・省力清掃のほか、タイル・カーペット・防滑セラミックまで１台で対応できる「マルチウォッシュ」や、ノンスリップシート・エンボス床に強い「スクラブメイトB5」などを実機で体験可能。さらに、ビルメンテナンス全般の洗浄水として使え,https://www.bmfairtokyo.net/exhibitors/,ok
