brand,url,exhibit,legal_names,fetch,source_url
PREMIUM WATER,https://premium-water.net/,ウォーターサーバー,プレミアムウォーター株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
Philharmony Wedding,https://www.phw-gakudan.com/,エンターテイメントパフォーマンス,,SSLError,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
R-fi eld,https://yuinone.net/,YUINONE（ゆいのね）,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
SHADDY,https://shaddy.jp/,カタログギフト,又は一部をシャディ株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
Sol,https://tento-hair.com/,,,SSLError,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
Speria,https://speria.jp/bridal,Speria 営業接客AI,株式会社Speria,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
TAIAN,https://taian-inc.com/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
TIPLOG,https://tiplog.net/,対面接客解析AIサービス「phonoscape」,Idein株式会社|株式会社TIPLOG|tiplog.co.jp株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
Truesight Japan,https://www.evoto.ai/ja,Evoto（映像編集ソフト）,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
UNO DESIGN,https://unodesign.jp/,撮影、デザイン、コーディネートアイテム、ドレス 出展,より株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
VIPグローバル,http://www.vip-global.co.jp/,フットケア医療器具：BʼFlow（ビー・フロー）,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
WeBridge,https://webridge.co.jp/meo-genius/,MEO対策,会社名株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
YAMAHI,https://www.yamahi.com/,引出物・引菓子・縁起物・プチギフト 出展,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
digitaljewelry™,https://digitaljewelry.jp/bridal/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
enovo,https://enovo.jp/,「おちょこ」「お箸」,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
m.soeur,https://www.m-soeur.com/wbl/,ブーケ、会場装花のアフタープロダクト,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
rusk,https://bridalfair.commitad.com/,コミットアド,株式会社rusk,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
u.g.partners,https://www.hitokarawedding.com/,ヒトカラウェディング（プロデュース会社） 出展,を運営しております株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
vircre,https://vircre.co.jp/,VRシステム,株式会社Vircre,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
w-style,https://w-styleonline.com/,水引の結婚証明書とクラッカー樽の菰面デザイン,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
あそしあ少額短期保険,https://www.associa-insurance.com/,結婚式総合保険（ブライダル保険）,株式会社あそしあ少額短期保険,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
あつまる,https://atsu-maru.co.jp/,集客コンサルティング・新卒採用コンサルティング,株式会社あつまる|コーポレート・アイデンティティ株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
くふうウェディング / ウィーブ 共同出展,https://weve.co.jp/（株式会社ウィーブ,口コミSNS by みんなのウェディング,,HTTPError,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
の内外関係機関との,https://lit.link/flowerimi,,TieUps株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
めおと,https://meoto.jp/,入浴剤,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
ゆめじん,https://www.yumejin.jp/,出展,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
アイリエ,https://iriller.com/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
アケボノスタジオ,https://2026bridalsangyou-fair.akebono-studio-photo.com/,,,HTTPError,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
アンツウエディング,https://antswedding.com/,写真撮影・ビデオ撮影 出展,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
アンドディファレンス,https://and-difference.co.jp/,集客支援・コンサルティング,株式会社＆Difference,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
ウェディングニュース,https://www.weddingnews.jp/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
エスキュービズム,https://bridesnote.jp/,ブライズノート・ブライズシート 出展,ー株式会社|株式会社プリマベーラ|宮地電機株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
エンタメポケット,https://enta-pocket.co.jp/,ン  ブライダル専門マジシャン派遣 幸せのランタン,株式会社|Magicians.1.mp4株式会社|ブライダルマジック株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
オリジナルあい,https://original-ai.jp/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
コンフェッティ,https://www.myconfetti.jp/,ドレス・タキシード（卸売、レンタル提携）,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
シェアダイン,https://chef-link.com/business/,シェフリンク,オペレーションパートナーで開いた採用の突破口株式会社|現場を守る選択肢株式会社|ミスマッチのない職人採用株式会社|管理職の現場負担削減による店舗オペレーション改善を実現株式会社|株式会社ダイナック|即戦力の理想的な採用を実現株式会社|単発のアルバイトさんではできなかった調理業務をお任せできるようになりました株式会社|駅から遠い立地的のため苦戦したスタッフ募集がスポットシェフの利用で解消しました株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
シェフブリッジ,https://chefbridge.jp/,出張調理指導サービス,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
セントラルテクノ,https://www.centraltechno.co.jp/,,株式会社セントラルテクノ|株式会社セントラルテクノは|株式会社セントラルテクノにお任せください,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
ソレイユ,https://soleil-dress.com/,ソレイユ・ドレス,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
タイムレス,https://timelesstokyo.jp/,ギフト（オリジナルギフト制作）・多様な商材の購買支援,株式会社タイムレス,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
トライスパイド,https://www.tricepied.co.jp/,トライスパイドAI Lab（. AI研究所） 出展,株式会社トライスパイド|全ての婚礼業務を完全DX化株式会社|CONTACT株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
ドキドキ,https://doki-doki.biz/,,株式会社ドキドキ|株式会社ドキドキとはどんな会社ですか|株式会社ドキドキは|有限会社がんばります|会社名株式会社|・編集株式会社|比較項目株式会社|Q.株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
ニュー・バリュー・フロンティア,https://newvaluefrontier.co.jp/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
バリューブリッジ,https://www.value-bridge.info:443/,アルバムおよび関連WEBサービス,株式会社バリューブリッジ,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
バリューマネジメント,https://www.vmc.co.jp/wedsupport/,VMG サポートプログラム（コンサルティング）,バリューマネジメント株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
パプレア,https://paplea.com/,,株式会社パプレア|株式会社TTK|株式会社ビーステップ,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
ヒカル・オーキッド,https://www.hikaru-orchids.co.jp/,食用胡蝶蘭（エディブル・オーキッド）,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
ビーハイライト,https://be-hylite.com/,業務委託,Be-hylite株式会社|ビーハイライト株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
ビーマックス,http://www.net-bmx.com/index.html,テーブルクロス・テーブルナフキン,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
フォーディメンション,https://4-dimensions.jp/,,株式会社フォーディメンション|PROFILE株式会社|お問い合わせフォームはこちら株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
ブライト,https://bright-law.co.jp/,,株式会社ブライト,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
プルーシェ,https://www.nespa.co.jp/,プロフィールブック・映像商品,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
プレイワークス,https://ibesapo.com/,引き出物が届くWEB招待状 出展,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
ベック（ミッテ事業部）,https://www.mitte-corporate.com/,集客コンサルティングプログラム,株式会社ベック|COMPANY株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
ベル食品工業,https://bellyellcurry.com/,レトルトカレー（スープカレー） 出展,ベル食品工業株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
マイプレシャス,https://www.myprecious.co.jp/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
メイクィット,https://makeit.be/,ESシステム,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
メモリード・ライフ,https://www.memoleadlife.co.jp/,少額短期保険,株式会社メモリード・ライフ|一般社団法人日本財団電話リレーサービス,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
モトックス,https://www.mottox.co.jp/,ピエール・ゼロ(ワインテイスト飲料) 出展,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
ユニオンビズ,https://ub-activelife.jp/,メモリーターフ（人工芝）、moreleaf(人工壁面緑化パネル),,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
リフト法律事務所,https://www.lift-law.biz/bridal,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
リンク,https://www.cc-link.co.jp/,ホワイトバブルマシーン、メッセージランチャー,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
リ・プロダクツ,https://www.re-products.co.jp/pikapika_pro/,掃除ロボット6種（床用5種/窓用1種）,清掃サービスに携わってきたリ・プロダクツ株式会社|サトフードサービス株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
ワイエン,https://yenofficial.com/,TORUTO（モノクロ写真機）、anone（電話型録音機）,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
一般社団法人 沖縄リゾートウェディング協会,https://www.tabi-wedding.com/,,一般社団法人沖縄リゾートウェディング協会は|を運用する株式会社|一般社団法人沖縄リゾートウェディング協会,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
一般社団法人ブライダルアライアンス,https://bridal-alliance.com/,ブライダル婚活関連システム提供、婚活イベント企画 出展,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
三英商会,https://www.sanei-firm.co.jp,引き出物3品カードギフト,,SSLError,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
公益社団法人日本ブライダル文化振興協会,https://www.bia.or.jp/,協会案内および、各種協会事業のご案内,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
創和プロジェクト,https://www.sowaproject.jp/,ウェディングドレスホールセール,創和プロジェクト株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
千趣会,https://www.senshukai.co.jp/main/top/index.html,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
孝芳堂,https://www.drinkkohodo.com/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
安本武司商店,https://www.yasumoto.jp/powan/,わんちゃんの本格和装『ポわん』 出展,by株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
展品目 サジェスト広告,https://www.plo.co.jp/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
山崎実業,https://www.yamajitsu.co.jp/,カタログギフト【tower】 出展,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
御慶紡Gyokeibou,https://www.gyokeibou.co.jp/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
東京都生活文化局,https://www.futari-story.metro.tokyo.lg.jp/,東京都が実施する結婚支援事業の紹介,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
灯りとして残す「Wedding Bottle light」。思い出のインテ,https://aquett.com/,ブーケ、会場装花のアフタープロダクト,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
率的に。ぜひ弊社,https://livecanvas.jp/,,Visions株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
藤電設工業,https://fuji-den.com/,Memoria,有限会社藤電設工業|ステンレス・金属の加工・溶接なら有限会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
