brand,url,exhibit,legal_names,fetch,source_url,company_name,name_source,contact_url,crawl
Speria,https://speria.jp/bridal,Speria 営業接客AI,株式会社Speria,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社Speria,https://speria.jp/bridal,https://speria.jp/contact?industry=bridal,ok
TAIAN,https://taian-inc.com/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://taian-inc.com/contact/,ok
TIPLOG,https://tiplog.net/,対面接客解析AIサービス「phonoscape」,Idein株式会社|株式会社TIPLOG|tiplog.co.jp株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社TIPLOG,https://tiplog.net/,,ok
Truesight Japan,https://www.evoto.ai/ja,Evoto（映像編集ソフト）,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,ok
UNO DESIGN,https://unodesign.jp/,撮影、デザイン、コーディネートアイテム、ドレス 出展,より株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社ノバレーゼのクリエイティブディレクター兼,https://unodesign.jp/about/,,ok
VIPグローバル,http://www.vip-global.co.jp/,フットケア医療器具：BʼFlow（ビー・フロー）,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,ok
WeBridge,https://webridge.co.jp/meo-genius/,MEO対策,会社名株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://webridge.co.jp/contact-01/,ok
YAMAHI,https://www.yamahi.com/,引出物・引菓子・縁起物・プチギフト 出展,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://www.yamahi.com/fs/form.html,ok
digitaljewelry™,https://digitaljewelry.jp/bridal/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,ok
enovo,https://enovo.jp/,「おちょこ」「お箸」,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,ok
m.soeur,https://www.m-soeur.com/wbl/,ブーケ、会場装花のアフタープロダクト,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://www.m-soeur.com/contact/,ok
rusk,https://bridalfair.commitad.com/,コミットアド,株式会社rusk,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社rusk,https://bridalfair.commitad.com/,https://bridalfair.commitad.com/#contact,ok
u.g.partners,https://www.hitokarawedding.com/,ヒトカラウェディング（プロデュース会社） 出展,を運営しております株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,ok
vircre,https://vircre.co.jp/,VRシステム,株式会社Vircre,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社Vircre,https://vircre.co.jp/,https://vircre.co.jp/contact/,ok
w-style,https://w-styleonline.com/,水引の結婚証明書とクラッカー樽の菰面デザイン,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://w-styleonline.com/contact/index.html,ok
あそしあ少額短期保険,https://www.associa-insurance.com/,結婚式総合保険（ブライダル保険）,株式会社あそしあ少額短期保険,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社あそしあ少額短期保険,https://www.associa-insurance.com/company/management.html,https://www.associa-insurance.com/basic/,ok
あつまる,https://atsu-maru.co.jp/,集客コンサルティング・新卒採用コンサルティング,株式会社あつまる|コーポレート・アイデンティティ株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社あつまる,https://atsu-maru.co.jp/corporate/company.php,https://atsu-maru.co.jp/contact/,ok
くふうウェディング / ウィーブ 共同出展,https://weve.co.jp/（株式会社ウィーブ,口コミSNS by みんなのウェディング,,HTTPError,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,HTTPError
の内外関係機関との,https://lit.link/flowerimi,,TieUps株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,ok
めおと,https://meoto.jp/,入浴剤,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社プラスワイズ,https://meoto.jp/about/,https://meoto.jp/contact/,ok
ゆめじん,https://www.yumejin.jp/,出展,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,ゆめじん有限会社,https://www.yumejin.jp/Page/company-profile.aspx,https://www.yumejin.jp/Form/Inquiry/InquiryInput.aspx,ok
アイリエ,https://iriller.com/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,アイリエ株式会社,https://iriller.com/pages/corporate-message,https://iriller.com/blogs/information/,ok
アケボノスタジオ,https://2026bridalsangyou-fair.akebono-studio-photo.com/,,,HTTPError,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,HTTPError
アンツウエディング,https://antswedding.com/,写真撮影・ビデオ撮影 出展,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://antswedding.com/contact.html,ok
アンドディファレンス,https://and-difference.co.jp/,集客支援・コンサルティング,株式会社＆Difference,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社＆Difference,https://and-difference.co.jp/aboutus/#vision,https://and-difference.co.jp/contact/,ok
ウェディングニュース,https://www.weddingnews.jp/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://www.weddingnews.jp/inquiry,ok
エスキュービズム,https://bridesnote.jp/,ブライズノート・ブライズシート 出展,ー株式会社|株式会社プリマベーラ|宮地電機株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社プリマベーラ,https://bridesnote.jp/#about,https://bridesnote.jp/contact/,ok
エンタメポケット,https://enta-pocket.co.jp/,ン  ブライダル専門マジシャン派遣 幸せのランタン,株式会社|Magicians.1.mp4株式会社|ブライダルマジック株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社,https://enta-pocket.co.jp/,https://enta-pocket.co.jp/contact/,ok
オリジナルあい,https://original-ai.jp/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社オリジナルあい,https://original-ai.jp/help/about,https://original-ai.jp/contact/mailform.php,ok
コンフェッティ,https://www.myconfetti.jp/,ドレス・タキシード（卸売、レンタル提携）,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://www.myconfetti.jp/project-4,ok
シェアダイン,https://chef-link.com/business/,シェフリンク,オペレーションパートナーで開いた採用の突破口株式会社|現場を守る選択肢株式会社|ミスマッチのない職人採用株式会社|管理職の現場負担削減による店舗オペレーション改善を実現株式会社|株式会社ダイナック|即戦力の理想的な採用を実現株式会社|単発のアルバイトさんではできなかった調理業務をお任せできるようになりました株式会社|駅から遠い立地的のため苦戦したスタッフ募集がスポットシェフの利用で解消しました株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社ダイナック,https://chef-link.com/business/,https://chef-link.com/business/inquiry,ok
シェフブリッジ,https://chefbridge.jp/,出張調理指導サービス,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://chefbridge.jp/contact/,ok
セントラルテクノ,https://www.centraltechno.co.jp/,,株式会社セントラルテクノ|株式会社セントラルテクノは|株式会社セントラルテクノにお任せください,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社セントラルテクノは,https://www.centraltechno.co.jp/,https://www.centraltechno.co.jp/contact,ok
ソレイユ,https://soleil-dress.com/,ソレイユ・ドレス,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://soleil-dress.com/contact/,ok
タイムレス,https://timelesstokyo.jp/,ギフト（オリジナルギフト制作）・多様な商材の購買支援,株式会社タイムレス,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社タイムレス,https://timelesstokyo.jp/,https://timelesstokyo.jp/contact,ok
トライスパイド,https://www.tricepied.co.jp/,トライスパイドAI Lab（. AI研究所） 出展,株式会社トライスパイド|全ての婚礼業務を完全DX化株式会社|CONTACT株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社トライスパイド,https://www.tricepied.co.jp/about,https://www.tricepied.co.jp/contact,ok
ドキドキ,https://doki-doki.biz/,,株式会社ドキドキ|株式会社ドキドキとはどんな会社ですか|株式会社ドキドキは|有限会社がんばります|会社名株式会社|・編集株式会社|比較項目株式会社|Q.株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社ドキドキは,https://doki-doki.biz/#company,https://doki-doki.biz/#contact,ok
ニュー・バリュー・フロンティア,https://newvaluefrontier.co.jp/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://newvaluefrontier.co.jp/contact/,ok
バリューブリッジ,https://www.value-bridge.info:443/,アルバムおよび関連WEBサービス,株式会社バリューブリッジ,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社バリューブリッジ設立,https://www.value-bridge.info/aboutus,https://www.value-bridge.info/contact,ok
バリューマネジメント,https://www.vmc.co.jp/wedsupport/,VMG サポートプログラム（コンサルティング）,バリューマネジメント株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,バリューマネジメント株式会社,https://www.vmc.co.jp/wedsupport/,,ok
パプレア,https://paplea.com/,,株式会社パプレア|株式会社TTK|株式会社ビーステップ,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社パプレア,https://paplea.com/company/#philosophy,https://paplea.com/contact/,ok
ヒカル・オーキッド,https://www.hikaru-orchids.co.jp/,食用胡蝶蘭（エディブル・オーキッド）,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,有限会社ヒカル・オーキッド,https://www.hikaru-orchids.co.jp/view/company#award,https://www.hikaru-orchids.co.jp/,ok
ビーハイライト,https://be-hylite.com/,業務委託,Be-hylite株式会社|ビーハイライト株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,ビーハイライト株式会社,https://be-hylite.com/aboutus/,https://be-hylite.com/contact/,ok
ビーマックス,http://www.net-bmx.com/index.html,テーブルクロス・テーブルナフキン,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,ok
フォーディメンション,https://4-dimensions.jp/,,株式会社フォーディメンション|PROFILE株式会社|お問い合わせフォームはこちら株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社フォーディメンション,https://4-dimensions.jp/company/,https://4-dimensions.jp/contact/,ok
ブライト,https://bright-law.co.jp/,,株式会社ブライト,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社ブライト,https://bright-law.co.jp/company/,http://bright-law.co.jp/inquiry/,ok
プルーシェ,https://www.nespa.co.jp/,プロフィールブック・映像商品,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,ok
プレイワークス,https://ibesapo.com/,引き出物が届くWEB招待状 出展,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://ibesapo.com/use_cases/informal-reception,ok
ベック（ミッテ事業部）,https://www.mitte-corporate.com/,集客コンサルティングプログラム,株式会社ベック|COMPANY株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社ベック,https://www.mitte-corporate.com/,,ok
ベル食品工業,https://bellyellcurry.com/,レトルトカレー（スープカレー） 出展,ベル食品工業株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,ベル食品工業株式会社,https://bellyellcurry.com/,,ok
マイプレシャス,https://www.myprecious.co.jp/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,社名株式会社,https://www.myprecious.co.jp/company/,https://www.myprecious.co.jp/toiawase/,ok
メイクィット,https://makeit.be/,ESシステム,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://makeit.be/module/com_contact.php,ok
メモリード・ライフ,https://www.memoleadlife.co.jp/,少額短期保険,株式会社メモリード・ライフ|一般社団法人日本財団電話リレーサービス,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,メモリード・ライフ株式会社,https://www.memoleadlife.co.jp/corporate/outline/,https://www.memoleadlife.co.jp/contact/,ok
モトックス,https://www.mottox.co.jp/,ピエール・ゼロ(ワインテイスト飲料) 出展,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://www.mottox.co.jp/contact/,ok
ユニオンビズ,https://ub-activelife.jp/,メモリーターフ（人工芝）、moreleaf(人工壁面緑化パネル),,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,ユニオンビズ株式会社,https://ub-activelife.jp/company/,https://ub-activelife.jp/contact/contact_corporation,ok
リフト法律事務所,https://www.lift-law.biz/bridal,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://www.lift-law.biz/./contact/ChatWork/,ok
リンク,https://www.cc-link.co.jp/,ホワイトバブルマシーン、メッセージランチャー,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://www.cc-link.co.jp/contact/,ok
リ・プロダクツ,https://www.re-products.co.jp/pikapika_pro/,掃除ロボット6種（床用5種/窓用1種）,清掃サービスに携わってきたリ・プロダクツ株式会社|サトフードサービス株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,リ・プロダクツ株式会社,https://www.re-products.co.jp/pikapika_pro/operating-company/,https://www.re-products.co.jp/pikapika_pro/contact/,ok
ワイエン,https://yenofficial.com/,TORUTO（モノクロ写真機）、anone（電話型録音機）,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,ok
一般社団法人 沖縄リゾートウェディング協会,https://www.tabi-wedding.com/,,一般社団法人沖縄リゾートウェディング協会は|を運用する株式会社|一般社団法人沖縄リゾートウェディング協会,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,一般社団法人沖縄リゾートウェディング協会は,https://www.tabi-wedding.com/,https://www.tabi-wedding.com/contacts,ok
一般社団法人ブライダルアライアンス,https://bridal-alliance.com/,ブライダル婚活関連システム提供、婚活イベント企画 出展,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,一般社団法人ブライダルアライアンス,https://bridal-alliance.com/company/,https://bridal-alliance.com/contact,ok
三英商会,https://www.sanei-firm.co.jp,引き出物3品カードギフト,,SSLError,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,SSLError
公益社団法人日本ブライダル文化振興協会,https://www.bia.or.jp/,協会案内および、各種協会事業のご案内,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://www.bia.or.jp/bia/information/,ok
創和プロジェクト,https://www.sowaproject.jp/,ウェディングドレスホールセール,創和プロジェクト株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,創和プロジェクト株式会社,https://www.sowaproject.jp/about-us/profile/,https://www.sowaproject.jp/contact/,ok
千趣会,https://www.senshukai.co.jp/main/top/index.html,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://www.senshukai.co.jp/main/top/contact/index.html,ok
孝芳堂,https://www.drinkkohodo.com/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,孝芳堂株式会社,https://www.drinkkohodo.com/pages/company,https://www.drinkkohodo.com/pages/contact,ok
安本武司商店,https://www.yasumoto.jp/powan/,わんちゃんの本格和装『ポわん』 出展,by株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社安本武司商店,https://www.yasumoto.jp/company,https://www.yasumoto.jp/powan/#contact,ok
展品目 サジェスト広告,https://www.plo.co.jp/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://www.plo.co.jp/#contact,ok
山崎実業,https://www.yamajitsu.co.jp/,カタログギフト【tower】 出展,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,山崎実業株式会社,https://www.yamajitsu.co.jp/pages/about,https://www.yamajitsu.co.jp/pages/contact,ok
御慶紡Gyokeibou,https://www.gyokeibou.co.jp/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,東京TKインターナショナル株式会社,https://www.gyokeibou.co.jp/company,,ok
東京都生活文化局,https://www.futari-story.metro.tokyo.lg.jp/,東京都が実施する結婚支援事業の紹介,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,ok
灯りとして残す「Wedding Bottle light」。思い出のインテ,https://aquett.com/,ブーケ、会場装花のアフタープロダクト,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,ok
