sheet_row,company_name,url,contact_url,proposal_class,existing_evidence,classification,reason,official_status,final_url,positive_hits,hub_hits,weak_hits,membership_only,employees_detected,offices_detected,capital_man_detected,listed_signal,national_scale_signal,existing_enterprise_class,existing_enterprise_match,evidence_urls
12,株式会社メディケアネット,https://mc-net.jp/service/hp_production/,https://mc-net.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://mc-net.jp/service/hp_production/,web制作 / ホームページ制作 / seo対策 / meo対策 / 制作実績,クリニック,,no,,,,no,no,,,https://mc-net.jp/service/ / https://mc-net.jp/service_category/it/
13,株式会社リヤン,https://www.trancefer-co.info/,https://www.trancefer-co.info/inq/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://www.trancefer-co.info/,ホームページ制作 / 集客支援 / seo対策 / 運用代行,医院 / 歯科,,no,,,,no,no,,,https://www.trancefer-co.info/service/ / https://www.trancefer-co.info/service1/
14,株式会社H.PLUS,https://hplus.jp/,https://hplus.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://hplus.jp/,web制作 / ホームページ制作 / サイト制作 / 広告運用 / 動画制作 / ブランディング,医院 / クリニック / サロン,,no,,,,no,no,,,https://hplus.jp/service/#service_ttl01 / https://hplus.jp/service/#service_ttl02
15,株式会社ホウエイヴェリティス,https://www.medical-parks.com/,https://www.medical-parks.com/contact/dairiten.html,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,review_insufficient_evidence,公式サイトから提携適合性を機械確定できず,200,https://www.medical-parks.com/,,,,no,,,,no,no,,,https://www.medical-parks.com/about/index.html
16,株式会社オルソアドバンス,https://www.ortho-advance.com/,https://www.ortho-advance.com/contact.html,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,review_insufficient_evidence,公式サイトから提携適合性を機械確定できず,200,https://www.ortho-advance.com/,,,,no,,,,no,no,,,https://www.ortho-advance.com/business.html / https://www.ortho-advance.com/company.html
17,マザーハンズ株式会社,https://m-hands.net/,https://m-hands.net/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,exclude_high_scale,公式サイトで上場または大規模シグナルを確認,200,https://m-hands.net/,ホームページ制作 / サイト制作 / webマーケ / 集客コンサル / 広告運用 / 販売促進,店舗 / 医院 / クリニック / 歯科 / 美容室 / サロン,,no,,,,yes,no,,,https://m-hands.net/service/ / https://m-hands.net/service/marketing/
18,株式会社ロードスキップ,https://medicalskip.com/,https://medicalskip.com/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://medicalskip.com/,web制作 / ホームページ制作 / 広告運用 / sns運用 / 動画制作 / ブランディング,医院 / クリニック,予約システム,no,,,,no,no,,,https://medicalskip.com/company/
19,株式会社ディーエーエム,https://www.dam.co.jp/,https://www.dam.co.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://www.dam.co.jp/,web制作 / ホームページ制作 / ブランディング / マーケティング支援,医院 / クリニック / 歯科,,no,,,,no,no,,,https://www.dam.co.jp/company/ / https://www.dam.co.jp/
20,高陽株式会社,https://clinicl.com/,https://clinicl.com/inquiry/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,review_insufficient_evidence,公式サイトから提携適合性を機械確定できず,200,https://clinicl.com/,,,,no,,,,no,no,,,https://clinicl.com/about/ / https://clinicl.com/service/website.html
21,株式会社コルボ,https://www.colbo.co.jp/,https://www.colbo.co.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,review_weak_hub,受託支援は確認できるが地域顧客ハブ性を確認できず,200,https://www.colbo.co.jp/,web制作 / サイト制作 / プロモーション / 制作実績,,機器メーカー,no,,,,no,no,,,https://www.colbo.co.jp/about/ / https://www.colbo.co.jp/company/philosophy.html
22,株式会社リバティーフェローシップ,https://tahlab.net/,https://tahlab.net/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://tahlab.net/,ホームページ制作 / webマーケ / sns運用 / 動画制作 / プロモーション / マーケティング支援,医院 / クリニック / 歯科,,no,,,,no,no,,,https://tahlab.net/company/
23,株式会社MATSURI,https://bau-marketing.jp/,https://bau-marketing.jp/contact,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://bau-marketing.jp/,web制作 / ホームページ制作 / 集客支援 / 広告運用 / マーケティング支援,医院 / 導入事例 / 支援実績,,no,,,,no,no,,,https://bau-marketing.jp/#services / https://bau-marketing.jp/#profile
24,リタワークス株式会社,https://ritaworks.jp/,https://ritaworks.jp/contact.html,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,review_large_scale,従業員・資本金・拠点・全国展開の規模シグナル,200,https://ritaworks.jp/,web制作 / ホームページ制作 / サイト制作,クライアント,,no,54,,,no,yes,,,https://ritaworks.jp/about.html / https://ritaworks.jp/service.html
25,日本医療宣研株式会社,https://www.jmal.co.jp/,https://www.jmal.co.jp/contact/index.html,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://www.jmal.co.jp/,ホームページ制作 / seo対策 / 制作実績,クリニック,,no,,,,no,no,,,https://www.jmal.co.jp/about.html / https://www.jmal.co.jp/about.html#about_ct1
26,株式会社Re:worth,https://www.reworth-dental.com/,https://www.reworth-dental.com/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://www.reworth-dental.com/,web制作 / ホームページ制作 / 広告運用 / seo対策,医院 / 歯科,予約システム,no,,,,no,no,,,
27,合同会社wevet,https://web.wevet.co.jp/,https://web.wevet.co.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://web.wevet.co.jp/,web制作 / ホームページ制作 / 集客コンサル / sns運用 / 動画制作 / プロモーション,店舗 / 医院 / クライアント,予約システム,no,,,,no,no,,,https://wevet.co.jp/#service/ / https://wevet.co.jp/#service/website/
28,ムナテックス株式会社,https://ah-labo.com/,https://ah-labo.com/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,review_weak_hub,受託支援は確認できるが地域顧客ハブ性を確認できず,200,https://ah-labo.com/,webマーケ / seo対策 / マーケティング支援,,,no,,,1000,no,no,,,https://ah-labo.com/about/ / http://ah-labo.com/about/
29,株式会社エムイーディア,https://medear.jp/,https://medear.jp/%e3%81%8a%e5%95%8f%e5%90%88%e3%81%9b/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://medear.jp/,ホームページ制作 / 広告代理 / 動画制作 / ブランディング / seo対策 / 制作実績,クリニック / 歯科,予約システム,no,,,,no,no,,,https://medear.jp/service/ / https://medear.jp/service/%E3%83%A1%E3%83%87%E3%82%A3%E3%82%A2%E5%88%B6%E4%BD%9C/
30,FPサービス株式会社,https://www.doctorsupportnet.jp/business/clinic_homepage_production/,https://www.doctorsupportnet.jp/contact/form_doctor/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://www.doctorsupportnet.jp/business/clinic_homepage_production/,ホームページ制作 / サイト制作 / 広告運用 / seo対策 / meo対策 / 開業支援,医院 / クリニック / 支援実績,予約システム,no,,,,no,no,,,https://www.doctorsupportnet.jp/business/clinic_startup_consulting/ / https://www.doctorsupportnet.jp/business/
31,ロジデザイン,https://roji-design.com/,https://roji-design.com/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://roji-design.com/,ホームページ制作 / サイト制作 / 制作実績,店舗 / 医院 / クリニック / 歯科 / 飲食店 / 工務店,予約システム,no,,,,no,no,,,https://roji-design.com/aboutus/
32,株式会社バンラボ,https://netclinic119.net/,https://netclinic119.net/contact,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://netclinic119.net/,ホームページ制作 / 広告運用 / 広告代理 / ブランディング / seo対策 / 制作実績,医院 / クリニック / 歯科 / 支援実績,,no,,,600,no,no,,,https://netclinic119.net/service / https://netclinic119.net/company
33,株式会社オープンクリニック,https://openclinic.jp/,https://openclinic.jp/contact/web/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://openclinic.jp/,web制作 / 広告代理,クリニック,,no,,,,no,no,,,https://openclinic.jp/ / https://openclinic.jp/company/
34,メディカルアーツアンドサイエンス,https://medicalas.jp/,https://medicalas.jp/inquiry/norikae.php,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,review_insufficient_evidence,公式サイトから提携適合性を機械確定できず,200,https://medicalas.jp/,,,,no,,,,no,no,,,https://medicalas.jp/about/ / https://medicalas.jp/service/
35,たしかにプラス株式会社,https://tashikani.jp/,https://tashikani.jp/contact,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://tashikani.jp/,ホームページ制作,医院 / クリニック,,no,,,300,no,no,,,https://tashikani.jp/services/ / https://tashikani.jp/company/
36,クリニックプラスウェブ,https://cl-plusweb.com/,https://cl-plusweb.com/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://cl-plusweb.com/,ホームページ制作 / サイト制作 / 広告運用 / ブランディング / seo対策 / 運用代行,医院 / クリニック / 歯科,,no,,,,no,no,,,https://cl-plusweb.com/service-price/ / https://cl-plusweb.com/company/
37,株式会社エルゴゲイン,https://www.houkanweb.com/,https://www.houkanweb.com/contact.html,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,review_weak_hub,受託支援は確認できるが地域顧客ハブ性を確認できず,200,https://www.houkanweb.com/,ホームページ制作 / 広告運用 / meo対策 / 開業支援 / 制作実績,,,no,,,,no,no,,,https://www.houkanweb.com/service.html / https://www.houkanweb.com/service-setup.html
38,株式会社ゴールデンレイシオ,https://golden-ratio.co.jp/,https://golden-ratio.co.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://golden-ratio.co.jp/,ホームページ制作 / サイト制作 / webマーケ / 広告代理 / プロモーション / seo対策,クリニック,,no,,,,no,no,,,https://golden-ratio.co.jp/service/ / https://golden-ratio.co.jp/company/
39,東洋ケアサービス株式会社,https://www.toyocareservice.com/webmedia/,https://www.toyocareservice.com/contact,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,review_weak_hub,受託支援は確認できるが地域顧客ハブ性を確認できず,200,https://www.toyocareservice.com/webmedia/,web制作 / ホームページ制作 / サイト制作 / ブランディング / 開業支援,,,no,,,,no,no,,,https://www.toyocareservice.com/ / https://www.toyocareservice.com/about/
40,株式会社ビーブリッド,https://www.bibrid.co.jp/,https://www.bibrid.co.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,exclude_high_scale,公式サイトで上場または大規模シグナルを確認,200,https://www.bibrid.co.jp/,web制作 / ホームページ制作,フランチャイズ / 支援実績,,no,36,100,,no,no,,,https://www.bibrid.co.jp/company/ / https://www.bibrid.co.jp/service/
41,フルリール株式会社,https://homepage-tokyo.jp/,https://homepage-tokyo.jp/inquiry/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://homepage-tokyo.jp/,web制作 / webマーケ / 制作実績,医院 / クリニック / 歯科,予約システム,no,,,,no,no,,,https://homepage-tokyo.jp/company/
42,株式会社AllSO,https://allso.co.jp/website/,https://allso.co.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://allso.co.jp/website/,ホームページ制作 / sns運用 / seo対策 / meo対策 / 運用代行,店舗,,no,,,,no,no,,,https://allso.co.jp/website/ / https://allso.co.jp/foodservice/
43,株式会社仙拓,https://sen-taku.co.jp/,https://sen-taku.co.jp/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,review_insufficient_evidence,公式サイトから提携適合性を機械確定できず,200,https://sen-taku.co.jp/,,,,no,,,,no,no,,,https://sen-taku.co.jp/#business / https://sen-taku.co.jp/#service
44,株式会社QOLサービス,https://nukumorink.com/,https://nukumorink.com/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,review_weak_hub,受託支援は確認できるが地域顧客ハブ性を確認できず,200,https://nukumorink.com/,ホームページ制作,,,no,,,,no,no,,,
45,株式会社アイリック,https://irick.co.jp/dentalclinic-works/,https://irick.co.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://irick.co.jp/dentalclinic-works/,ホームページ制作 / webマーケ / プロモーション / マーケティング支援 / 制作実績,医院 / クリニック / 歯科 / 支援実績,,no,,,,no,no,,,https://irick.co.jp/about/ / https://irick.co.jp/service/
46,株式会社Insity,https://vet.pettie-career.jp/,https://vet.pettie-career.jp/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,review_insufficient_evidence,公式サイトから提携適合性を機械確定できず,200,https://vet.pettie-career.jp/,,,,no,,,,no,no,,,
47,株式会社ピークス,https://petcrew.jp/company/,https://petcrew.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,review_weak_hub,受託支援は確認できるが地域顧客ハブ性を確認できず,200,https://petcrew.jp/company/,ホームページ制作,,,no,,,,no,no,,,https://petcrew.jp/company/
48,株式会社ティーアンドアール・サポート,https://web.tandr.biz/,https://web.tandr.biz/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://web.tandr.biz/,ホームページ制作 / 動画制作 / プロモーション,医院 / クリニック / 歯科,,no,15,,1000,no,no,,,https://web.tandr.biz/#service_etc / https://web.tandr.biz/company/
49,株式会社CARESPACE,https://www.caresite.jp/,https://www.caresite.jp/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,review_weak_hub,受託支援は確認できるが地域顧客ハブ性を確認できず,200,https://www.caresite.jp/,ホームページ制作 / サイト制作,,,no,,,,no,no,,,
50,ケアパワーラボ,https://www.care-power-lab.online/,https://www.care-power-lab.online/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,review_weak_hub,受託支援は確認できるが地域顧客ハブ性を確認できず,200,https://www.care-power-lab.online/,ホームページ制作 / 制作実績,,,no,,,,no,no,,,
51,SO MEDICAL DESIGN合同会社,https://somedical.co.jp/,https://somedical.co.jp/consultation/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://somedical.co.jp/,web制作 / ホームページ制作 / サイト制作 / webマーケ / 広告運用 / sns運用,医院 / クリニック / 歯科,saas / 予約システム,no,,,100,no,no,,,https://somedical.co.jp/#services / https://somedical.co.jp/company/
52,株式会社プロジェ・アキ,https://www.salon-chirashiwork.com/,https://www.salon-chirashiwork.com/form.html,S｜業界特化Web制作,美容室・サロン特化支援：美容室／web制作,review_insufficient_evidence,公式サイトから提携適合性を機械確定できず,200,https://www.salon-chirashiwork.com/,,美容室 / サロン,,no,,,,no,no,,,https://www.salon-chirashiwork.com/news/2026/07/24/salon_companypanflet/ / https://www.salon-chirashiwork.com/about.html
53,株式会社グラシオート,https://graciauto.jp/,https://graciauto.jp/contact/,S｜業界特化Web制作,美容室・サロン特化支援：美容室／ホームページ制作,review_insufficient_evidence,公式サイトから提携適合性を機械確定できず,200,https://graciauto.jp/,,,,no,,,,no,no,,,https://graciauto.jp/#about / https://graciauto.jp/services/
54,BOOSTTECH株式会社,https://www.misepage.com/,https://www.misepage.com/contact,S｜業界特化Web制作,美容室・サロン特化支援：美容室／ホームページ制作,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://www.misepage.com/,web制作 / ホームページ制作 / サイト制作 / 集客支援 / 広告運用 / seo対策,店舗 / クリニック / 歯科 / 美容室 / サロン / 飲食店,,no,,,,no,no,,,
55,株式会社 ベルコム,https://www.belcom.co.jp/,https://www.belcom.co.jp/contact/,S｜業界特化Web制作,美容室・サロン特化支援：美容室／ホームページ制作,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://www.belcom.co.jp/,プロモーション / 開業支援,店舗 / 美容室 / サロン,卸売,no,50,,,no,no,,,https://www.belcom.co.jp/company/
56,株式会社アルテ,https://www.styledesigner.net/,https://www.styledesigner.net/contact,S｜業界特化Web制作,美容室・サロン特化支援：美容室／ブランディング,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://www.styledesigner.net/,ブランディング / 開業支援,店舗 / 美容室 / サロン / フランチャイズ,,no,,,,no,no,,,https://www.styledesigner.net/about / https://www.styledesigner.net/company
57,株式会社GIコンサルティングパートナーズ,https://gicp.co.jp/,https://gicp.co.jp/contact/,S｜業界特化Web制作,美容室・サロン特化支援：美容室／ホームページ制作,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://gicp.co.jp/,web制作 / ホームページ制作 / webマーケ / 広告運用 / ブランディング / seo対策,クリニック / 美容室 / サロン / 飲食店 / ホテル / 旅館,,no,,,,no,no,,,https://gicp.co.jp/about/ / https://gicp.co.jp/
58,株式会社b-models,https://esthe-consulting.com/,https://esthe-consulting.com/contact/,S｜業界特化Web制作,美容室・サロン特化支援：エステサロン／マーケティング,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://esthe-consulting.com/,集客コンサル,店舗 / サロン / フランチャイズ,,no,,,,no,no,,,https://esthe-consulting.com/column_cat/business
59,株式会社 BG,https://salonmarugoto.jp/,https://salonmarugoto.jp/contact/,S｜業界特化Web制作,美容室・サロン特化支援：美容室／集客支援,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://salonmarugoto.jp/,集客支援 / 開業支援,店舗 / 美容室 / サロン / 多店舗 / 導入事例 / 支援実績,予約システム / 商材販売,no,,,,no,no,,,https://salonmarugoto.jp/service/ / https://salonmarugoto.jp/service/service05/
60,株式会社フィーモデザイン,https://fe-mo.co.jp/,https://fe-mo.co.jp/contact/,S｜業界特化Web制作,美容室・サロン特化支援：美容室／web制作,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://fe-mo.co.jp/,web制作 / sns運用 / 制作実績,店舗 / 美容室 / サロン,,no,,,,no,no,,,https://fe-mo.co.jp/#service / https://fe-mo.co.jp/#aboutus
61,株式会社FlatWorks,https://www.teamflatworks.jp/,https://www.teamflatworks.jp/contact,S｜業界特化Web制作,美容室・サロン特化支援：美容室／sns運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://www.teamflatworks.jp/,web制作 / ホームページ制作 / 広告運用 / sns運用 / meo対策 / 制作実績,店舗 / サロン / 飲食店 / 宿泊施設 / 旅館 / 観光,saas / 予約システム,no,,,,no,no,,,https://www.teamflatworks.jp/services/hp-shima / https://www.teamflatworks.jp/services/sns-mie
62,有限会社じん,https://ractory.co.jp/,https://ractory.co.jp/contact/,S｜業界特化Web制作,美容室・サロン特化支援：美容サロン／マーケティング,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://ractory.co.jp/,webマーケ / 広告運用 / 広告代理,店舗 / サロン,,no,,,1000,no,no,,,https://ractory.co.jp/company/
63,合同会社雲上,https://liibe.co.jp/,https://liibe.co.jp/contact/,S｜業界特化Web制作,美容室・サロン特化支援：美容室／マーケティング,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://liibe.co.jp/,ホームページ制作 / ブランディング,店舗 / 美容室 / サロン / 飲食店,卸売,no,,,,no,no,,,https://liibe.co.jp/about/ / https://liibe.co.jp/business/
64,有限会社Wish,https://salon-hansoku.com/,https://salon-hansoku.com/contact/,S｜業界特化Web制作,美容室・サロン特化支援：美容室／ホームページ制作,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://salon-hansoku.com/,ホームページ制作 / seo対策 / 制作実績,店舗 / 美容室 / サロン,,no,,,,no,no,,,https://salon-hansoku.com/ / https://salon-hansoku.com/voice/
65,株式会社think,https://clear-salonhp.jp/,https://clear-salonhp.jp/contact/,S｜業界特化Web制作,美容室・サロン特化支援：美容サロン／ホームページ制作,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://clear-salonhp.jp/,ホームページ制作 / webマーケ / 集客コンサル / seo対策 / meo対策 / 制作実績,美容室 / サロン,,no,,,,no,no,,,https://clear-salonhp.jp/service/ / https://clear-salonhp.jp/service/petit/
66,エックススタジオ株式会社,https://xstudio.co.jp/,https://xstudio.co.jp/contact/,S｜業界特化Web制作,美容室・サロン特化支援：美容室／ホームページ制作,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://xstudio.co.jp/,ホームページ制作 / ブランディング / 制作実績,店舗 / 中小企業,,no,,,,no,no,,,https://xstudio.co.jp/company/ / https://xstudio.co.jp/maintenance/
67,株式会社TaaaBo,https://sapporo-webstudio.jp/,https://sapporo-webstudio.jp/,S｜業界特化Web制作,美容室・サロン特化支援：美容室／ホームページ制作,review_insufficient_evidence,公式サイトから提携適合性を機械確定できず,200,https://sapporo-webstudio.jp/,,,,no,,,,no,no,,,
68,株式会社TOP,https://kamu-design.com/,https://kamu-design.com/contact/,S｜業界特化Web制作,美容室・サロン特化支援：美容室／ホームページ制作,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://kamu-design.com/,ホームページ制作 / サイト制作 / seo対策 / 制作実績,店舗 / クリニック / 美容室 / サロン / 中小企業,,no,,,,no,no,,,https://kamu-design.com/company/ / https://kamu-design.com/company/flow/
69,株式会社baby,https://lelien-design.com/,https://lelien-design.com/contact,S｜業界特化Web制作,美容室・サロン特化支援：美容室／ホームページ制作,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://lelien-design.com/,web制作 / ホームページ制作 / webマーケ / ブランディング,美容室 / サロン,,no,,,,no,no,,,https://lelien-design.com/about / https://lelien-design.com/#service
70,株式会社Crea,https://www.crea-d.com/,https://www.crea-d.com/contact/,S｜業界特化Web制作,美容室・サロン特化支援：美容室／ホームページ制作,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://www.crea-d.com/,ホームページ制作 / 開業支援,店舗 / 美容室 / サロン / 飲食店 / 多店舗,内装工事,no,,,,no,no,,,https://www.crea-d.com/service/reason/ / https://www.crea-d.com/service/reason/
