_row,company_name,url,fit_state,fit_category,fit_evidence,evidence_urls,action
19,株式会社レイヤーワークス,https://layerworks.co.jp,web,Web制作会社,ホームページ制作,https://layerworks.co.jp/,appended_sheet1
20,株式会社ARISEARISE,https://www.arise-y.com,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNSマーケティング,https://www.arise-y.com/,kept_sns
21,株式会社オフィスイーアンバー,https://www.e-amber.jp,exclude,,,,excluded_service:official_service_unconfirmed
22,株式会社アイガ,https://aiga.jp,sns,SNS運用・SNS広告,SNS運用 / SNS広告運用 / SNS広告,https://aiga.jp/active_support/sns_support/,excluded_reference:company_name
23,Life SIGN株式会社,https://life-sign.co.jp,marketing,Webマーケティング・広告,Webマーケティング,https://life-sign.co.jp/,appended_webmarketing
24,株式会社THUMB,https://thumbsup-marketing.com,sns,SNS運用・SNS広告,SNS運用 / SNSマーケティング / SNS広告運用,https://thumbsup-marketing.com/,kept_sns
25,株式会社 トゥエルブ,https://twelve-edit.jp,sns,SNS運用・SNS広告,SNS運用,https://twelve-edit.jp/service,kept_sns
26,株式会社AgentStock,https://www.agentstock.net,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / Instagram運用代行,https://www.agentstock.net/ | https://www.agentstock.net/service/,kept_sns
27,株式会社EIGHTS,https://eightsmarketing.com,sns,SNS運用・SNS広告,SNSマーケティング / SNS運用 / SNS広告,https://eightsmarketing.com/,kept_sns
28,株式会社りみぽ,https://kanazawa-rimipo.com,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNSマーケティング,https://kanazawa-rimipo.com/services/snsoperation/ | https://kanazawa-rimipo.com/services/,kept_sns
29,株式会社Revive,https://www.reviveinc.jp,marketing,Webマーケティング・広告,デジタルマーケティング / マーケティング支援 / Webマーケティング,https://www.reviveinc.jp/,appended_webmarketing
30,株式会社mood,https://www.mood-inc.jp,sns,SNS運用・SNS広告,TikTok運用代行 / TikTok運用,https://www.mood-inc.jp/,kept_sns
31,株式会社AandI,https://8-aandi-8.co.jp,sns,SNS運用・SNS広告,SNSマーケティング / TikTok運用代行 / TikTok運用,https://8-aandi-8.co.jp/,kept_sns
32,有限会社レディバグ,https://ladybug8.jp,sns,SNS運用・SNS広告,SNS運用,https://ladybug8.jp/service/,kept_sns
33,株式会社ラッシュビズ,https://rushbiz.co.jp,sns,SNS運用・SNS広告,SNS運用 / LINE公式アカウント運用 / SNS運用代行,https://rushbiz.co.jp/service | https://rushbiz.co.jp/,kept_sns
34,株式会社シロカラ,https://shirokara.co.jp,sns,SNS運用・SNS広告,SNS運用 / Instagram運用代行 / Instagram運用,https://shirokara.co.jp/instagram-daikou/,kept_sns
35,株式会社モノモード,https://monomode.co.jp,sns,SNS運用・SNS広告,SNS運用支援 / SNS運用 / SNS広告,https://monomode.co.jp/digitalagency/sns_lp | https://monomode.co.jp/digitalagency,kept_sns
36,株式会社 REACTOR,https://reactor.jp,exclude,,,,excluded_service:official_service_unconfirmed
37,株式会社Maneql,https://linestep.jp,exclude,,,,excluded_service:official_service_unconfirmed
38,株式会社ミューテーション,https://www.mutation-inc.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
39,株式会社エイチ・エル・シー,https://humanlink.biz,sns,SNS運用・SNS広告,SNS広告運用 / SNS広告,https://humanlink.biz/sns/,kept_sns
40,株式会社クイック福岡,https://quickfukuoka.com,sns,SNS運用・SNS広告,Instagram運用代行 / Instagram運用 / SNS運用,https://quickfukuoka.com/service-web-management/,kept_sns
41,株式会社エターナル,http://eternal-inc.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,http://eternal-inc.jp/service/,kept_sns
42,株式会社オンエモーション,https://on-emotion.com,web,Web制作会社,ウェブサイト制作 / ウェブ制作 / ホームページ作成,https://on-emotion.com/service/ | https://on-emotion.com/,appended_sheet1
43,株式会社 SEEK,https://www.seek-net.jp,marketing,Webマーケティング・広告,デジタルマーケティング / マーケティング支援,https://www.seek-net.jp/,appended_webmarketing
44,合同会社ディーパス,https://d-pass.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://d-pass.jp/service/,kept_sns
45,株式会社ウェッピー,https://weppy.design,web,Web制作会社,ホームページ制作 / ウェブサイト制作 / Web制作,https://weppy.design/service/website-ecsite-blogsite-creative/ | https://weppy.design/service/,appended_sheet1
46,株式会社Anyglo,https://anyglo.co.jp,sns,SNS運用・SNS広告,SNSマーケティング,https://anyglo.co.jp/service/,kept_sns
47,WEBブランド戦略Arts株式会社,https://arts-web.co.jp,sns,SNS運用・SNS広告,Instagram運用代行 / Instagram運用,https://arts-web.co.jp/service/instagram_jichitai_support/,kept_sns
48,shijimi株式会社,https://shijimi.site,exclude,,,,excluded_service:official_service_unconfirmed
49,SATORI株式会社,https://www.marketing-unit.jp,sns,SNS運用・SNS広告,SNS運用支援 / SNS運用,https://www.marketing-unit.jp/accompaniment/sns-operation-support/,kept_sns
50,株式会社DEEM,https://deem.co.jp,sns,SNS運用・SNS広告,SNS運用支援 / SNS運用 / Instagram運用代行,https://deem.co.jp/service/,kept_sns
51,株式会社アビリブベトナム,https://www.abilive.vn,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNSマーケティング,https://www.abilive.vn/service/webmarketing/ | https://www.abilive.vn/service/,kept_sns
52,株式会社 GACO,https://www.gaco.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://www.gaco.jp/service/service2,kept_sns
53,株式会社ワールドチェンジアナリシス,https://wca11.net,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / Instagram運用代行,https://wca11.net/website/,kept_sns
54,有限会社ライターハウス,https://writerhouse.jp,web,Web制作会社,ウェブ制作 / ウェブサイト制作 / LP制作,https://writerhouse.jp/service-anniversary/ | https://writerhouse.jp/service-institute/,appended_sheet1
55,東通インテグレート株式会社,https://www.totsug.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
56,株式会社 NEXT,https://nextfuture2016.com,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNS広告運用,https://nextfuture2016.com/service/ec/ | https://nextfuture2016.com/service/sns-marketing/,excluded_reference:company_name
57,株式会社アイ・ステップ,https://www.istepkanazawa.co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://www.istepkanazawa.co.jp/service/,kept_sns
58,株式会社できるくん,https://utill.co.jp,web,Web制作会社,Web制作 / ホームページ制作,https://utill.co.jp/service/,appended_sheet1
59,株式会社アド・プランニング,https://adopura.com,web,Web制作会社,ホームページ制作 / Web制作 / LP制作,https://adopura.com/service/,appended_sheet1
60,株式会社D2C,https://www.d2cr.co.jp,sns,SNS運用・SNS広告,SNS広告運用 / SNS広告 / Instagram広告運用,https://www.d2cr.co.jp/servicetop,excluded_reference:company_name
61,株式会社エム・エー・ティー,https://www.mat-ltd.co.jp,web,Web制作会社,Web制作 / ECサイト制作 / LP制作,https://www.mat-ltd.co.jp/service/systemdevelopment/ | https://www.mat-ltd.co.jp/,appended_sheet1
62,合同会社ガーベン,https://gaben.co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://gaben.co.jp/web-site/,kept_sns
63,株式会社メディ・プランニング,https://i-m-c.biz,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://i-m-c.biz/marketing,kept_sns
64,瀬戸株式会社,https://sedo.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
65,デジマール株式会社,https://digimarl.com,sns,SNS運用・SNS広告,Instagram広告運用 / Instagram運用代行 / Instagram運用,https://digimarl.com/service/instagram/ | https://digimarl.com/service/,kept_sns
66,株式会社あけぼの印刷社,https://www.akebono-print.co.jp,web,Web制作会社,ランディングページ制作 / ホームページ制作,https://www.akebono-print.co.jp/service/,appended_sheet1
67,株式会社クロスフィット,https://x-fit.fit,marketing,Webマーケティング・広告,Webマーケティング / SEO対策,https://x-fit.fit/,appended_webmarketing
68,株式会社システムサポート,https://www.sts-inc.co.jp,marketing,Webマーケティング・広告,Webマーケティング / マーケティング支援,https://www.sts-inc.co.jp/products/solution-businessspectre-visap/,appended_webmarketing
69,カンパーニュ株式会社,https://campagne.life,sns,SNS運用・SNS広告,SNSマーケティング,https://campagne.life/,kept_sns
70,株式会社Leben,https://leben.wepage.com,exclude,,,,excluded_service:official_service_unconfirmed
71,株式会社デイトラ,https://www.daily-trial.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
72,株式会社ROC,https://www.rocinc.co.jp,sns,SNS運用・SNS広告,SNS運用 / SNSマーケティング / Instagram運用,https://www.rocinc.co.jp/instagram_competition/,kept_sns
73,株式会社Qoox,https://qoox.co.jp,marketing,Webマーケティング・広告,デジタルマーケティング / Webマーケティング / リスティング広告運用,https://qoox.co.jp/,appended_webmarketing
74,株式会社バオリン,https://baolinh.co.jp,sns,SNS運用・SNS広告,SNS運用支援 / SNS運用 / SNS広告,https://baolinh.co.jp/business/,kept_sns
75,株式会社ティーツーシー,https://t2c-inc.com,web,Web制作会社,Web制作 / コーポレートサイト制作 / 採用サイト制作,https://t2c-inc.com/service/web/ | https://t2c-inc.com/service/web/corporate/ | https://t2c-inc.com/service/,appended_sheet1
76,株式会社 創美社,https://www.sobisya.jp,web,Web制作会社,ECサイト制作 / Web制作,https://www.sobisya.jp/ | https://www.sobisya.jp/lp/movie/,appended_sheet1
77,株式会社SBMコンサルティング,https://sbmconsul.co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://sbmconsul.co.jp/sns/,kept_sns
78,株式会社FLCクリエイティブスタジオ,https://www.flcm.jp,marketing,Webマーケティング・広告,Webマーケティング,https://www.flcm.jp/marketing/,appended_webmarketing
79,株式会社T-ONE,https://t-1.co.jp,sns,SNS運用・SNS広告,Instagram運用代行 / Instagram運用 / SNS運用,https://t-1.co.jp/SERVICE/Instagram/ | https://t-1.co.jp/SERVICE/,excluded_reference:company_name
80,サンライズコーポレーション株式会社,https://sunrisecorporation.net,web,Web制作会社,ホームページ制作,https://sunrisecorporation.net/service/,appended_sheet1
81,株式会社プラス・サム,https://plus-sum-new.ahi-con.com,web,Web制作会社,ホームページ制作 / Webサイト制作,https://plus-sum-new.ahi-con.com/service/ | https://plus-sum-new.ahi-con.com/,appended_sheet1
82,ONEDAYS株式会社,https://onedays.co.jp,sns,SNS運用・SNS広告,SNSアカウント運用 / SNS広告,https://onedays.co.jp/,kept_sns
83,株式会社NOVASTRA,https://novastra.co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / Instagram運用代行,https://novastra.co.jp/business/,kept_sns
84,株式会社BELL,https://bell-co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://bell-co.jp/sns/,kept_sns
85,スタジオコンチーゴ株式会社,https://www.nihon-aiken.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://www.nihon-aiken.jp/service/sports-marketing | https://www.nihon-aiken.jp/service/advertising_agency/daikou,kept_sns
86,アイベックスライフ株式会社,https://www.ibexlife.co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNS広告運用,https://www.ibexlife.co.jp/business/,kept_sns
87,株式会社ハーマンドット,https://hermandot.co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNSアカウント運用 / SNS運用,https://hermandot.co.jp/service/service04 | https://hermandot.co.jp/,kept_sns
88,株式会社 SKB,https://skb-pure.com,sns,SNS運用・SNS広告,SNSアカウント運用 / SNSマーケティング / SNS広告運用,https://skb-pure.com/service/sample-service2/,kept_sns
89,Revanche株式会社,https://rvnc.jp,sns,SNS運用・SNS広告,Instagram運用 / SNS運用 / TikTok運用代行,https://rvnc.jp/instagram/ | https://rvnc.jp/,kept_sns
90,株式会社エムアールピー,https://portfolio.mrp-net.co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://portfolio.mrp-net.co.jp/service.html,excluded_reference:company_name
91,モトヤ株式会社,https://motoya-japan.co.jp,marketing,Webマーケティング・広告,Web広告 / マーケティング支援 / デジタルマーケティング,https://motoya-japan.co.jp/web/ | https://motoya-japan.co.jp/,appended_webmarketing
92,株式会社成晃社,https://seikohsya.co.jp,web,Web制作会社,Web制作 / Webサイト制作,https://seikohsya.co.jp/service/web/ | https://seikohsya.co.jp/,appended_sheet1
93,株式会社TACSEL,https://tacsel.com,exclude,,,,excluded_service:official_service_unconfirmed
94,株式会社エンジェルホールディングス,https://angel-holdings.com,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / Instagram運用,https://angel-holdings.com/service/ | https://angel-holdings.com/service/web-marketing/,kept_sns
95,株式会社共立プラニング,https://www.kyoritz-p.co.jp,sns,SNS運用・SNS広告,SNS広告運用 / SNS広告,https://www.kyoritz-p.co.jp/service/digital/,kept_sns
96,ZORSE株式会社,https://zorse.jp,marketing,Webマーケティング・広告,マーケティング支援 / 集客支援,https://zorse.jp/service/,appended_webmarketing
97,株式会社Alps,https://alpssns.com,marketing,Webマーケティング・広告,ウェブマーケティング,https://alpssns.com/,appended_webmarketing
98,TiL株式会社,https://www.tilcompany.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
99,株式会社アミッケ,https://amiche.co.jp,web,Web制作会社,ホームページ制作 / ECサイト制作 / ホームページ作成,https://amiche.co.jp/website/ | https://amiche.co.jp/,appended_sheet1
100,株式会社STUDIO,https://studiofocus.co.jp,sns,SNS運用・SNS広告,SNS運用 / SNSマーケティング / SNSアカウント運用,https://studiofocus.co.jp/service-sns-support/ | https://studiofocus.co.jp/service-creative-production/ | https://studiofocus.co.jp/service-sns-marketing/,kept_sns
101,株式会社 Advertising,https://www.advertisingatdream.co.jp,sns,SNS運用・SNS広告,SNS運用 / SNSマーケティング / SNS広告,https://www.advertisingatdream.co.jp/services | https://www.advertisingatdream.co.jp/services/advertisement,kept_sns
102,株式会社 DO,https://www.dodash.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
103,株式会社ベストデイ,https://bestday-jp.com,web,Web制作会社,Webサイト制作 / ランディングページ制作,https://bestday-jp.com/website,appended_sheet1
104,株式会社中広メディアソリューションズ,https://chuco-ms.co.jp,sns,SNS運用・SNS広告,SNSマーケティング / Instagram運用代行 / Instagram運用,https://chuco-ms.co.jp/business/,kept_sns
105,株式会社らふがき,https://laughgaki.com,sns,SNS運用・SNS広告,SNS運用 / Instagram運用 / TikTok運用代行,https://laughgaki.com/service/,kept_sns
106,株式会社分析屋,https://listing.analytics-jp.com,marketing,Webマーケティング・広告,ウェブマーケティング / リスティング広告運用 / リスティング広告,https://listing.analytics-jp.com/,appended_webmarketing
107,株式会社エヴォルシアン,https://www.evolucyan.co.jp,sns,SNS運用・SNS広告,SNS運用支援 / SNS運用,https://www.evolucyan.co.jp/service,kept_sns
108,株式会社Sunny,https://www.sunny0626.com,exclude,,,,excluded_service:official_service_unconfirmed
109,株式会社メイクリード,https://makelead.co.jp,sns,SNS運用・SNS広告,SNSマーケティング / SNS運用,https://makelead.co.jp/instagram-tiktok,kept_sns
110,株式会社LENDA,https://www.lendagrp.com,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://www.lendagrp.com/,kept_sns
111,株式会社うけざら,https://ukezara.tokyo,marketing,Webマーケティング・広告,Web広告,https://ukezara.tokyo/service/,appended_webmarketing
112,株式会社マツオ,https://corp.matsuo1956.jp,exclude,,,,excluded_service:official_service_unconfirmed
113,合同会社ライフデザイン,https://lifedesign-marketing.com,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / Instagram運用代行,https://lifedesign-marketing.com/service,excluded_reference:company_name
114,bey株式会社,https://bey-inc.com,exclude,,,,excluded_service:official_service_unconfirmed
115,株式会社SHUHARI,https://www.shuhari.work,sns,SNS運用・SNS広告,SNS広告運用 / SNS広告,https://www.shuhari.work/,kept_sns
116,株式会社コスモポリタン・クリエイティブ・ラボ,https://www.cclab.co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://www.cclab.co.jp/services,kept_sns
117,株式会社 Key-partners,https://key-partners.jp,exclude,,,,excluded_service:official_service_unconfirmed
118,株式会社しごとウェブ,https://netkoukoku-dairiten.com,sns,SNS運用・SNS広告,SNS広告,https://netkoukoku-dairiten.com/sns-advertising/,kept_sns
119,DOTZ株式会社,https://dotz.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
120,株式会社 スパイシーハンドレッド,https://spicy-hundred.com,web,Web制作会社,ホームページ制作,https://spicy-hundred.com/,appended_sheet1
121,株式会社ビヨンド,https://beyond-global.jp,exclude,,,,excluded_service:official_service_unconfirmed
122,株式会社ギークスデザイン,https://geeks-design.co.jp,web,Web制作会社,ホームページ制作 / Web制作,https://geeks-design.co.jp/,appended_sheet1
123,株式会社UTARIII,https://utariii.com,exclude,,,,excluded_service:official_service_unconfirmed
124,合同会社オリンパス,https://studio-olympus.com,sns,SNS運用・SNS広告,YouTube運用代行,https://studio-olympus.com/service/index.html,kept_sns
125,株式会社COMPANY,https://company-soka.com,web,Web制作会社,ホームページ制作 / ホームページ作成,https://company-soka.com/homepage/,excluded_reference:company_name
126,株式会社ハイブリッド,https://www.hy-b.co.jp,marketing,Webマーケティング・広告,広告代理店 / Web広告,https://www.hy-b.co.jp/service/ | https://www.hy-b.co.jp/service/tv/tver/,appended_webmarketing
127,株式会社TOKYO,https://tokyogate.co.jp,marketing,Webマーケティング・広告,Web広告運用 / Web広告 / SEO対策,https://tokyogate.co.jp/service/,appended_webmarketing
128,株式会社ハッピーツリー,https://www.happynoki.com,sns,SNS運用・SNS広告,SNSマーケティング / SNS運用代行 / SNS運用,https://www.happynoki.com/service/detail/id=100,kept_sns
129,デジタルスペース株式会社,https://knowful.jp,exclude,,,,excluded_service:official_service_unconfirmed
130,エフオーエフシティソリューションズ株式会社,https://fof-cs.com,exclude,,,,excluded_service:official_service_unconfirmed
131,イー・ガーディアン株式会社,https://www.e-guardian.co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://www.e-guardian.co.jp/service/,kept_sns
132,株式会社ポリグロットリンク,https://polyglot-link.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
133,アップスカイ株式会社,https://upsky.jp,sns,SNS運用・SNS広告,SNSマーケティング / SNS運用代行 / SNS運用,https://upsky.jp/sns-marketing/,kept_sns
134,株式会社kurokawa&co,https://kurokawaandco.jp,web,Web制作会社,サイトリニューアル,https://kurokawaandco.jp/,appended_sheet1
135,株式会社ニコモア,https://nicomore.jp,exclude,,,,excluded_service:official_service_unconfirmed
136,Buzz Brain株式会社,https://buzz-brain.com,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / Instagram運用代行,https://buzz-brain.com/sns/ | https://buzz-brain.com/,kept_sns
137,有限会社オカダシステムプラン,https://okadasys.com,web,Web制作会社,Web制作 / ホームページ制作,https://okadasys.com/web/ | https://okadasys.com/,appended_sheet1
138,株式会社 東京マンダリンアワード,https://mpress.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNSマーケティング,https://mpress.jp/ | https://mpress.jp/ourservice/,kept_sns
139,株式会社ビー・オー・スタジオ,https://www.bostudio.co.jp,sns,SNS運用・SNS広告,SNS運用 / SNSマーケティング / SNS広告運用,https://www.bostudio.co.jp/item_tag/sns/ | https://www.bostudio.co.jp/business/sns/,kept_sns
140,合同会社アイフィルム,https://www.ifilm.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
141,合同会社JOYNS,https://joyns.biz,web,Web制作会社,Web制作 / Webサイト制作 / サイトリニューアル,https://joyns.biz/ | https://joyns.biz/service/,appended_sheet1
142,有限会社コミット,https://commit-llc.com,web,Web制作会社,ホームページ制作 / Web制作 / ランディングページ制作,https://commit-llc.com/service/web/ | https://commit-llc.com/service/lp/,appended_sheet1
143,株式会社ディーシーアンドエー,https://dc-a.co.jp,marketing,Webマーケティング・広告,マーケティング支援 / ウェブマーケティング / デジタルマーケティング,https://dc-a.co.jp/service/ | https://dc-a.co.jp/,appended_webmarketing
144,株式会社TUUUBE,https://tuuube.jp,sns,SNS運用・SNS広告,YouTube運用代行 / SNS運用,https://tuuube.jp/service/youtube_marketing/ | https://tuuube.jp/,kept_sns
145,株式会社StokedBase,https://stokedbase.jp,sns,SNS運用・SNS広告,YouTube運用代行,https://stokedbase.jp/service/youtube/,kept_sns
146,株式会社Xcuu,https://xcuu.jp,sns,SNS運用・SNS広告,YouTube運用代行,https://xcuu.jp/service/video-marketing/urakata/,kept_sns
147,合同会社BAKER,https://bakerweb.site,web,Web制作会社,ホームページ制作,https://bakerweb.site/archives/serviceprogram/creative-service/homepage-service/,appended_sheet1
148,株式会社 solezore,https://solezore.co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / TikTok運用,https://solezore.co.jp/,kept_sns
149,マイス株式会社,https://mais.nagano.jp,web,Web制作会社,ホームページ制作,https://mais.nagano.jp/service/,appended_sheet1
150,株式会社ヒダネ,https://hidane2025.com,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://hidane2025.com/service,kept_sns
151,株式会社NOKID,https://nokid.jp,marketing,Webマーケティング・広告,Web広告 / 広告運用代行 / Web広告運用,https://nokid.jp/service/pr/ | https://nokid.jp/service/movie/,appended_webmarketing
152,株式会社filments,https://filments.com,sns,SNS運用・SNS広告,SNS運用 / SNS広告,https://filments.com/marketing/,kept_sns
153,株式会社モーション・ビジュアル・ジャパン,https://motionvisualjapan.com,exclude,,,,excluded_service:official_service_unconfirmed
154,株式会社 シーエント,https://www.c-ent.jp,exclude,,,,excluded_service:official_service_unconfirmed
155,株式会社SUMUS,https://good-echoes.com,web,Web制作会社,LP制作 / Webサイト制作 / サイトリニューアル,https://good-echoes.com/lp-production | https://good-echoes.com/,appended_sheet1
156,株式会社アクセルパートナーズ,https://listing-partners.com,marketing,Webマーケティング・広告,Webマーケティング / リスティング広告 / マーケティング支援,https://listing-partners.com/listing/marketing_work/marutake/ | https://listing-partners.com/marketing/,appended_webmarketing
157,株式会社ASAKURA,https://asakura-mie.com,web,Web制作会社,ホームページ制作 / LP制作 / Web制作,https://asakura-mie.com/service/production/,appended_sheet1
158,株式会社バラクーダ,https://barracuda-japan.com,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / TikTok運用,https://barracuda-japan.com/service/sns.php | https://barracuda-japan.com/,kept_sns
159,株式会社Med-Bridge,https://med-bridge.jp,web,Web制作会社,Web制作,https://med-bridge.jp/service/dx/,appended_sheet1
160,株式会社 En,https://enlink-kyoto.co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNSマーケティング,https://enlink-kyoto.co.jp/services/sns-management/ | https://enlink-kyoto.co.jp/services/ | https://enlink-kyoto.co.jp/,excluded_reference:company_name
161,株式会社グローバルリンクジャパン,https://www.globallinkjapan.com,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNS運用支援,https://www.globallinkjapan.com/,kept_sns
162,GII holdings株式会社,https://www.giiholdings.com,sns,SNS運用・SNS広告,SNS運用 / SNS広告運用 / SNS広告,https://www.giiholdings.com/ | https://www.giiholdings.com/service,kept_sns
163,CROSS OVER AGENCY株式会社,https://cross-over.co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://cross-over.co.jp/service/,kept_sns
164,合同会社TM,https://tm-llc-office.site,sns,SNS運用・SNS広告,SNSマーケティング / SNS運用,https://tm-llc-office.site/ | https://tm-llc-office.site/services,kept_sns
165,NextValue株式会社,https://nextvalue-asahikawa.com,exclude,,,,excluded_service:official_service_unconfirmed
166,株式会社ラバブルマーケティンググループ,https://lmg.co.jp,sns,SNS運用・SNS広告,SNS運用 / SNSマーケティング / SNS運用支援,https://lmg.co.jp/business/sns_management/ | https://lmg.co.jp/business/sns_marketing_tool/ | https://lmg.co.jp/business/,kept_sns
167,株式会社 Tukitati,https://tukitati.com,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNS広告運用,https://tukitati.com/%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9,kept_sns
168,株式会社 shared,https://shared.168style.co.jp,web,Web制作会社,Webサイト制作 / LP制作,https://shared.168style.co.jp/work/web,appended_sheet1
169,株式会社ウインドクロス,https://kohomedia.jp,web,Web制作会社,Webサイト制作 / LP制作,https://kohomedia.jp/service/,appended_sheet1
170,株式会社 仙台オフィス,https://sendai.beak-promo.jp,sns,SNS運用・SNS広告,SNS運用 / Meta広告運用,https://sendai.beak-promo.jp/business/ | https://sendai.beak-promo.jp/solution/web/,kept_sns
171,株式会社ニチデLab,https://nichide-lab.co.jp,web,Web制作会社,ホームページ制作 / Web制作,https://nichide-lab.co.jp/web-original/,appended_sheet1
172,有限会社メディアファースト,https://media1.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
173,株式会社福島映像企画,https://f-eiki.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
174,株式会社ターコイズ,https://turquoise-inc.com,web,Web制作会社,ホームページ制作 / LP制作 / Web制作,https://turquoise-inc.com/web/ | https://turquoise-inc.com/web-lp/ | https://turquoise-inc.com/,appended_sheet1
