member_type,company_name,url,address,phone,maps_url,oac_detail_url,oac_services
regular,株式会社オフィスバンズ,http://www.officebands.com,,,,https://www.oac.or.jp/member/officebands/,
regular,株式会社オンド,http://www.onde.co.jp/,,,,https://www.oac.or.jp/member/onde/,グラフィック｜映像｜Web｜アプリ｜パッケージ｜撮影・CG｜ブランディング｜エディトリアル｜プランニング・コンサルティング
regular,コアプランニング株式会社,http://www.coa.co.jp,,,,https://www.oac.or.jp/member/coa/,
regular,株式会社サクラアルカス,http://www.sakura-pr.co.jp,,,,https://www.oac.or.jp/member/sakura-pr/,
regular,サン・クリエイティブ株式会社,http://www.sun-cre.jp/,,,,https://www.oac.or.jp/member/sun-cre/,
regular,シブニデザイン株式会社,http://www.sb2.co.jp,,,,https://www.oac.or.jp/member/%e3%82%b7%e3%83%96%e3%83%8b%e3%83%87%e3%82%b6%e3%82%a4%e3%83%b3%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,
regular,株式会社スキップ,http://www.sqip.com/,,,,https://www.oac.or.jp/member/sqip/,
regular,株式会社スタジオゲット,http://www.studioget.co.jp/,,,,https://www.oac.or.jp/member/studioget/,
regular,株式会社スタヂオ･ユニ,http://www.studio-uni.com/,,,,https://www.oac.or.jp/member/studio-uni/,グラフィック｜映像｜Web｜パッケージ｜撮影・CG｜ブランディング｜エディトリアル｜イベント｜プランニング・コンサルティング｜オンラインショップ　メディア運営
regular,株式会社ステッチ,https://stitch.co.jp/,,,,https://www.oac.or.jp/member/stitch/,グラフィック｜映像｜Web｜パッケージ｜ブランディング｜プランニング・コンサルティング
regular,株式会社スパイス,http://www.spice-group.jp/,,,,https://www.oac.or.jp/member/spice-group/,
regular,株式会社センシュウ・アド・クリエーターズ,http://www.senshu-ad.co.jp,,,,https://www.oac.or.jp/member/senshu-ad/,
regular,株式会社創芸社,https://www.sohgeisha.co.jp/,,,,https://www.oac.or.jp/member/sohgeisha/,
regular,株式会社たきコーポレーション,http://taki.co.jp/,,,,https://www.oac.or.jp/member/taki/,グラフィック｜映像｜Web｜パッケージ｜撮影・CG｜ブランディング｜エディトリアル｜イベント｜プランニング・コンサルティング｜パーパスブランディング／CIVI開発・ロゴ制作／UX
regular,株式会社ティ･エー･シー企画,http://www.tac.co.jp,,,,https://www.oac.or.jp/member/tac/,グラフィック｜映像｜Web｜アプリ｜パッケージ｜撮影・CG｜ブランディング｜エディトリアル｜イベント｜プランニング・コンサルティング
regular,株式会社TCD,http://www.tcd.jp/,,,,https://www.oac.or.jp/member/tcd/,グラフィック｜映像｜Web｜パッケージ｜撮影・CG｜ブランディング｜エディトリアル｜プランニング・コンサルティング
regular,デザインプール株式会社,http://designpool.co.jp/,,,,https://www.oac.or.jp/member/designpool/,
regular,株式会社電通クリエイティブピクチャーズ,https://www.dcrp.co.jp,,,,https://www.oac.or.jp/member/dentsu-crx/,
regular,株式会社東京アドデザイナース,http://www.tokyoad.co.jp,,,,https://www.oac.or.jp/member/tokyoad/,グラフィック｜映像｜Web｜パッケージ｜撮影・CG｜ブランディング｜エディトリアル｜イベント
regular,株式会社東京グラフィックデザイナーズ,http://www.to-gra.co.jp/,,,,https://www.oac.or.jp/member/to-gra/,グラフィック｜映像｜Web｜撮影・CG｜ブランディング｜イベント
regular,株式会社東京ニュース,http://www.tnews.co.jp,,,,https://www.oac.or.jp/member/tnews/,
regular,株式会社東北新社,http://www.tfc.co.jp,,,,https://www.oac.or.jp/member/tfc/,グラフィック｜映像｜Web｜アプリ｜パッケージ｜撮影・CG｜ブランディング｜イベント｜プランニング・コンサルティング｜VFX / AR / VR / XR
regular,株式会社日本デザインセンター,http://www.ndc.co.jp/,,,,https://www.oac.or.jp/member/ndc/,
regular,株式会社2055,https://www.2055.jp,,,,https://www.oac.or.jp/member/corporation2055/,映像｜撮影・CG｜VR/AR
regular,株式会社ノエ,https://noe-inc.com/,,,,https://www.oac.or.jp/member/noe/,グラフィック｜映像｜Web｜パッケージ｜撮影・CG｜ブランディング｜エディトリアル｜プランニング・コンサルティング
regular,有限会社バウ広告事務所,http://www.bau-ad.co.jp,,,,https://www.oac.or.jp/member/bau-ad/,
regular,株式会社博報堂プロダクツ,http://www.h-products.co.jp,,,,https://www.oac.or.jp/member/h-products/,グラフィック｜映像｜Web｜アプリ｜パッケージ｜撮影・CG｜ブランディング｜イベント｜プランニング・コンサルティング｜UIUX　 プロダクトデザイン　 CG / VFX / メタバース
regular,株式会社ハドル（神宮前文庫）,http://www.huddle2005.jp/,,,,https://www.oac.or.jp/member/huddle/,
regular,株式会社広瀬企画,http://www.hirose-kikaku.co.jp/,,,,https://www.oac.or.jp/member/hirose-kikaku/,グラフィック｜Web｜エディトリアル｜プランニング・コンサルティング｜取材　コピーライティング
regular,Fiom合同会社,https://fiom-llc.studio.site,,,,https://www.oac.or.jp/member/fiom/,"グラフィック｜映像｜Web｜パッケージ｜撮影・CG｜ブランディング｜エディトリアル｜イベント｜プランニング・コンサルティング｜SNS（TikTok,Instagram）、縦型ショートドラマなど"
regular,フェロールーム株式会社,http://www.fellowroom.co.jp,,,,https://www.oac.or.jp/member/fellowroom/,
regular,有限会社ブレインカフェ,https://www.braincafe.net/,,,,https://www.oac.or.jp/member/braincafe/,グラフィック｜映像｜Web｜パッケージ｜ブランディング｜エディトリアル｜イベント｜プランニング・コンサルティング
regular,株式会社プロモーションズライト,http://www.promotionslight.co.jp/,,,,https://www.oac.or.jp/member/promotionslight/,
regular,株式会社ホシ・デザイン,http://www.hoshi-design.jp,,,,https://www.oac.or.jp/member/hoshi-design/,
regular,株式会社読広クリエイティブスタジオ,https://yomikocreativestudio.co.jp/,,,,https://www.oac.or.jp/member/yomikocreativestudio/,
supporting,RX Japan合同会社,https://www.rxjapan.jp/,104-0028 東京都中央区八重洲 2-2-1 東京ミッドタウン八重洲 八重洲セントラルタワー11階,03-6739-4101,,,
supporting,アダムシナプス,,145-0071 東京都大田区田園調布1-4-15-301号,090-4050-2207,,,
supporting,株式会社アド・テクニカ,http://www.ad-technica.co.jp/,102-0075 東京都千代田区三番町1KY三番町ビル4Ｆ,03-3262-7381,,,
supporting,株式会社アラジンイデア,https://www.aladdin-idea.co.jp,101-0051 東京都千代田区神田神保町3-6　能楽書林ビル2Ｆ,03-5276-7100,,,
supporting,一般社団法人Interactive Communication Experts (I.C.E.),https://i-c-e.jp/,106-0031 東京都港区西麻布3-1-17 NISSHIN BLDG 3F,03-6455-4338,,,
supporting,大阪芸術大学,https://www.osaka-geidai.ac.jp/,585-8555 大阪府南河内郡河南町東山469,0721-93-3781,,,
supporting,株式会社大塚商会,https://www.otsuka-shokai.co.jp/,108-6327 東京都港区三田3-5-27 住友不動産三田ツインビル西館 27階,03-6436-2511,,,
supporting,株式会社オリコム,http://www.oricom.co.jp/,105-0004 東京都港区新橋1-11-7 新橋センタープレイス,03-6733-2230,,,
supporting,キヤノンマーケティングジャパン株式会社,https://canon.jp,108-8011 東京都港区港南2-16-6 キヤノンSタワー10F,03-6719-9470,,,
supporting,株式会社グレン,https://gren.co.jp,101-0051 東京都千代田区神田神保町3-7,03-3263-3556,,,
supporting,専門学校桑沢デザイン研究所,https://www.kds.ac.jp/,150-0041 東京都渋谷区神南1-4-17,03-3463-2431,,,
supporting,株式会社光画,http://www.kohga.co.jp/,540-0005 大阪府大阪市中央区上町C-1,06-6761-4381,,,
supporting,株式会社シュガー,http://www.sugarinc.net/,107-0052 東京都港区赤坂8-13-23 赤坂モリビルディング,03-3796-6044,,,
supporting,株式会社ショウエイ,http://www.shoei-site.com/,112-0005 東京都文京区水道2-5-22,03-3811-6271,,,
supporting,株式会社ジェイスリー,http://www.jaythree.com/,105-0003 東京都港区西新橋2-11-6 ニュー西新橋ビル7F,03-3519-3931,,,
supporting,女子美術大学,https://www.joshibi.ac.jp/,166-8538 東京都杉並区和田1-49-8,03-5340-4543,,,
supporting,株式会社スタジオテック,https://www.studiotec.co.jp/,583-0881 大阪府羽曳野市島泉9-23-5,072-931-5566,,,
supporting,株式会社精美堂,https://seibido02.com/,108-0073 東京都港区三田3-10-1 アーバンネット三田ビル 5Ｆ,03-3457-5686,,,
supporting,株式会社宣伝会議,http://www.sendenkaigi.com/,107-8550 東京都港区南青山3-11-13 新青山東急ビル8・9Ｆ,03-3475-7666,,,
supporting,株式会社セントラルプロフィックス,https://www.central-p.co.jp/,104-0043 東京都中央区湊3-1-13,03-3555-0671,,,
supporting,株式会社第一製版,https://www.di-seihan.co.jp/,105-0011 東京都港区芝公園1-8-4 NREG芝公園ビル5階,03-3431-4071,,,
supporting,株式会社竹尾,https://www.takeo.co.jp/,101-0054 東京都千代田区神田錦町3-12-6,03-3292-3634,,,
supporting,多摩美術大学,https://www.tamabi.ac.jp/index_j.htm,158-8558 東京都世田谷区上野毛3-15-34,03-3702-1176,,,
supporting,タンデムクロス株式会社,http://www.tandem-ad.co.jp/,104-0043 東京都中央区湊2-2-8 CKビル5F,03-5541-8105,,,
supporting,株式会社電通,http://www.dentsu.co.jp/,105-7001 東京都港区東新橋1-8-1,03-6216-5807,,,
supporting,株式会社Too,https://www.too.com/,150-0001 東京都港区虎ノ門3-4-7 虎ノ門36森ビル,03-6757-3130,,,
supporting,東京グラフィックコミュニケーションズ工業組合,http://www.gcj-page.or.jp/,162-0821 東京都新宿区津久戸町4-7 OSビル601,03-5228-5005,,,
supporting,東京コミュニケーションアート専門学校,http://www.tca.ac.jp/,134-0088 東京都江戸川区西葛西5-3-1,03-3688-3421,,,
supporting,東京造形大学,http://www.zokei.ac.jp/,192-0992 東京都八王子宇津貫町1556,042-637-8149,,,
supporting,東京デザイン専門学校,http://www.tda.ac.jp/,151-0051 東京都渋谷区千駄ヶ谷3-8-7,03-3404-3786,,,
supporting,株式会社東美,https://www.toubi.co.jp/,162-0041 東京都新宿区早稲田鶴巻町540　キリン1stビル2Ｆ,03-3208-9091,,,
supporting,株式会社トラック,https://www.track.co.jp/,101-0051 東京都千代田区神田神保町2-3-1 岩波書店アネックス4階,03-6272-6635,,,
supporting,株式会社日庄プラスワン,https://www.kk-nissho.co.jp/,103-0013 東京都中央区日本橋人形町1-1-11,03-3249-7051,,,
supporting,株式会社日東装備,https://nitto-soubi.co.jp/,224-0053 神奈川県横浜市都筑区池辺町3999-1,045-938-6098,,,
supporting,一般社団法人日本アド・コンテンツ制作協会（JAC）,https://www.jac-cm.or.jp/,105-0004 東京都港区新橋2-13-5 鈴木ビル3Ｆ,03-5510-0727,,,
supporting,日本工学院八王子専門学校,https://www.nhac.ac.jp/,192‐0983 東京都八王子市片倉町1404-1,042-637-3111,,,
supporting,専門学校日本デザイナー学院,http://www.ndg.ac.jp/,150-0031 東京都渋谷区桜丘町4-16,03-3770-5583,,,
supporting,日本電子専門学校,https://www.jec.ac.jp/,169-8522 東京都新宿区百人町1-25-4,03-3369-9333,,,
supporting,野口会計法務事務所,https://www.noguchikaikeihoumu.com/,364-0005 埼玉県北本市本宿1-59,048-591-0553,,,
supporting,株式会社博報堂,https://www.hakuhodo.co.jp/,107-6322 東京都港区赤坂5-3-1赤坂Bizタワー,03-6441-8613,,,
supporting,株式会社パルック,http://www.paluc.co.jp/,110-0041 東京都台東区元浅草2-6-7 マタイビル1階,03-5830-3666,,,
supporting,株式会社二葉企画,http://futaba-dd.jp/,112-0012 東京都文京区大塚5-23-2,03-3941-6381,,,
supporting,一般社団法人フリーBGM協会,https://freebgm.org/,102-0093 東京都千代田区平河町1-16-15 USビル8F,03-6823-1463,,,
supporting,町田デザイン＆建築専門学校,http://www.mdc.ac.jp/,194-0022 東京都町田市森野1-26-8,042-726-0204,,,
supporting,マルキンアド株式会社,https://www.marukin-ad.co.jp/,371-0854 群馬県前橋市大渡町2-2-1,027-226-1702,,,
supporting,武蔵野美術大学,https://www.musabi.ac.jp/,187-8505 東京都小平市小川町1-736,042-342-6048,,,
supporting,株式会社 明治アドエージェンシー,https://www.meiji-ad.co.jp/,151-0063 東京都渋谷区富ヶ谷1-5-1,03-3469-2131,,,
supporting,株式会社メディアネットワーク,https://www.mnwk.co.jp/,104-0061 東京都中央区銀座5-1-15 第一御幸ビル8Ｆ,03-3574-7171,,,
supporting,株式会社モスデザイン研究所,http://www.mosdesign.co.jp/,107-0052 東京都港区赤坂5-4-8 荒島ビル2Ｆ,03-3585-7528,,,
supporting,株式会社モリサワ,https://www.morisawa.co.jp/,162-0822 東京都新宿区下宮比町2-27,03-3267-1317,,,
supporting,山脇美術専門学校,https://yamawaki.ac.jp/,102-0074 東京都千代田区九段南4-8-21,03-3264-4020,,,
supporting,株式会社ユウクリ,https://www.y-create.co.jp/,151-0073 東京都渋谷区笹塚1-55-7 マルエスファーストビル 7F,03-6712-7970,,,
supporting,株式会社ライトアップ,http://www.light-up.co.jp/,106-0031 東京都港区西麻布1-11-8 森ビル4F,03-3401-8504,,,
private,入江　桧,https://www.instagram.com/coconocai/,,,,https://www.oac.or.jp/member/%e5%85%a5%e6%b1%9f%e3%80%80%e6%a1%a7/,イラスト
private,河上　聡　　KKKK（株式会社KK),https://www.kk-kk.com/,,,,https://www.oac.or.jp/member/kkkk%ef%bc%88%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%bekk%e3%80%80%e6%b2%b3%e4%b8%8a%e3%80%80%e8%81%a1/,ブランディング｜プランニング・コンサルティング
private,佐藤　大地,,,,,https://www.oac.or.jp/member/%e4%bd%90%e8%97%a4%e3%80%80%e5%a4%a7%e5%9c%b0/,グラフィック
private,溝川  誠司,,,,,https://www.oac.or.jp/member/%e6%ba%9d%e5%b7%9d%e3%80%80%e8%aa%a0%e5%8f%b8/,グラフィック
private,目黒  憲一　　STUDIO MEGURO,https://www.studiomeguro.jp/,,,,https://www.oac.or.jp/member/studio-meguro/,撮影・CG
