address,company_name,confidence,contact_url,discovery_note,evidence_detail,evidence_urls,exclusion_scope,generic_email,hub_type,last_verified_at,maps_url,margin_fit,phone,recurring_relationship,reject_reason,review_status,source_http_status,source_url,status,store_client_access,url,verification_version,why_fit
,(株)NTTドコモ,,,,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,http://www.nttdocomo.co.jp,,
,Omnicom Production Japan(株),,,,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,https://www.egplusww.jp,,
,江崎グリコ(株),,,,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,http://www.glico.co.jp,,
,(株)アール・ジーエー東京,,,,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,https://rga.co.jp,,
,花王(株),,,,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,http://www.kao.co.jp,,
,キリンビバレッジ(株),,,,[],,RECHECK,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,http://www.beverage.co.jp,,
,サントリーホールディングス(株),,,,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,http://www.suntory.co.jp,,
,大正製薬(株),,,,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,http://www.taisho.co.jp,,
,サンスター(株),,,,[],,RECHECK,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,http://www.sunstar.com,,
,セイコーウオッチ(株),,,,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,http://www.seiko-watch.co.jp,,
,株式会社デジタルホールディングス,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/4010001102162,,,https://digital-holdings.co.jp,,
,株式会社気生堂印刷所,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2010801002968,,,https://www.kiseido.jp,,
,協和オフセツト印刷株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,[],,RECHECK,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,https://houjin.goo.to/corporations/2010401008110,,,https://kyowa-offset.co.jp,,
,ＧＣストーリー株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2010601041464,,,https://gc-story.com,,
,ウェブソア株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2011001099382,,,https://webthor.jp,,
,株式会社アクセア,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2011101035312,,,https://www.accea.co.jp,,
,有限会社大黒製作所,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2011802021874,,,https://ooguro.co.jp,,
,キング商事株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/1120001023103,,,https://www.kingsyoji.co.jp,,
,株式会社ファーストクラス,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2011101018325,,,https://1st-class.co.jp,,
,文京製本株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/9030001020639,,,https://www.bunkyo-seihon.co.jp,,
,株式会社セーコー,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/8430001019914,,,https://www.s-seko.co.jp,,
,札幌大同印刷株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,[],,RECHECK,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,https://houjin.goo.to/corporations/8430001020104,,,https://www.dioce.co.jp,,
,下野印刷株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/8060001002197,,,https://shimoin.com,,
,白山印刷株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2011501008272,,,https://storage.googleapis.com,,
,羽田スクリーン印刷株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/8390001006504,,,https://www.hadascreen.com,,
,メディアマイスター株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/1013301024459,,,https://www.mediameister.jp,,
,東日スクリーンプロセス株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2030001076266,,,https://www.tounichiweb.co.jp,,
,大昭和印刷株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2010001004534,,,https://www.daishowa-net.co.jp,,
,株式会社松原印刷社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/8410001002401,,,https://www.matsubarainsatsu.co.jp,,
,プーオフィス株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,[],,RECHECK,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,https://houjin.goo.to/corporations/2011001098054,,,https://www.poulsoffice.com,,
,第一化成商事株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2010801006481,,,https://daiichikasei.jp,,
,アビックス株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/5020001005867,,,https://www.avix.co.jp,,
,株式会社トネー,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/1030001025505,,,https://cdn.amebaowndme.com,,
,株式会社サインランド,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/9430001006515,,,https://www.signland.co.jp,,
,有限会社マルタキ,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/7030002090609,,,https://static.parastorage.com,,
,有限会社クリエイシヨン,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/1011802012040,,,https://www.creation-web.jp,,
,有限会社東京堂,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2060002006327,,,https://www.tokyodo-sign.jp,,
,株式会社エス・アイ・シー,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/1040001016833,,,https://www.sic-ad.com,,
,株式会社ジョイン・システム,,,名簿ロゴ画像の配信元。公式性は別途確認必須,[],,RECHECK,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,https://houjin.goo.to/corporations/2030001041591,,,https://www.join-s.co.jp,,
,栄光産業株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/9030001044646,,,https://www.eiko-tenpo.com,,
,有限会社杉葉堂印刷,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/1390002009462,,,https://www.sanyodo.net,,
,株式会社メイテック,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2010001030695,,,https://meiyuusya.co.jp,,
,大東廣告株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2010001138786,,,https://www.daito-ad.jp,,
,有限会社みどり印刷,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/1390002011022,,,https://www.midori-p.co.jp,,
,有限会社信友印刷,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2070002013834,,,https://www.sinyu.jp,,
,株式会社ダイサン印刷,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/8060001008087,,,https://www.bato-daisan.co.jp,,
,オリジナルケーエス株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/8370001002793,,,https://original-ks.jp,,
,タートルウェルズ株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/9040001060659,,,https://cdn.peraichi.com,,
,株式会社クロム,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2010401112003,,,https://www.crome.co.jp,,
,ドットコネクト株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2011001055419,,,https://dot-connect.co.jp,,
,株式会社呈茗設計,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2011501013545,,,https://www.jyomeidesign.com,,
,油鉄印刷株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/1050001018267,,,https://www.abutetsu.co.jp,,
,株式会社ＣＲＯＳＳ　ＬＩＮＫ,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/5080401000982,,,https://www.ozekipp.com,,
,スターライブエージェント株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,"[{""url"": ""https://starlive-agent.jp/"", ""text"": ""1を目指す企業や個人の最高のパートナーになるエージェント集団を目指しております。\r SEO対策や、SEM対策、MEO対策など様々な観点からWEBやコンテンツの分析\r WEBサイト制作WEBサイトのコンテンツ企画などのマーケティングディレクションなどをもとに、各種広告媒体のプロモーション等\r""}, {""url"": ""https://starlive-agent.jp/"", ""text"": ""集団を目指しております。\r SEO対策や、SEM対策、MEO対策など様々な観点からWEBやコンテンツの分析\r WEBサイト制作WEBサイトのコンテンツ企画などのマーケティングディレクションなどをもとに、各種広告媒体のプロモーション等\r 企業、お店、個人の皆様の現状から今後どういう展開をしていくか""}, {""url"": ""https://starlive-agent.jp/"", ""text"": ""、お店、個人の皆様の現状から今後どういう展開をしていくか?までを企画提案していきます。 もっと見る 業務内容 WEBサイトの企画制作マーケティングPR\r WEBコンテンツの企画制作マーケティングPR\r 1現状把握2分析3改善案提案4売上増加\r \t1~4を個人法人問わずPDCAを回していきます。 WEB""}]",,RECHECK,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,https://houjin.goo.to/corporations/2011101067256,,,https://starlive-agent.jp,,
,株式会社アクセスプログレス,,,名簿ロゴ画像の配信元。公式性は別途確認必須,[],,RECHECK,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,https://houjin.goo.to/corporations/3010401052388,,,https://www.access-t.co.jp,,
,岩見印刷株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/7050001029341,,,https://www.iwami-p.co.jp,,
,有限会社コスモ看板,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2012702000753,,,https://www.cosmoneon.com,,
,株式会社恒和プロダクト,B,https://www.kowa-dtp.com/contact/,名簿ロゴ画像の配信元。公式性は別途確認必須,"[{""url"": ""https://www.kowa-dtp.com/"", ""text"": ""集客力UP! もっと見る SOLUTION 恒和プロダクトにできること 恒和プロダクトでは商業印刷を中心に、 販促支援からプロモーション立案、 デザイン作成、商品開発まで、 幅広いサービスを提供しております。 SALES 販促支援・営業支援・課題解決 企画から実行・納品までトータルにディ""}, {""url"": ""https://www.kowa-dtp.com/"", ""text"": ""促支援からプロモーション立案、 デザイン作成、商品開発まで、 幅広いサービスを提供しております。 SALES 販促支援・営業支援・課題解決 企画から実行・納品までトータルにディレクション、クライアント様の課題と期待に応える実績とノウハウがあります。 詳しくはこちら PRODUCT PLA""}, {""url"": ""https://www.kowa-dtp.com/"", ""text"": "" 商品企画・開発・販売 印刷物に拘らず、消費者の求めるニーズにあった商品の企画、開発、販売を行っている他、各種SNSの運用も手掛けています。 詳しくはこちら PRODUCT 印刷・製造 恒和プロダクトでは環境印刷にこだわり、 すべての印刷を廃液の出ない環境に優しい工程「水なし印刷」で行ってい""}, {""url"": ""https://www.kowa-dtp.com/company/profile/"", ""text"": ""実績、ノウハウなど強みを活かした『印刷+α』で、お客様のビジネスパートナーとして常に同じ目線に立ちトータル的な販促支援・営業支援/課題解決のお手伝いが出来ますように最大限の尽力して参ります。 今後とも変わらぬご指導、ご支援を賜りますよう、何卒よろしくお願い申し上げます。 代表取締役 恒元""}]",https://www.kowa-dtp.com/ | https://www.kowa-dtp.com/company/profile/,RECHECK,,ADD_ON_HUB,2026-08-27T15:20:07,,unknown,,unknown,公式ページの営業連絡制限を確認するまで保留：セールスや売り込みは 一切お断り https://www.kowa-dtp.com/contact/,EVIDENCE_CHECKED,,https://houjin.goo.to/corporations/4122001014194,MEOハブ候補,unknown,https://www.kowa-dtp.com/,,公式ページで「集客力UP! もっと見る SOLUTION 恒和プロダクトにできること 恒和プロダクトでは商業印刷を中心に、 販促支援からプロモーション立案、 デザイン作成、商品開発まで、 幅広いサービスを提供しております。 SALES 販促支援・営業支援・課題解決 企画から実行・納品」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
,株式会社和翔,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/4030001021385,,,https://wa-shou.co.jp,,
,有限会社エスエーテーオープリント,,,名簿ロゴ画像の配信元。公式性は別途確認必須,[],,RECHECK,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,https://houjin.goo.to/corporations/2050002030245,,,https://www.wix.com,,
,有限会社前橋ネオン,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/9070002004926,,,https://maebashi-neon.com,,
,フタバマーク株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/1012401008545,,,https://www.futabamark.co.jp,,
,有限会社ツキムラ,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2010602021052,,,https://www.tsukimura.co.jp,,
,株式会社祥文社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/4010601002885,,,https://www.shobnsha.co.jp,,
,岩城印刷株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/3050001007169,,,https://iwaki-p.jp,,
,有限会社マニワ綜合企画,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/9040002010910,,,https://www.maniwa.net,,
,有限会社加藤印刷,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/9040002033317,,,https://lh3.googleusercontent.com,,
,株式会社十勝マイクロ,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/5460101001152,,,https://www.tokachimicro.co.jp,,
,株式会社サインズキド,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/3450002001709,,,https://www.kidokanban.co.jp,,
,株式会社誠宣,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/9011801035002,,,https://www.seisen-intl.com,,
,株式会社北海道つくし工房,,,名簿ロゴ画像の配信元。公式性は別途確認必須,[],,RECHECK,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,https://houjin.goo.to/corporations/1430001022222,,,https://www.tukusi.co.jp,,
,株式会社ｍＯＶ,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/2010401137883,,,https://mov-inc.co.jp,,
,株式会社スペースアド,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/3010001103780,,,https://www.space-ad.co.jp,,
,株式会社ワイエスバインダリー,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/3010501018207,,,https://www.ysbi.co.jp,,
,株式会社ディップス・プラネット,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/4010001078733,,,https://www.dipps.co.jp,,
,株式会社サクラテック,,,名簿ロゴ画像の配信元。公式性は別途確認必須,[],,RECHECK,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,https://houjin.goo.to/corporations/4010601025382,,,https://cdn.goope.jp,,
,株式会社シミズコーポレーション,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/3013301005416,,,https://www.shimizu-corp.jp,,
,飛行船ネットワーク株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/4010701016728,,,https://www.hikousen-net.co.jp,,
,東包印刷株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/5010001034628,,,https://www.tyhz.co.jp,,
,ライトハンズ株式会社,B,https://www.right-hands.jp/contact.php,名簿ロゴ画像の配信元。公式性は別途確認必須,"[{""url"": ""https://www.right-hands.jp/"", ""text"": ""種情報の提供 デジタルソリューション デジタルソリューション WEB広告全般 WEBプロモーションの企画実施 WEBサイトの企画・制作・運営・分析 クリエイティブ クリエイティブ 広告表現の企画立案・制作 テレビ・ラジオ広告の企画制作。新聞・雑誌広告の企画制作 各種広告原稿、各種販促物のデザイン企画制作""}, {""url"": ""https://www.right-hands.jp/"", ""text"": ""WEBサイトの企画・制作・運営・分析 クリエイティブ クリエイティブ 広告表現の企画立案・制作 テレビ・ラジオ広告の企画制作。新聞・雑誌広告の企画制作 各種広告原稿、各種販促物のデザイン企画制作 ホームページ・WEBサイト制作 動画制作 メディア メディア テレビ、ラジオ、新聞、雑誌、インター""}, {""url"": ""https://www.right-hands.jp/"", ""text"": ""運営・分析 クリエイティブ クリエイティブ 広告表現の企画立案・制作 テレビ・ラジオ広告の企画制作。新聞・雑誌広告の企画制作 各種広告原稿、各種販促物のデザイン企画制作 ホームページ・WEBサイト制作 動画制作 メディア メディア テレビ、ラジオ、新聞、雑誌、インターネット広告の扱い 交通機関""}, {""url"": ""https://www.right-hands.jp/"", ""text"": ""ビ・ラジオ広告の企画制作。新聞・雑誌広告の企画制作 各種広告原稿、各種販促物のデザイン企画制作 ホームページ・WEBサイト制作 動画制作 メディア メディア テレビ、ラジオ、新聞、雑誌、インターネット広告の扱い 交通機関(電車・バス・駅・空港等)の車内ポスター、駅ポスター、デジタルサイネージ、各""}, {""url"": ""https://www.right-hands.jp/"", ""text"": ""をもって取り組み、遂行させていただくことをお約束します。 ワンストップ 弊社は企画・立案、媒体選定、広告運用、WEB制作、サイト保守、分析までを一括で承ることが可能です。 お客様の手間を省けるよう、それぞれの分野でのプロフェッショナルを揃えています。""}]",https://www.right-hands.jp/,RECHECK,,ADD_ON_HUB,2026-08-27T15:20:40,,unknown,0358338476,signal_only,公式ページの営業連絡制限を確認するまで保留：営業・提案目的でのお問い合わせはご遠慮 https://www.right-hands.jp/contact.php,EVIDENCE_CHECKED,,https://houjin.goo.to/corporations/4010001169185,MEOハブ候補,unknown,https://www.right-hands.jp/,,公式ページで「種情報の提供 デジタルソリューション デジタルソリューション WEB広告全般 WEBプロモーションの企画実施 WEBサイトの企画・制作・運営・分析 クリエイティブ クリエイティブ 広告表現の企画立案・制作 テレビ・ラジオ広告の企画制作。新聞・雑誌広告の企画制作 各種広告」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
,アート・コア株式会社,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/4030001085744,,,https://www.art-core.jp,,
,株式会社ニューエイジ,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/4180001129346,,,https://newage-inc.co.jp,,
,株式会社サンパックス,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/6460101000673,,,https://www.3893.co.jp,,
