company_name,url,domain,existing_name,existing_domain
株式会社 unerry,https://www.unerry.co.jp,unerry.co.jp,False,False
株式会社 UltraImpression,https://ultraimpression.co.jp/,ultraimpression.co.jp,False,False
株式会社 ADKデジタル・コミュニケーションズ,http://www.addc.co.jp,addc.co.jp,False,False
株式会社 ADKマーケティング・ソリューションズ,http://www.adk.jp/,adk.jp,False,False
Appier Japan株式会社,https://www.appier.com,appier.com,False,False
株式会社 A1 Media Group,http://www.a1mediagroup.jp,a1mediagroup.jp,False,False
株式会社 SEMエージェンシー,https://sem-agency.co.jp/,sem-agency.co.jp,False,False
株式会社 SEデジタル,https://se-digital.co.jp/,se-digital.co.jp,True,True
SMN株式会社,http://www.so-netmedia.jp/,so-netmedia.jp,False,False
株式会社 SMBCデジタルマーケティング,https://www.smbc-digitalmarketing.co.jp/,smbc-digitalmarketing.co.jp,False,False
株式会社 STK,https://stk-i.co.jp/,stk-i.co.jp,False,False
X Corp. Japan株式会社,https://x.com/,x.com,False,False
株式会社 NDPマーケティング,https://www.ndpmarketing.co.jp/,ndpmarketing.co.jp,False,False
株式会社 NTTアド,http://www.ntt-ad.co.jp/,ntt-ad.co.jp,False,False
株式会社 NTTドコモ,https://www.docomo.ne.jp/corporate/,docomo.ne.jp,False,False
株式会社 エフエム東京,https://www.tfm.co.jp,tfm.co.jp,False,False
株式会社 エブリー,https://corp.every.tv,corp.every.tv,False,False
OCEAN'S株式会社,https://oceans-22.jp/,oceans-22.jp,False,False
OpenX Japan株式会社,http://www.openx.com/,openx.com,False,False
株式会社 オールアバウト,http://allabout.co.jp,allabout.co.jp,False,False
Ogury Japan株式会社,https://ogury.com/jp/,ogury.com,False,False
株式会社 オサマジョール,https://osa-mayor.com/,osa-mayor.com,False,False
株式会社 オトナル,https://otonal.co.jp/,otonal.co.jp,False,False
株式会社 オプト,http://www.opt.ne.jp,opt.ne.jp,False,False
Omnicom Content Experiences株式会社,https://ocex.jp/,ocex.jp,False,False
株式会社 オムニバス,https://e-omnibus.co.jp,e-omnibus.co.jp,False,False
株式会社 オリコム,http://www.oricom.co.jp,oricom.co.jp,False,False
株式会社 oricon ME,http://www.oricon.co.jp/,oricon.co.jp,False,False
株式会社 オリゾ,https://orizo.co.jp/,orizo.co.jp,False,False
株式会社 カカクコム,http://corporate.kakaku.com/,corporate.kakaku.com,False,False
株式会社 KAKEHASHI,https://kakehashi.inc/,kakehashi.inc,False,False
カタリナ マーケティング ジャパン株式会社,https://catalinamarketing.co.jp,catalinamarketing.co.jp,False,False
株式会社 ＫＡＤＯＫＡＷＡ,https://group.kadokawa.co.jp/,group.kadokawa.co.jp,False,False
GumGum Japan株式会社,https://ja.gumgum.com/,ja.gumgum.com,False,False
株式会社 CARTA ZERO,https://www.cartazero.co.jp/,cartazero.co.jp,False,False
株式会社 CARTA HOLDINGS,http://cartaholdings.co.jp/,cartaholdings.co.jp,False,False
株式会社 キネッソジャパン,https://www.interpublic.com/our-companies/kinesso/,interpublic.com,False,False
株式会社 KIYONO,https://www.kiyono-co.jp/,kiyono-co.jp,False,False
グーグル合同会社,http://www.google.co.jp/,google.co.jp,False,False
株式会社 クオラス,http://www.quaras.co.jp,quaras.co.jp,False,False
株式会社 Gunosy,http://gunosy.co.jp/,gunosy.co.jp,False,False
株式会社 クライド,https://www.craid-inc.com/,craid-inc.com,False,False
クラシル株式会社,https://kurashiru.co.jp/,kurashiru.co.jp,True,True
株式会社 CrushOn,https://crushon.co.jp,crushon.co.jp,False,False
株式会社 グラッドキューブ,https://www.glad-cube.com/,glad-cube.com,False,False
株式会社 craft.,https://www.gacraft.jp,gacraft.jp,False,False
株式会社 グラフトンノート,https://graphtone-note.co.jp,graphtone-note.co.jp,False,False
CRITEO株式会社,http://www.criteo.com,criteo.com,False,False
株式会社 グレイプ,http://www.grapee.co.jp/,grapee.co.jp,False,False
株式会社 クロスリスティング,https://www.xlisting.co.jp/,xlisting.co.jp,False,False
株式会社 京王エージェンシー,https://www.keio-ag.co.jp,keio-ag.co.jp,False,False
株式会社 ゲシェル,https://gesher.co.jp/,gesher.co.jp,False,False
株式会社 講談社,http://www.kodansha.co.jp,kodansha.co.jp,False,False
株式会社 光文社,http://www.kobunsha.com/,kobunsha.com,False,False
株式会社 廣洋社,http://www.kys-net.co.jp,kys-net.co.jp,False,False
コプラ株式会社,https://www.copla.co.jp,copla.co.jp,False,False
株式会社 コムニコ,https://www.comnico.jp/,comnico.jp,True,True
合同会社 コンデナスト・ジャパン,http://corp.condenast.jp/,corp.condenast.jp,False,False
株式会社 ContentAge,https://contentage.co.jp/,contentage.co.jp,False,False
株式会社 ゴンドラ,https://www.gon-dola.com/,gon-dola.com,False,False
株式会社 サイバーエージェント,http://www.cyberagent.co.jp/,cyberagent.co.jp,True,False
株式会社 サイバー・バズ,https://www.cyberbuzz.co.jp,cyberbuzz.co.jp,True,True
The Trade Desk Japan株式会社,https://www.thetradedesk.com/jp,thetradedesk.com,False,False
株式会社 三栄,https://www.sun-a.com,sun-a.com,False,False
株式会社 産業経済新聞社,https://www.sankei.jp/,sankei.jp,False,False
株式会社 産経デジタル,http://www.sankei-digital.co.jp,sankei-digital.co.jp,False,False
株式会社 CEメディアハウス,https://www.cccmh.co.jp/,cccmh.co.jp,False,False
株式会社 CFPコンサルティング,https://cfp-consulting.co.jp/company.php,cfp-consulting.co.jp,False,False
GMO NIKKO株式会社,http://www.koukoku.jp,koukoku.jp,False,False
GMOメディア株式会社,http://www.gmo-media.jp,gmo-media.jp,False,False
株式会社 ジーニー,http://geniee.co.jp/,geniee.co.jp,False,False
株式会社 CMerTV,http://www.cmertv.co.jp/,cmertv.co.jp,False,False
SeenThis Japan株式会社,https://seenthis.co/ja/,seenthis.co,False,False
株式会社 JR東海エージェンシー,https://www.jrta.co.jp,jrta.co.jp,True,True
株式会社 JR西日本コミュニケーションズ,http://www.jcomm.co.jp,jcomm.co.jp,False,True
株式会社 ジェイアール東日本企画,http://www.jeki.co.jp/,jeki.co.jp,False,False
株式会社 J-WAVE,https://www.j-wave.co.jp/,j-wave.co.jp,False,False
株式会社 jeki インタラクティブ・コミュニケーションズ,http://www.jeki-ic.co.jp/,jeki-ic.co.jp,False,False
株式会社 Ｊストリーム,http://www.stream.co.jp,stream.co.jp,False,False
Cinarra Systems Japan株式会社,https://cinarra.co.jp/,cinarra.co.jp,False,False
株式会社 シネマトゥデイ,https://www.cinematoday.jp/,cinematoday.jp,False,False
株式会社 集英社,http://www.shueisha.co.jp/,shueisha.co.jp,False,False
株式会社 主婦と生活社,http://www.shufu.co.jp,shufu.co.jp,False,False
株式会社 小学館,http://www.shogakukan.co.jp/,shogakukan.co.jp,False,False
株式会社 新潮社,https://www.shinchosha.co.jp,shinchosha.co.jp,False,False
株式会社 新東通信,http://www.shinto-tsushin.co.jp,shinto-tsushin.co.jp,True,True
株式会社 SimpCo,https://simp-co.com/,simp-co.com,True,True
Supership株式会社,https://supership.jp/,supership.jp,False,False
株式会社 Skyfall,http://skyfall.co.jp/,skyfall.co.jp,False,False
studio15株式会社,https://studio15.co.jp/,studio15.co.jp,False,False
株式会社 スタンダード通信社,http://www.standard.co.jp/,standard.co.jp,False,False
ステッチ株式会社,https://www.stitch-pro.jp/,stitch-pro.jp,False,False
株式会社 ストリート,https://www.street-inc.com,street-inc.com,False,False
株式会社 スパイスボックス,http://www.spicebox.co.jp,spicebox.co.jp,False,False
スポティファイジャパン株式会社,https://www.spotify.com/,spotify.com,False,False
スマートニュース株式会社,https://about.smartnews.com/ja/,about.smartnews.com,False,False
株式会社 セプテーニ,http://www.septeni.co.jp,septeni.co.jp,False,False
ソウルドアウト株式会社,https://www.sold-out.co.jp/,sold-out.co.jp,False,False
ソーウェルバー株式会社,https://www.sowelleber.jp,sowelleber.jp,False,False
株式会社 ソケッツ,https://www.sockets.co.jp,sockets.co.jp,False,False
株式会社 SOKKIN,https://sokkin.me/,sokkin.me,False,False
ソフトバンク株式会社,http://www.softbank.jp/,softbank.jp,False,False
ソルー株式会社,https://solu.co.jp/,solu.co.jp,False,False
株式会社 第一通信社,http://www.ittsu.ne.jp,ittsu.ne.jp,False,False
株式会社 TYON,https://tyon.co.jp/,tyon.co.jp,False,False
株式会社 大広,http://www.daiko.co.jp,daiko.co.jp,False,False
株式会社 TimeTree,https://timetreeapp.com/intl/ja/corporate,timetreeapp.com,False,False
株式会社 ダイヤモンド社,http://www.diamond.co.jp,diamond.co.jp,False,False
タブーラ・ジャパン株式会社,https://www.taboola.com/ja,taboola.com,False,False
株式会社 TANGLE,https://www.tctangle.co.jp/,tctangle.co.jp,False,False
チョークデジタル株式会社,https://www.chalkdigital.com/ja/japan/,chalkdigital.com,False,False
株式会社 DCXforce,https://dcxforce.co.jp/,dcxforce.co.jp,False,False
Teads Japan株式会社,https://teads.com,teads.com,False,False
株式会社 D2C,http://www.d2c.co.jp,d2c.co.jp,True,True
株式会社 TVer,https://tver.co.jp/,tver.co.jp,False,False
TBS・JNN NEWS DIG合同会社,https://newsdig.tbs.co.jp/,newsdig.tbs.co.jp,False,False
株式会社 TBSテレビ,http://www.tbs.co.jp,tbs.co.jp,False,False
株式会社 TBSラジオ,https://www.tbsradio.jp,tbsradio.jp,False,False
株式会社 TBWA HAKUHODO,http://www.tbwahakuhodo.co.jp,tbwahakuhodo.co.jp,False,False
株式会社 Days,https://www.days365.co.jp/,days365.co.jp,False,False
株式会社 テー・オー・ダブリュー,https://tow.co.jp/,tow.co.jp,False,False
株式会社 データ・ワン,https://data-one.co.jp/,data-one.co.jp,False,False
株式会社 DigiCon,https://dcon.co.jp/,dcon.co.jp,False,False
デジタメ株式会社,https://digitame.co.jp/,digitame.co.jp,False,False
株式会社 デジタリフト,https://digitalift.co.jp/,digitalift.co.jp,False,False
株式会社 デジタルアイデンティティ,https://digitalidentity.co.jp/,digitalidentity.co.jp,True,True
デジタルアスリート株式会社,http://ppc-master.jp/,ppc-master.jp,True,True
株式会社 デジタルガレージ,http://www.garage.co.jp/,garage.co.jp,False,False
デジット株式会社,https://digit.jp/,digit.jp,False,False
株式会社 テレビ朝日,http://www.tv-asahi.co.jp,tv-asahi.co.jp,False,False
株式会社 テレビ東京,http://www.tv-tokyo.co.jp,tv-tokyo.co.jp,False,False
株式会社 電通,http://www.dentsu.co.jp/,dentsu.co.jp,False,False
株式会社 電通アイ・アンド・シー・パートナーズ,https://www.iandc.jp,iandc.jp,False,False
株式会社 電通ジャパン・インターナショナルブランズ,https://www.iprospect.com/en/jp/,iprospect.com,False,False
株式会社 電通ダイレクト,https://www.ddir.co.jp/,ddir.co.jp,False,False
株式会社 電通デジタル,https://www.dentsudigital.co.jp/,dentsudigital.co.jp,False,False
株式会社 電通PRコンサルティング,https://www.dentsuprc.co.jp/,dentsuprc.co.jp,False,False
株式会社 電通東日本,http://www.dentsu-east.co.jp,dentsu-east.co.jp,False,False
株式会社 電通プロモーション,https://www.dentsupromotion.co.jp/,dentsupromotion.co.jp,True,True
株式会社 電通名鉄コミュニケーションズ,https://www.dm-c.co.jp,dm-c.co.jp,False,False
株式会社 電通ランウェイ,https://www.d-runway.co.jp/,d-runway.co.jp,False,False
株式会社 東急エージェンシー,http://www.tokyu-agc.co.jp,tokyu-agc.co.jp,False,False
株式会社 東京アドエージェンシー,http://www.tokyoad-ag.co.jp,tokyoad-ag.co.jp,True,True
株式会社 東洋経済新報社,http://corp.toyokeizai.net,corp.toyokeizai.net,False,False
株式会社 DomiNatorZ,https://dominatorz.co.jp/,dominatorz.co.jp,False,False
トランスコスモス株式会社,http://www.trans-cosmos.co.jp,trans-cosmos.co.jp,False,False
トリップアドバイザー株式会社,https://www.tripadvisor.com/,tripadvisor.com,False,False
株式会社 トリドリ,https://toridori.co.jp/,toridori.co.jp,False,False
株式会社 TORIHADA,https://www.torihada.co.jp/,torihada.co.jp,False,False
株式会社 ナターシャ,https://www.natasha.co.jp/,natasha.co.jp,False,False
株式会社 Napoli,https://napoli-inc.com/,napoli-inc.com,False,False
株式会社 日刊スポーツNEWS,https://www.nikkansports.com/,nikkansports.com,False,False
株式会社 日経BP,http://corporate.nikkeibp.co.jp/,corporate.nikkeibp.co.jp,False,False
株式会社 日本ビジネスプレス,http://www.jbpress.co.jp,jbpress.co.jp,False,False
株式会社 ニッポン放送,http://www.jolf.co.jp,jolf.co.jp,False,False
株式会社 日本経済広告社,http://www.adex.co.jp,adex.co.jp,False,False
株式会社 日本経済社,http://www.nks.co.jp/,nks.co.jp,False,False
株式会社 日本経済新聞社,http://www.nikkei.com,nikkei.com,False,False
日本テレビ放送網株式会社,http://www.ntv.co.jp,ntv.co.jp,False,False
日本マイクロソフト株式会社,https://www.microsoft.com/ja-jp/,microsoft.com,False,False
株式会社 ニューオーダー,https://www.neworder.co.jp/,neworder.co.jp,False,False
Nexxen Media Japan株式会社,https://jp.nexxen.com,jp.nexxen.com,False,False
株式会社 ネットネイティブ,http://net-native.net,net-native.net,False,False
株式会社 Heart Full,https://h-full.co.jp/,h-full.co.jp,False,False
ByteDance株式会社,https://bytedance.com,bytedance.com,False,False
株式会社 博報堂,http://www.hakuhodo.co.jp,hakuhodo.co.jp,False,False
株式会社 Hakuhodo DY ONE,https://www.hakuhodody-one.co.jp/,hakuhodody-one.co.jp,False,False
株式会社 博報堂プロダクツ,http://www.h-products.co.jp,h-products.co.jp,True,True
パブマティック株式会社,https://www.pubmatic.co.jp,pubmatic.co.jp,False,False
株式会社 バリー,https://sir-barrie.co.jp/,sir-barrie.co.jp,False,False
バリュークリエーション株式会社,https://value-creation.jp,value-creation.jp,False,False
バリューコマース株式会社,https://www.valuecommerce.co.jp,valuecommerce.co.jp,False,False
株式会社 バント,https://e-bunt.com/,e-bunt.com,True,True
株式会社 ピアラ,https://www.piala.co.jp/aboutus/profile,piala.co.jp,False,False
株式会社 BI.Garage,http://bi.garage.co.jp/,bi.garage.co.jp,False,False
株式会社 ビー・アンド・ディー,https://www.bdcorp.co.jp,bdcorp.co.jp,False,False
bfj株式会社,https://bf-j.com/,bf-j.com,False,False
株式会社 PTD,https://publisher-tradingdesk.jp/,publisher-tradingdesk.jp,False,False
株式会社 ビデオプロモーション,https://www.vpr.co.jp/,vpr.co.jp,False,False
ピンタレスト・ジャパン合同会社,https://pinterestjapanblog.com/,pinterestjapanblog.com,False,False
株式会社 ファンコミュニケーションズ,http://www.fancs.com/,fancs.com,False,False
株式会社 funs,https://f-ns.jp,f-ns.jp,False,False
株式会社 BUUM,https://buum.jp/,buum.jp,False,False
Facebook Japan合同会社,https://www.facebook.com/,facebook.com,False,False
株式会社 フェズ,https://fez-inc.jp/,fez-inc.jp,False,False
株式会社 フェリエスト,https://www.feriest.com/,feriest.com,False,False
株式会社 フォーイット,https://www.for-it.co.jp,for-it.co.jp,False,False
株式会社 ４Ｘ,https://4x-corp.com/,4x-corp.com,False,False
株式会社 フォーエム,https://www.fourm.jp/,fourm.jp,False,False
株式会社 フジテレビジョン,http://www.fujitv.co.jp,fujitv.co.jp,False,False
株式会社 扶桑社,http://www.fusosha.co.jp/,fusosha.co.jp,False,False
株式会社 FUSION,https://fusion-inc.co.jp/,fusion-inc.co.jp,False,False
株式会社 プライムクロス,https://www.prime-x.co.jp,prime-x.co.jp,True,True
プライムナンバーズ株式会社,https://primenumbers.co.jp/,primenumbers.co.jp,True,True
プラウドエンジン株式会社,https://www.p-engine.co.jp/,p-engine.co.jp,False,False
株式会社 フリークアウト,https://www.fout.co.jp/freakout/,fout.co.jp,False,False
株式会社 ブリーチ,http://bleach.co.jp/,bleach.co.jp,False,False
ブルースクレイ・ジャパン株式会社,https://bruceclay.jpn.com/,bruceclay.jpn.com,True,True
株式会社 フルスピード,http://www.fullspeed.co.jp,fullspeed.co.jp,False,False
株式会社 ブレイク・フィールド社,https://breakfield.co.jp,breakfield.co.jp,False,False
株式会社 プレイド,https://plaid.co.jp/,plaid.co.jp,False,False
株式会社 プレジデント社,http://www.president.co.jp/,president.co.jp,False,False
株式会社 フロンテッジ,http://www.frontage.jp/,frontage.jp,True,True
株式会社 文藝春秋,https://www.bunshun.co.jp/,bunshun.co.jp,False,False
株式会社 ベクトル,http://vectorinc.co.jp/,vectorinc.co.jp,True,True
株式会社 PECO,https://peco-japan.com,peco-japan.com,False,False
株式会社 報知新聞社,https://www.hochi.co.jp,hochi.co.jp,False,False
株式会社 北海道新聞社,http://www.hokkaido-np.co.jp,hokkaido-np.co.jp,False,False
株式会社 マーケティングワン,https://marketingone.co.jp/,marketingone.co.jp,False,False
株式会社 MAVEL,https://mavel.co.jp/,mavel.co.jp,False,False
株式会社 マイクロアド,http://www.microad.co.jp/,microad.co.jp,False,False
株式会社 マイナビ,http://www.mynavi.jp/,mynavi.jp,False,False
株式会社 毎日広告社,http://www.maiko.co.jp,maiko.co.jp,True,True
株式会社 毎日新聞社,http://www.mainichi.jp/,mainichi.jp,False,False
株式会社 毎日放送,http://www.mbs.jp/,mbs.jp,False,False
株式会社 マイベスト,https://my-best.com/,my-best.com,False,False
株式会社 マガジンハウス,http://magazineworld.jp,magazineworld.jp,False,False
マグナイト株式会社,https://www.magnite.com/,magnite.com,False,False
株式会社 マッキャンエリクソン,http://www.mccann.co.jp,mccann.co.jp,False,False
株式会社 MANTAN,https://mantan-inc.jp,mantan-inc.jp,False,False
三菱食品株式会社,https://www.mitsubishi-shokuhin.com,mitsubishi-shokuhin.com,False,False
株式会社 メディアジーン,https://www.mediagene.co.jp/,mediagene.co.jp,False,False
株式会社 ｍｅｄｉｂａ,http://www.mediba.jp,mediba.jp,False,True
株式会社 メディックス,https://www.medix-inc.co.jp,medix-inc.co.jp,False,False
株式会社 メトロ アド エージェンシー,http://www.metro-ad.co.jp,metro-ad.co.jp,False,False
株式会社 MERY,https://mery.co.jp/,mery.co.jp,False,False
株式会社 メルカリ,https://about.mercari.com/about/company/,about.mercari.com,False,False
株式会社 メンバーズ,https://www.members.co.jp,members.co.jp,True,True
モードメディア・ジャパン株式会社,http://www.modemediacorp.jp/,modemediacorp.jp,False,False
"Moloco, Inc.",https://www.moloco.com/,moloco.com,False,False
YoungOne広告株式会社,https://www.y-one.co.jp/,y-one.co.jp,False,False
株式会社 ユーザベース,https://www.uzabase.com/jp/,uzabase.com,False,False
ユナイテッドマーケティングテクノロジーズ株式会社,https://mt.united.jp/,mt.united.jp,False,False
株式会社 ユニーク,https://u2que.jp,u2que.jp,False,False
UNICORN株式会社,https://uncn.jp/en/index.html,uncn.jp,False,False
株式会社 読売アルス A,https://yomiarsa.co.jp,yomiarsa.co.jp,False,False
株式会社 読売広告社,http://www.yomiko.co.jp,yomiko.co.jp,False,False
株式会社 読売新聞東京本社,http://www.yomiuri.co.jp,yomiuri.co.jp,False,False
株式会社 Lifunext,https://lifunext.com/,lifunext.com,False,False
LINEヤフー株式会社,https://www.lycorp.co.jp/ja/,lycorp.co.jp,False,False
楽天グループ株式会社,http://www.rakuten.co.jp/,rakuten.co.jp,False,False
株式会社 radiko,http://radiko.jp/,radiko.jp,False,False
株式会社 Libalent,https://libalent.com/,libalent.com,False,False
株式会社 リライアス,https://relyus.co.jp/,relyus.co.jp,True,True
ROKT合同会社,https://www.rokt.jp/,rokt.jp,False,False
ログリー株式会社,http://corp.logly.co.jp,corp.logly.co.jp,False,False
株式会社 ワン・パブリッシング,https://one-publishing.co.jp,one-publishing.co.jp,False,False
株式会社 アド・プロ,http://www.adpro-inc.co.jp/,adpro-inc.co.jp,False,False
イー・ガーディアン株式会社,http://www.e-guardian.co.jp/,e-guardian.co.jp,False,False
株式会社 インテージ,http://www.intage.co.jp,intage.co.jp,False,False
Integral Ad Science Japan株式会社,https://integralads.com/,integralads.com,False,False
株式会社 オノフ,http://www.onoff.ne.jp,onoff.ne.jp,False,False
GeekOut株式会社,https://geek-out.io/,geek-out.io,False,False
株式会社 コミュニケーション・コンパス,http://comcompass.co.jp/,comcompass.co.jp,True,True
GMOブランドセキュリティ株式会社,https://brandsecurity.gmo/,brandsecurity.gmo,False,False
株式会社 Spider Labs,https://spider-labs.com/,spider-labs.com,False,False
WPPマーケティング・コミュニケーションズ合同会社,https://www.wpp.com/,wpp.com,False,False
DoubleVerify Japan株式会社,https://doubleverify.com/,doubleverify.com,False,False
株式会社 ティー・ケー・オー,https://www.tkonet.jp/,tkonet.jp,False,False
株式会社 DataSign,https://datasign.jp,datasign.jp,False,False
ニールセン デジタル株式会社,http://www.netratings.co.jp/,netratings.co.jp,False,False
株式会社 博報堂アイ・スタジオ,https://www.i-studio.co.jp,i-studio.co.jp,False,False
株式会社 ビデオリサーチ,http://www.videor.co.jp,videor.co.jp,False,False
Five Media Marketing Limited,https://www.geoedge.com,geoedge.com,False,False
株式会社 FUNDiT,https://fundit.jp/,fundit.jp,False,False
Priv Tech株式会社,https://privtech.co.jp/,privtech.co.jp,False,False
株式会社 FLUX,https://flux-g.com/,flux-g.com,False,False
ポールトゥウィン株式会社,https://www.ptw.inc/,ptw.inc,False,False
株式会社 マクロミル,https://www.macromill.com/,macromill.com,False,False
Momentum株式会社,http://www.m0mentum.co.jp,m0mentum.co.jp,False,False
株式会社 LIVE BOARD,https://www.liveboard.co.jp/,liveboard.co.jp,False,False
株式会社 REGAL CORE,https://regalcore.co.jp/,regalcore.co.jp,False,False
株式会社 アドインテ,https://adinte.co.jp/,adinte.co.jp,False,False
アライブ株式会社,https://alive-web.co.jp/,alive-web.co.jp,True,True
株式会社 カルテットコミュニケーションズ,https://quartetcom.co.jp/,quartetcom.co.jp,False,False
関西テレビ放送株式会社,https://www.ktv.jp,ktv.jp,False,False
株式会社 CBCテレビ,http://hicbc.com,hicbc.com,False,False
株式会社 Shift,https://shift-web.co.jp/,shift-web.co.jp,True,True
株式会社 総合オリコミ社,https://www.sogo-orikomi.co.jp/,sogo-orikomi.co.jp,False,False
中京テレビ放送株式会社,http://www.ctv.co.jp,ctv.co.jp,False,False
ツナガル株式会社,https://www.tsunagaru.co.jp/,tsunagaru.co.jp,False,True
株式会社 ディスカバリー,https://discovery-inc.com/,discovery-inc.com,False,False
株式会社 デジタルアンディバイド,https://digital-undevide.co.jp/,digital-undevide.co.jp,False,False
株式会社 テレビ山梨,http://www.uty.co.jp/,uty.co.jp,False,False
株式会社 電通沖縄,https://www.dentsu-ok.co.jp,dentsu-ok.co.jp,True,True
株式会社 電通九州,https://www.dentsu-kyu.co.jp/,dentsu-kyu.co.jp,False,False
株式会社 電通西日本,https://www.dentsu-west-j.co.jp/,dentsu-west-j.co.jp,False,False
株式会社 電通北海道,http://www.dentsu-hokkaido.jp/,dentsu-hokkaido.jp,False,False
東海テレビ放送株式会社,http://tokai-tv.com,tokai-tv.com,False,False
読売テレビ放送株式会社,http://www.ytv.co.jp/,ytv.co.jp,False,False
株式会社 ループドライブ,http://www.loopdrive.co.jp/,loopdrive.co.jp,False,False
えびふらいレコーズ株式会社,https://ebifly-records.co.jp/,ebifly-records.co.jp,False,False
株式会社 コンテンツ庵,https://www.contents-an.co.jp/,contents-an.co.jp,True,True
