_row,removal_reason,company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,,区分,検出ワード,resolved_name,name_source,name_source_url,name_state,name_reason
174,blank_contact_url,株式会社日本レジャーチャンネル,https://www.jlc.ne.jp,〒106-0032 東京都港区六本木5,03-5539-8691,,,,,,,,,,,Web広告・デジタル集客,Web広告 / 広告運用,,,,skip,blank_contact_url
189,blank_contact_url,株式会社Creative.LAB,https://creativelab.biz,〒950-0087 新潟県新潟市中央区東大通1,025-240-1031,,,,,,,,,,,Web制作・クリエイティブ,Web制作 / 動画制作 / 映像制作,,,,skip,blank_contact_url
212,blank_contact_url,株式会社MR,https://mr-marketing.jp,〒500-8384 岐阜県岐阜市薮田南3,,,,,,,,,,,,SNS運用・SNS広告,SNS運用 / SNSマーケティング / SNS広告,,,,skip,blank_contact_url
221,blank_contact_url,株式会社トキ・テック,https://recruit.tokitech.co.jp,〒461-0005 愛知県名古屋市東区東桜1,052-684-8338,,,,,,,,,,,Web制作・クリエイティブ,Webサイト制作 / Web制作 / 動画制作,,,,skip,blank_contact_url
257,blank_contact_url,プラスモーションスタジオ株式会社,https://www.plusmotion.net,〒370-3602 ​群馬県北群馬郡吉岡町大久保３,070-4808-3755,,,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / 動画制作 / 映像制作,,,,skip,blank_contact_url
259,blank_contact_url,シーケンシャルライン株式会社,https://originalpv.com,〒330-0062 埼玉県さいたま市浦和区高砂 ２,048-711-3733,,,,,,,,,,,Web制作・クリエイティブ,動画制作 / 映像制作 / クリエイティブ制作,,,,skip,blank_contact_url
268,japanese_legal_name_unconfirmed,Dunno inc,https://dunno.co.jp,〒408-0026 山梨県北杜市長坂町日野3,,,https://dunno.co.jp/contact/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / 動画制作 / 映像制作,,,,exclude,japanese_legal_name_unconfirmed
270,blank_contact_url,株式会社NewSPO,https://newspo.co.jp,〒556-0011 大阪府大阪市浪速区難波中3,06-6633-7744,,,,,,,,,,,SNS運用・SNS広告,SNS運用,,,,skip,blank_contact_url
295,blank_contact_url,島んちゅキャリア株式会社,https://www.shimakyari.com,〒901-0413 沖縄県島尻郡八重瀬町志多伯6,,,,,,,,,,,,SNS運用・SNS広告,SNS運用,,,,skip,blank_contact_url
298,untrusted_name_source:body_legal,株式会社キーワードマーケティングに変更し,https://www.kwm.co.jp,〒107-0052 東京都港区赤坂4,,,https://www.kwm.co.jp/contact/,,,,,,,,,Web広告・デジタル集客,Web広告 / リスティング広告 / Google広告,株式会社キーワードマーケティング,body_legal,https://www.kwm.co.jp/privacy/,confirmed,
323,blank_contact_url,株式会社INFLU,https://influhp.com,〒550-0013 大阪府大阪市西区新町１,06-7222-2971,,,,,,,,,,,Web広告・デジタル集客,Webマーケティング,,,,skip,blank_contact_url
327,untrusted_name_source:body_legal,Yis(ワイズ)株式会社,https://yis-web.com,〒231-0062 神奈川県横浜市中区桜木町1,,,https://yis-web.com/contact/transactions/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Webサイト制作 / Web制作,yis株式会社,body_legal,https://yis-web.com/about/,confirmed,
333,japanese_legal_name_unconfirmed,"Givery, Inc",https://deca.marketing,〒150-0036 東京都渋⾕区南平台町1,,,https://deca.marketing/contact/,,,,,,,,,Web広告・デジタル集客,Webマーケティング,,,,exclude,japanese_legal_name_unconfirmed
337,japanese_legal_name_unconfirmed,SURESTACK SUBSIDY. Inc,https://www.surestack-subsidy.com,〒107-0062 東京都港区南青山2,,,https://www.surestack-subsidy.com/contact,,,,,,,,,Web広告・デジタル集客,Webマーケティング / Web広告 / 広告運用,,,,exclude,japanese_legal_name_unconfirmed
338,blank_contact_url,株式会社 英文,https://www.visca-hp.jp,〒160-0022 東京都新宿区新宿 6,0120-12-7716,,,,,,,,,,,Web広告・デジタル集客,Webマーケティング / ウェブマーケティング / リスティング広告,,,,skip,blank_contact_url
350,japanese_legal_name_unconfirmed,common inc,https://www.commoncoltd.com,〒211-0068 神奈川県川崎市中原区小杉御殿町2,,,https://www.commoncoltd.com#contact,,,,,,,,,Web広告・デジタル集客,デジタルマーケティング / 広告運用,,,,exclude,japanese_legal_name_unconfirmed
365,blank_contact_url,株式会社フレックスジャパン,https://www.flexjapan.com,〒060-0051 北海道 札幌市中央区 南１,011-242-4001,,,,,,,,,,,Web広告・デジタル集客,Webマーケティング,,,,skip,blank_contact_url
380,untrusted_name_source:body_legal,ホームページテック 株式会社,https://www.bestpage11.com,〒530-0001 大阪府大阪市北区梅田1,080-5121-1515,,https://www.bestpage11.com/otoiawase/,,,,,,,,,Web広告・デジタル集客,リスティング広告 / SEO対策,株式会社 神戸から大阪間でSEO対策に強い,body_legal,https://www.bestpage11.com/about/profile/,confirmed,
385,japanese_legal_name_unconfirmed,"RUTSUBO, Inc",https://rutsubo.co.jp,〒111-0053 東京都台東区浅草橋３,03-6822-6948,,https://rutsubo.co.jp/contact/,,,,,,,,,Web広告・デジタル集客,Webマーケティング / Web広告 / 広告運用,,,,exclude,japanese_legal_name_unconfirmed
390,blank_contact_url,有限会社ハドル,https://huddle55.jp,〒541-0059 大阪府大阪市中央区博労町４,06-6120-3385,,,,,,,,,,,Web制作・クリエイティブ,映像制作,,,,skip,blank_contact_url
402,japanese_legal_name_unconfirmed,株式会社studio-DA,https://gunma-hojyokin.com,〒371-0816 群馬県前橋市上佐鳥町2,027-289-3938,,https://gunma-hojyokin.com/#topform,,,,,,,,,Web制作・クリエイティブ,ホームページ制作,,,,exclude,japanese_legal_name_unconfirmed
413,blank_contact_url,株式会社ATID,https://atid.jp,〒104-0061 東京都中央区銀座1,03-6774-8401,,,,,,,,,,,Web広告・デジタル集客,Webマーケティング / インターネット広告 / リスティング広告,,,,skip,blank_contact_url
439,blank_contact_url,有限会社ビイエフネット,https://about.bfnet.jp,〒041-0851 北海道函館市本通2,0138-86-5760,,,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Webサイト制作,,,,skip,blank_contact_url
445,blank_contact_url,有限会社ファブリレイション,http://quanta-design.com,〒263-0023 千葉県千葉市稲毛区緑町1,,,,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Web制作,,,,skip,blank_contact_url
472,blank_contact_url,株式会社uuubu,https://uuubu.jp,〒981-0945 宮城県仙台市青葉区荒巻字仁田谷地1,,,,,,,,,,,,Web広告・デジタル集客,Webマーケティング / デジタルマーケティング / SEO対策,,,,skip,blank_contact_url
485,untrusted_name_source:jsonld,株式会社 岐阜支社,https://movie.runland.co.jp,〒503-0807 岐阜県大垣市今宿6,0584-73-5123,,https://movie.runland.co.jp/contact,,,,,,,,,Web制作・クリエイティブ,動画制作 / 映像制作,RunLand株式会社,jsonld,https://movie.runland.co.jp/,confirmed,
492,blank_contact_url,株式会社BOTANICO,https://btnc.co.jp,〒220-0073 神奈川県横浜市西区岡野１,045-900-6747,,,,,,,,,,,SNS運用・SNS広告,SNS運用 / SNS広告,,,,skip,blank_contact_url
497,blank_contact_url,bamboo motion合同会社,https://bamboo-motion.jp,〒180-0003 東京都武蔵野市吉祥寺南町5,090-1763-9526,,,,,,,,,,,Web制作・クリエイティブ,動画制作 / 映像制作 / ブランディング,,,,skip,blank_contact_url
499,untrusted_name_source:body_legal,HiNODE inc,https://www.hinode-inc.jp,〒060-0005 北海道札幌市中央区北五条西1,,,https://www.hinode-inc.jp/contact,,,,,,,,,Web制作・クリエイティブ,ウェブサイト制作 / ブランディング,プライバシーポリシー HiNODE株式会社,body_legal,https://www.hinode-inc.jp/privacy-policy,confirmed,
505,untrusted_name_source:body_legal,SOPHOLA inc,https://sophola.jp,〒399-8211 長野県安曇野市堀金烏川5,0263-88-5598,,https://sophola.jp/contact/,,,,,,,,,Web広告・デジタル集客,デジタルマーケティング / リスティング広告,SOPHOLA株式会社,body_legal,https://sophola.jp/privacy-policy/,confirmed,
510,blank_contact_url,株式会社 エクセルエフ・ピー,https://ex-excel.jp,〒213-0001 神奈川県川崎市高津区溝口2,044-811-4133,,,,,,,,,,,店舗・業種特化マーケティング,販促支援 / 販売促進,,,,skip,blank_contact_url
520,untrusted_name_source:jsonld,FORCE INC,https://forceinc.kyoto,〒600-8412 京都府京都市下京区烏丸通綾小路下ル二帖半敷町6,03-5464-3641,,https://forceinc.kyoto/contact/,,,,,,,,,Web広告・デジタル集客,Webマーケティング / デジタルマーケティング / SEO対策,FORCE株式会社,jsonld,https://forceinc.kyoto/company/,confirmed,
539,untrusted_name_source:jsonld,"AVIX, Inc",https://avix.co.jp,〒234-0054 神奈川県横浜市港南区港南台7,,,https://avix.co.jp/ir/ir_contact/,,,,,,,,,Web制作・クリエイティブ,映像制作,アビックス株式会社,jsonld,https://avix.co.jp/company/,confirmed,
541,blank_contact_url,株式会社linkwin,https://gerbera-site.com,〒860-0863 熊本県熊本市中央区坪井２,050-7110-2142,,,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用,,,,skip,blank_contact_url
577,japanese_legal_name_unconfirmed,CAPSULE JAPAN Inc,https://jtg.capsuleinc.co,〒810-0041 福岡県福岡市中央区大名２,,,https://jtg.capsuleinc.co/contact,,,,,,,,,SNS運用・SNS広告,SNS運用 / Instagram運用,,,,exclude,japanese_legal_name_unconfirmed
601,untrusted_name_source:body_legal,合同会社八千代に,https://infinitedp.ltd,〒720-0411 広島県福山市熊野町甲1,050-5363-2953,,https://infinitedp.ltd/contact,,,,,,,,,Web広告・デジタル集客,Webマーケティング / Web広告 / 広告運用,合同会社八千代に Skip to content Contact ウェブサイト利用規約,body_legal,https://infinitedp.ltd/terms,confirmed,
609,blank_contact_url,株式会社ヴァーチェ,https://virche.co.jp,〒532-0011 大阪府大阪市淀川区西中島6,06-6306-0755,,,,,,,,,,,Web広告・デジタル集客,Webマーケティング,,,,skip,blank_contact_url
610,untrusted_name_source:jsonld,株式会社・株式会社ミツワプランニング,https://www.ad-mitsuwa.com,〒541-0046 大阪府大阪市中央区平野町2,06-6484-7448,,https://www.ad-mitsuwa.com/contact/,,,,,,,,,Web広告・デジタル集客,Web広告 / インターネット広告,ミツワ広告株式会社,jsonld,https://www.ad-mitsuwa.com/company/,confirmed,
632,blank_contact_url,株式会社s.create,https://shiga-create.jp,〒525-0032 滋賀県草津市大路3,077-565-0333,,,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / ブランディング,,,,skip,blank_contact_url
644,blank_contact_url,株式会社アーティス,https://blog.asobou.co.jp,〒430-7720 静岡県浜松市中央区板屋町1,053-459-1700,,,,,,,,,,,Web広告・デジタル集客,Webマーケティング,,,,skip,blank_contact_url
674,blank_contact_url,株式会社アドアサヒ,https://ad-asahi.jp,〒350-1304 埼玉県狭山市狭山台1,04-2958-5551,,,,,,,,,,,Web広告・デジタル集客,Webマーケティング,,,,skip,blank_contact_url
675,blank_contact_url,株式会社ビーネ,https://office-bee.jp,〒514-0006 三重県津市広明町3,059-225-6125,,,,,,,,,,,Web制作・クリエイティブ,Web制作,,,,skip,blank_contact_url
691,blank_contact_url,能登印刷株式会社（Knowledge Climber,https://knowledge-climber.recruit-site.biz,〒101-0024 東京都千代田区神田和泉町1,,,,,,,,,,,,Web広告・デジタル集客,Webマーケティング,,,,skip,blank_contact_url
704,blank_contact_url,株式会社ユーザーローカル,https://www.userlocal.jp,〒108-0023 東京都港区芝浦3,,,,,,,,,,,,Web広告・デジタル集客,デジタルマーケティング,,,,skip,blank_contact_url
705,blank_contact_url,合同会社トップマーケティング,https://top-marketing.co.jp,〒332-0023 埼玉県川口市飯塚1,,,,,,,,,,,,Web広告・デジタル集客,Webマーケティング / 広告運用,,,,skip,blank_contact_url
726,blank_contact_url,まごころ合同会社,https://magokorooo.com,〒553-0005 大阪府大阪市福島区野田四丁目,,,,,,,,,,,,Web広告・デジタル集客,ウェブマーケティング / Web広告 / リスティング広告,,,,skip,blank_contact_url
731,blank_contact_url,ClipLine株式会社,https://corp.clipline.com,〒101-0035 東京都千代田区神田紺屋町1,,,,,,,,,,,,Web制作・クリエイティブ,動画制作 / 映像制作,,,,skip,blank_contact_url
732,japanese_legal_name_unconfirmed,Medical Contents inc,https://iryo-eizosha.com,〒429-1901 北海道札幌市中央区南6,011-215-0825,,https://iryo-eizosha.com/contact/,,,,,,,,,Web制作・クリエイティブ,映像制作,,,,exclude,japanese_legal_name_unconfirmed
737,blank_contact_url,株式会社シーピーエス,http://www.cps-1.co.jp,〒001-0014 北海道札幌市北区北1,011-214-1390,,,,,,,,,,,Web制作・クリエイティブ,ホームページ制作,,,,skip,blank_contact_url
777,blank_contact_url,株式会社ライダース・パブリシティ,https://riders.recruitment.jp,〒102-0094 東京都千代田区紀尾井町1,03-3221-0711,,,,,,,,,,,Web広告・デジタル集客,インターネット広告,,,,skip,blank_contact_url
807,blank_contact_url,イービーアイコンサルティング株式会社,https://www.ebi-consulting.jp,〒041-0806 北海道函館市美原三丁目,,,,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / ブランディング,,,,skip,blank_contact_url
823,japanese_legal_name_unconfirmed,Jinseiwajojoda inc,https://jinseiwajojoda.com,〒761-0121 香川県高松市牟礼町牟礼2,087-845-0007,,https://jinseiwajojoda.com/performance/,,,,,,,,,Web制作・クリエイティブ,ブランディング,,,,exclude,japanese_legal_name_unconfirmed
828,japanese_legal_name_unconfirmed,エクシム株式会社,https://exsim.co.jp,〒330-0801 埼玉県さいたま市大宮区土手町１,048-653-7450,,https://www.exsim.co.jp/contact/,,,,,,,,,Web広告・デジタル集客,リスティング広告 / SEOコンサルティング,,,,exclude,japanese_legal_name_unconfirmed
831,japanese_legal_name_unconfirmed,株式会社デザインスタジオパステル,https://studio-pastel.jp,〒565-0851 大阪府吹田市千里山西 4,,,https://studio-pastel.jp/contact/,,,,,,,,,Web制作・クリエイティブ,ブランディング,,,,exclude,japanese_legal_name_unconfirmed
835,blank_contact_url,株式会社 Laugh,https://www.laughat-life.com,〒223-0057 神奈川県横浜市港北区新羽町1,045-534-3240,,,,,,,,,,,Web広告・デジタル集客,Webマーケティング / デジタルマーケティング,,,,skip,blank_contact_url
842,blank_contact_url,株式会社エス・ケイ通信,https://sk-t.com,〒160-0023 東京都新宿区西新宿6,022-797-8134,,,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Web制作 / ウェブ制作,,,,skip,blank_contact_url
844,blank_contact_url,有限会社重田,https://jyuda.eeyansayo.com,〒679-5301 兵庫県佐用郡佐用町佐用3,0790-82-2003,,,,,,,,,,,店舗・業種特化マーケティング,販売促進 / マーケティング支援,,,,skip,blank_contact_url
848,blank_contact_url,株式会社白ゆり,https://www.shirayuri-iwate.com,〒020-0122 岩手県盛岡市みたけ6,019-643-6060,,,,,,,,,,,Web制作・クリエイティブ,Web制作,,,,skip,blank_contact_url
854,japanese_legal_name_unconfirmed,uniple株式会社,https://www.uniple-co.jp,〒107-0062 東京都港区南青山2,03-6161-1700,,https://www.uniple-co.jp,,,,,,,,,Web広告・デジタル集客,デジタルマーケティング,,,,exclude,japanese_legal_name_unconfirmed
861,japanese_legal_name_unconfirmed,ALTRING.inc,https://altring.co.jp,〒251-0025 神奈川県藤沢市鵠沼橘1,0466-96-0406,,https://forms.gle/F36HDRveeWD7JpvJ9,,,,,,,,,Web制作・クリエイティブ,Webサイト制作 / 映像制作 / ブランディング,,,,exclude,japanese_legal_name_unconfirmed
867,blank_contact_url,北勢印刷株式会社,https://hokupri.com,〒512-0921 三重県四日市市尾平町3,059-331-3704,,,,,,,,,,,Web制作・クリエイティブ,ホームページ制作,,,,skip,blank_contact_url
873,untrusted_name_source:body_legal,"２５株式会社(２５,inc",https://www.nijugo.co.jp,〒273-0865 千葉県船橋市夏見5,,,https://www.nijugo.co.jp/contact,,,,,,,,,Web広告・デジタル集客,Webマーケティング,採用業務のため 25株式会社,body_legal,https://www.nijugo.co.jp/privacy,confirmed,
907,blank_contact_url,株式会社アビリング,https://www.abiling.co.jp,〒064-0915 北海道札幌市中央区南1,011-513-0777,,,,,,,,,,,Web制作・クリエイティブ,映像制作,,,,skip,blank_contact_url
913,japanese_legal_name_unconfirmed,Atkid（アットキッド）株式会社,https://atkidinc.com,〒192-0082 東京都八王子市東町1,,,https://atkidinc.com/contact/,,,,,,,,,Web広告・デジタル集客,Webマーケティング / デジタルマーケティング / Web広告,,,,exclude,japanese_legal_name_unconfirmed
926,blank_contact_url,キャリアAIプラザ株式会社,https://ai.career-plaza.com,〒862-0911 熊本県熊本市東区健軍3,096-342-8181,,,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Web制作 / LP制作,,,,skip,blank_contact_url
943,japanese_legal_name_unconfirmed,PIXEL HIVE LLC,https://www.pixel-hive.co.jp,〒392-0015 長野県諏訪市大字中洲3,090-8771-8500,,https://www.pixel-hive.co.jp/contact/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Webサイト制作 / Web制作,,,,exclude,japanese_legal_name_unconfirmed
944,japanese_legal_name_unconfirmed,株式会社フジFPパートナーズを,https://www.tax-iwasaki.com,〒410-0022 静岡県沼津市大岡9,055-922-9870,,https://www.tax-iwasaki.com/inquiry/,,,,,,,,,店舗・業種特化マーケティング,販促支援 / 販売促進,,,,exclude,japanese_legal_name_unconfirmed
948,blank_contact_url,株式会社 英文表記,https://recruit-asue.info,〒105-0014 東京都港区芝一丁目,052-212-7917,,,,,,,,,,,Web広告・デジタル集客,Webマーケティング / Web広告 / リスティング広告,,,,skip,blank_contact_url
967,blank_contact_url,株式会社AIOZ,https://aioz-co.jp,〒446-0058 愛知県安城市三河安城南町一丁目,0566-71-5835,,,,,,,,,,,店舗・業種特化マーケティング,マーケティング支援,,,,skip,blank_contact_url
980,blank_contact_url,株式会社シュマン,https://chemin.jp,〒871-0027 大分県中津市上宮永9,0979-22-4444,,,,,,,,,,,SNS運用・SNS広告,SNS運用 / SNS広告,,,,skip,blank_contact_url
1002,blank_contact_url,株式会社タイムスアドネクストは,https://times-adnext.co.jp,〒900-0015 沖縄県那覇市久茂地 ２,098-869-5115,,,,,,,,,,,Web広告・デジタル集客,Webマーケティング / Web広告,,,,skip,blank_contact_url
1006,blank_contact_url,株式会社Jubilation,https://jubilation.co.jp,〒180-0002 東京都武蔵野市吉祥寺東町1,,,,,,,,,,,,Web広告・デジタル集客,Webマーケティング,,,,skip,blank_contact_url
1008,blank_contact_url,"山本印刷株式会社 （YAMAMOTO Printing Co.,Ltd",https://www.yp-dream.co.jp,〒682-0035 鳥取県倉吉市広栄町９,0858-47-0088,,,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Web制作,,,,skip,blank_contact_url
1041,japanese_legal_name_unconfirmed,IKTEL株式会社,http://iktel.net,〒150-0001 東京都渋谷区神宮前6,,,http://iktel.net/contact/,,,,,,,,,Web制作・クリエイティブ,Web制作 / 動画制作,,,,exclude,japanese_legal_name_unconfirmed
1043,blank_contact_url,株式会社KANSHA,https://kansha-media.jp,〒151-0066 東京都渋谷区西原3,050-8884-3021,,,,,,,,,,,Web制作・クリエイティブ,動画制作 / 映像制作 / ブランディング,,,,skip,blank_contact_url
1049,japanese_legal_name_unconfirmed,Running Home Run Inc,https://running-hr.co.jp,〒250-0105 神奈川県南足柄市関本5,0465-44-4212,,https://running-hr.co.jp/contact,,,,,,,,,Web制作・クリエイティブ,Web制作 / ブランディング,,,,exclude,japanese_legal_name_unconfirmed
1053,untrusted_name_source:jsonld,株式会社Gotoschool,https://8-order.co.jp,〒150-0002 東京都渋谷区渋谷2,03-6803-8223,,https://8-order.co.jp/web-consulting/,,,,,,,,,Web広告・デジタル集客,インターネット広告 / 広告運用 / SEOコンサルティング,エイトオーダー株式会社,jsonld,https://8-order.co.jp/about/,confirmed,
1079,blank_contact_url,インダステクノロジーズ株式会社,https://www.indus-technologies.io,〒150-0031 東京都渋谷区桜丘町1,,,,,,,,,,,,Web広告・デジタル集客,デジタルマーケティング / 広告運用 / SEO対策,,,,skip,blank_contact_url
1083,blank_contact_url,Lamplan Inc,https://www.lamplan.jp,〒361-0056 埼玉県行田市持田2,048-507-8840,,,,,,,,,,,Web制作・クリエイティブ,Web制作 / ブランディング,,,,skip,blank_contact_url
1114,official_site_fetch_failed,株式会社DREAM,https://dwp.co.jp,〒924-0016 石川県白山市宮永市町6,076-275-6678,,https://dwp.co.jp/contact/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / ウェブサイト制作 / ウェブ制作,,,,exclude,official_site_fetch_failed
1131,japanese_legal_name_unconfirmed,株式会社グランドデザイン,https://www.softopia.info,〒503-0006 岐阜県大垣市加賀野4,0584-77-1111,,https://www.softopia.info/contact,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Web制作 / 映像制作,,,,exclude,japanese_legal_name_unconfirmed
1133,blank_contact_url,CMO株式会社,https://cmoinc.jp,〒151-0051 東京都渋谷区千駄ヶ谷 5,,,,,,,,,,,,Web広告・デジタル集客,広告運用,,,,skip,blank_contact_url
1205,japanese_legal_name_unconfirmed,TS Service.Inc,https://ts-service.biz,〒329-0214 栃木県小山市乙女1,0285-41-5851,,https://ts-service.biz/contact,,,,,,,,,Web制作・クリエイティブ,Webサイト制作 / LP制作 / 動画制作,,,,exclude,japanese_legal_name_unconfirmed
1209,untrusted_name_source:body_legal,Prosper inc,https://prosper-inc.net,〒360-0815 埼玉県熊谷市本石1,,,https://prosper-inc.net/contact/,,,,,,,,,Web広告・デジタル集客,SEO対策,株式会社 プロスパーカブシキガイシャ Prosper inc. TOP WEBSITE C,body_legal,https://prosper-inc.net/company/,confirmed,
1214,japanese_legal_name_unconfirmed,"unou-jikenn, inc",https://www.unou-jikenn.co.jp,〒151-0051 東京都渋谷区千駄ヶ谷2,03-3405-2061,,https://www.unou-jikenn.co.jp/contact/,,,,,,,,,Web制作・クリエイティブ,動画制作 / 映像制作 / ブランディング,,,,exclude,japanese_legal_name_unconfirmed
1215,untrusted_name_source:jsonld,Reaf Inc,https://reaf-official.com,〒677-0043 兵庫県西脇市下戸田2,050-5538-6957,,https://reaf-official.com/お問い合わせ/,,,,,,,,,Web制作・クリエイティブ,Webサイト制作 / Web制作 / クリエイティブ制作,リーフ株式会社,jsonld,https://reaf-official.com/about-2/,confirmed,
1216,blank_contact_url,株式会社白鳥堂,https://hakuchodo.jp,〒168-0074 東京都杉並区上高井戸1,090-4248-8413,,,,,,,,,,,Web制作・クリエイティブ,動画制作 / ブランディング,,,,skip,blank_contact_url
