_row,company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,H1,区分,検出ワード,resolved_name,name_source,name_source_url,name_state,name_reason
157,StokedBase Inc,https://stokedbase.jp,〒170-0013 東京都豊島区東池袋3,,,https://stokedbase.jp/contact,,,,,,,,,Web制作・クリエイティブ,Webサイト制作 / 動画制作 / 映像制作,株式会社StokedBase StokedBase inc,labeled,https://stokedbase.jp/company/,confirmed,
163,株式会社NOKID,https://nokid.jp,〒108-0073 東京都港区三田3,,,https://nokid.jp/contact/,,,,,,,,,Web制作・クリエイティブ,動画制作 / 映像制作 / ブランディング,株式会社NOKID ( NOKID Inc,labeled,https://nokid.jp/company/,confirmed,
167,株式会社SUMUS,https://good-echoes.com,〒105-0014 東京都港区芝3,03-4405-6686,,https://good-echoes.com/contact/,,,,,,,,,Web制作・クリエイティブ,Webサイト制作 / LP制作 / ブランディング,株式会社SUMUS,body_legal,https://good-echoes.com/about,confirmed,
205,株式会社ウェブサイト,https://kj-lively-support.com,〒310-0021 茨城県水戸市南町三丁目,,,https://kj-lively-support.com/ict-consulting/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作,KJライブリーサポート株式会社,labeled,https://kj-lively-support.com/company-profile/,confirmed,
218,株式会社ジージーネットワークス,https://ggnetworks.co.jp,〒420-0859 静岡県静岡市葵区栄町2,053-488-8883,,https://ggnetworks.co.jp/contact,,,,,,,,,Web制作・クリエイティブ,ホームページ制作,株式会社ジージーネットワークス,body_legal,https://ggnetworks.co.jp/company,confirmed,
230,株式会社バーニーズ,https://barneyz.com,〒062-0922 北海道札幌市豊平区中の島2,011-374-4512,,https://barneyz.com/contact/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Web制作 / LP制作,株式会社バーニーズ SERVICES WORKS COMPANY NEWS PRIVAC,body_legal,https://barneyz.com/overview/,confirmed,
239,株式会社Wisdomsthan,https://wisdomsthan.com,〒913-0002 福井県坂井市三国町加戸1,0776-50-2203,,https://wisdomsthan.com/consulting/work/,,,,,,,,,店舗・業種特化マーケティング,集客支援,株式会社Wisdomsthan,labeled,https://wisdomsthan.com/consulting/company/,confirmed,
244,飛labo株式会社,https://hi-labo.jp,〒900-0001 沖縄県那覇市港町2,098-963-8190,,https://hi-labo.jp/form/contact/,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNSマーケティング,90 会社案内 HOME 会社案内 会社概要 company 企業名 飛Labo株式会社,body_legal,https://hi-labo.jp/company/,confirmed,
247,株式会社inglow,https://inglow.jp,〒450-0002 愛知県名古屋市中村区名駅4,,,https://inglow.jp/contact/,,,,,,,,,Web広告・デジタル集客,Webマーケティング / デジタルマーケティング / Web広告,"株式会社inglow [英名：inglow , Inc",labeled,https://inglow.jp/about/,confirmed,
261,株式会社PLF,https://www.plf-entertainment.com,〒107-0062 東京都港区南青山2,050-1792-2073,,https://www.plf-entertainment.com/contact,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用,株式会社PLF,labeled,https://www.plf-entertainment.com/company,confirmed,
266,株式会社TANIGAWA様,https://mogrow-inc.com,〒521-1223 滋賀県東近江市猪子町4,090-3280-3623,,https://mogrow-inc.com/contact/,,,,,,,,,Web制作・クリエイティブ,動画制作 / 映像制作 / ブランディング,株式会社TANIGAWA様,existing_confirmed,https://mogrow-inc.com/,confirmed,
283,イービジョン有限会社,https://evisionfilm.com,〒722-0046 広島県尾道市長江二丁目,0848-51-5533,,https://evisionfilm.com/contact/,,,,,,,,,Web制作・クリエイティブ,動画制作 / 映像制作,イービジョン有限会社,labeled,https://evisionfilm.com/aboutus,confirmed,
290,株式会社アイポケット沖縄,https://www.ipocket-okinawa.co.jp,〒900-0013 沖縄県那覇市牧志2,098-987-6605,,https://www.ipocket-okinawa.co.jp/inquiry/,,,,,,,,,Web広告・デジタル集客,Webマーケティング / 広告運用,"株式会社アイポケット沖縄 英名表記：I-POCKET-OKINAWA CO.,LTD",labeled,https://www.ipocket-okinawa.co.jp/company/,confirmed,
292,株式会社越山,https://etsuzan.co.jp,〒862-0971 熊本県熊本市中央区 大江4,,,https://etsuzan.co.jp/contact,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Web制作,株式会社越山（Etsuzan Inc,labeled,https://etsuzan.co.jp/about/,confirmed,
297,アイランド株式会社,https://www.ai-land.co.jp,〒150-0001 東京都渋谷区神宮前3,,,https://www.ai-land.co.jp/contact,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用,アイランド株式会社,labeled,https://www.ai-land.co.jp/company,confirmed,
315,有限会社ウエスト,https://web.tsukuredasu.com,〒523-0898 滋賀県近江八幡市たかかい町南1,0748-43-0155,,https://web.tsukuredasu.com/contact/,,,,,,,,,Web広告・デジタル集客,Webマーケティング / Web広告 / リスティング広告,有限会社ウエスト,labeled,https://web.tsukuredasu.com/company/,confirmed,
331,株式会社 PR現代,https://pr-g.jp,〒940-2112 新潟県長岡市大島本町3,0258-94-5341,,https://pr-g.jp/contact,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Web制作 / 映像制作,株式会社 PR現代,labeled,https://pr-g.jp/company/company,confirmed,
347,株式会社トゥーワンラボ,https://to1-labo.com,〒215-0003 神奈川県川崎市⿇⽣区⾼⽯5,03-5962-7575,,https://to1-labo.com/contact/,,,,,,,,,SNS運用・SNS広告,SNSマーケティング,株式会社トゥーワンラボ（to 1 LABO Inc,labeled,https://to1-labo.com/#about,confirmed,
348,株式会社コミュニティコム,https://www.communitycom.jp,〒330-0802 埼玉県さいたま市大宮区宮町1,048-729-5197,,https://www.communitycom.jp/contact/,,,,,,,,,Web制作・クリエイティブ,ウェブサイト制作,"株式会社コミュニティコム （英語表記： Communitycom, Inc",labeled,https://www.communitycom.jp/about/,confirmed,
357,株式会社中小企業営業支援,https://ssfsme.com,〒111-0056 東京都台東区小島2,03-3844-3854,,https://www.ssfsme.com/contact,,,,,,,,,Web制作・クリエイティブ,ブランディング,株式会社中小企業営業支援,labeled,https://ssfsme.com/company,confirmed,
370,株式会社Vamola,https://www.vamola-corp.com,〒330-0000 埼玉県さいたま市大宮区,049-279-5522,,https://www.vamola-corp.com/contact/,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用,株式会社Vamola,labeled,https://www.vamola-corp.com/company/,confirmed,
381,株式会社イーナチュラル,https://www.enatural.co.jp,〒103-0022 東京都中央区日本橋室町1,03-6661-2210,,https://www.enatural.co.jp/contact/contact.php,,,,,,,,,Web広告・デジタル集客,Webマーケティング / ウェブマーケティング / リスティング広告,株式会社イーナチュラル,labeled,https://www.enatural.co.jp/about/,confirmed,
403,オルグロー株式会社,https://www.allgrow.co.jp,〒150-0045 東京都渋谷区神泉町1,03-5784-4330,,https://www.allgrow.co.jp/contact/,,,,,,,,,Web広告・デジタル集客,Webマーケティング / Web広告 / 広告運用,オルグロー株式会社,labeled,https://www.allgrow.co.jp/company/profile/,confirmed,
440,INPグループ合同会社,https://inp-group.p-kit.com,〒701-1153 岡山県岡山市北区富原2,086-206-5051,,https://inp-group.p-kit.com/page0007.html,,,,,,,,,Web制作・クリエイティブ,動画制作,合同会社-会社概要 ホーム 建築事業 建築工事 料金表 資格・保有資格 建築デザイン 1,body_legal,https://inp-group.p-kit.com/page0002.html,confirmed,
441,株式会社クロックアップ,https://www.qlockup.net,〒030-0862 青森県青森市古川1,017-762-7218,,https://www.qlockup.net/inquiry/,,,,,,,,,Web制作・クリエイティブ,Web制作 / ブランディング,株式会社クロックアップ,labeled,https://www.qlockup.net/company/,confirmed,
467,株式会社角川アスキー総合研究所,https://www.lab-kadokawa.com,〒380-8570 長野県長野市南長野幅下 6,03-5840-7800,,https://www.lab-kadokawa.com/inquiry.php,,,,,,,,,Web制作・クリエイティブ,ウェブサイト制作 / 映像制作,株式会社角川アスキー総合研究所,body_legal,https://www.lab-kadokawa.com/privacy/,confirmed,
494,株式会社 ドミナントモーション,https://jquerypicture.com,〒399-8205 長野県安曇野市豊科1,,,https://jquerypicture.com/contact,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / ブランディング,株式会社 ドミナントモーション,labeled,https://jquerypicture.com/company/,confirmed,
550,合同会社 経営のための創造社,https://keisosha.co.jp,〒114-0012 東京都北区田端新町1,,,https://keisosha.co.jp/otoiawase/,,,,,,,,,Web広告・デジタル集客,Webマーケティング / デジタルマーケティング / 広告運用,合同会社 経営のための創造社,labeled,https://keisosha.co.jp/okuzuke/,confirmed,
552,EC・ヴィレッジ株式会社,http://ec-v.jp,〒980-0811 宮城県仙台市青葉区一番,022-399-8816,,http://ec-v.jp/contact/,,,,,,,,,店舗・業種特化マーケティング,集客支援,EC・ヴィレッジ株式会社,labeled,http://ec-v.jp/company,confirmed,
565,株式会社 AT-MARK,https://atmarkconsul.com,〒807-0873 福岡県北九州市八幡西区藤原1,093-692-0582,,https://atmarkconsul.com/contact,,,,,,,,,Web広告・デジタル集客,Webマーケティング / ウェブマーケティング / デジタルマーケティング,株式会社 AT-MARK CONSUL. HOME サービス 製品情報 B+,body_legal,https://atmarkconsul.com/company,confirmed,
569,株式会社デキューブ,https://de-cube.co.jp,〒464-0085 愛知県名古屋市千種区古出来3,,,https://de-cube.co.jp/contact,,,,,,,,,Web広告・デジタル集客,Webマーケティング / デジタルマーケティング / 広告運用,株式会社デキューブ,labeled,https://de-cube.co.jp/company/,confirmed,
577,CAPSULE JAPAN Inc,https://jtg.capsuleinc.co,〒810-0041 福岡県福岡市中央区大名２,,,https://jtg.capsuleinc.co/contact,,,,,,,,,SNS運用・SNS広告,SNS運用 / Instagram運用,株式会社 会社概要 サービス ニュース クリエイター 採用情報 ブログ 繁體中文,body_legal,https://jtg.capsuleinc.co/company,confirmed,
586,株式会社ティーエイト,https://t-8.jp,〒460-0008 愛知県名古屋市中区栄2,052-218-6236,,https://t-8.jp/contact/#contact02,,,,,,,,,Web広告・デジタル集客,Webマーケティング / インターネット広告 / 広告運用,株式会社ティーエイト,labeled,https://t-8.jp/company/,confirmed,
594,株式会社まちあい徳山,https://machiai-tokuyama.com,〒745-0031 山口県周南市銀南街４,0834-33-9612,,https://machiai-tokuyama.com/town-planning-related-business/tenant-mix/,,,,,,,,,Web制作・クリエイティブ,LP制作 / ブランディング,株式会社まちあい徳山,body_legal,https://machiai-tokuyama.com/corporate-information/,confirmed,
611,株式会社 ヒカリオフィスグループ,http://www.h-o-group.com,〒451-6040 愛知県名古屋市西区牛島町6,052-451-3280,,http://www.h-o-group.com/contact.html#contact,,,,,,,,,Web制作・クリエイティブ,ホームページ制作,株式会社 ヒカリオフィスグループ,labeled,http://www.h-o-group.com/about.html#about,confirmed,
617,株式会社ティー・エム・ピー,https://www.tmp-co.com,〒670-0992 兵庫県姫路市福沢町3,079-292-1100,,https://www.tmp-co.com/wp/contact/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Web制作 / LP制作,株式会社 ティー・エム・ピー,labeled,https://www.tmp-co.com/profile/,confirmed,
621,株式会社福山ワールド美容,https://fukuyama-world-biyou.net,〒721-0955 広島県福山市新涯町1,084-953-7727,,https://fukuyama-world-biyou.net/?page_id=8,,,,,,,,,Web広告・デジタル集客,Webマーケティング,株式会社福山ワールド美容,labeled,https://fukuyama-world-biyou.net/?page_id=6,confirmed,
625,株式会社KISYABAREE,https://kisyabaree.com,〒890-0056 鹿児島県鹿児島市下荒田3,,,https://kisyabaree.com/contact/,,,,,,,,,店舗・業種特化マーケティング,地域プロモーション,株式会社KISYABAREE,body_legal,https://kisyabaree.com/about/,confirmed,
650,合同会社Hayabusa,https://www.chayamamovie.com,〒107-0062 東京都港区南青山2,090-5544-5127,,https://www.chayamamovie.com,,,,,,,,,Web制作・クリエイティブ,動画制作,合同会社Hayabusa Design,body_legal,https://www.chayamamovie.com/privacy,confirmed,
657,株式会社アバンダンスウェブ,https://abundanceweb.co.jp,〒812-0011 福岡県福岡市博多区博多駅前2,092-778-3080,,https://abundanceweb.co.jp/contact/,,,,,,,,,Web広告・デジタル集客,Web広告 / リスティング広告 / Google広告,株式会社アバンダンスウェブ,labeled,https://abundanceweb.co.jp/company/,confirmed,
664,株式会社レボラル,https://revoral.co.jp,〒810-0801 福岡県福岡市博多区中洲５,092-287-9598,,https://revoral.co.jp/contact,,,,,,,,,Web広告・デジタル集客,Webマーケティング / Web広告 / 広告運用,株式会社レボラル,labeled,https://revoral.co.jp/about/,confirmed,
685,株式会社プロビズ,https://probiz.jp,〒105-0001 東京都港区虎ノ門4,03-6825-0650,,https://probiz.jp/contact/,,,,,,,,,SNS運用・SNS広告,SNS運用 / SNSマーケティング,株式会社プロビズ-AIプロフェッショナルファーム Top Company News Bu,body_legal,https://probiz.jp/company/#philosophy,confirmed,
702,株式会社Hands,https://ibt-consulting.com,〒791-8062 愛媛県 松山市住吉2,089-989-7581,,https://ibt-consulting.com/contact/,,,,,,,,,Web制作・クリエイティブ,Webサイト制作 / Web制作 / LP制作,株式会社Hands Factory,labeled,https://ibt-consulting.com/about-us/,confirmed,
763,株式会社グラムワークス,https://glamworks.co.jp,〒220-0012 神奈川県横浜市西区みなとみらい5,,,https://glamworks.co.jp/#form,,,,,,,,,店舗・業種特化マーケティング,販促支援 / マーケティング支援,株式会社グラムワークス,labeled,https://glamworks.co.jp/,confirmed,
803,株式会社 HIROGARU,https://hirogaru.co.jp,〒150-0031 東京都渋谷区桜丘町2,,,https://hirogaru.co.jp/contact,,,,,,,,,Web制作・クリエイティブ,Web制作 / LP制作 / 動画制作,株式会社 HIROGARU HIROGARU,body_legal,https://hirogaru.co.jp/company/,confirmed,
845,株式会社OIC,https://fmfm-oic.com,〒010-0001 秋田県秋田市中通二丁目,,,https://fmfm-oic.com/contact/#contact,,,,,,,,,Web制作・クリエイティブ,Webサイト制作 / Web制作 / 映像制作,株式会社OIC,labeled,https://fmfm-oic.com/about/,confirmed,
863,合同会社ミナノ,https://minano.biz,〒321-0951 栃木県宇都宮市越戸3,,,https://minano.biz/#contact,,,,,,,,,Web広告・デジタル集客,Webマーケティング / リスティング広告 / 広告運用,合同会社ミナノ,jsonld,https://minano.biz/tokusho,confirmed,
868,株式会社大阪オリコミ,https://www.osakaorikomi.co.jp,〒104-0033 東京都中央区新川2,06-6621-1481,,https://www.osakaorikomi.co.jp/inquiry/,,,,,,,,,Web広告・デジタル集客,Web広告,株式会社 大阪オリコミ,labeled,https://www.osakaorikomi.co.jp/company/outline/,confirmed,
911,株式会社アンフォルム,https://inform-tokyo.co.jp,〒151-0071 東京都渋谷区本町3,03-6300-0515,,https://inform-tokyo.co.jp/contact/,,,,,,,,,Web広告・デジタル集客,Web広告 / Google広告 / Meta広告,株式会社アンフォルム,labeled,https://inform-tokyo.co.jp/company/,confirmed,
914,株式会社SouHa,https://souha.co.jp,〒106-0032 東京都港区六本木3,,,https://souha.co.jp#contact,,,,,,,,,店舗・業種特化マーケティング,集客支援,株式会社SouHa（SouHa Inc,labeled,https://souha.co.jp/#company,confirmed,
928,アイヴィクス株式会社,https://ivix-design.co.jp,〒491-0072 愛知県一宮市中島通1,052-990-3467,,https://ivix-design.co.jp/contactus/,,,,,,,,,Web広告・デジタル集客,Google広告 / 広告運用 / SEO対策,アイヴィクス株式会社,labeled,https://ivix-design.co.jp/profile/,confirmed,
943,PIXEL HIVE LLC,https://www.pixel-hive.co.jp,〒392-0015 長野県諏訪市大字中洲3,090-8771-8500,,https://www.pixel-hive.co.jp/contact/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Webサイト制作 / Web制作,PIXEL HIVE LLC(ピクセルハイブ合同会社,labeled,https://www.pixel-hive.co.jp/company/,confirmed,
964,合同会社ヤツガタケシゴトニン,https://8sigotonin.com,〒391-0114 長野県諏訪郡原村1,0266-74-2299,,https://8sigotonin.com/contact/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Webサイト制作 / ブランディング,合同会社ヤツガタケシゴトニン Yatsugatake Shigotonin LLC,labeled,https://8sigotonin.com/company/,confirmed,
1016,合同会社 BLESSING,https://blessing-llc.com,〒426-0067 静岡県藤枝市 前島2,,,https://blessing-llc.com/inquiry/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Webサイト制作 / LP制作,合同会社 BLESSING,labeled,https://blessing-llc.com/company/,confirmed,
1018,みらいマーケティング株式会社,https://mirai-marketing.com,〒121-0816 東京都足立区梅島３,,,https://mirai-marketing.com/service_category/consulting/,,,,,,,,,Web広告・デジタル集客,デジタルマーケティング,みらいマーケティング株式会社 MIRAI Marketing Inc,labeled,https://mirai-marketing.com/company/profile/,confirmed,
1037,株式会社インディボンドネットワークス,https://ibns.co.jp,〒901-2131 沖縄県浦添市牧港2,098-870-5688,,https://ibns.co.jp/contact/,,,,,,,,,SNS運用・SNS広告,SNS広告,株式会社インディボンドネットワークス 株式会社インディボンドネットワークス 制作実績 W,body_legal,https://ibns.co.jp/company/,confirmed,
1040,株式会社エクシーレ,https://exire.co.jp,〒542-0081 大阪府大阪市中央区南船場3,06-4395-5300,,https://exire.co.jp/contact,,,,,,,,,Web制作・クリエイティブ,Web制作,株式会社エクシーレ (英文商号：EXIRE.CO.LTD,labeled,https://exire.co.jp/company/,confirmed,
1046,RishunTrading株式会社,https://webdesign-tokorozawa.com,〒359-0024 埼玉県所沢市下安松3,050-6877-6355,,https://webdesign-tokorozawa.com/contact/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Webサイト制作 / Web制作,RishunTrading株式会社 (RishunTrading Limited,labeled,https://webdesign-tokorozawa.com/company/,confirmed,
1081,"Voleur, Inc",https://www.voleur.co.jp,〒243-0018 神奈川県厚木市中町2,046-259-8701,,https://www.voleur.co.jp/contact,,,,,,,,,Web広告・デジタル集客,Webマーケティング / デジタルマーケティング / SEO対策,株式会社 Voleur ​,labeled,https://www.voleur.co.jp/privacy-policy,confirmed,
1109,株式会社アルゴマーケティングソリューションズ,https://argo-ms.com,〒105-0003 東京都港区西新橋1,,,https://argo-ms.com/contact/,,,,,,,,,Web制作・クリエイティブ,映像制作,"株式会社アルゴバース (英語表記 ARGOVERSE Co., Ltd",labeled,https://argo-ms.com/company/about-us/,confirmed,
1138,株式会社けやき出版,https://keyaki-s.co.jp,〒190-0023 東京都立川市柴崎町2,042-525-9909,,https://keyaki-s.co.jp/contact/,,,,,,,,,Web制作・クリエイティブ,LP制作 / 動画制作 / ブランディング,株式会社けやき出版,labeled,https://keyaki-s.co.jp/company/,confirmed,
1193,株式会社 立業社・ビジネス・マシンズ,https://rbm-net.co.jp,〒939-8214 富山県富山市黒崎1,076-423-6651,,https://rbm-net.co.jp/contact,,,,,,,,,Web制作・クリエイティブ,ホームページ制作,株式会社 立業社・ビジネス・マシンズ,labeled,https://rbm-net.co.jp/about,confirmed,
1201,株式会社ナハト,https://nahato.co.jp,〒150-0043 東京都渋谷区道玄坂1,03-5422-3370,,https://nahato.co.jp/contact,,,,,,,,,Web広告・デジタル集客,リスティング広告 / 広告運用,株式会社ナハト,labeled,https://nahato.co.jp/company/,confirmed,
1210,株式会社sizebook,https://sizebook.co.jp,〒108-0022 東京都港区海岸3,,,https://sizebook.co.jp#contact,,,,,,,,,Web広告・デジタル集客,Webマーケティング / デジタルマーケティング / Web広告,株式会社sizebook,body_legal,https://sizebook.co.jp/privacy.html,confirmed,
