_row,company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,H1,区分,検出ワード,fit_state,fit_reason,fit_category,fit_evidence,evidence_urls
712,株式会社マーケティングクリエーター,https://mc-d.jp,〒102-0083 東京都千代田区麹町3,03-5357-1862,,https://mc-d.jp/contact/,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNS広告,sns,,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNS広告,https://mc-d.jp/service/
725,株式会社アーリーダイニング,https://earlydining.jp,〒604-8216 京都府京都市中京区西洞院六角下る池須町4,,,https://earlydining.jp/contact/,,,,,,,,,SNS運用・SNS広告,SNS運用,exclude,official_service_unconfirmed,,,
729,SPデザイン株式会社,https://spdesign.meisho-hp.jp,〒101-0032 東京都千代田区神田東松下町2,052-855-3555,,https://spdesign.meisho-hp.jp/index.html#section_5,,,,,,,,,SNS運用・SNS広告,SNS運用,exclude,official_service_unconfirmed,,,
732,株式会社 マーケティングデザイン,https://www.goodsalespromotion.jp,〒108-0075 東京都港区港南2,050-1746-0155,,https://www.goodsalespromotion.jp/contact/,,,,,,,,,店舗・業種特化マーケティング,集客支援 / マーケティング支援,marketing,,Webマーケティング・広告,集客支援 / リスティング広告 / マーケティング支援,https://www.goodsalespromotion.jp/driving/ | https://www.goodsalespromotion.jp/service/
737,Fan Circle株式会社,https://fan-circle.com,〒150-0034 東京都渋谷区代官山町9,,,https://fan-circle.com#contact,,,,,,,,,Web広告・デジタル集客,広告運用,exclude,official_service_unconfirmed,,,
750,株式会社ベンチャーコンサルタント,https://www.vec-inc.info,〒530-0001 大阪府大阪市北区梅田2,090-3703-3404,,https://www.vec-inc.info/contact/,,,,,,,,,Web制作・クリエイティブ,ブランディング,exclude,official_service_unconfirmed,,,
779,株式会社NoSHAPE,https://noshape.jp,〒150-6207 東京都渋谷区桜丘町1,,,https://noshape.jp/contact/,,,,,,,,,Web制作・クリエイティブ,Webサイト制作 / Web制作 / ブランディング,sns,,SNS運用・SNS広告,SNS運用 / Instagram広告運用,https://noshape.jp/service/ec_operation/ | https://noshape.jp/service/advertising/
783,株式会社SUKIMA,https://sukima-c.co.jp,〒141-0031 東京都品川区西五反田1,,,https://sukima-c.co.jp/contact/,,,,,,,,,Web制作・クリエイティブ,Webサイト制作 / クリエイティブ制作,exclude,official_service_unconfirmed,,,
792,良い広告株式会社,https://www.ekoukoku.co.jp,〒430-0926 静岡県浜松市中央区砂山町3,,,https://www.ekoukoku.co.jp/contact/,,,,,,,,,SNS運用・SNS広告,SNS広告,exclude,official_service_unconfirmed,,,
803,株式会社ホジョセン,https://www.hojosen.co.jp,〒650-0012 兵庫県神戸市中央区北長狭通4,078-599-5082,,https://www.hojosen.co.jp/contact/,,,,,,,,,店舗・業種特化マーケティング,マーケティング支援,marketing,,Webマーケティング・広告,マーケティング支援,https://www.hojosen.co.jp/service/
831,The Digital X合同会社,https://www.thedigitalx.net,〒036-8002 青森県弘前市駅前3,050-1808-8615,https://www.google.com/maps/place/%E3%82%B6%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%A8%E3%83%83%E3%82%AF%E3%82%B9%E5%90%88%E5%90%8C%E4%BC%9A%E7%A4%BE%2FThe+Digital+X%E5%90%88%E5%90%8C%E4%BC%9A%E7%A4%BE/data=!4m7!3m6!1s0x5f9b01f1fe595555:0x39b2ac2cd424a7d1!8m2!3d40.5982834!4d140.4798003!16s%2Fg%2F11v9gbwnjl!19sChIJVVVZ_vEBm18R0ack1Cyssjk?authuser=0&hl=ja&rclk=1,https://www.thedigitalx.net/contact?utm_source=header&utm_medium=button&utm_campaign=contact,,,,,,,,,店舗・業種特化マーケティング,マーケティング支援 / EC支援 / インバウンド支援,marketing,,Webマーケティング・広告,マーケティング支援 / デジタルマーケティング / 広告代理店,https://www.thedigitalx.net/service | https://www.thedigitalx.net/ | https://www.thedigitalx.net/service/global-ecommerce
845,株式会社NaraDeWa,https://nara-dewa.com,〒634-0804 奈良県橿原市内膳町5,,,https://nara-dewa.com/contact/,,,,,,,,,店舗・業種特化マーケティング,販促支援 / マーケティング支援,marketing,,Webマーケティング・広告,マーケティング支援 / Web広告 / 販促支援,https://nara-dewa.com/service/consulting/ | https://nara-dewa.com/
849,デフィデ株式会社,https://www.defide-ix.com,〒107-0052 東京都港区⾚坂2,03-6551-2921,,https://www.defide-ix.com/contact/,,,,,,,,,Web広告・デジタル集客,デジタルマーケティング,marketing,,Webマーケティング・広告,デジタルマーケティング / マーケティング支援,https://www.defide-ix.com/business/digital-marketing/
856,株式会社コネクトビビ,https://connectbibi.com,〒526-0031 滋賀県長浜市八幡東町1,,,https://connectbibi.com/contact/,,,,,,,,,Web広告・デジタル集客,Webマーケティング / Google広告 / Meta広告,sns,,SNS運用・SNS広告,SNS運用,https://connectbibi.com/service/
864,合同会社カメレオン企画,https://chameleon-project.com,〒914-0035 福井県敦賀市山泉7,,,https://chameleon-project.com/contact/,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用,sns,,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://chameleon-project.com/service/
885,株式会社ooyaビジネスクリエイト,https://obcreate.co.jp,〒104-0061 東京都中央区銀座６,03-6228-7045,,https://obcreate.co.jp/contact/,,,,,,,,,店舗・業種特化マーケティング,集客支援,marketing,,Webマーケティング・広告,集客支援,https://obcreate.co.jp/marketing/
892,合同会社マーケティングデパートメント,https://marketingdept-llc.com,〒151-0051 東京都渋谷区千駄ヶ谷1,,,https://marketingdept-llc.com/contactmark/,,,,,,,,,Web制作・クリエイティブ,Webサイト制作,web,,Web制作会社,Webサイト制作,https://marketingdept-llc.com/fullorder/
937,エミシード株式会社,https://emseed.jp,〒567-0032 大阪府茨木市西駅前町4,,,https://emseed.jp/contact/,,,,,,,,,Web制作・クリエイティブ,Web制作 / LP制作 / 動画制作,web,,Web制作会社,LP制作 / Webサイト制作 / Web制作,https://emseed.jp/creative-design/
941,株式会社AIホールディングス,https://www.ai-holdings.jp,〒153-0042 東京都目黒区青葉台3,,,https://www.ai-holdings.jp/contact/,,,,,,,,,Web広告・デジタル集客,Webマーケティング / ウェブマーケティング,marketing,,Webマーケティング・広告,Webマーケティング / ウェブマーケティング,https://www.ai-holdings.jp/web-marketing/
954,株式会社エクシーレ,https://exire.co.jp,〒542-0081 大阪府大阪市中央区南船場3,06-4395-5300,,https://exire.co.jp/contact,,,,,,,,,Web制作・クリエイティブ,Web制作,web,,Web制作会社,Web制作,https://exire.co.jp/
955,有限会社 ミスズ,https://www.misuzu1948.com,〒836-0853 福岡県大牟田市上町1,0944-53-4367,,https://www.misuzu1948.com/contact/,,,,,,,,,Web制作・クリエイティブ,Webサイト制作 / ブランディング,web,,Web制作会社,Webサイト制作,https://www.misuzu1948.com/
962,株式会社オーシャンホールディングス,https://feelingmktg.com,〒102-0074 東京都千代田区九段南1,03-6823-8710,,https://feelingmktg.com/contact_form/,,,,,,,,,Web広告・デジタル集客,デジタルマーケティング,exclude,official_service_unconfirmed,,,
970,デジマールリンクス株式会社,https://digimarl-links.com,〒901-0152 沖縄県那覇市小禄1,080-4142-3436,,https://digimarl-links.com/contact,,,,,,,,,Web広告・デジタル集客,Webマーケティング / デジタルマーケティング / リスティング広告,marketing,,Webマーケティング・広告,デジタルマーケティング / リスティング広告 / Webマーケティング,https://digimarl-links.com/service | https://digimarl-links.com/
1036,株式会社 PORT,https://www.theport.jp,〒169-0074 東京都新宿区北新宿2,03-5937-6731,,https://www.theport.jp/contact,,,,,,,,,店舗・業種特化マーケティング,集客支援 / 販促支援,marketing,,Webマーケティング・広告,Webマーケティング / 集客支援 / 販促支援,https://www.theport.jp/service
1038,NewHistory株式会社,https://new-history.co.jp,〒271-0091 千葉県松⼾市本町1,,,https://new-history.co.jp/contact,,,,,,,,,Web広告・デジタル集客,広告運用,marketing,,Webマーケティング・広告,広告運用代行,https://new-history.co.jp/services/recruitment
1044,ネイティブキャラバン株式会社,https://native-caravan.com,〒253-0026 神奈川県茅ヶ崎市旭が丘6,0467-80-2688,,https://native-caravan.com/contact/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Webサイト制作 / ウェブサイト制作,web,,Web制作会社,ホームページ制作 / コーポレートサイト制作,https://native-caravan.com/project-category/web/
1082,株式会社アクティブノート,https://www.active-note.jp,〒182-0021 東京都調布市調布ケ丘３,042-444-0603,,https://www.active-note.jp/nagase-hint/nagasehayumi-5/,,,,,,,,,Web広告・デジタル集客,Webマーケティング / Google広告 / Meta広告,exclude,official_service_unconfirmed,,,
1096,有限会社ザッツ,https://www.zats-egao.co.jp,〒577-0809 大阪府東大阪市永和１,06-7492-7896,,https://www.zats-egao.co.jp/category/1222997.html,,,,,,,,,店舗・業種特化マーケティング,集客支援,marketing,,Webマーケティング・広告,集客支援,https://www.zats-egao.co.jp/
1107,テンポアド株式会社,https://tenpoad.com,〒811-1311 福岡県福岡市南区横手2,,,https://tenpoad.com/contact/,,,,,,,,,Web広告・デジタル集客,広告運用 / SEO対策,exclude,official_service_unconfirmed,,,
1108,株式会社ネクスト情報はましん,https://next-hamashin.co.jp,〒970-8032 福島県いわき市平下荒川字諏訪下3,0246-25-0111,,https://next-hamashin.co.jp/inquiry.html,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / 動画制作,web,,Web制作会社,ホームページ制作,https://next-hamashin.co.jp/service/service-web.html
1109,株式会社トモプラン,https://tomoplan.jimdofree.com,〒140-0001 東京都品川区北品川1,090-7811-4066,,https://tomoplan.jimdofree.com/お問い合わせ/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作,web,,Web制作会社,ホームページ制作,https://tomoplan.jimdofree.com/%E6%B5%B7%E5%A4%96%E9%96%A2%E9%80%A3%E4%BA%8B%E6%A5%AD%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9/
