company_name,url,normalized_name,normalized_domain,prefilter,prefilter_reason
株式会社 東映エージエンシー,http://www.toeiad.co.jp/,東映エージエンシー,toeiad.co.jp,exclude,既存または除外リスト一致
株式会社 東急エージェンシー,https://www.tokyu-agc.co.jp/,東急エージェンシー,tokyu-agc.co.jp,pass,
株式会社 東京アドエージェンシー,https://www.tokyoad-ag.co.jp/,東京アドエージェンシー,tokyoad-ag.co.jp,exclude,既存または除外リスト一致
株式会社 とうこう・あい,https://www.toko-ai.com/,とうこう・あい,toko-ai.com,exclude,既存または除外リスト一致
株式会社 東 興 社,https://www.ad-tokosha.co.jp/,東興社,ad-tokosha.co.jp,exclude,既存または除外リスト一致
株式会社 東 宣,https://www.tosen-net.co.jp/,東宣,tosen-net.co.jp,exclude,既存または除外リスト一致
株式会社 TOMOE,https://www.tomoe-ad.co.jp/,tomoe,tomoe-ad.co.jp,exclude,既存または除外リスト一致
株式会社 内藤一水社,https://www.naito.jp/,内藤一水社,naito.jp,exclude,既存または除外リスト一致
株式会社 西鉄エージェンシー,https://www.nag.co.jp/,西鉄エージェンシー,nag.co.jp,exclude,既存または除外リスト一致
株式会社 日経エージェンシー,https://www.nkag.co.jp/,日経エージェンシー,nkag.co.jp,exclude,既存または除外リスト一致
株式会社 日本経済広告社,https://www.adex.co.jp/,日本経済広告社,adex.co.jp,exclude,既存または除外リスト一致
株式会社 日本経済社,https://www.nks.co.jp/,日本経済社,nks.co.jp,exclude,既存または除外リスト一致
株式会社 日本廣告社,https://www.nihon-ad.co.jp/,日本廣告社,nihon-ad.co.jp,exclude,既存または除外リスト一致
株式会社 日本スタデオ,https://www.nippon-studio.co.jp/,日本スタデオ,nippon-studio.co.jp,pass,
株式会社 博 報 堂,https://www.hakuhodo.co.jp/,博報堂,hakuhodo.co.jp,exclude,既存または除外リスト一致 / 大手管理語=博報堂
株式会社 博報堂Gravity,https://h-gravity.co.jp/,博報堂gravity,h-gravity.co.jp,exclude,既存または除外リスト一致 / 大手管理語=博報堂
株式会社 博報堂ＤＹホールディングス,https://www.hakuhodody-holdings.co.jp/,博報堂dyホールディングス,hakuhodody-holdings.co.jp,exclude,JPX会社名完全一致 / 大手管理語=博報堂
株式会社 Hakuhodo DY ONE,https://www.hakuhodody-one.co.jp/,hakuhododyone,hakuhodody-one.co.jp,exclude,既存または除外リスト一致
株式会社 博報堂テクノロジーズ,https://www.hakuhodo-technologies.co.jp/,博報堂テクノロジーズ,hakuhodo-technologies.co.jp,exclude,大手管理語=博報堂
株式会社 ハッピーアワーズ博報堂,https://hh-hakuhodo.co.jp/,ハッピーアワーズ博報堂,hh-hakuhodo.co.jp,exclude,大手管理語=博報堂
ビーコンコミュニケーションズ株式会社,https://www.beaconcom.jp/,ビーコンコミュニケーションズ,beaconcom.jp,pass,
株式会社 ビー・ブレーブ,https://bebrave.co.jp/,ビー・ブレーブ,bebrave.co.jp,exclude,既存または除外リスト一致
株式会社 BBDO J WEST,https://www.bbdojw.co.jp/,bbdojwest,bbdojw.co.jp,exclude,既存または除外リスト一致
株式会社 BBDO JAPAN,https://www.bbdojapan.com/,bbdojapan,bbdojapan.com,exclude,既存または除外リスト一致
株式会社ビデオプロモーション,https://www.vpr.co.jp/,ビデオプロモーション,vpr.co.jp,exclude,既存または除外リスト一致
株式会社 双葉通信社,https://futaba-ad.co.jp/,双葉通信社,futaba-ad.co.jp,pass,
株式会社 FULMARK,https://fulmark.jp,fulmark,fulmark.jp,exclude,既存または除外リスト一致
株式会社 フロンテッジ,https://www.frontage.jp/,フロンテッジ,frontage.jp,pass,
株式会社 文協,http://www.bun-kyo.com/,文協,bun-kyo.com,exclude,既存または除外リスト一致
株式会社 文宣,http://www.bunsen-inc.co.jp/,文宣,bunsen-inc.co.jp,exclude,既存または除外リスト一致
株式会社 毎日広告社,https://www.maiko.co.jp/,毎日広告社,maiko.co.jp,exclude,既存または除外リスト一致
株式会社 マッキャン ジャパン,https://mccannwg.co.jp/,マッキャンジャパン,mccannwg.co.jp,pass,
株式会社 ムサシノ広告社,http://www.musashino-ad.co.jp/,ムサシノ広告社,musashino-ad.co.jp,exclude,既存または除外リスト一致
株式会社 明治アドエージェンシー,https://www.meiji-ad.co.jp/,明治アドエージェンシー,meiji-ad.co.jp,exclude,既存または除外リスト一致
株式会社 メディアデプト,https://mediadept.co.jp/,メディアデプト,mediadept.co.jp,pass,
株式会社 メディックス,https://www.medix-inc.co.jp/,メディックス,medix-inc.co.jp,exclude,JPX会社名完全一致
株式会社 メトロアドエージェンシー,https://www.metro-ad.co.jp/,メトロアドエージェンシー,metro-ad.co.jp,pass,
株式会社 大和通信社,http://www.yamato-adv.co.jp/,大和通信社,yamato-adv.co.jp,exclude,既存または除外リスト一致
株式会社 横浜メディアアド,https://soag.co.jp/,横浜メディアアド,soag.co.jp,exclude,既存または除外リスト一致
株式会社 読売ＩＳ,https://www.yomiuri-is.co.jp/,読売is,yomiuri-is.co.jp,exclude,既存または除外リスト一致
株式会社 読売アルスA,https://www.yomiuri-ag.co.jp/,読売アルスa,yomiuri-ag.co.jp,exclude,既存または除外リスト一致
株式会社 読売広告社,https://www.yomiko.co.jp/,読売広告社,yomiko.co.jp,exclude,既存または除外リスト一致
株式会社 ライダース・パブリシティ,https://riders-ad.jp/,ライダース・パブリシティ,riders-ad.jp,exclude,既存または除外リスト一致
