decision,company_name,url,contact_url,address,phone,evidence,reason,source_url
reject,株式会社タップ,https://www.tap-ic.co.jp/,https://www.tap-ic.co.jp/contact/,〒135-0042 東京都江東区木場5丁目10番11号 宍倉ビル6階 THL 沖縄事務所 〒904-2234 沖縄県うるま市州崎14-27 タップホスピタリティラボ 沖縄 タップの特徴 会社概要 アク,03-5683-5311,旅館／マーケティング,batch_duplicate,https://www.tap-ic.co.jp/
accept,株式会社SOZONEXT,https://inntouch.jp/,https://inntouch.jp/contact/?type=download,〒111-0041 東京都台東区元浅草2-6-4上野コアビル9階 03-3842-1552 営業時間 10:00 - 17:00（土日祝除く） 運営会社 個人情報保護,03-3842-1552,旅館／予約管理,,https://inntouch.jp/
accept,株式会社アロッツ,https://www.makai-stay.com/,https://www.makai-stay.com/,〒150-0001 東京都渋谷区神宮前6-23-4 桑野ビル2階 050-5433-6381 × Free Consultation 無料診断のご予約 競合施設、貴施,,旅館／マーケティング,,https://www.makai-stay.com/
reject,,https://www.hoteldx.jp/,,,,,official_company_missing,https://www.hoteldx.jp/
reject,,http://www.tenawan.ne.jp/,,,,,official_company_missing,http://www.tenawan.ne.jp/lodgment/public/
reject,,https://www.omotenashi.co.jp/,,,,,service_evidence_missing,https://www.omotenashi.co.jp/
accept,株式会社コネクター・ジャパン,https://cnctor.jp/,https://cnctor.jp/contact/,〒105-0004 東京都港区新橋5-14-10 新橋スクエアビル 9F 大阪支店 〒550-0013 大阪府大阪市西区新町2丁目4-2 なにわ筋SIAビル 405 北海道営業所 〒060-0042,,ホテル／集客支援,,https://cnctor.jp/
accept,Inn 株式会社,https://checkinn.jp/,https://checkinn.jp/info-form/,〒150-0002 東京都渋谷区渋谷３丁目２６−８ 第５清水ビル４階 アクセス サービスに関するお問い合わせはもちろん 当社との協業や連携・取材などのご相談も お気軽,,旅館／予約システム,,https://checkinn.jp/
reject,,https://www.chillnn.com/,,,,,service_evidence_missing,https://www.chillnn.com/ja/?inflowfrom=MAGAZINE_MEDIA
accept,株式会社 陣屋,https://www.jinya-connect.com/,https://www.jinya-connect.com/contact/,〒257-0001 神奈川県秦野市鶴巻北2-8-24 ・別所温泉 緑屋 〒386-1431 長野県上田市別所温泉225 ・湯村温泉 緑屋 〒669-6821 兵庫県美方,,旅館／マーケティング,,https://www.jinya-connect.com/
review,楽天トラベルサービス株式会社,https://www.neppan.com/,https://www.neppan.com/contact/,,,ホテル／予約管理,major_group_review,https://www.neppan.com/
accept,ハウステンボス株式会社,https://www.489ban.net/,https://www.489ban.net/contact/,〒506-0045 岐阜県高山市赤保木町1169-7 TEL: 0577-36-3604 FAX: 0577-35-0202 © CADISH,0577-36-3604,旅館／ホームページ制作,,https://www.489ban.net/
accept,株式会社 一の坊,https://tripla.io/,https://tripla.io/contact_2/,,,旅館／マーケティング,,https://tripla.io/
accept,有限会社 宿泊トータルサポート,https://www.s-total.co.jp/,https://www.s-total.co.jp/inquiry/,,011-737-1771,旅館／集客支援,,https://www.s-total.co.jp/
reject,,,,,,,fetch_failed,https://www.hotel-sys.jp/
reject,,,,,,,fetch_failed,https://www.jhro.co.jp/
reject,,,,,,,fetch_failed,https://www.gwp-consulting.com/
reject,,,,,,,fetch_failed,https://www.media-garden.co.jp/
reject,,,,,,,fetch_failed,https://www.ios-web.net/
reject,,,,,,,fetch_failed,https://www.bzbrain.net/
reject,,https://sunl.jp/,,,,,service_evidence_missing,https://sunl.jp/
accept,株式会社リウシス,https://www.hotekan.com/,https://www.hotekan.com/contact,〒456-0072 愛知県名古屋市熱田区川並町4番7号Rビル304 Tel：052-678-6543 FAX：052-678-6553 ​ 代表取締役 苅谷 治輝 （,052-678-6543,旅館／マーケティング,,https://www.hotekan.com/
reject,,,,,,,fetch_failed,https://rehotels.jp/
accept,社名 株式会社,https://tabiii.co.jp/,https://tabiii.co.jp/,,,ホテル／マーケティング,,https://tabiii.co.jp/
accept,梅松株式会社,https://m-host.jp/,https://m-host.jp/,825-5444 ホームページ https://umematsu.co.jp/ 免許 宅地建物取引業 東京都知事（２）第99537号 住宅宿泊管理業 国土交通大臣（０１）第F02122号 事業内容 不,03-6825-5444,旅館／マーケティング,,https://m-host.jp/
accept,株式会社ノサル,https://nosaru.co.jp/,https://nosaru.co.jp//contact/,〒812-0017 福岡県福岡市博多区美野島1-4-24 メールアドレス contact ＠nosaru.co.jp 事業内容 ・宿泊施設運営代行事業 ・清掃・建物管,050-8886-3424,宿泊施設／開業支援,,https://nosaru.co.jp/
reject,,,,,,,fetch_failed,https://minpaku.nexsia.co.jp/
reject,,https://mo-on.jp/,,,,,service_evidence_missing,https://mo-on.jp/
accept,株式会社 Pdien,https://meo.pdien.co.jp/,https://meo.pdien.co.jp/,,,旅館／web制作,,https://meo.pdien.co.jp/
accept,株式会社アイカンシャ,https://aikansha.co.jp/,https://aikansha.co.jp/contact,,,観光／マーケティング,,https://aikansha.co.jp/
reject,,https://www.hotelrenewal.com/,,,,,service_evidence_missing,https://www.hotelrenewal.com/
reject,,https://ryokansenmon.atelier15ryokan.com/,,,,,service_evidence_missing,https://ryokansenmon.atelier15ryokan.com/
reject,,https://ryokan.tokiwa1090.com/,,,,,service_evidence_missing,https://ryokan.tokiwa1090.com/
accept,Dent 株式会社,https://dent-inc.com/,https://dent-inc.com/contact/,050-8885-9760 受付時間:平日9:00-17:00 Dent 株式会社 〒 105-0004 東京都港区新橋５丁目３１番４号 会社概要 プライバシーポリシー © 2016–2026 De,06-6105-7744,旅館／マーケティング,,https://dent-inc.com/
reject,,https://corecompany.jp/,,,,,service_evidence_missing,https://corecompany.jp/
accept,ベンステイ合同会社,https://benstay.jp/,https://benstay.jp/,468-1000 Tokyo Office 東京都港区浜松町2-2-15 Links Blog プライバシーポリシー / Privacy Policy 情報セキュリティ基本方針 特定商取引法,,旅館／予約管理,,https://benstay.jp/
reject,,https://www.sozo-athost.com/,,,,,service_evidence_missing,https://www.sozo-athost.com/
accept,株式会社ファミリアリンク,https://www.faminect.jp/,https://www.faminect.jp/entry/,〒150-0002 東京都渋谷区渋谷2-19-15 宮益坂ビルディング609 TEL：03-5366-5959 Copylight © 2017 Airbnbなど別荘,03-5366-5959,宿泊施設／予約管理,,https://www.faminect.jp/
accept,株式会社 SEVEN,https://www.sevenspirits.co.jp/,https://www.sevenspirits.co.jp/contact/,989-7617 受付時間 9:30-17:00 ※土日祝除く TOP 株式会社 SEVEN SPIRITS 〒904-0323 沖縄県中頭郡読谷村字高志保215番地1 TEL: 098-989-76,098-989-7617,ホテル／予約管理,,https://www.sevenspirits.co.jp/
accept,株式会社マドレーヌインターナショナル,https://www.unitedhost.tokyo/,https://www.unitedhost.tokyo/,151-0061 東京都渋谷区初台2-5-21-203 ※ご訪問の際は事前にご連絡ください。 CONTACT お問い合わせ LINEからも お気軽にUNITED H,03-4405-2198,ホテル／予約管理,,https://www.unitedhost.tokyo/
reject,,https://www.cleaning-power.com/,,,,,official_company_missing,https://www.cleaning-power.com/
reject,,https://es-sense.jp/,,,,,service_evidence_missing,https://es-sense.jp/
